,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
47,2009Q2,79.85285714285715,81.37357619047619,78.42365555555556,80.04119047619048,7535250.793650794,0.02,0.02,0,0,pre-market,USD,1133000000,4644000000,3808000000,3518000000,159000000,206000000,299000000,4492000000,8000000,-7000000,None,7000000,None,19000000,None,84000000,181000000,39000000,7000000,284000000,227000000,188000000,272000000,142000000,USD,7675000000,5304000000,1936000000,3212000000,1325000000,584000000,2371000000,981000000,None,451000000,451000000,451000000,None,None,1276000000,183000000,821000000,4419000000,3636000000,None,None,None,None,783000000,None,109000000,None,109000000,109000000,1128000000,674000000,3256000000,600000000,-411000000,4000000,432000000,USD,468000000,25000000,None,50000000,7000000,84000000,78000000,-16000000,23000000,142000000,-279000000,-3000000,None,0,0,None,None,None,None,None,None,None,-3000000,None,235000000,49000000,142000000
48,2009Q3,84.5614828125,85.729021875,83.4696875,84.79296875,6503220.3125,0.02,0.02,0,0,pre-market,USD,1273000000,5443000000,4504000000,4176000000,251000000,232000000,315000000,5198000000,7000000,-7000000,None,7000000,None,11000000,None,95000000,259000000,60000000,7000000,199000000,222000000,266000000,361000000,199000000,USD,8972000000,6369000000,2514000000,4001000000,1617000000,671000000,2603000000,1086000000,None,457000000,457000000,457000000,None,None,1487000000,80000000,854000000,5387000000,4537000000,3354000000,None,None,None,850000000,None,116000000,None,116000000,116000000,1183000000,734000000,3585000000,600000000,-212000000,4000000,433000000,USD,799000000,12000000,None,698000000,431000000,96000000,103000000,155000000,276000000,199000000,-302000000,64000000,None,0,0,None,None,None,None,None,None,None,None,None,578000000,17000000,199000000
49,2009Q4,121.261403125,122.9349671875,119.5935984375,121.3562015625,9943634.375,0.02,0.02,0,0,pre-market,USD,1977000000,9519000000,8029000000,7543000000,476000000,374000000,1240000000,-9934000000,9000000,-8000000,None,8000000,None,-6000000,None,112000000,469000000,85000000,8000000,386000000,363000000,477000000,589000000,384000000,USD,13813000000,9797000000,3444000000,6366000000,2171000000,988000000,4016000000,1290000000,625000000,567000000,567000000,1234000000,None,None,2922000000,272000000,1474000000,8556000000,7364000000,5605000000,None,None,None,1192000000,None,109000000,None,109000000,252000000,1759000000,1192000000,5257000000,600000000,172000000,5000000,444000000,USD,2611000000,6000000,None,2662000000,848000000,112000000,137000000,509000000,339000000,386000000,-1608000000,-51000000,None,0,0,None,None,None,None,None,None,None,-100000000,None,930000000,-22000000,384000000
50,2010Q1,125.93189836065574,127.4690655737705,123.90722950819672,125.80454098360656,9820481.967213115,0.04,0.04,0,0,pre-market,USD,1206000000,7124000000,5918000000,5501000000,394000000,298000000,366000000,6737000000,11000000,-7000000,None,7000000,None,3000000,None,120000000,399000000,100000000,7000000,299000000,210000000,406000000,526000000,299000000,USD,12042000000,7964000000,1844000000,5063000000,1820000000,815000000,4078000000,1436000000,None,1234000000,1234000000,1234000000,None,None,3219000000,266000000,1392000000,6424000000,5193000000,3619000000,None,None,None,1231000000,None,131000000,None,131000000,131000000,1574000000,1100000000,5618000000,600000000,471000000,5000000,446000000,USD,-1098000000,6000000,None,-2253000000,-775000000,119000000,140000000,-454000000,-321000000,299000000,-542000000,87000000,None,0,0,None,None,None,None,None,None,None,None,None,-1600000000,-47000000,299000000
51,2010Q2,130.25075396825397,132.4557619047619,127.80186190476189,130.02009523809522,7100214.285714285,0.03,0.03,0,0,pre-market,USD,1147000000,6557000000,5410000000,4957000000,270000000,324000000,408000000,6296000000,12000000,-9000000,None,9000000,None,24000000,None,130000000,295000000,88000000,9000000,207000000,70000000,304000000,434000000,207000000,USD,12397000000,8118000000,1629000000,5108000000,1940000000,805000000,4279000000,1704000000,None,1229000000,1229000000,1229000000,None,None,3479000000,265000000,1317000000,6540000000,5250000000,3545000000,None,None,None,1290000000,None,132000000,None,132000000,132000000,1705000000,1158000000,5857000000,600000000,678000000,5000000,448000000,USD,250000000,46000000,None,119000000,183000000,129000000,196000000,42000000,141000000,207000000,-475000000,43000000,None,0,0,None,None,None,None,None,None,None,None,None,-215000000,-33000000,207000000
52,2010Q3,129.474409375,131.6077984375,128.091996875,130.45405937499999,6610421.875,0.02,0.03,-0.01,-33.3333,pre-market,USD,1257000000,7551000000,6294000000,5786000000,268000000,358000000,442000000,7292000000,13000000,-11000000,None,11000000,None,22000000,None,150000000,310000000,79000000,11000000,231000000,382000000,321000000,471000000,231000000,USD,14162000000,9559000000,1539000000,5885000000,2515000000,959000000,4603000000,2099000000,None,1277000000,1277000000,1277000000,None,None,4346000000,200000000,1184000000,7765000000,6375000000,4614000000,None,None,None,1390000000,None,164000000,None,164000000,164000000,1761000000,1226000000,6397000000,600000000,908000000,5000000,449000000,USD,855000000,19000000,None,1086000000,569000000,150000000,315000000,64000000,505000000,231000000,-1128000000,93000000,None,0,0,None,None,None,None,None,None,None,None,None,-90000000,90000000,231000000
53,2010Q4,169.43690625,171.3425375,167.4283078125,169.5153125,5743071.875,0.03,0.02,0.01,50,pre-market,USD,12948000000,12948000000,10866000000,10317000000,474000000,380000000,884000000,-18358000000,15000000,-11000000,None,11000000,None,29000000,None,169000000,500000000,84000000,11000000,422000000,356000000,511000000,680000000,416000000,USD,18797000000,13747000000,3777000000,8762000000,3202000000,1587000000,5613000000,2414000000,842000000,563000000,563000000,1349000000,4985000000,None,4985000000,196000000,1265000000,11933000000,10372000000,8051000000,None,None,None,1561000000,None,184000000000,None,184000000,641000000,2321000000,417000000,6864000000,600000000,1324000000,5000000,451000000,USD,3488000000,16000000,None,4160000000,1336000000,170000000,328000000,643000000,693000000,422000000,-1215000000,-43000000,None,0,0,None,None,None,None,None,None,None,None,None,2238000000,8000000,416000000
54,2011Q1,176.7319951612903,178.8628951612903,174.74092903225807,176.9481451612903,5296238.70967742,0.05,0.04,0.01,25,pre-market,USD,1575000000,9845000000,8270000000,7608000000,322000000,460000000,579000000,707000000,15000000,-12000000,None,12000000,None,-18000000,None,202000000,173000000,43000000,12000000,201000000,325000000,185000000,387000000,130000000,USD,16882000000,11288000000,2641000000,6881000000,2888000000,1304000000,5594000000,2902000000,None,1513000000,1513000000,1513000000,4240000000,None,4240000000,215000000,1151000000,9535000000,7730000000,5540000000,None,None,None,1805000000,None,None,None,None,None,2190000000,None,7347000000,600000000,1525000000,5000000,452000000,USD,-1586000000,10000000,None,-2832000000,-702000000,202000000,298000000,-359000000,-343000000,201000000,390000000,24000000,None,0,0,None,None,None,None,None,None,None,None,None,-1136000000,36000000,130000000
55,2011Q2,191.15113492063495,193.69301904761906,189.04529523809524,191.5826984126984,5056946.031746032,0.02,0.03,-0.01,-33.3333,pre-market,USD,1622000000,9898000000,8276000000,7525000000,201000000,507000000,698000000,807000000,16000000,-15000000,None,15000000,None,23000000,None,244000000,116000000,109000000,15000000,191000000,227000000,131000000,375000000,7000000,USD,17941000000,11279000000,2047000000,6355000000,3229000000,1438000000,6662000000,3470000000,None,1909000000,1909000000,1909000000,4308000000,None,4308000000,257000000,1253000000,10176000000,8045000000,5721000000,None,None,None,2131000000,None,None,None,None,None,2324000000,None,7765000000,600000000,1715000000,5000000,454000000,USD,423000000,3000000,None,177000000,347000000,244000000,433000000,73000000,274000000,191000000,-951000000,-91000000,None,0,0,None,None,None,None,None,None,None,None,None,-594000000,25000000,7000000
56,2011Q3,212.22810625,215.789046875,208.041665625,212.1804375,6119164.0625,0.02,0.02,0,0,pre-market,USD,1711000000,10859000000,9148000000,8325000000,79000000,545000000,769000000,877000000,16000000,-17000000,None,17000000,None,52000000,None,278000000,-191000000,83000000,17000000,63000000,-147000000,-174000000,104000000,-274000000,USD,19054000000,11904000000,2823000000,6326000000,3770000000,1496000000,7342000000,3999000000,None,1934000000,1934000000,1934000000,3695000000,None,3503000000,312000000,1190000000,11288000000,8978000000,6552000000,None,None,None,2310000000,None,None,None,None,2310000000,2426000000,None,7766000000,600000000,1778000000,5000000,455000000,USD,797000000,4000000,None,957000000,662000000,278000000,529000000,75000000,587000000,63000000,100000000,-82000000,None,0,0,None,None,None,None,None,None,None,None,None,776000000,-39000000,-274000000
