,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
38,2009Q2,152.32126984126984,155.9761746031746,149.05257619047617,152.94190476190477,909057.1428571428,0.81,0.81,0,0,USD,1878000000,2131000000,253000000,515,261000000,191000000,None,768000000,4000000,-15000000,None,15000000,890000000,None,None,62000000,312000000,94000000,15000000,466000000,355000000,327000000,389000000,218000000,USD,20409000000,2305000000,2305000000,2305000000,134000000,None,12346000000,252000000,295000000,12094000000,6371000000,5723000000,957000000,None,None,None,None,7436000000,947000000,None,None,200000000,200000000,6118000000,None,695000000,None,None,895000000,1133000000,None,12745000000,0,2076000000,1000000,49915191,USD,400000000,None,None,None,None,62000000,17000000,None,None,244000000,-86000000,96000000,None,1000000,None,None,103000000,103000000,None,303000000,None,None,-1000000,None,512000000,102000000,218000000
39,2009Q3,193.440859375,196.3971703125,191.075084375,194.01484375,438368.75,1.75,1.58,0.17,10.7595,USD,2134000000,2354000000,220000000,563000000,357000000,161000000,None,783000000,4000000,-15000000,None,15000000,987000000,None,None,59000000,418000000,101000000,15000000,338000000,310000000,433000000,492000000,317000000,USD,21380000000,2763000000,2763000000,2763000000,143000000,None,12303000000,250000000,316000000,12053000000,6335000000,5718000000,1041000000,None,None,None,None,8079000000,200000000,None,None,200000000,200000000,6486000000,None,696000000,None,None,896000000,1403000000,None,13060000000,0,2286000000,1000000,50071926,USD,557000000,91000000,None,113000000,105000000,59000000,20000000,135000000,None,334000000,-7000000,-66000000,None,1000000,1000000,None,108000000,108000000,None,0,None,None,3000000,None,458000000,-26000000,317000000
40,2009Q4,227.3521875,230.0974046875,224.9120546875,227.48171875,313579.6875,2.1,1.93,0.17,8.8083,USD,1544000000,1544000000,337000000,-1079000000,389000000,274000000,None,1155000000,4000000,-23000000,None,23000000,1214000000,None,None,63000000,406000000,150000000,23000000,389000000,248000000,429000000,492000000,256000000,USD,178124000000,4708000000,4708000000,4708000000,167000000,None,30663000000,443000000,303000000,30346000000,17666000000,12680000000,1049000000,391000000,None,None,None,153522000000,21569000000,None,None,2234000000,2234000000,148392000000,None,3191000000,None,None,5425000000,1921000000,None,24329000000,3000000,2436000000,1000000,61896236,USD,568000000,98000000,None,14000000,-127000000,63000000,13000000,-65000000,None,257000000,-5530000000,6920000000,2034000000,5000000,5000000,None,106000000,81000000,None,2500000000,None,None,2498000000,None,1945000000,-13000000,256000000
41,2010Q1,222.06639344262294,224.1882049180328,219.04103442622952,221.59540983606556,389280.3278688525,2.39,2.1,0.29,13.8095,USD,3583000000,3938000000,355000000,873000000,654000000,289000000,None,1341000000,4000000,-40000000,None,40000000,1781000000,2000000,None,66000000,651000000,228000000,40000000,467000000,354000000,691000000,757000000,423000000,USD,168060000000,2703000000,2703000000,2703000000,237000000,None,30717000000,450000000,366000000,30267000000,17626000000,12641000000,1096000000,1096000000,None,None,None,143113000000,14297000000,None,None,880000000,880000000,140268000000,None,3191000000,None,None,4071000000,2044000000,117909000000,24648000000,3000000,2663000000,1000000,63360738,USD,-164000000,93000000,None,226000000,79000000,66000000,45000000,146000000,None,428000000,-30000000,-1755000000,-1354000000,114000000,114000000,None,196000000,196000000,None,1000000,None,None,-107000000,None,-2005000000,-56000000,423000000
42,2010Q2,176.7684126984127,179.0718253968254,173.69976190476189,175.86158730158732,657988.8888888889,2.4,2.45,-0.05,-2.0408,USD,3556000000,3963000000,407000000,806000000,697000000,340000000,None,1335000000,5000000,-38000000,None,38000000,1824000000,-75000000,None,67000000,665000000,233000000,38000000,394000000,411000000,703000000,770000000,432000000,USD,162266000000,2183000000,2183000000,2183000000,268000000,None,31432000000,433000000,372000000,30226000000,17586000000,12640000000,1463000000,761000000,None,None,None,137018000000,18748000000,None,None,444000000,444000000,134593000000,None,3191000000,None,None,3635000000,2075000000,107332000000,24954000000,-137000000,2902000000,1000000,63525823,USD,474000000,263000000,None,176000000,354000000,67000000,20000000,117000000,None,389000000,-372000000,-617000000,-436000000,3000000,3000000,None,193000000,193000000,None,1000000,None,None,-2000000,None,-520000000,-5000000,432000000
43,2010Q3,153.73421875,155.893084375,151.83968125,154.1190625,426535.9375,2.37,2.29,0.08,3.4934,USD,3744000000,4126000000,382000000,879000000,707000000,316000000,None,1385000000,10000000,-37000000,None,37000000,1823000000,78000000,None,66000000,752000000,201000000,37000000,594000000,642000000,789000000,855000000,551000000,USD,174504000000,2636000000,2636000000,2636000000,201000000,None,31465000000,429000000,393000000,30187000000,17546000000,12641000000,1512000000,846000000,None,None,None,148824000000,19081000000,None,None,100000000,100000000,146193000000,None,3191000000,None,None,3291000000,1297000000,118406000000,25400000000,124000000,3260000000,1000000,62759519,USD,1105000000,97000000,None,45000000,-84000000,66000000,30000000,58000000,None,584000000,-78000000,-632000000,-344000000,147000000,147000000,None,193000000,193000000,None,2000000,None,None,-144000000,None,453000000,58000000,551000000
44,2010Q4,174.17954375,175.950840625,172.4196875,174.4803125,1323246.875,2.75,2.46,0.29,11.7886,USD,2493000000,2493000000,582000000,106000000,940000000,409000000,None,1553000000,10000000,-35000000,None,35000000,1978000000,18000000,None,63000000,966000000,309000000,35000000,940000000,656000000,1001000000,1064000000,657000000,USD,178459000000,3367000000,3367000000,3367000000,131000000,None,31632000000,428000000,426000000,30317000000,17512000000,12805000000,1540000000,887000000,None,None,None,152125000000,17738000000,None,None,100000000,100000000,149380000000,None,3192000000,None,None,3292000000,1577000000,123006000000,26094000000,111000000,3723000000,1000000,131216561,USD,1073000000,276000000,None,-171000000,-83000000,25000000,37000000,-2000000,None,649000000,-147000000,-166000000,0,0,0,None,194000000,194000000,None,2000000,None,None,5000000,None,731000000,-29000000,657000000
45,2011Q1,195.55274193548388,197.36393548387096,192.9965193548387,195.30338709677417,814672.5806451613,3.42,2.9,0.52,17.931,USD,4100000000,4502000000,402000000,939000000,798000000,340000000,None,1484000000,9000000,-38000000,None,38000000,2012000000,15000000,None,62000000,817000000,249000000,38000000,614000000,612000000,855000000,917000000,568000000,USD,178422000000,2779000000,2779000000,2779000000,130000000,None,31618000000,479000000,460000000,30276000000,17472000000,12804000000,1528000000,863000000,None,None,None,151706000000,17236000000,None,None,None,17236000000,149776000000,None,3192000000,None,None,3255000000,564000000,123759000000,26479000000,2000000,4019000000,1000000,132268423,USD,-156000000,156000000,None,261000000,215000000,62000000,83000000,130000000,None,564000000,-15000000,-465000000,-100000000,106000000,106000000,None,272000000,272000000,None,1000000,None,None,-96000000,None,-588000000,48000000,568000000
46,2011Q2,194.43238095238095,195.91095238095238,192.34099047619048,194.0315873015873,999209.5238095238,2.96,2.77,0.19,6.8592,USD,4249000000,4653000000,404000000,924000000,866000000,345000000,None,1481000000,4000000,-41000000,None,41000000,2177000000,-24000000,None,59000000,839000000,220000000,41000000,622000000,631000000,880000000,939000000,619000000,USD,185048000000,2796000000,2796000000,2796000000,158000000,None,31615000000,521000000,0,30236000000,17434000000,12802000000,1598000000,858000000,1331000000,None,None,160378000000,18817000000,None,None,600000000,600000000,157753000000,None,4688000000,None,None,5288000000,897000000,128109000000,24424000000,-1000000,4390000000,1000000,135030826,USD,873000000,567000000,None,-186000000,42000000,59000000,76000000,-129000000,None,622000000,-89000000,-771000000,600000000,2548000000,2548000000,None,248000000,248000000,None,1000000,None,None,-2543000000,None,17000000,4000000,619000000
47,2011Q3,167.22703125,169.70826875,163.771678125,166.43046875,1004959.375,3,2.88,0.12,4.1667,USD,3953000000,4401000000,448000000,861000000,777000000,389000000,None,1448000000,12000000,-49000000,None,49000000,2063000000,-112000000,None,59000000,690000000,95000000,49000000,570000000,525000000,739000000,798000000,595000000,USD,174282000000,2983000000,2983000000,2983000000,141000000,None,31566000000,545000000,518000000,30192000000,17395000000,12797000000,1525000000,829000000,None,None,None,149343000000,19417000000,None,None,100000000,100000000,146944000000,None,4690000000,None,None,4790000000,2299000000,115978000000,24727000000,128000000,4736000000,1000000,139015436,USD,1236000000,194000000,None,109000000,-25000000,59000000,59000000,2000000,None,570000000,-82000000,-939000000,-500000000,129000000,129000000,None,249000000,249000000,None,1000000,None,None,-128000000,None,187000000,-28000000,595000000
