,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
52,2009Q2,45.93174603174603,46.40928571428571,45.49386190476191,45.967619047619046,12022279.365079366,0.33,0.32,0.01,3.125,USD,5354000000,8170000000,5812000000,2913000000,2438000000,2844000000,None,2996000000,57000000,-97000000,None,97000000,None,387000000,None,302000000,2716000000,679000000,97000000,2146000000,5276000000,2813000000,3107000000,2037000000,USD,46054000000,16372000000,7647000000,7647000000,2483000000,None,29682000000,8904000000,6570000000,8535000000,8535000000,4092000000,None,6292000000,298000000,2198000000,1859000000,22978000000,13567000000,None,None,None,6431000000,8970000000,None,5017000000,49000000,5017000000,11448000000,780000000,3051000000,23076000000,24174000000,39999000000,880000000,2313000000,USD,2789000000,None,None,None,None,302000000,513000000,None,None,2049000000,-565000000,-1675000000,None,4000000,None,None,949000000,949000000,None,64000000,None,None,-4000000,None,831000000,282000000,2037000000
53,2009Q3,50.0228125,50.48515625,49.65328125,50.12,10961510.9375,0.46,0.45,0.01,2.2222,USD,5110000000,7955000000,5894000000,2934000000,2150000000,2912000000,None,3049000000,67000000,-89000000,None,89000000,None,382000000,None,320000000,2419000000,523000000,89000000,2009000000,3808000000,2508000000,2819000000,1896000000,USD,47107000000,16992000000,8846000000,8846000000,2341000000,None,30115000000,9099000000,6674000000,8525000000,8525000000,4100000000,None,6481000000,279000000,2061000000,1910000000,23152000000,13410000000,None,None,None,6186000000,9275000000,None,5028000000,50000000,5028000000,11214000000,469000000,3124000000,23955000000,24343000000,40944000000,880000000,2316000000,USD,2608000000,None,None,None,None,320000000,419000000,None,None,1920000000,-396000000,-1026000000,None,2000000,2000000,None,951000000,951000000,None,158000000,None,None,156000000,None,1199000000,13000000,1896000000
54,2009Q4,55.9303125,56.36378125,55.5716671875,56.02,8857020.3125,0.41,0.41,0,0,USD,4859000000,7426000000,5457000000,2651000000,1780000000,2978000000,None,3203000000,65000000,-84000000,None,84000000,None,27000000,None,331000000,1925000000,382000000,84000000,1662000000,-4744000000,2009000000,2348000000,1543000000,USD,48671000000,17551000000,7021000000,9151000000,2354000000,None,31120000000,9561000000,6906000000,8604000000,8604000000,4224000000,None,6755000000,2130000000,2226000000,1976000000,23872000000,13721000000,None,None,None,6800000000,9604000000,None,5110000000,51000000,5059000000,11859000000,5511000000,2965000000,24799000000,25398000000,41537000000,880000000,2314000000,USD,1916000000,None,None,None,None,331000000,594000000,None,None,1578000000,-2589000000,-1409000000,None,1512000000,1512000000,None,950000000,950000000,None,432000000,None,None,-1082000000,None,-1825000000,257000000,1543000000
55,2010Q1,54.751639344262294,55.06889180327869,54.30422459016393,54.70459016393443,11303904.918032788,0.33,0.33,0,0,USD,4984000000,7440000000,5336000000,2541000000,2183000000,2705000000,None,2880000000,60000000,-85000000,None,85000000,None,81000000,None,295000000,2167000000,553000000,85000000,1711000000,2543000000,2252000000,2674000000,1614000000,USD,47403000000,17208000000,5684000000,8722000000,2327000000,None,30195000000,9036000000,6752000000,8410000000,8410000000,3905000000,None,6749000000,3038000000,2382000000,2095000000,22531000000,13583000000,None,None,None,7216000000,8663000000,None,4419000000,546000000,4419000000,11635000000,-1077000000,2763000000,24872000000,25345000000,42136000000,880000000,2304000000,USD,1326000000,None,None,None,None,295000000,393000000,None,None,1626000000,-1368000000,-1043000000,None,2000000,2000000,None,1015000000,1015000000,None,121000000,None,None,119000000,None,-1337000000,-252000000,1614000000
56,2010Q2,52.91444444444445,53.25027619047619,52.45095238095238,52.834603174603174,11567814.285714285,0.4,0.37,0.03,8.1081,USD,5719000000,8593000000,5906000000,2955000000,2763000000,2878000000,None,3032000000,67000000,-81000000,None,81000000,None,441000000,None,316000000,3110000000,741000000,81000000,2463000000,3892000000,3191000000,3502000000,2369000000,USD,48444000000,18574000000,7735000000,10099000000,2363000000,None,29870000000,8931000000,6710000000,8299000000,8299000000,3810000000,None,6199000000,2364000000,2044000000,2092000000,22926000000,13934000000,None,None,None,7282000000,8702000000,None,4971000000,544000000,4427000000,11709000000,-1106000000,2719000000,25518000000,25305000000,43490000000,880000000,2306000000,USD,2984000000,None,None,None,None,316000000,500000000,None,None,2382000000,30000000,-832000000,None,0,0,None,1015000000,1015000000,None,83000000,None,None,83000000,None,2051000000,-131000000,2369000000
57,2010Q3,55.53765625,55.9296671875,55.2448578125,55.684726562499996,8687707.8125,0.53,0.51,0.02,3.9216,USD,5508000000,8346000000,6082000000,2918000000,2344000000,3064000000,None,3244000000,93000000,-80000000,None,80000000,None,436000000,None,323000000,2688000000,633000000,80000000,2067000000,2913000000,2768000000,3115000000,2055000000,USD,54089000000,23105000000,10509000000,13153000000,2259000000,None,30984000000,9145000000,6766000000,8377000000,8377000000,3882000000,None,6870000000,2644000000,613000000,2100000000,26183000000,17271000000,None,None,None,8937000000,8617000000,None,5003000000,547000000,4456000000,13393000000,-741000000,2777000000,27906000000,25147000000,44541000000,880000000,2310000000,USD,2914000000,None,None,None,None,323000000,442000000,None,None,2067000000,-1375000000,990000000,None,1000000,1000000,None,1004000000,1004000000,None,331000000,None,None,330000000,None,2774000000,245000000,2055000000
58,2010Q4,62.6384375,62.985384375,62.39828125,62.786875,9645164.0625,0.46,0.45,0.01,2.2222,USD,6215000000,9959000000,9070000000,4279000000,1123000000,4547000000,None,5706000000,97000000,-487000000,None,487000000,597000000,5294000000,None,509000000,6192000000,443000000,487000000,6517000000,5905000000,6679000000,1943000000,5749000000,USD,72921000000,21579000000,8517000000,11199000000,2650000000,None,51342000000,14727000000,6979000000,15244000000,15244000000,11665000000,None,6954000000,2682000000,3162000000,2121000000,41918000000,18508000000,1887000000,None,None,9376000000,23096000000,None,15317000000,1276000000,14041000000,23417000000,273000000,4794000000,31003000000,27762000000,49278000000,880000000,2311000000,USD,2308000000,None,None,None,None,509000000,880000000,None,182000000,5762000000,-1692000000,-2580000000,None,2958000000,2958000000,None,1034000000,1034000000,None,1131000000,None,None,-1827000000,None,-1992000000,-28000000,5749000000
59,2011Q1,63.784514516129036,64.1633870967742,63.3825,63.763225806451615,8975290.322580645,0.36,0.36,0,0,USD,6569000000,10514000000,8186000000,3948000000,2284000000,4076000000,None,4241000000,94000000,-113000000,None,113000000,110000000,345000000,None,486000000,2503000000,600000000,113000000,1916000000,2816000000,2616000000,2993000000,1903000000,USD,76058000000,23542000000,9075000000,12124000000,3033000000,None,52516000000,14834000000,7500000000,15405000000,15405000000,11949000000,None,6940000000,3049000000,650000000,2740000000,43779000000,21923000000,None,None,None,13399000000,21539000000,None,14095000000,1414000000,12681000000,26080000000,-4188000000,4437000000,32279000000,28550000000,50097000000,880000000,2292000000,USD,458000000,None,None,None,None,486000000,589000000,None,None,1916000000,-1047000000,986000000,None,1129000000,1129000000,None,1065000000,1065000000,None,440000000,None,None,-689000000,None,558000000,161000000,1903000000
60,2011Q2,66.85733174603175,67.19978412698413,66.48552063492063,66.87095079365079,7393719.047619048,0.43,0.43,0,0,USD,7748000000,12653000000,9525000000,4989000000,3179000000,4417000000,None,4620000000,121000000,-84000000,None,84000000,-1000000,704000000,None,471000000,3792000000,992000000,84000000,2807000000,3621000000,3876000000,3987000000,2800000000,USD,80090000000,26539000000,10166000000,13871000000,3237000000,None,53551000000,14933000000,7995000000,15457000000,15457000000,12004000000,None,7069000000,3705000000,-50000000,2701000000,44948000000,24194000000,None,None,None,2486000000,20472000000,None,13859000000,2486000000,11373000000,13859000000,-4310000000,4393000000,35142000000,28504000000,51816000000,880000000,2290000000,USD,3184000000,None,None,None,None,471000000,601000000,None,None,2807000000,-1281000000,-956000000,None,242000000,242000000,None,1078000000,1078000000,None,362000000,None,None,120000000,None,1091000000,144000000,2800000000
61,2011Q3,68.4623453125,69.1482734375,67.887475,68.56578125,11645675.0,0.59,0.58,0.01,1.7241,USD,7373000000,12132000000,9491000000,4875000000,2754000000,4523000000,None,4732000000,141000000,-116000000,None,116000000,-5000000,-32000000,None,466000000,2905000000,681000000,116000000,2243000000,763000000,3021000000,3537000000,2224000000,USD,81753000000,28191000000,12682000000,16366000000,3172000000,None,53562000000,14522000000,8118000000,15411000000,15411000000,12073000000,None,7073000000,3684000000,3391000000,3219000000,48544000000,25581000000,None,None,None,2082000000,22673000000,None,15790000000,2082000000,13708000000,15790000000,264000000,4404000000,33209000000,30518000000,52965000000,880000000,2286000000,USD,3158000000,None,None,None,None,466000000,725000000,None,None,2246000000,-1086000000,1146000000,None,2237000000,2237000000,None,16000000,16000000,None,580000000,None,None,-1657000000,None,2516000000,-702000000,2224000000
