,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
52,2009Q2,33.934285714285714,34.374123809523816,33.451550793650796,33.931269841269845,6205895.238095238,1.2,0.99,0.21,21.2121,USD,2532200000,5292800000,2760600000,947400000,-321400000,1708200000,1040400000,2853600000,18800000,-64300000,None,64300000,None,21400000,None,306000000,1467700000,309200000,64300000,1158500000,1822000000,1532000000,1470400000,1158500000,USD,26931500000,10935300000,3322300000,3490400000,2999700000,3329900000,7401900000,8594300000,6621400000,3790300000,3790300000,None,None,1239000000,168100000,1115300000,2372600000,18371500000,6989300000,918600000,None,1034900000,1034900000,11382200000,None,6688000000,None,6688000000,7722900000,2635000000,1331000000,11576300000,98500000,9049500000,718700000,1097200000,USD,923300000,None,None,None,None,-306000000,176900000,None,None,1158500000,102100000,-1111600000,-569200000,None,None,None,539000000,539000000,None,None,None,None,None,None,9200000,95400000,1158500000
53,2009Q3,33.566015625,33.8433828125,33.2403140625,33.531093750000004,6402159.375,1.12,1.02,0.1,9.8039,USD,2258500000,5562000000,3303500000,1051900000,-1115200000,1701800000,1122100000,3373700000,15200000,-59200000,None,59200000,None,-22900000,None,309700000,1069500000,127700000,59200000,941800000,1233200000,1128700000,2011100000,941800000,USD,27127900000,11810000000,3848200000,3929100000,3128200000,3482900000,7085200000,8232700000,6955800000,3738900000,3738900000,None,None,1173800000,80900000,1269800000,2172500000,17222900000,6067500000,887700000,None,622500000,622500000,11155400000,None,6769700000,None,6769700000,7392200000,2311900000,1284600000,12917800000,98500000,9992700000,718700000,1097700000,USD,1305700000,52800000,None,None,-33800000,1534300000,174300000,None,None,941800000,67700000,-913200000,-16600000,None,None,None,536600000,536600000,None,None,None,None,None,None,525900000,65700000,941800000
54,2009Q4,35.17640625,35.4746875,34.8668125,35.190625,6776278.125,1.2,1.02,0.18,17.6471,USD,2511700000,5934200000,3422500000,1431300000,-696200000,1953300000,1216700000,3207900000,-136600000,472400000,522600000,50200000,None,-31400000,None,375800000,1137200000,221800000,-472400000,915400000,618900000,1187400000,1722500000,915400000,USD,27460900000,12486500000,4462900000,4497600000,2849900000,3831800000,6777000000,8197400000,6902600000,2524800000,2524800000,1175000000,None,1155800000,34700000,1307200000,1921400000,17935600000,6568100000,968100000,None,27400000,27400000,11367500000,None,6655000000,None,6634700000,6682400000,2683900000,1309700000,12536900000,98500000,9830400000,718700000,1103400000,USD,2018600000,None,None,None,-873200000,375800000,765000000,None,-179000000,915400000,-254300000,-1128500000,-994800000,None,None,None,539700000,539700000,None,None,None,None,None,None,614700000,-21100000,915400000
55,2010Q1,35.35639344262295,35.62188524590164,35.047537704918035,35.3383606557377,6938857.377049181,0.91,0.92,-0.01,-1.087,USD,2722400000,5485500000,2763100000,1122500000,42700000,1614400000,1039100000,2679700000,10600000,-47600000,None,47600000,None,111500000,None,299400000,1707800000,459700000,47600000,1248100000,943100000,1755400000,2019500000,1248100000,USD,27197800000,12252400000,4725200000,4758400000,2471100000,3729900000,6958400000,7987000000,6194100000,4031600000,4031600000,None,None,1099200000,33200000,1293000000,1827600000,16735500000,5657600000,964000000,None,20100000,20100000,11077900000,None,6661300000,None,6661300000,6681400000,2773100000,1172900000,13472800000,97400000,11077200000,721300000,1103400000,USD,958000000,None,None,None,230500000,299400000,0,None,None,1248100000,-52600000,-547000000,-7900000,None,None,None,539200000,539200000,None,None,100000,None,None,None,262300000,-96100000,1248100000
56,2010Q2,34.63047619047619,34.87213492063492,34.31800793650794,34.58111111111111,8018284.126984127,1.18,1.1,0.08,7.2727,USD,2942100000,5748700000,2806600000,1023900000,-82200000,1755400000,1187200000,3071800000,11000000,-47500000,None,47500000,None,18100000,None,345600000,1736500000,387600000,47500000,1348900000,818200000,1784000000,2138800000,1348900000,USD,27723100000,12466400000,5163500000,5196600000,2174400000,3653000000,7472300000,7784400000,6259800000,4036000000,4036000000,None,None,1064700000,33100000,1442400000,2371600000,17487800000,6324600000,950300000,None,26700000,26700000,11163200000,None,6862200000,None,6862200000,6888900000,2492800000,1110600000,13254700000,97400000,11343700000,721300000,1099200000,USD,1911600000,None,None,None,86700000,345600000,400000000,None,None,1348900000,-754200000,-531500000,6600000,None,None,None,536700000,536700000,None,None,600000,None,None,None,438300000,-187600000,1348900000
57,2010Q3,35.27921875,35.537109375,35.0160828125,35.327968750000004,7475471.875,1.24,1.1,0.14,12.7273,USD,2912800000,5654800000,2742000000,987600000,-108200000,1694900000,1219800000,3068200000,16300000,-47200000,None,47200000,None,9200000,None,344700000,1671300000,368400000,47200000,1302900000,2080800000,1718500000,2113500000,1302900000,USD,29904300000,14184300000,5908800000,6140100000,2679600000,3874800000,7778100000,7941900000,6474900000,4309000000,4309000000,None,None,1340200000,231300000,1489000000,2129400000,17498800000,6097400000,1034700000,None,155100000,155100000,11401400000,None,6982000000,None,6982000000,125000000,2583700000,1213300000,15426300000,97400000,12647100000,721300000,1099000000,USD,1759100000,None,None,None,162600000,344700000,19000000,None,None,1302900000,-788500000,-393800000,126400000,None,None,None,545300000,545300000,None,None,300000,None,None,None,745300000,168500000,1302900000
58,2010Q4,35.37,35.5359609375,35.1653515625,35.35703125,6534601.453125,1.21,1.15,0.06,5.2174,USD,2887100000,6187000000,3299900000,1232200000,-1013800000,1988700000,1438100000,3573100000,-89800000,327800000,371000000,43200000,None,-10200000,None,338500000,1409600000,240000000,-327800000,1169600000,1029300000,1452800000,1880500000,1169600000,USD,31001400000,14840000000,5993200000,6727000000,2517700000,4158100000,8220700000,7940700000,6545900000,3394900000,3394900000,1423900000,207800000,1779500000,733800000,1437200000,1622400000,18581100000,6926900000,1072200000,None,137800000,156000000,11661700000,None,6788700000,18200000,6770500000,6944700000,2476800000,1769000000,12420300000,96400000,12732600000,721300000,1112003000,USD,2228100000,None,None,None,-301400000,338500000,717700000,None,157000000,1169600000,-1564500000,-549600000,0,None,None,None,544100000,544100000,None,None,200000,None,None,None,84400000,-29600000,1169600000
59,2011Q1,34.76532258064516,34.94209838709678,34.60018709677419,34.77145161290323,7726162.903225807,1.11,1.1,0.01,0.9091,USD,2797100000,5839200000,3042100000,1180100000,-226800000,1785700000,1124000000,3069700000,15500000,-45800000,None,45800000,None,19100000,None,340900000,1273900000,218000000,45800000,1055900000,1537200000,1319700000,2194600000,1055900000,USD,31695300000,15354300000,6506400000,6713100000,2767200000,4183100000,8373300000,7967700000,6572400000,4731300000,4731300000,None,None,1898700000,206700000,1690900000,1743300000,21585400000,7651800000,1183200000,None,1539900000,1539900000,10109300000,None,6906300000,None,5132400000,8446200000,2600000000,1886200000,16951200000,95300000,13785300000,724100000,1111474000,USD,1176100000,None,None,None,-92500000,340900000,29600000,None,None,1055900000,-40700000,-713800000,-116200000,None,None,None,543200000,543200000,None,None,0,None,None,None,513200000,91600000,1055900000
60,2011Q2,37.247301587301585,37.500619047619054,37.04474603174603,37.2731746031746,7489600.0,1.24,1.17,0.07,5.9829,USD,2849500000,6252800000,3403300000,1228000000,-622700000,2043000000,1260600000,3517300000,17800000,-45100000,None,45100000,None,-30300000,None,355600000,1531300000,334000000,45100000,1197300000,1376200000,1576400000,1883800000,1197300000,USD,32779300000,14950300000,6113500000,6329800000,2870200000,4446500000,9875300000,7953700000,6716400000,4955400000,4955400000,None,None,2943000000,216300000,1303800000,1976900000,22572000000,8620500000,1187600000,None,1528500000,1528500000,9881800000,None,7021000000,None,5200100000,8549500000,2786700000,1550100000,17289900000,95300000,13888200000,724100000,1107100000,USD,2040300000,140000000,None,None,78000000,355600000,403200000,None,None,1197300000,-1898600000,-564300000,-12300000,None,None,None,552100000,552100000,None,None,0,None,None,None,-392900000,29700000,1197300000
61,2011Q3,36.90890625,37.3184390625,36.5238125,36.940625,9604956.25,1.18,1.18,0,0,USD,2866800000,6147900000,3281100000,1338100000,-393600000,1917800000,1280900000,3305400000,22200000,-45000000,None,45000000,None,-60600000,None,358200000,1502500000,266200000,45000000,1236300000,740300000,1547500000,1611100000,1236300000,USD,33042200000,14572700000,6597700000,6784300000,2513300000,4097600000,10657300000,7812200000,6806300000,5221900000,5221900000,None,None,3219600000,186600000,1177500000,2215800000,21763400000,8219300000,1154300000,None,1628700000,1628700000,9765000000,None,7418300000,None,5451300000,9047000000,2720300000,1449000000,18073700000,95300000,15125900000,724100000,1113800000,USD,2073400000,120000000,None,None,-207500000,358200000,172900000,None,None,1236300000,-1008300000,-440900000,99900000,None,None,None,540900000,540900000,None,None,0,None,None,None,484200000,-140000000,1236300000
