,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
42,2009Q4,14.31778125,14.55984375,14.0701953125,14.30484375,17479918.75,0.005,0.003,0.002,66.6667,pre-market,USD,391783000,903206000,511423000,511423000,107845000,85990000,197948000,283938000,5444000,None,None,5444000,None,-3082000,None,48770000,110207000,2630000,None,107577000,108552000,107845000,156615000,107577000,USD,3463574000,2357716000,614490000,1634079000,277643000,None,1105858000,565296000,None,497661000,127817000,369844000,None,None,1019589000,1634079000,None,1039939000,888806000,321530000,None,None,354034000,151133000,24760000,24760000,None,None,378794000,198133000,126373000,2423635000,1463268000,1765106000,646000,551283000,USD,141317000,None,None,None,None,48770000,16593000,None,1165000,107577000,-95497000,44885000,None,None,None,None,None,None,None,None,None,None,45100000,None,90705000,None,107577000
43,2010Q1,17.156475409836066,17.424132786885245,16.830909836065576,17.141967213114757,15371980.327868853,0.006,0.005,0.001,20,pre-market,USD,438721000,982488000,543767000,543767000,134282000,88188000,216251000,304439000,5768000,None,None,20667000,None,2691000,None,47914000,139421000,8345000,None,438721000,131076000,134282000,182196000,131076000,USD,3585918000,2480830000,447221000,1728227000,330674000,None,1105088000,571858000,516625000,490302000,120458000,369844000,None,None,1281006000,46966000,10255000,920778000,784378000,344527000,None,None,390277000,136400000,24450000,24450000,None,None,414727000,29950000,111950000,2665140000,1463268000,1896182000,653000,561465851,USD,69245000,None,None,22778000,-30065000,47914000,22575000,23008000,-462385000,438721000,-283774000,47260000,None,None,None,None,77972000,77972000,None,45837000,None,None,45837000,None,-167269000,None,131076000
44,2010Q2,14.110555555555557,14.322857142857144,13.755614285714286,14.02015873015873,20466385.714285713,0.006,0.005,0.001,20,pre-market,USD,456377000,1001813000,545436000,545436000,147393000,90879000,218105000,308984000,5571000,None,None,5571000,None,-2239000,None,47147000,150725000,13131000,None,456377000,136296000,147393000,194540000,137594000,USD,3803030000,2726980000,447262000,447262000,388139000,None,1076050000,548916000,None,485267000,115423000,369844000,None,None,1317634000,1764896000,None,942385000,765293000,362740000,None,None,None,177092000,24098000,24098000,None,None,24098000,402553000,152994000,2860645000,1473655000,2033776000,663000,567183000,USD,-5397000,None,None,16822000,-211827000,47147000,17080000,-155011000,-56816000,456377000,-57342000,62780000,None,None,None,None,None,None,None,None,None,None,63100000,None,41000,None,137594000
45,2010Q3,10.1840625,10.3968328125,9.995234375,10.1999046875,21946323.4375,0.001,0.003,-0.002,-66.6667,pre-market,USD,134292000,811208000,676916000,676916000,-175207000,98864000,210635000,309499000,4805000,None,None,4805000,None,1355000,None,46573000,-169047000,-28086000,None,-387800000,-140599000,-175207000,-128634000,-140961000,USD,3731268000,2655962000,377003000,377003000,434227000,None,1075306000,542216000,None,488723000,118879000,369844000,None,None,1395497000,1772500000,None,970754000,819139000,280041000,None,None,None,151615000,23734000,23734000,None,None,23734000,539098000,127881000,2760514000,1473656000,1892815000,665000,572764000,USD,34344000,None,None,-84308000,87856000,46573000,37644000,133818000,-45962000,-387800000,-119101000,14498000,None,None,None,None,None,None,None,None,None,None,14800000,None,-70259000,None,-140961000
46,2010Q4,13.0304734375,13.24421875,12.8632765625,13.065093749999999,16229148.4375,0.004,0.004,0,0,pre-market,USD,392062000,843912000,451850000,451850000,103783000,83752000,204527000,288279000,4220000,None,None,4220000,None,-4418000,None,46786000,103585000,18723000,None,84862000,86295000,103783000,150569000,84862000,USD,3915579000,2807702000,451174000,1987220000,377812000,None,1107877000,585672000,None,482486000,112642000,369844000,None,None,1536046000,1987220000,None,1017699000,816489000,324770000,None,None,None,201210000,23359000,23359000,None,None,23359000,491719000,177851000,2897880000,1479392000,1977677000,671000,577323000,USD,212177000,None,None,45618000,52658000,46876000,21823000,-3374000,56032000,84862000,-163984000,25978000,None,None,None,None,None,None,None,26279000,None,None,26279000,None,74171000,None,84862000
47,2011Q1,21.315464516129033,21.87258064516129,20.748709677419356,21.319282258064515,34016220.96774194,0.006,0.004,0.002,50,pre-market,USD,426359000,886376000,460017000,460017000,179778000,88018000,215563000,246581000,4461000,None,None,14596000,None,4794000,None,46393000,185906000,14255000,None,426359000,169254000,179778000,226171000,171651000,USD,4495246000,3226950000,665361000,2490563000,345525000,None,1268296000,568857000,625082000,658589000,288745000,369844000,None,None,1825202000,42092000,40850000,1313784000,942682000,286138000,408596000,None,336380000,371102000,23389000,23389000,None,None,359769000,71300000,347713000,3181462000,1479392000,2149328000,677000,588555701,USD,434673000,None,None,-47918000,83526000,46393000,21343000,50908000,60874000,426359000,-309251000,88765000,None,None,None,None,None,None,None,None,None,None,73200000,None,214187000,None,171651000
48,2011Q2,18.008568253968253,18.284065079365078,17.63016031746032,17.9571746031746,19221576.19047619,0.006,0.005,0.001,20,pre-market,USD,484503000,962039000,477536000,477536000,154862000,98117000,231524000,329641000,5313000,None,None,5313000,None,-3690000,None,47764000,156485000,21266000,None,483203000,136068000,154862000,202626000,135219000,USD,4736744000,3496763000,683633000,683633000,380964000,None,1239981000,553366000,None,648605000,278761000,369844000,None,None,2042908000,2726541000,None,1288936000,981166000,346295000,None,None,None,307770000,22957000,22957000,None,None,22957000,634871000,284813000,3447808000,1487079000,2284547000,688000,594802000,USD,172200000,761000,None,53740000,-30101000,47764000,31195000,5820000,-35183000,483203000,-252506000,98578000,None,None,None,None,None,None,None,None,None,None,85300000,None,18272000,None,135219000
49,2011Q3,13.96528125,14.260103125,13.606015625,13.894234375,22346992.1875,0.006,0.006,0,0,pre-market,USD,525284000,1016517000,491233000,5000000,174030000,103533000,247721000,351254000,5266000,None,None,5266000,None,-1749000,None,52160000,177547000,25974000,None,151573000,154886000,174030000,226190000,151573000,USD,4864424000,3317557000,532614000,2474496000,361911000,None,1596057000,550896000,None,951649000,358136000,593513000,None,None,1941882000,2474496000,None,1174955000,960299000,297813000,None,None,None,263846000,22493000,22493000,None,None,22493000,662486000,192163000,3689469000,1487093000,2436120000,691000,601340000,USD,82021000,749000,None,-62106000,-29579000,5000000,23323000,-63331000,33014000,151573000,-273218000,40178000,None,None,None,None,None,None,None,39499000,None,None,39499000,None,-151019000,None,151573000
50,2011Q4,14.484047619047619,14.773692063492064,14.176668253968254,14.49611111111111,16174498.412698412,0.007,0.006,0.001,16.6667,pre-market,USD,556717000,1066180000,509463000,509463000,197090000,103129000,256498000,359627000,4356000,None,None,4356000,None,3341000,None,52387000,204787000,26514000,None,178273000,172836000,197090000,249477000,178273000,USD,5089043000,3500071000,566816000,2748354000,319602000,None,1588972000,551757000,None,990892000,342839000,648053000,None,None,2181538000,2748354000,None,1115593000,886684000,307943000,238139000,None,None,228909000,21949000,21949000,None,None,21949000,578741000,206960000,3973450000,1496904000,2614393000,698000,607063000,USD,244417000,744000,None,17584000,90594000,5000000,39035000,48677000,41917000,178273000,-289145000,78930000,None,None,None,None,None,None,None,None,None,None,51700000,None,34202000,None,178273000
51,2012Q1,14.985211290322582,15.206185483870968,14.774067741935484,15.000725806451612,14112987.096774194,0.005,0.005,0,0,pre-market,USD,490013000,953194000,463181000,463181000,122317000,100834000,266862000,367696000,4213000,None,None,1124000,None,1136000,None,51895000,124577000,8552000,None,477613000,117641000,122317000,174212000,116025000,USD,5552928000,3905358000,667876000,3129576000,340297000,None,1647570000,560072000,596456000,967166000,326136000,641030000,None,None,2461700000,120332000,120332000,1407204000,929958000,335072000,471019000,None,288798000,477246000,21439000,21439000,None,None,310237000,35439000,455807000,4145724000,1496904000,2730418000,700000,612191412,USD,410518000,754000,None,26490000,-76034000,150000000,45182000,-17402000,-58632000,477613000,-328495000,19037000,None,None,None,None,None,None,None,None,None,None,19400000,None,101060000,None,116025000
