,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
4,2020Q3,10.0,11.42,9.11,9.5,338584433.0,0.01,0,0.01,None,USD,140026000,289366000,149340000,149340000,-847777000,673888000,313915000,987803000,494000,-2085000,494000,2085000,289366000,-3293000,2500000,2515000,-861862000,-8543000,2085000,-853319000,-853051000,-859777000,-845262000,-853319000,USD,2603712000,2394424000,1800190000,1800190000,43800000,162269000,209288000,29369000,92964000,None,None,None,None,None,None,388165000,93576000,1351959000,942187000,22221000,71000000,None,None,307541000,None,197753000,None,197753000,197753000,466999000,42724000,1251753000,None,-4817011000,1727000,1726685755,USD,-51990000,None,None,None,None,2515000,1530000,None,58275000,-853319000,-4280000,350069000,None,0,None,None,None,None,None,399607000,None,None,None,None,-833218000,None,-853319000
5,2020Q4,17.88123125,18.7329265625,17.0004703125,17.88828125,59939789.859375,0.09,0.02,0.07,350,USD,251588000,322091000,70503000,70503000,-156572000,314030000,94130000,408160000,368000,-1814000,368000,1814000,322091000,2893000,4600000,3563000,-155936000,-7593000,1814000,-148343000,-152256000,-154122000,-153009000,-148343000,USD,2690504000,2257429000,2011323000,2011323000,37285000,156932000,433075000,29541000,88399000,None,None,None,None,None,None,51889000,106921000,1167954000,603823000,16358000,771923000,None,29079000,482618000,258879000,397977000,None,197977000,397977000,158546000,4316000,1522550000,0,-4965354000,1792000,1792139544,USD,-18288000,59852000,None,-94715000,12682000,3563000,4761000,-4247000,-59263000,-148343000,-4945000,219109000,None,0,None,None,469789000,469789000,None,-743160000,None,None,219356000,None,195876000,None,-148343000
6,2021Q1,27.597868852459015,28.7997131147541,26.240918032786883,27.425245901639347,85552739.01639344,0.06,0.02,0.04,200,USD,267123000,341234000,74111000,74111000,-114014000,282666000,98471000,381137000,376000,-1840000,376000,1840000,341234000,-4894000,3200000,3237000,-120372000,3102000,1840000,-123474000,-119864000,-118532000,-110777000,-123474000,USD,3014185000,2589698000,2339437000,2339437000,37106000,151400000,424487000,27378000,91570000,None,None,None,None,None,None,61755000,111845000,1208242000,667626000,17234000,783896000,None,32110000,469848000,254539000,198185000,None,198185000,198185000,181603000,4236000,1805943000,None,-5088828000,1860000,1860607000,USD,116881000,1662000,None,65361000,10138000,3237000,708000,-4480000,22735000,-123474000,-708000,206354000,None,0,None,None,None,None,None,0,None,None,208860000,None,322527000,None,-123474000
7,2021Q2,23.07984126984127,23.646085714285714,22.537065079365078,23.127301587301588,57942744.20634921,0.04,0.04,0,0,USD,284716000,375642000,90926000,90926000,-146148000,320340000,110524000,430864000,372000,-590000,372000,590000,375642000,2125000,3100000,4762000,-144280000,-5700000,590000,-138580000,-139380000,-143690000,-141386000,-138580000,USD,3075668000,2662552000,2341156000,2341156000,36750000,242998000,413116000,24824000,89943000,None,None,None,None,None,None,41648000,117135000,1006705000,682586000,30914000,790529000,None,33162000,261387000,249792000,None,None,None,249792000,166252000,4239000,2068963000,None,-5227408000,1937000,1936578000,USD,22750000,719000,None,-13034000,70497000,4762000,697000,88363000,-26212000,-138580000,-697000,-31410000,None,0,None,None,None,None,None,0,None,None,167828000,None,-135480000,None,-138580000
8,2021Q3,24.4303125,24.9235765625,23.8998234375,24.39015625,44525453.328125,0.04,0.04,0,0,USD,305342000,392146000,86804000,86804000,-91941000,302967000,94316000,397283000,379000,-609000,379000,609000,392146000,-8528000,3100000,3058000,-100737000,1400000,609000,-102137000,-103897000,-100128000,-88883000,-102137000,USD,3224327000,2811490000,2335068000,2483145000,41316000,174405000,412837000,28778000,92214000,None,None,None,148077000,None,148077000,112624000,116422000,976271000,681509000,17654000,745123000,None,43581000,252028000,263227000,None,None,None,263227000,179467000,5659000,2248056000,None,-5329545000,1991000,1991118000,USD,100793000,393000,None,-45802000,-49196000,3058000,5378000,-68471000,-13742000,-102137000,-214634000,99338000,None,0,None,None,None,None,None,0,None,None,97995000,None,-99037000,None,-102137000
9,2021Q4,22.17265625,22.56481875,21.6725515625,22.08421875,37745819.9375,0.04,0.04,0,0,USD,345304000,432867000,87563000,87563000,-58943000,320071000,84176000,404247000,480000,-601000,480000,601000,432867000,-64118000,3500000,3840000,-123182000,33006000,601000,-156188000,-156842000,-122581000,-55103000,-156188000,USD,3247450000,2863250000,2290674000,2524827000,36628000,190923000,384200000,31304000,69930000,5705000,3836000,1869000,234153000,None,234153000,110872000,96386000,956420000,660061000,74907000,731333000,None,39927000,262660000,260073000,None,None,0,260073000,155806000,2297000,2291030000,None,-5485733000,2027000,2027474000,USD,93427000,49228000,None,-41642000,18072000,3840000,5844000,19825000,-17151000,-156188000,-181873000,32465000,None,0,None,None,None,None,None,0,None,None,0,None,-55981000,None,-156188000
10,2022Q1,13.365887096774193,13.800748387096773,12.927725806451614,13.338064516129032,54399872.38709678,0.02,0.04,-0.02,-50,USD,351954000,446357000,94403000,94403000,-39439000,302792000,88601000,391393000,547000,-594000,547000,594000,446357000,-59870000,3900000,4312000,-99356000,2023000,594000,-101379000,-103074000,-98762000,-35127000,-101379000,USD,3319179000,2927374000,2269411000,2521974000,None,256554000,391805000,41866000,69745000,None,None,None,252563000,None,252563000,148846000,95829000,954433000,669104000,27454000,758665000,None,40045000,263053000,267662000,None,None,None,267662000,150176000,2192000,2364746000,None,-5587112000,2046000,2045876000,USD,35477000,2000,None,7009000,67296000,4312000,15215000,65867000,None,-101379000,-96468000,27241000,None,0,None,None,None,None,None,0,None,None,27225000,None,-33750000,None,-101379000
11,2022Q2,9.904112903225805,10.216070967741935,9.58605322580645,9.884677419354839,41917782.79032258,0.02,0.04,-0.02,-50,USD,370786000,473010000,102224000,102224000,-41745000,324360000,88171000,412531000,1472000,-670000,1472000,670000,473010000,-135798000,4500000,4895000,-176741000,2588000,670000,-179341000,-181959000,-176071000,-36850000,-179329000,USD,3282338000,2902439000,2358393000,2457603000,None,265826000,379899000,47644000,71385000,None,None,None,99210000,None,99210000,179010000,92198000,933514000,665742000,56798000,683584000,None,40909000,252360000,256968000,None,None,None,256968000,187568000,2158000,2348824000,None,-5766441000,2063000,2062741000,USD,62431000,3000,None,-17572000,36707000,4895000,5458000,9872000,None,-179329000,5304000,20607000,None,0,None,None,None,None,None,0,None,None,20316000,None,88342000,None,-179329000
12,2022Q3,8.86265625,9.111340625,8.661296875,8.8928125,37101868.8125,-0.01,0.03,-0.04,-133.3333,USD,370269000,477880000,107611000,107611000,-62191000,331597000,100863000,432460000,5540000,-1082000,5540000,1082000,436580000,-65046000,5500000,5942000,-122779000,1096000,1082000,-123875000,-127036000,-121697000,-56249000,-123875000,USD,3318835000,2946610000,2411290000,2468632000,None,343300000,372225000,57822000,74677000,None,None,None,57342000,None,57342000,134714000,94142000,932220000,688350000,59507000,681954000,None,40233000,238337000,245136000,None,None,None,245136000,164697000,2051000,2386615000,None,-5890316000,2080000,2079664000,USD,47066000,0,None,38638000,45878000,5942000,14436000,78852000,None,-123875000,-27344000,23991000,None,0,None,None,None,None,None,0,None,None,24567000,None,43713000,None,-123875000
13,2022Q4,7.591587301587301,7.772101587301587,7.386277777777778,7.580158730158731,33417973.76190476,0.01,0.02,-0.01,-50,USD,404313000,508624000,104311000,104311000,-17826000,340095000,82044000,422139000,12750000,-1712000,12750000,1712000,463424000,44637000,5600000,7373000,35245000,4367000,1712000,33482000,35380000,36957000,-10453000,30878000,USD,3461239000,3041577000,2598540000,2633675000,16244000,258346000,493139000,69170000,82412000,73477000,35539000,37938000,35135000,None,35135000,133312000,150252000,818802000,587941000,44788000,532515000,None,45099000,226925000,249404000,None,None,None,249404000,172715000,12655000,2565326000,None,-5859438000,2099000,2099075000,USD,78763000,53772000,None,-101951000,-52398000,7373000,4918000,-77072000,None,33489000,73081000,14157000,None,0,None,None,None,None,None,0,None,None,0,None,166001000,None,30878000
