,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
53,2009Q3,49.98125,50.279046875,49.6227734375,49.9421875,17015534.375,0.88,0.85,0.03,3.5294,pre-market,USD,25820000000,100876000000,75056000000,75153000000,5929000000,19891000000,None,20390000000,42000000,-473000000,42000000,515000000,None,None,None,1757000000,5342000000,1870000000,515000000,3479000000,6532000000,5929000000,7614000000,3472000000,USD,168609000000,48692000000,7997000000,7997000000,33365000000,3684000000,117093000000,97363000000,35707000000,16149000000,16149000000,16149000000,None,None,None,147000000,3581000000,101914000000,57176000000,28797000000,None,8417000000,1122000000,36825000000,3246000000,33579000000,6959000000,33579000000,45242000000,41000000,None,66695000000,-68822000000,62840000000,4173000000,3891000000,USD,6324000000,None,None,None,None,1757000000,3137000000,None,1241000000,3579000000,-3065000000,-1931000000,-388000000,1906000000,None,None,1062000000,1062000000,None,None,None,None,-1906000000,None,1419000000,91000000,3472000000
54,2009Q4,52.333828125000004,52.644984375,51.99631875,52.3509375,14761075.0,0.84,0.81,0.03,3.7037,pre-market,USD,25458000000,99373000000,73915000000,73805000000,5442000000,20016000000,None,20523000000,35000000,-475000000,35000000,510000000,None,None,None,1798000000,4846000000,1702000000,510000000,3151000000,2906000000,5442000000,7154000000,3144000000,USD,172502000000,51516000000,6003000000,6003000000,38129000000,3776000000,118201000000,98436000000,36716000000,16162000000,16162000000,16162000000,None,None,None,145000000,3603000000,105222000000,59155000000,30920000000,None,9752000000,5239000000,37601000000,3207000000,34394000000,4169000000,34394000000,47353000000,38000000,None,67280000000,-69642000000,63697000000,4134000000,3851000000,USD,2545000000,None,None,1760000000,4844000000,1798000000,3141000000,35000000,4809000000,3258000000,-2913000000,-1492000000,4129000000,2313000000,2313000000,None,1050000000,1050000000,None,None,2509000000,None,-2313000000,None,-1994000000,-134000000,3144000000
55,2010Q1,54.079011475409835,54.41687540983607,53.75254426229508,54.101639344262296,13784604.918032788,1.17,1.12,0.05,4.4643,pre-market,USD,28544000000,113622000000,85078000000,85311000000,7458000000,21424000000,None,23506000000,53000000,-469000000,53000000,522000000,None,None,None,1902000000,6757000000,1999000000,522000000,4815000000,5239000000,7458000000,9181000000,4758000000,USD,170407000000,48032000000,7907000000,7907000000,32713000000,4144000000,119612000000,99544000000,38304000000,16126000000,16126000000,16126000000,None,None,None,140000000,3942000000,99939000000,55543000000,30451000000,532000000,4919000000,523000000,36401000000,3170000000,37281000000,4050000000,33231000000,37804000000,92000000,None,70468000000,-72929000000,66357000000,378000000,3786000000,USD,13809000000,None,None,2628000000,-4843000000,1902000000,3299000000,837000000,-5680000000,4933000000,-2959000000,-9265000000,-4508000000,2171000000,2171000000,None,1038000000,1038000000,None,None,81000000,None,-2171000000,None,1904000000,319000000,4758000000
56,2010Q2,52.56650793650794,52.92309523809524,52.135466666666666,52.46420634920635,16793993.65079365,0.88,0.85,0.03,3.5294,pre-market,USD,25193000000,99811000000,74618000000,74703000000,5737000000,19456000000,None,21759000000,51000000,-471000000,51000000,522000000,None,None,None,1864000000,5123000000,1822000000,522000000,3301000000,3155000000,5737000000,7509000000,3301000000,USD,174043000000,51346000000,8516000000,8516000000,35021000000,4235000000,119978000000,100209000000,39602000000,15966000000,15966000000,15859000000,None,None,None,129000000,3910000000,108020000000,64490000000,31372000000,None,11177000000,4812000000,35780000000,3112000000,32668000000,6012000000,32668000000,46957000000,74000000,None,66023000000,-68602000000,62180000000,4059000000,3765000000,USD,973000000,None,None,-1342000000,2327000000,1864000000,2563000000,97000000,2230000000,3444000000,-2236000000,1836000000,4299000000,2967000000,2967000000,None,1136000000,1136000000,None,None,1971000000,None,-2967000000,None,609000000,36000000,3301000000
57,2010Q3,51.2446875,51.6413671875,50.9402359375,51.32234375,12018498.4375,0.97,0.96,0.01,1.0417,pre-market,USD,26288000000,103726000000,77438000000,77523000000,6190000000,20098000000,None,20555000000,57000000,-485000000,57000000,542000000,None,None,None,1884000000,5554000000,1958000000,542000000,3596000000,2713000000,6190000000,7980000000,3596000000,USD,176944000000,53045000000,10195000000,10195000000,34793000000,4531000000,121196000000,101111000000,41012000000,15993000000,15993000000,15993000000,None,None,None,131000000,4092000000,112298000000,65655000000,33953000000,None,10531000000,4639000000,38702000000,3073000000,41175000000,5546000000,35629000000,45814000000,75000000,None,64646000000,None,61746000000,3999000000,3696000000,USD,9046000000,None,None,3094000000,183000000,1884000000,2991000000,327000000,-144000000,3747000000,-3345000000,-3881000000,-179000000,4145000000,4145000000,None,1124000000,1124000000,None,None,4462000000,None,-4145000000,None,1679000000,-141000000,3596000000
58,2010Q4,54.16203125,54.455546875,53.8695375,54.163906250000004,10881712.5,0.9,0.9,0,0,pre-market,USD,26133000000,101952000000,75819000000,75906000000,5611000000,20522000000,None,21004000000,53000000,-516000000,53000000,569000000,None,None,None,1887000000,4941000000,1505000000,569000000,3436000000,4640000000,5611000000,7397000000,3436000000,USD,186890000000,59568000000,10616000000,10616000000,41059000000,4374000000,124592000000,103812000000,41857000000,16586000000,16586000000,16586000000,None,None,None,137000000,4194000000,121365000000,68407000000,36208000000,None,12895000000,7352000000,43899000000,3096000000,45999000000,5196000000,40803000000,53351000000,77000000,None,65525000000,None,61451000000,3969000000,3617000000,USD,2246000000,None,None,1332000000,5576000000,1887000000,3765000000,-334000000,5910000000,3590000000,-3708000000,1715000000,2700000000,3860000000,3860000000,None,1101000000,1101000000,None,None,4950000000,None,-3860000000,None,421000000,168000000,3436000000
59,2011Q1,53.98177419354838,54.3239435483871,53.61105,53.986451612903224,13173274.193548387,1.34,1.31,0.03,2.2901,pre-market,USD,29289000000,116360000000,87071000000,87158000000,8004000000,21285000000,None,26096000000,40000000,-532000000,40000000,572000000,None,None,None,2006000000,8350000000,2294000000,572000000,5022000000,6597000000,8004000000,10928000000,6056000000,USD,180782000000,52012000000,7395000000,7395000000,36437000000,5089000000,125990000000,105098000000,43486000000,16763000000,16763000000,16763000000,None,None,None,3091000000,4129000000,112240000000,58603000000,33676000000,542000000,6022000000,1031000000,43842000000,3150000000,45347000000,4655000000,40692000000,46378000000,47000000,None,68542000000,None,63967000000,352000000,3516000000,USD,11378000000,None,None,-960000000,-4267000000,2006000000,3380000000,643000000,-4910000000,6212000000,-2904000000,-11698000000,-6317000000,3804000000,3804000000,None,1076000000,1076000000,None,None,13000000,None,-3599000000,None,-3221000000,3000000,6056000000
60,2011Q2,53.88111111111111,54.244168253968255,53.59937142857143,53.91238095238095,10169072.80952381,0.98,0.95,0.03,3.1579,pre-market,USD,26012000000,104189000000,78177000000,78177000000,5896000000,20116000000,None,22663000000,44000000,-518000000,44000000,562000000,None,None,None,1985000000,5199000000,1800000000,562000000,3427000000,3631000000,5896000000,7746000000,3399000000,USD,186225000000,56118000000,9400000000,9400000000,38495000000,4785000000,127256000000,106293000000,45473000000,16895000000,16895000000,16895000000,None,None,None,3438000000,4068000000,121219000000,62211000000,34481000000,None,6969000000,3451000000,48697000000,3211000000,48659000000,3173000000,45486000000,52110000000,44000000,None,65006000000,None,60330000000,348000000,3497000000,USD,1974000000,None,None,-2008000000,1372000000,1985000000,2389000000,-341000000,1713000000,3550000000,-1869000000,1666000000,2428000000,2129000000,2129000000,None,1274000000,1274000000,None,None,4921000000,None,-2129000000,None,2005000000,234000000,3399000000
61,2011Q3,52.328125,52.7888671875,51.916134375,52.33578125,14039017.1875,1.09,1.08,0.01,0.9259,pre-market,USD,27596000000,109366000000,81770000000,81770000000,6383000000,21213000000,None,21813000000,22000000,-578000000,22000000,600000000,None,None,None,2042000000,5669000000,1868000000,600000000,3801000000,4209000000,6383000000,8311000000,3801000000,USD,193872000000,55630000000,8102000000,8102000000,38867000000,5265000000,135381000000,108729000000,45256000000,21532000000,21532000000,21532000000,None,None,None,3396000000,5120000000,125931000000,64840000000,34917000000,None,8626000000,6435000000,48452000000,3214000000,47025000000,1787000000,45238000000,53460000000,28000000,None,67941000000,None,62779000000,346000000,3472000000,USD,7734000000,None,None,488000000,-782000000,2042000000,3282000000,22000000,-804000000,3937000000,-7023000000,-1872000000,2908000000,1411000000,1411000000,None,1267000000,1267000000,None,None,28000000,None,-1411000000,None,-1298000000,-137000000,3801000000
62,2011Q4,57.08111111111111,57.570007936507935,56.77123650793651,57.205396825396825,10865725.396825397,0.97,0.98,-0.01,-1.0204,pre-market,USD,27635000000,110226000000,82591000000,82591000000,5878000000,21757000000,None,22357000000,65000000,-535000000,65000000,600000000,None,None,None,2040000000,5178000000,1842000000,600000000,3344000000,675000000,5878000000,7818000000,3336000000,USD,195244000000,59476000000,7063000000,7063000000,44340000000,4757000000,133105000000,107729000000,43909000000,20409000000,20409000000,20409000000,None,None,None,3316000000,4967000000,128081000000,67544000000,37555000000,None,11385000000,9594000000,47851000000,2979000000,46342000000,1470000000,44872000000,55936000000,27000000,None,67163000000,None,64769000000,344000000,3445000000,USD,3206000000,None,None,2756000000,6182000000,2040000000,3872000000,-180000000,6362000000,3493000000,-3922000000,-78000000,3222000000,1417000000,1417000000,None,1259000000,1259000000,None,None,59000000,None,-1417000000,None,-1039000000,-245000000,3336000000
