,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,2.02,1.93,0.09,4.6632,2024Q1
1,1.46,1.39,0.07,5.036,2023Q4
2,1.26,1.19,0.07,5.8824,2023Q3
3,1.52,1.43,0.09,6.2937,2023Q2
4,1.88,1.94,-0.06,-3.0928,2023Q1
5,1.29,1.27,0.02,1.5748,2022Q4
6,1.2,1.16,0.04,3.4483,2022Q3
7,1.52,1.43,0.09,6.2937,2022Q2
8,2.1,1.89,0.21,11.1111,2022Q1
9,1.24,1.24,0,0,2021Q4
10,1.3,1.01,0.29,28.7129,2021Q3
11,1.4,0.99,0.41,41.4141,2021Q2
12,1.68,1.41,0.27,19.1489,2021Q1
13,0.73,0.7,0.03,4.2857,2020Q4
14,0.65,0.51,0.14,27.451,2020Q3
15,0.64,0.56,0.08,14.2857,2020Q2
16,1.25,1.14,0.11,9.6491,2020Q1
17,0.76,0.71,0.05,7.0423,2019Q4
18,0.55,0.53,0.02,3.7736,2019Q3
19,0.62,0.59,0.03,5.0847,2019Q2
20,1.05,1.04,0.01,0.9615,2019Q1
21,0.73,0.7,0.03,4.2857,2018Q4
22,0.585,0.545,0.04,7.3394,2018Q3
23,0.6825,0.6725,0.01,1.487,2018Q2
24,0.9725,0.965,0.0075,0.7772,2018Q1
25,0.5175,0.4675,0.05,10.6952,2017Q4
26,0.4175,0.3925,0.025,6.3694,2017Q3
27,0.525,0.505,0.02,3.9604,2017Q2
28,0.84,0.8025,0.0375,4.6729,2017Q1
29,0.4175,0.415,0.0025,0.6024,2016Q4
30,0.355,0.345,0.01,2.8986,2016Q3
31,0.475,0.5,-0.025,-5,2016Q2
32,0.82,0.8075,0.0125,1.548,2016Q1
33,0.49,0.47,0.02,4.2553,2015Q4
34,0.4625,0.4525,0.01,2.2099,2015Q3
35,0.5825,0.54,0.0425,7.8704,2015Q2
36,0.765,0.65,0.115,17.6923,2015Q1
37,0.355,0.3275,0.0275,8.3969,2014Q4
38,0.32,0.3075,0.0125,4.065,2014Q3
39,0.415,0.365,0.05,13.6986,2014Q2
40,0.5175,0.5025,0.015,2.9851,2014Q1
41,0.295,0.285,0.01,3.5088,2013Q4
42,0.2675,0.2625,0.005,1.9048,2013Q3
43,0.36,0.3575,0.0025,0.6993,2013Q2
44,0.4925,0.48,0.0125,2.6042,2013Q1
45,0.31,0.3125,-0.0025,-0.8,2012Q4
46,0.3325,0.37,-0.0375,-10.1351,2012Q3
47,0.44,0.3575,0.0825,23.0769,2012Q2
48,0.495,0.3625,0.1325,36.5517,2012Q1
49,0.2525,0.265,-0.0125,-4.717,2011Q4
50,0.2775,0.2075,0.07,33.7349,2011Q3
51,0.2275,0.1925,0.035,18.1818,2011Q2
52,0.23,0.1925,0.0375,19.4805,2011Q1
53,0.165,0.145,0.02,13.7931,2010Q4
54,0.125,0.11,0.015,13.6364,2010Q3
55,0.12,0.0875,0.0325,37.1429,2010Q2
56,0.13,0.075,0.055,73.3333,2010Q1
57,0.065,0.05,0.015,30,2009Q4
58,0.0475,0.0425,0.005,11.7647,2009Q3
59,0.0475,0.04,0.0075,18.75,2009Q2
60,0.0625,0.05,0.0125,25,2009Q1
61,0.045,0.04,0.005,12.5,2008Q4
62,0.0425,0.0375,0.005,13.3333,2008Q3
63,0.0425,0.0375,0.005,13.3333,2008Q2
64,0.06,0.06,0,0,2008Q1
65,0.04,0.03,0.01,33.3333,2007Q4
66,0.03,0.03,0,0,2007Q3
67,0.03,0.02,0.01,50,2007Q2
68,0.04,0.03,0.01,33.3333,2007Q1
69,0.02,0.02,0,0,2006Q4
70,0.02,0.02,0,0,2006Q3
71,0.02,0.02,0,0,2006Q2
72,0.02,0.02,0,0,2006Q1
73,0.01,0.01,0,0,2005Q4
74,0.01,0.01,0,0,2005Q3
75,0.01,0.01,0,0,2005Q2
76,0.01,0.01,0,0,2005Q1
77,0.02,0.01,0.01,100,2004Q4
78,0.01,0.01,0,0,2004Q3
79,0.01,0.01,0,0,2004Q2
80,0.01,0.01,0,0,2004Q1
81,0.01,None,None,None,2003Q4
82,0.0009,None,None,None,2003Q3
83,0.0007,None,None,None,2003Q2
84,-0.0004,None,None,None,2003Q1
85,-0.0022,None,None,None,2002Q4
86,0.01,0.01,0,0,2002Q3
87,0.002,None,None,None,2002Q2
88,0.01,0.01,0,0,2002Q1
89,0.0034,None,None,None,2001Q4
90,0.003,None,None,None,2001Q3
91,0.01,None,None,None,2001Q2
92,-0.0097,None,None,None,2000Q4
93,0.01,0.01,0,0,2000Q4
94,0.01,0.01,0,0,2000Q3
95,0.01,0.01,0,0,2000Q2
96,0.01,0.01,0,0,2000Q1
97,0.02,0.02,0,0,1999Q4
98,0.01,0.01,0,0,1999Q3
99,0.01,0.01,0,0,1999Q2
100,0.01,0.01,0,0,1999Q1
101,0.01,0.02,-0.01,-50,1998Q4
102,0.01,0.01,0,0,1998Q3
103,0.01,0.01,0,0,1998Q2
104,0.01,0.01,0,0,1998Q1
105,-0.0114,None,None,None,1997Q4
106,-0.02,-0.02,0,0,1997Q3
107,-0.05,-0.04,-0.01,-25,1997Q2
108,-0.03,-0.02,-0.01,-50,1997Q1
109,0.0018,-0.01,0.0118,118,1996Q4
110,-0.02,-0.04,0.02,50,1996Q3
111,-0.07,-0.05,-0.02,-40,1996Q2
