,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,Quarter
0,1.26,1.03,0.23,22.3301,post-market,2024Q3
1,0.98,0.82,0.16,19.5122,post-market,2024Q2
2,1,0.8,0.2,25,post-market,2024Q1
3,0.94,0.58,0.36,62.069,post-market,2023Q4
4,0.65,0.35,0.3,85.7143,post-market,2023Q3
5,0.31,0.21,0.1,47.619,post-market,2023Q2
6,0.25,0.18,0.07,38.8889,post-market,2023Q1
7,0.17,0.22,-0.05,-22.7273,post-market,2022Q4
8,0.18,0.14,0.04,28.5714,post-market,2022Q3
9,0.37,0.42,-0.05,-11.9048,post-market,2022Q2
10,0.29,0.18,0.11,61.1111,post-market,2022Q1
11,0.31,0.45,-0.14,-31.1111,post-market,2021Q4
12,0.76,0.62,0.14,22.5806,post-market,2021Q3
13,0.79,0.48,0.31,64.5833,post-market,2021Q2
14,0.7,0.36,0.34,94.4444,post-market,2021Q1
15,0.62,0.37,0.25,67.5676,post-market,2020Q4
16,0.52,0.07,0.45,642.8571,post-market,2020Q3
17,0.25,0.31,-0.06,-19.3548,post-market,2020Q2
18,0.32,0.2,0.12,60,post-market,2020Q1
19,0.21,0.23,-0.02,-8.6957,post-market,2019Q4
20,0.26,0.28,-0.02,-7.1429,post-market,2019Q3
21,0.35,0.24,0.11,45.8333,post-market,2019Q2
22,0.3,0.28,0.02,7.1429,post-market,2019Q1
23,0.29,0.16,0.13,81.25,post-market,2018Q4
24,0.25,0.13,0.12,92.3077,post-market,2018Q3
25,0.16,0.06,0.1,166.6667,post-market,2018Q2
26,0.11,0.09,0.02,22.2222,post-market,2018Q1
27,0.03,0.03,0,0,post-market,2017Q4
28,0.02,0.07,-0.05,-71.4286,post-market,2017Q3
29,0.07,0.05,0.02,40,post-market,2017Q2
30,0.08,0.07,0.01,14.2857,post-market,2017Q1
31,0.03,0.04,-0.01,-25,post-market,2016Q4
32,0.09,0.06,0.03,50,post-market,2016Q3
33,0.05,0.03,0.02,66.6667,post-market,2016Q2
34,0.05,0.08,-0.03,-37.5,post-market,2016Q1
35,0.01,-0.01,0.02,200,post-market,2015Q4
36,0.01,-0.01,0.02,200,post-market,2015Q3
37,-0.01,-0.01,0,0,post-market,2015Q2
38,0.02,0.01,0.01,100,post-market,2015Q1
39,-0.05,-0.04,-0.01,-25,post-market,2014Q4
40,-0.01,-0.01,0,0,pre-market,2014Q3
41,0.01,0.01,0,0,pre-market,2014Q2
42,0.03,0.03,0,0,pre-market,2014Q1
43,-0.09,-0.09,0,0,pre-market,2013Q4
44,-0.02,0.05,-0.07,-140,pre-market,2013Q3
45,0.01,0.08,-0.07,-87.5,pre-market,2013Q2
46,0.01,0.01,0,0,pre-market,2013Q1
47,-0.01,-0.08,0.07,87.5,pre-market,2012Q4
48,0.01,0.02,-0.01,-50,pre-market,2012Q3
49,0.01,0.07,-0.06,-85.7143,pre-market,2012Q2
50,0.02,0.01,0.01,100,pre-market,2012Q1
51,0.01,0.01,0,0,pre-market,2011Q4
52,0.02,0.02,0,0,pre-market,2011Q3
53,0.02,0.03,-0.01,-33.3333,pre-market,2011Q2
54,0.05,0.04,0.01,25,pre-market,2011Q1
55,0.03,0.02,0.01,50,pre-market,2010Q4
56,0.02,0.03,-0.01,-33.3333,pre-market,2010Q3
57,0.03,0.03,0,0,pre-market,2010Q2
58,0.04,0.04,0,0,pre-market,2010Q1
59,0.02,0.02,0,0,pre-market,2009Q4
60,0.02,0.02,0,0,pre-market,2009Q3
61,0.02,0.02,0,0,pre-market,2009Q2
62,0.03,0.02,0.01,50,pre-market,2009Q1
63,0.01,0.01,0,0,pre-market,2008Q4
64,0.02,0.01,0.01,100,pre-market,2008Q3
65,0.02,0.02,0,0,pre-market,2008Q2
66,0.02,0.02,0,0,pre-market,2008Q1
67,0.01,0.01,0,0,pre-market,2007Q4
68,0.01,0.01,0,0,pre-market,2007Q3
69,0.01,0.01,0,0,pre-market,2007Q2
70,0.01,0.01,0,0,pre-market,2007Q1
71,0.05,0.03,0.02,66.6667,pre-market,2006Q4
72,0.05,0.06,-0.01,-16.6667,pre-market,2006Q3
73,0.01,0.01,0,0,pre-market,2006Q2
74,0.02,0.01,0.01,100,pre-market,2006Q1
75,0.07,0.1,-0.03,-30,pre-market,2005Q4
76,0.01,0.01,0,0,pre-market,2005Q3
77,0.01,0.01,0,0,pre-market,2005Q2
78,0.02,0.02,0,0,pre-market,2005Q1
79,0.01,0.01,0,0,pre-market,2004Q4
80,0.01,0.01,0,0,pre-market,2004Q3
81,0.01,0.01,0,0,pre-market,2004Q2
82,0.01,0.01,0,0,pre-market,2004Q1
83,0.01,0.1,-0.09,-90,pre-market,2003Q4
84,0.01,0.06,-0.05,-83.3333,pre-market,2003Q3
85,0.01,0.04,-0.03,-75,pre-market,2003Q2
86,0.01,0.01,0,0,pre-market,2003Q1
87,-0.0924,-0.04,-0.0524,-131,pre-market,2002Q4
88,-0.01,-0.06,0.05,83.3333,pre-market,2002Q3
89,-0.01,-0.09,0.08,88.8889,pre-market,2002Q2
90,0.09,-0.07,0.16,228.5714,pre-market,2002Q1
91,-0.01,-0.01,0,0,pre-market,2001Q4
92,-0.01,-0.01,0,0,pre-market,2001Q3
93,-0.01,-0.01,0,0,pre-market,2001Q2
94,-0.01,-0.01,0,0,pre-market,2001Q1
95,-0.01,-0.01,0,0,pre-market,2000Q4
96,-0.02,-0.02,0,0,pre-market,2000Q3
97,-0.02,-0.02,0,0,pre-market,2000Q2
98,-0.03,-0.02,-0.01,-50,pre-market,2000Q1
99,-0.01,-0.01,0,0,pre-market,1999Q4
100,-0.01,-0.01,0,0,pre-market,1999Q3
101,-0.01,-0.01,0,0,pre-market,1999Q2
102,-0.07,-0.09,0.02,22.2222,pre-market,1999Q1
103,-0.08,-0.1,0.02,20,pre-market,1998Q4
104,-0.07,-0.07,0,0,pre-market,1998Q3
105,-0.03,-0.04,0.01,25,pre-market,1998Q2
106,-0.03,-0.04,0.01,25,pre-market,1998Q1
107,-0.03,-0.03,0,0,pre-market,1997Q4
108,-0.02,-0.03,0.01,33.3333,pre-market,1997Q3
