,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,1998000000,235000000,None,-916000000,-1125000000,38000000,124000000,-21000000,None,1489000000,-186000000,-503000000,None,384000000,384000000,None,743000000,2292000000,None,None,None,None,-340000000,None,None,None,1375000000,2023Q4
1,USD,1576000000,43000000,None,-1027000000,-832000000,39000000,78000000,135000000,-43000000,1595000000,-270000000,-735000000,0,396000000,396000000,None,748000000,748000000,None,0,0,None,-372000000,None,None,None,1604000000,2023Q3
2,USD,985000000,46000000,None,1418000000,1833000000,37000000,61000000,202000000,19000000,1423000000,-281000000,440000000,0,383000000,383000000,None,748000000,748000000,None,0,0,None,-383000000,None,None,None,1366000000,2023Q2
3,USD,-394000000,76000000,None,874000000,964000000,80000000,81000000,270000000,None,1169000000,-222000000,-1194000000,0,721000000,721000000,None,796000000,796000000,None,0,0,None,-694000000,None,-1810000000,None,1157000000,2023Q1
4,USD,1973000000,217000000,None,-2638000000,-2248000000,79000000,134000000,-162000000,None,1307000000,-416000000,-1126000000,0,505000000,505000000,None,731000000,731000000,None,0,0,None,-494000000,None,431000000,None,1259000000,2022Q4
5,USD,1760000000,40000000,None,1190000000,909000000,38000000,136000000,-38000000,None,1361000000,-214000000,-1044000000,0,384000000,384000000,None,736000000,736000000,None,0,0,None,-384000000,None,502000000,None,1406000000,2022Q3
6,USD,1645000000,41000000,None,-2291000000,-2324000000,38000000,116000000,-243000000,None,963000000,-302000000,-1921000000,0,507000000,507000000,None,737000000,737000000,None,0,0,None,-507000000,None,-578000000,None,1077000000,2022Q2
7,USD,-422000000,41000000,None,3107000000,3217000000,78000000,147000000,27000000,-48000000,1363000000,-198000000,-1351000000,0,936000000,936000000,None,786000000,786000000,None,0,0,None,-936000000,None,-1971000000,None,1436000000,2022Q1
8,USD,1917000000,156000000,None,-690000000,-1532000000,38000000,126000000,-205000000,450000000,1632000000,-358000000,408000000,0,303000000,303000000,None,627000000,627000000,None,0,0,None,-303000000,None,1967000000,None,1643000000,2021Q4
9,USD,1774000000,27000000,None,62000000,171000000,38000000,37000000,263000000,None,1753000000,-144000000,-629000000,0,309000000,309000000,None,629000000,629000000,None,0,0,None,-309000000,None,1753000000,None,1681000000,2021Q3
