,Quarter,1. open,2. high,3. low,4. close,5. volume
0,1999Q4,57737.20930232558,58379.06976744186,57090.6976744186,57653.604651162794,42372.09302325582
1,2000Q1,50155.555555555555,50999.206349206346,49248.4126984127,50095.31746031746,66968.25396825396
2,2000Q2,57487.30158730159,57984.920634920636,56949.206349206346,57497.619047619046,39480.95238095238
3,2000Q3,57603.968253968254,58210.39682539683,57080.95238095238,57812.93650793651,49317.46031746032
4,2000Q4,63592.857142857145,64324.68253968254,62943.25396825397,63748.80952380953,45492.06349206349
5,2001Q1,68351.6129032258,69020.16129032258,67570.96774193548,68263.70967741935,31951.612903225807
6,2001Q2,67288.73015873016,67803.80952380953,66847.61904761905,67319.68253968254,21761.904761904763
7,2001Q3,68281.35593220338,68776.44067796611,67936.44067796611,68445.42372881356,37796.61016949153
8,2001Q4,70835.9375,71475.0,70228.90625,70977.1875,38515.625
9,2002Q1,73025.0,73362.91666666667,72575.0,72976.66666666667,25650.0
10,2002Q2,73275.859375,73774.765625,72723.4375,73221.71875,35964.0625
11,2002Q3,70732.1875,71521.71875,70136.5625,70864.0625,38312.5
12,2002Q4,72316.71875,72887.578125,71814.140625,72365.390625,32890.625
13,2003Q1,66799.22950819672,67254.01639344262,66208.4262295082,66650.24590163934,38934.42622950819
14,2003Q2,72144.52380952382,72574.60317460318,71762.61904761905,72149.12698412698,40730.15873015873
15,2003Q3,74086.25,74353.125,73786.71875,74064.140625,41984.375
16,2003Q4,80326.4375,80643.5,80072.109375,80384.921875,25781.25
17,2004Q1,90650.8870967742,91038.20967741935,90244.51612903226,90665.19354838709,29032.25806451613
18,2004Q2,90528.70967741935,90904.19354838709,89943.79032258065,90343.03225806452,24483.870967741936
19,2004Q3,87196.953125,87485.328125,86838.28125,87224.140625,23156.25
20,2004Q4,85105.296875,85617.34375,84605.5,85217.0,38578.125
21,2005Q1,88923.70491803279,89425.4918032787,88479.83606557376,88978.24590163934,34524.59016393442
22,2005Q2,84349.0625,84812.875,83834.21875,84185.859375,45062.5
23,2005Q3,83456.953125,83821.9375,83117.34375,83461.875,36390.625
24,2005Q4,87442.38095238095,87771.12698412698,87153.88888888889,87497.46031746031,40365.079365079364
25,2006Q1,88823.95161290323,89122.17741935483,88621.29032258065,88900.48387096774,34000.0
26,2006Q2,90108.46031746031,90472.61904761905,89651.3492063492,90140.52380952382,48904.76190476191
27,2006Q3,93359.44444444444,93745.33333333333,93039.31746031746,93424.30158730158,33793.65079365079
28,2006Q4,105206.04761904762,105808.25396825396,104634.60317460318,105289.03174603175,40317.46031746032
29,2007Q1,108322.54098360655,108767.88524590163,107648.45901639345,108191.32786885246,36819.67213114754
30,2007Q2,109097.12698412698,109391.58730158731,108780.88888888889,109074.87301587302,39904.76190476191
31,2007Q3,114402.53968253969,114983.0,113875.14285714286,114539.68253968254,38968.25396825397
32,2007Q4,133674.6875,134678.65625,132529.40625,133770.609375,63953.125
33,2008Q1,135818.6393442623,137089.18032786885,133958.03278688525,135458.60655737706,66768.85245901639
34,2008Q2,128073.140625,128855.3125,126562.921875,127657.578125,70415.625
35,2008Q3,119299.21875,120700.40625,117340.25,119429.984375,100039.0625
36,2008Q4,106931.171875,109398.765625,103792.953125,106868.640625,168754.6875
37,2009Q1,86183.3606557377,87819.08196721312,84238.9344262295,86388.01639344262,133926.22950819673
38,2009Q2,90140.80952380953,91170.46031746031,89148.03174603175,90275.69841269842,86638.09523809524
39,2009Q3,97452.3125,98369.515625,96451.59375,97545.40625,81423.4375
40,2009Q4,100593.296875,101152.046875,99958.71875,100519.015625,99750.0
41,2010Q1,114026.3606557377,115274.19672131147,112925.5737704918,114071.59016393442,334878.68852459016
42,2010Q2,115105.57142857143,116326.31746031746,113926.66666666667,115220.30158730158,92755.55555555556
43,2010Q3,119506.375,120524.3125,118609.578125,119659.375,73968.75
44,2010Q4,121787.96875,122389.3125,120978.9375,121711.640625,58235.9375
45,2011Q1,125005.74193548386,125834.41935483871,124242.91935483871,125108.82258064517,52245.16129032258
46,2011Q2,118666.68253968254,119274.49206349206,117912.68253968254,118530.80952380953,46628.57142857143
47,2011Q3,108457.703125,109689.71875,107279.671875,108443.640625,68779.6875
48,2011Q4,113837.09523809524,114913.07936507936,112829.95238095238,114029.0,58328.57142857143
49,2012Q1,118941.43548387097,119523.40322580645,118318.43548387097,119086.74193548386,54977.41935483871
50,2012Q2,120905.49206349206,121644.96825396825,120351.60317460318,121127.71428571429,55476.19047619047
51,2012Q3,128052.22222222222,128736.93650793651,127522.50793650794,128269.31746031746,48357.142857142855
52,2012Q4,132315.03225806452,132938.5806451613,131521.16129032258,132181.11290322582,75456.45161290323
53,2013Q1,148596.56666666668,149435.95,147818.35,148744.2,54096.666666666664
54,2013Q2,165061.96875,165974.46875,163887.1875,165023.421875,49542.1875
