,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,265459000,109377000,None,3832000,48597000,85492000,171930000,44882000,-859000,2294361000,-152015000,-155280000,None,155044000,155044000,None,None,None,None,None,None,None,-155044000,None,None,None,282086000,2023Q4
1,USD,480472000,105416000,None,-139470000,27079000,78546000,131200000,10361000,4195000,313217000,-166302000,-216259000,None,215551000,215551000,None,None,None,None,None,None,None,-215551000,None,None,None,313217000,2023Q3
2,USD,582510000,104311000,None,-17613000,3649000,78771000,137232000,-4368000,1399000,341790000,-392143000,-95230000,None,95045000,95045000,None,None,None,None,None,None,None,-95045000,None,95137000,None,341790000,2023Q2
3,USD,455036000,102487000,None,-7609000,-29453000,76585000,120369000,-39659000,-1086000,291644000,-235549000,-193883000,None,126709000,126709000,None,None,None,None,None,None,None,-126709000,None,25604000,None,291644000,2023Q1
4,USD,401573000,147534000,None,48432000,49172000,74012000,143646000,36917000,1955000,1687688000,-183698000,-206669000,None,200365000,200365000,None,None,None,None,None,None,None,-200365000,None,11206000,None,223727000,2022Q4
5,USD,351918000,97627000,None,23408000,-3522000,71416000,139023000,-10538000,4376000,257138000,-397137000,-108332000,None,107865000,107865000,None,None,None,None,None,None,None,-107865000,None,-153551000,None,257138000,2022Q3
6,USD,286786000,94871000,None,-7911000,4545000,69733000,100333000,-1959000,-350000,259942000,-116131000,-264925000,None,258602000,258602000,None,None,None,None,None,None,None,-258602000,None,-94270000,None,259942000,2022Q2
7,USD,282902000,96841000,None,-36458000,-18152000,71665000,96162000,-10394000,-2970000,158294000,-133066000,-349478000,None,263308000,263308000,None,None,None,None,None,None,None,-263308000,None,-199642000,None,158294000,2022Q1
8,USD,438420000,-71716000,None,44039000,33356000,66262000,121906000,23569000,4396000,1106017000,-158900000,-182039000,None,165729000,165729000,None,None,None,None,None,None,None,-165729000,None,97481000,None,133475000,2021Q4
9,USD,280803000,90096000,None,36910000,18082000,63191000,108446000,15404000,3305000,204434000,-125029000,-102348000,None,97582000,97582000,None,None,None,None,None,None,None,-97582000,None,177529000,None,204434000,2021Q3
10,USD,256885000,89134000,None,-4533000,4855000,62082000,125504000,-5111000,839000,187974000,-121610000,-161959000,None,145922000,145922000,None,None,None,None,None,None,None,-145922000,None,160922000,None,187974000,2021Q2
11,USD,305973000,95717000,None,-13576000,-25381000,63122000,86619000,-32175000,-2148000,127101000,-116503000,-102260000,None,57229000,57229000,None,None,None,None,None,None,None,-57229000,None,87210000,None,127101000,2021Q1
12,USD,115124000,179196000,None,31978000,37481000,59956000,126594000,26223000,1008000,116886000,-169370000,-609000,None,0,0,None,None,None,None,None,None,None,0,None,116886000,None,190959000,2020Q4
13,USD,243790000,84008000,None,-20471000,7725000,60180000,81303000,-6635000,1415000,80244000,-187841000,-39000,None,0,0,None,None,None,None,None,None,None,0,None,56416000,None,80244000,2020Q3
14,USD,122862000,66595000,None,33934000,9607000,60024000,87802000,3369000,705000,8175000,-16144000,-2103000,None,0,0,None,None,None,None,None,None,None,0,None,1604000,None,8175000,2020Q2
15,USD,182071000,77889000,14000,-4964000,-19410000,58374000,77653000,-25967000,-2734000,76388000,-59362000,-102100000,None,54401000,54401000,None,None,None,None,None,None,None,-54401000,None,20609000,None,76388000,2020Q1
