,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,10.36,9.75,0.61,6.2564,2024Q1
1,11.36,10.55,0.81,7.6777,2023Q4
2,12.65,12.31,0.34,2.762,2023Q3
3,10.5,8.92,1.58,17.713,2023Q2
4,8.29,8.9,-0.61,-6.8539,2023Q1
5,9.51,9.21,0.3,3.2573,2022Q4
6,9.3,9.04,0.26,2.8761,2022Q3
7,5.7,5.64,0.06,1.0638,2022Q2
8,5.58,5.26,0.32,6.0837,2022Q1
9,7.02,6.32,0.7,11.0759,2021Q4
10,7.46,6.52,0.94,14.4172,2021Q3
11,5.36,4.89,0.47,9.6115,2021Q2
12,3.48,3.73,-0.25,-6.7024,2021Q1
13,3.76,3.47,0.29,8.3573,2020Q4
14,0.4,0.35,0.05,14.2857,2020Q3
15,3.08,2.91,0.17,5.8419,2020Q2
16,2.86,2.75,0.11,4,2020Q1
17,3.82,3.22,0.6,18.6335,2019Q4
18,3.99,3.76,0.23,6.117,2019Q3
19,3.4,3.01,0.39,12.9568,2019Q2
20,1.72,1.37,0.35,25.5474,2019Q1
21,2.16,2,0.16,8,2018Q4
22,2.87,2.8,0.07,2.5,2018Q3
23,2.13,1.57,0.56,35.6688,2018Q2
24,1.34,1.32,0.02,1.5152,2018Q1
25,0.69,1.63,-0.94,-57.6687,2017Q4
26,2.32,2.18,0.14,6.422,2017Q3
27,1.6,1.27,0.33,25.9843,2017Q2
28,0.55,0.57,-0.02,-3.5088,2017Q1
29,0.27,1.58,-1.31,-82.9114,2016Q4
30,0.87,0.93,-0.06,-6.4516,2016Q3
31,-0.88,-0.95,0.07,7.3684,2016Q2
32,2.17,1.85,0.32,17.2973,2016Q1
33,4.59,4.62,-0.03,-0.6494,2015Q4
34,4.45,4.44,0.01,0.2252,2015Q3
35,3.88,3.66,0.22,6.0109,2015Q2
36,3.84,3.79,0.05,1.3193,2015Q1
37,4.15,3.84,0.31,8.0729,2014Q4
38,3.5,3.09,0.41,13.2686,2014Q3
39,2.64,2.86,-0.22,-7.6923,2014Q2
40,2.53,2.53,0,0,2014Q1
41,2.66,2.78,-0.12,-4.3165,2013Q4
42,2.82,2.81,0.01,0.3559,2013Q3
43,2.35,2.13,0.22,10.3286,2013Q2
44,1.95,1.96,-0.01,-0.5102,2013Q1
45,2.27,2.3,-0.03,-1.3043,2012Q4
46,2.56,2.3,0.26,11.3043,2012Q3
47,1.97,1.93,0.04,2.0725,2012Q2
48,1.81,1.83,-0.02,-1.0929,2012Q1
49,1.9,1.85,0.05,2.7027,2011Q4
50,1.64,1.68,-0.04,-2.381,2011Q3
51,1.46,1.44,0.02,1.3889,2011Q2
52,1.47,1.29,0.18,13.9535,2011Q1
53,1.52,1.31,0.21,16.0305,2010Q4
54,1.46,1.39,0.07,5.036,2010Q3
55,1.19,0.95,0.24,25.2632,2010Q2
56,0.99,0.81,0.18,22.2222,2010Q1
57,1.08,0.88,0.2,22.7273,2009Q4
58,1.1,0.88,0.22,25,2009Q3
59,0.78,0.55,0.23,41.8182,2009Q2
60,0.52,0.49,0.03,6.1224,2009Q1
61,0.59,0.59,0,0,2008Q4
62,0.74,0.75,-0.01,-1.3333,2008Q3
63,0.52,0.48,0.04,8.3333,2008Q2
64,0.53,0.55,-0.02,-3.6364,2008Q1
65,0.62,0.53,0.09,16.9811,2007Q4
66,0.6,0.45,0.15,33.3333,2007Q3
67,0.38,0.32,0.06,18.75,2007Q2
68,0.33,0.28,0.05,17.8571,2007Q1
69,0.36,0.27,0.09,33.3333,2006Q4
70,0.33,0.25,0.08,32,2006Q3
71,0.26,0.12,0.14,116.6667,2006Q2
72,0.16,0.11,0.05,45.4545,2006Q1
