,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,3.58,3.42,0.16,4.6784,2023Q4
1,4.86,4.79,0.07,1.4614,2023Q3
2,2.93,3.3,-0.37,-11.2121,2023Q2
3,3.3,3.21,0.09,2.8037,2023Q1
4,3.1,3.11,-0.01,-0.3215,2022Q4
5,4.2,4.17,0.03,0.7194,2022Q3
6,3.04,3.03,0.01,0.33,2022Q2
7,2.92,2.74,0.18,6.5693,2022Q1
8,2.98,2.64,0.34,12.8788,2021Q4
9,3.9,3.57,0.33,9.2437,2021Q3
10,2.75,None,None,None,2021Q2
11,2.14,2.45,-0.31,-12.6531,2021Q1
12,2.3,2.05,0.25,12.1951,2020Q4
13,3.04,2.84,0.2,7.0423,2020Q3
14,2.1,2.06,0.04,1.9417,2020Q1
15,1.73,1.72,0.01,0.5814,2019Q4
16,2.69,2.54,0.15,5.9055,2019Q4
17,2.0468,None,None,None,2019Q2
18,2.01,1.69,0.32,18.9349,2019Q1
19,1.61,1.62,-0.01,-0.6173,2018Q4
20,2.36,2.36,0,0,2018Q4
21,1.6979,None,None,None,2018Q2
22,1.42,1.47,-0.05,-3.4014,2018Q1
23,1.36,1.34,0.02,1.4925,2017Q4
24,2.08,2.02,0.06,2.9703,2017Q4
25,1.17,1.36,-0.19,-13.9706,2017Q1
26,1.17,1.19,-0.02,-1.6807,2016Q4
27,1.77,1.73,0.04,2.3121,2016Q3
28,1.24,1.28,-0.04,-3.125,2016Q1
29,1.09,1.17,-0.08,-6.8376,2015Q4
30,1.73,1.66,0.07,4.2169,2015Q3
31,0,1.67,-1.67,-100,2015Q3
32,1.25,1.18,0.07,5.9322,2015Q1
33,1.12,1.09,0.03,2.7523,2014Q4
34,1.58,1.52,0.06,3.9474,2014Q4
35,0,1.09,-1.09,-100,2014Q3
36,1.05,1.17,-0.12,-10.2564,2014Q1
37,0.96,1.02,-0.06,-5.8824,2013Q4
38,1.4,1.46,-0.06,-4.1096,2013Q4
39,1.1,1.06,0.04,3.7736,2013Q1
40,0.95,0.93,0.02,2.1505,2012Q4
41,1.39,1.31,0.08,6.1069,2012Q4
42,0.88,0.87,0.01,1.1494,2012Q2
43,0.8,0.8,0,0,2011Q4
44,1.08,1.1,-0.02,-1.8182,2011Q4
45,0.79,0.79,0,0,2011Q1
46,0.71,0.69,0.02,2.8986,2010Q4
47,0.97,0.95,0.02,2.1053,2010Q4
48,0.7,0.72,-0.02,-2.7778,2010Q1
49,0.6,0.6,0,0,2009Q4
50,0.85,0.77,0.08,10.3896,2009Q4
51,0.55,0.59,-0.04,-6.7797,2009Q1
52,0.65,0.62,0.03,4.8387,2008Q4
53,0.92,0.93,-0.01,-1.0753,2008Q4
54,0.74,0.74,0,0,2008Q1
55,0.59,0.59,0,0,2007Q4
56,0.91,0.83,0.08,9.6386,2007Q4
57,0.4922,None,None,None,2007Q2
58,0.66,0.66,0,0,2007Q1
59,0.51,0.5,0.01,2,2006Q4
60,0.75,0.73,0.02,2.7397,2006Q4
61,0.62,0.6,0.02,3.3333,2006Q1
62,0.45,0.45,0,0,2005Q4
63,0.66,0.65,0.01,1.5385,2005Q3
64,0.54,0.55,-0.01,-1.8182,2005Q1
65,0.4,0.4,0,0,2004Q4
66,0.62,0.58,0.04,6.8966,2004Q4
67,0.42,0.38,0.04,10.5263,2004Q2
68,0.48,0.47,0.01,2.1277,2004Q1
69,0.34,0.31,0.03,9.6774,2003Q4
70,0.51,0.47,0.04,8.5106,2003Q4
71,0.3209,None,None,None,2003Q2
72,0.39,0.43,-0.04,-9.3023,2003Q1
73,0.31,0.31,0,0,2002Q4
74,0.52,0.49,0.03,6.1224,2002Q4
75,0.41,0.41,0,0,2002Q1
76,0.28,0.28,0,0,2001Q4
77,0.41,0.4,0.01,2.5,2001Q4
78,0.226,None,None,None,2001Q3
79,0.38,0.38,0,0,2001Q1
80,0.28,0.28,0,0,2000Q4
81,0.43,0.43,0,0,2000Q4
82,0.41,0.38,0.03,7.8947,2000Q1
83,0.28,0.27,0.01,3.7037,1999Q4
84,0.4,0.38,0.02,5.2632,1999Q4
85,0.2282,None,None,None,1999Q2
86,-0.0295,None,None,None,1998Q4
87,0.3227,None,None,None,1998Q3
88,0.1834,None,None,None,1998Q2
89,0.2733,None,None,None,1998Q1
90,0.2156,None,None,None,1997Q4
