,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Quarter
0,USD,828662000,165378000,31548000,31548000,67590000,61441000,658092000,28644000,None,613345000,270921000,342424000,None,None,None,4799000,3916000,286587000,70445000,16679000,66235000,None,None,216142000,16549000,194684000,0,194684000,194684000,8754000,4004000,542075000,63410000,221791000,427000,36129000,2023Q4
1,USD,835531000,166198000,31693000,31693000,74396000,55997000,669333000,29108000,39546000,618677000,277084000,341593000,None,None,None,4112000,3788000,295043000,85978000,17148000,53174000,15523000,15523000,209065000,17341000,188051000,15523000,188051000,188051000,7138000,2905000,540488000,61506000,224845000,425000,35997000,2023Q3
2,USD,840060000,167354000,29580000,29580000,83605000,50715000,672706000,29590000,None,625580000,283288000,342292000,None,None,None,3454000,3893000,308477000,89019000,21503000,50664000,15523000,15523000,219458000,18224000,194556000,15523000,194556000,194556000,8733000,5072000,531583000,61470000,218480000,424000,35889000,2023Q2
3,USD,847748000,169066000,31660000,31660000,83065000,49678000,678682000,29812000,None,631303000,289441000,341862000,None,None,None,4663000,3388000,327569000,83769000,20725000,48276000,15523000,15523000,243800000,18865000,214062000,15523000,214062000,214062000,9449000,5542000,520179000,61446000,211753000,423000,35791000,2023Q1
4,USD,854610000,170241000,30949000,30949000,80993000,54445000,684369000,28374000,None,637236000,295663000,341573000,None,None,None,3854000,3862000,344682000,90565000,30633000,43414000,15523000,15523000,254117000,19691000,218568000,15523000,218568000,218568000,8856000,6909000,509928000,60973000,205854000,422000,35608000,2022Q4
5,USD,853895000,166208000,34900000,34900000,73223000,50450000,687687000,27594000,33700000,642541000,302064000,340477000,None,None,None,3871000,2253000,352382000,96507000,32373000,41403000,15523000,15523000,255875000,20174000,222448000,15523000,222448000,222448000,10940000,4342000,501513000,58172000,200075000,420000,35424000,2022Q3
6,USD,863639000,169557000,41515000,41515000,61687000,61793000,694082000,26380000,None,650522000,308814000,341708000,None,None,None,4562000,2351000,376717000,94578000,27949000,40772000,15523000,15523000,282139000,19813000,240702000,15523000,240702000,240702000,10946000,6915000,486922000,58165000,188852000,417000,35131000,2022Q2
7,USD,869530000,167840000,41386000,41386000,51672000,67424000,701690000,27078000,None,657442000,315797000,341645000,None,None,None,7358000,1727000,389026000,89977000,22769000,46066000,15523000,18413000,299049000,20515000,260208000,15523000,260208000,260208000,9989000,3720000,480504000,58310000,184726000,415000,35015000,2022Q1
8,USD,866230000,156702000,47188000,47188000,51874000,49359000,709528000,27058000,None,665292000,322794000,342498000,None,None,None,8281000,1279000,392198000,79311000,22880000,46446000,11148000,11148000,312887000,21109000,275340000,11148000,275340000,275340000,3795000,2274000,474032000,58100000,181879000,414000,34560000,2021Q4
9,USD,619531000,246658000,152432000,152432000,43921000,43738000,372873000,12132000,29045000,343551000,118029000,225522000,None,None,None,6567000,1506000,147014000,58941000,22586000,29077000,None,2633000,88073000,21001000,45799000,0,45799000,45799000,7199000,8079000,472517000,56535000,180692000,407000,34115000,2021Q3
