,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,0.48,0.44,0.04,9.0909,2024Q1
1,0.52,0.48,0.04,8.3333,2023Q4
2,0.5,0.47,0.03,6.383,2023Q3
3,0.5,0.44,0.06,13.6364,2023Q2
4,0.48,0.42,0.06,14.2857,2023Q1
5,0.45,0.41,0.04,9.7561,2022Q4
6,0.45,0.37,0.08,21.6216,2022Q3
7,0.41,0.32,0.09,28.125,2022Q2
8,0.36,0.29,0.07,24.1379,2022Q1
9,0.13,0.08,0.05,62.5,2021Q4
10,0.09,0.08,0.01,12.5,2021Q3
11,0.09,0.08,0.01,12.5,2021Q2
12,-0.01,0.06,-0.07,-116.6667,2021Q1
13,0.15,0.09,0.06,66.6667,2020Q4
14,0.06,0.02,0.04,200,2020Q3
15,0.07,0.06,0.01,16.6667,2020Q2
16,0.01,0.01,0,0,2020Q1
17,0.08,0.06,0.02,33.3333,2019Q4
18,0.06,0.04,0.02,50,2019Q3
19,0.05,0.03,0.02,66.6667,2019Q2
20,0.05,-0.01,0.06,600,2019Q1
21,0.13,0.06,0.07,116.6667,2018Q4
22,0.09,0.04,0.05,125,2018Q3
23,-0.01,0.024,-0.034,-141.6667,2018Q2
24,-0.07,-0.03,-0.04,-133.3333,2018Q1
25,0.16,0.08,0.08,100,2017Q4
26,0.05,0.05,0,0,2017Q3
27,0.05,0.08,-0.03,-37.5,2017Q2
28,0.09,0.07,0.02,28.5714,2017Q1
29,0.14,0.11,0.03,27.2727,2016Q4
30,0.16,0.1,0.06,60,2016Q3
31,0.09,0.05,0.04,80,2016Q2
32,0.12,0.07,0.05,71.4286,2016Q1
33,0.12,0.06,0.06,100,2015Q4
34,0.1,0.05,0.05,100,2015Q3
35,0.04,None,None,None,2015Q2
36,-0.01,-0.02,0.01,50,2015Q1
37,0.02,0.03,-0.01,-33.3333,2014Q4
38,-0.01,0.04,-0.05,-125,2014Q3
39,0.03,0.01,0.02,200,2014Q2
40,0.03,0.05,-0.02,-40,2014Q1
41,0.09,0.08,0.01,12.5,2013Q4
42,0.06,0.06,0,0,2013Q3
43,0.08,0.02,0.06,300,2013Q2
44,0.05,0.04,0.01,25,2013Q1
45,0.09,0.07,0.02,28.5714,2012Q4
46,0.09,0.05,0.04,80,2012Q3
47,0.08,0.1,-0.02,-20,2012Q2
48,0.03,0.02,0.01,50,2012Q1
49,0.11,0.15,-0.04,-26.6667,2011Q4
50,0.14,0.13,0.01,7.6923,2011Q3
51,0.09,0.09,0,0,2011Q2
52,0.09,0.08,0.01,12.5,2011Q1
53,0.09,0.09,0,0,2010Q4
54,0.09,0.07,0.02,28.5714,2010Q3
55,0.07,0.06,0.01,16.6667,2010Q2
56,0.05,0.04,0.01,25,2010Q1
57,0.04,0.07,-0.03,-42.8571,2009Q4
58,0.06,0.02,0.04,200,2009Q3
59,0.03,0.03,0,0,2009Q2
60,0.04,0.03,0.01,33.3333,2009Q1
61,0.14,0.1,0.04,40,2008Q4
62,0.08,0.04,0.04,100,2008Q3
63,0.12,0.15,-0.03,-20,2008Q2
64,0.14,0.17,-0.03,-17.6471,2008Q1
65,0.18,0.16,0.02,12.5,2007Q4
66,0.15,0.15,0,0,2007Q3
67,0.14,0.15,-0.01,-6.6667,2007Q2
68,0.15,0.16,-0.01,-6.25,2007Q1
69,0.18,0.16,0.02,12.5,2006Q4
70,0.16,0.14,0.02,14.2857,2006Q3
71,0.13,0.13,0,0,2006Q2
72,0.11,0.1,0.01,10,2006Q1
73,0.15,0.15,0,0,2005Q4
74,0.11,0.09,0.02,22.2222,2005Q3
75,0.13,0.13,0,0,2005Q2
76,0.13,0.12,0.01,8.3333,2005Q1
77,0.13,0.13,0,0,2004Q4
78,0.11,0.09,0.02,22.2222,2004Q3
79,0.08,0.08,0,0,2004Q2
80,0.08,0.05,0.03,60,2004Q1
81,0.09,0.08,0.01,12.5,2003Q4
82,0.06,0.04,0.02,50,2003Q3
83,0.12,0.03,0.09,300,2003Q2
84,-1.94,-2.06,0.12,5.8252,2003Q1
85,-0.02,-0.04,0.02,50,2002Q4
86,0.02,0.03,-0.01,-33.3333,2002Q3
87,0.04,None,None,None,2002Q2
88,0.04,0.01,0.03,300,2002Q1
89,0.01,0.02,-0.01,-50,2001Q4
90,0.08,0.09,-0.01,-11.1111,2001Q3
91,0.1,0.1,0,0,2001Q2
92,0.0899,None,None,None,2000Q4
93,0.16,0.13,0.03,23.0769,2000Q4
94,0.07,0.2,-0.13,-65,2000Q3
95,-0.35,0.13,-0.48,-369.2308,2000Q2
96,0.07,0.04,0.03,75,2000Q1
97,0.18,0.13,0.05,38.4615,1999Q4
98,0.15,0.1,0.05,50,1999Q3
99,0.03,0.1,-0.07,-70,1999Q2
100,0.09,0.1,-0.01,-10,1999Q1
101,0.15,0.14,0.01,7.1429,1998Q4
102,0.39,0.35,0.04,11.4286,1998Q3
103,0.33,0.28,0.05,17.8571,1998Q2
104,0.27,0.19,0.08,42.1053,1998Q1
105,0.19,0.06,0.13,216.6667,1997Q4
106,0.01,-0.03,0.04,133.3333,1997Q3
107,-0.08,-0.32,0.24,75,1997Q2
108,-0.19,0.1,-0.29,-290,1997Q1
109,0.22,0.28,-0.06,-21.4286,1996Q4
110,0.13,0.33,-0.2,-60.6061,1996Q3
111,0.39,0.38,0.01,2.6316,1996Q2
