,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,USD,61100000,106089000,44989000,44989000,12133000,34334000,14633000,48967000,None,-5661000,None,5661000,-9722000,-26000,1813000,6591000,-3276000,-222000,15383000,-3054000,-106000,2385000,8976000,-3054000,2023Q4
1,USD,63991000,112163000,48172000,48172000,13481000,36056000,14454000,50510000,None,-6269000,None,6269000,None,-20000,1756000,6754000,7192000,827000,6269000,6365000,4050000,13461000,20215000,6365000,2023Q3
2,USD,63819000,112236000,48417000,48417000,12476000,36398000,14945000,51343000,None,-6603000,None,6603000,None,15000,1752000,6747000,5888000,-839000,6603000,6727000,6618000,12491000,19238000,6727000,2023Q2
3,USD,62872000,111144000,48272000,48272000,12175000,35542000,15155000,50697000,None,-6393000,None,6393000,None,47000,1596000,6745000,5829000,-70000,6393000,5899000,6077000,12222000,18967000,5899000,2023Q1
4,USD,61521000,109306000,47785000,47785000,11963000,35464000,14094000,49558000,None,-5971000,None,5971000,None,17000,1649000,6957000,5979000,230000,5971000,5809000,7068000,11950000,18907000,5779000,2022Q4
5,USD,58995000,105738000,46743000,46743000,16883000,34352000,13899000,42112000,3000,-5036000,-3000,5033000,388333000,157000,1651000,10528000,12007000,784000,5036000,11223000,9434000,17040000,27568000,11223000,2022Q3
6,USD,57426000,103517000,46091000,46091000,9974000,33379000,13968000,47452000,1000,-5297000,-1000,5296000,-8000,-96000,1701000,7046000,4582000,456000,5297000,4126000,2767000,9878000,16924000,4126000,2022Q2
7,USD,51984000,94713000,42729000,42729000,7564000,30601000,13819000,44420000,2000,-4465000,-2000,4463000,None,139000,1739000,7045000,3240000,393000,4465000,2847000,2899000,7703000,14748000,2847000,2022Q1
8,USD,47881000,84257000,36376000,36376000,3799000,30561000,13412000,44082000,5000,-4903000,-5000,4898000,None,-102000,1553000,6309000,-1201000,-2388000,4903000,1187000,975000,3697000,10006000,1187000,2021Q4
9,USD,42626000,79106000,36480000,36480000,3286000,27539000,11801000,39340000,6000,-376000,-10000,366000,308508000,85000,1132000,4545000,3001000,-1587000,376000,4588000,3591000,3367000,7912000,4588000,2021Q3
10,USD,42556000,79079000,36523000,36523000,4018000,26063000,12374000,38538000,3000,-371000,3000,371000,5000,-114000,1047000,4101000,3536000,379000,371000,3157000,3620000,3907000,8008000,3157000,2021Q2
11,USD,40457000,77301000,36844000,36844000,3370000,25571000,11355000,37087000,1000,-246000,1000,246000,None,77000,1075000,3927000,3202000,274000,246000,2928000,2661000,3448000,7375000,2928000,2021Q1
12,USD,41019000,73146000,32127000,32127000,-146000,29339000,11093000,41165000,0,-402000,None,402000,None,-192000,1089000,3961000,-740000,-433000,402000,-340000,1565000,-338000,3623000,-307000,2020Q4
13,USD,37518000,73169000,35651000,35651000,5221000,21299000,11010000,32297000,1000,-526000,1000,526000,278671000,-352000,1073000,4067000,4344000,-89000,526000,37518000,7238000,4870000,8937000,4433000,2020Q3
14,USD,37349000,70338000,32989000,32989000,2855000,23511000,10892000,34494000,22000,-900000,22000,900000,0,-67000,1183000,4123000,1910000,144000,900000,1766000,2447000,2810000,6933000,1766000,2020Q2
15,USD,38641000,73447000,34806000,34806000,3724000,23347000,11532000,34917000,50000,-1734000,50000,1734000,0,89000,1120000,4116000,2129000,125000,1734000,2004000,-480000,3863000,7979000,2004000,2020Q1
