,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Quarter
0,CNY,4944648,4058251,437716,77247,185806,607270,886397,62512,485939,660080,660080,None,None,56476,None,150453,None,2412851,2412179,339897,58456,706582,502836,672,None,2049110,203746,1344,2551946,72612,672,2602530,None,None,2538,2538286,2023Q4
1,CNY,8816199,7911853,1218748,501245,242789,556074,904346,67700,471608,715079,715079,None,None,55713,None,243091,None,4508122,4469781,296177,473061,2528955,496035,38341,52148,2570075,2032920,20560,3066110,416446,17907,4378865,None,-28085314,38073,38073234,2023Q3
2,CNY,2754448,1289517,19728,76809,241380,-649145,1464931,85930,477158,1185787,1185787,None,None,55358,57081,772684,55358,6334545,4906575,1005059,609175,1238250,594906,1427970,151089,2289124,643344,91215,2884030,413795,23312,-3519249,None,-28063258,1852,27784133,2023Q2
3,CNY,3383725,1917868,43155,500000,251422,1027402,1465857,96711,502485,1310936,1310936,None,None,58210,456845,55741,None,5635741,5492189,1636732,96364,1641066,1880470,143552,239404,1784618,1641066,143552,1784618,2291344,None,-2191880,None,-22507038,24325,24324633,2023Q1
4,CNY,3257603,1325151,43309,43309,253473,1070134,1932452,111042,480280,1447672,1447672,None,None,57433,None,135999,None,4289784,4121400,1340622,123073,1592403,1931974,168384,339571,1760787,1592403,168384,1760787,1437901,None,-971939,None,-21211879,24325,24324633,2022Q4
5,CNY,96476,979033,93074,93074,194885,None,2113073,443788,None,1612945,1612945,None,None,56340,None,48826,None,2801523,2801523,None,None,None,1187470,1621108,320826,None,866644,None,1187470,1180415,None,1245170,None,-19920889,24325,24324633,2022Q4
6,CNY,3092106,979033,93074,93074,194885,1057888,2113073,138642,452957,1612945,1612945,None,None,56340,None,48826,None,2801523,2801523,1111513,1040000,866644,1187470,68902,320826,866644,866644,None,866644,1180415,None,1245170,None,-19920889,24325,24324633,2022Q3
7,CNY,3755677,1256801,164217,164217,211353,1145941,2498876,85930,477158,3483582,1741791,1741791,None,29800,None,621821,46981,2156045,2124575,197573,289888,81950,539899,31470,489419,163900,81950,None,163900,102331,20183198,2453905,None,-18583566,24325,24324633,2022Q2
8,CNY,10430868,7845542,1628750,1628750,247378,1328389,2585326,217100,426101,1263219,1263219,None,None,63010,None,35328,63010,6364799,6232542,494185,72682,None,506699,132257,638956,None,None,None,638956,341700,None,4532497,None,-16457797,24244,24244130,2022Q1
9,CNY,11873723,9129063,2240708,2240708,210808,1154382,2744660,249393,387675,1195303,1195303,None,None,62738,None,18523,62738,6802163,6573139,502909,47053,None,688520,229024,917544,1486819,None,None,1486819,352913,None,5569490,None,-15180385,24244,24244130,2021Q4
10,CNY,10168614,7393969,5805362,5805362,204663,851142,2774645,276191,335645,1090233,1090233,None,None,None,None,83289,23619,3803142,3462443,613283,46257,984519,1743633,340699,1099813,1486819,984519,None,1486819,366147,None,6719769,None,-13503092,23916,23916304,2021Q3
11,CNY,3895117,885985,49676,49676,194264,854476,3009132,309408,298748,1092147,1092147,None,None,None,None,33021,256987,3817406,3258667,561674,46439,1486819,2217004,558739,1288924,1486819,1486819,None,1486819,130230,12139569,319654,None,-12061858,21474,21474138,2021Q2
12,CNY,4582758,1493151,171177,171177,254960,573807,3089607,301939,256964,1041030,1041030,None,None,None,None,33021,None,2766543,1989088,390220,45653,741101,1400381,777455,1436735,741101,741101,None,741101,390220,777455,1911699,None,-10463241,21474,21474138,2021Q1
13,CNY,5303808,2345998,674397,674397,265365,565208,2957810,341918,243841,878955,878955,None,None,None,None,59680,None,2246634,1297195,380208,45978,None,776751,949439,1726190,None,None,None,1726190,380208,949439,3095119,None,-9244241,21470,21470446,2020Q4
14,CNY,5337787,2887933,720036,720036,125890,546677,2449854,310284,204777,273404,273404,None,None,None,None,108086,None,2263695,1303038,68160,18766,None,801717,960657,1762374,1866166,None,None,1866166,376492,960657,3074092,None,-8280204,20944,20943846,2020Q3
