,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,CNY,1111130,4984,0,48012,420000,138243,71451,31369,-59672,-1833039,-71451,-1838674,8558538,None,None,None,None,None,None,0,None,None,0,None,None,None,-1832978,2023Q4
1,CNY,-6744413,5551,16400,-337621,5713959,137873,330,21436,-137,-22056,-365,8080455,-12305603,None,None,None,None,None,None,8061286,0,None,8061286,None,None,None,-12124,2023Q3
2,CNY,-807712,None,None,-474095,-356909,169158,79816,-701308,2229,-15253933,-80417,865282,0,None,None,None,None,None,None,0,0,None,0,None,None,None,-5556220,2023Q2
3,CNY,-561879,None,None,752477,325935,164656,242,578130,-5196,-1297065,311,560717,0,None,None,None,None,None,None,0,0,None,0,None,None,None,-1295159,2023Q1
4,CNY,-1013793,None,None,364553,412560,177852,-69296,232076,54986,-1290990,69820,892906,0,None,None,None,None,None,None,0,0,None,0,None,None,None,-1290990,2022Q4
5,CNY,-752697,0,None,145178,-177735,189764,73557,-93511,-5100,-1337323,-102845,790302,820508,None,None,None,None,None,None,0,0,None,0,None,None,None,-1337323,2022Q3
6,CNY,-923224,None,None,-4975525,-5263748,165051,668145,-5201689,-23916,-1899208,-636680,175121,0,None,None,None,None,None,None,0,0,None,0,None,None,None,-2125769,2022Q2
7,CNY,-391866,None,None,-183779,-573922,179226,212368,294083,35389,-1277412,-212620,-33171,0,None,None,None,None,None,None,0,0,None,0,None,None,None,-1277412,2022Q1
8,CNY,-2424653,None,None,3783224,5342522,141523,212782,4262286,2667,-1677293,-274968,-935105,-995612,None,None,None,None,None,None,0,0,None,0,None,-10092131,70072,-1677293,2021Q4
9,CNY,-1399969,2898,None,1307501,1012527,92022,9156,913091,11183,-1553334,-9156,7172459,-497625,None,None,None,None,None,None,7681796,0,None,7681796,None,5755686,-7648,-1441234,2021Q3
10,CNY,-886394,None,None,697135,792250,86882,39697,-11767,-52447,1639047,-39697,789023,None,None,None,None,None,None,None,0,720482,None,0,None,-121501,15567,-1598617,2021Q2
11,CNY,-1215663,None,None,-227899,11525,44111,29292,-7323,-8018,-1219000,-29292,728824,None,None,None,None,None,None,None,0,None,None,0,None,-1180181,12911,-1219000,2021Q1
12,CNY,-936762,None,None,-122464,44592,29801,47557,None,11042,-964037,-47557,931000,None,None,None,None,None,None,None,0,None,None,0,None,-1971383,7680,-964037,2020Q4
13,CNY,-909530,None,None,-94485,106179,42661,52139,5057,16254,-866823,-52139,249,None,None,None,None,None,None,None,0,None,None,0,None,-945900,15769,-866823,2020Q3
14,CNY,-888139,-243175,7776604,-1291735,1333117,71786,58480,-1129,-125542,-157496,-58480,249,None,None,None,None,None,None,None,0,None,None,0,None,-944875,1495,412504,2020Q2
15,CNY,-712971,None,-20638,-1101750,-1019589,27102,39795,None,202065,-677739,-39795,-864,None,None,None,None,None,None,None,0,None,None,0,None,-793929,-40299,-677739,2020Q1
16,CNY,-627859,None,33697,1110250,-354592,6216,207130,None,-2121,-1001033,81445,628,None,None,None,None,None,None,None,0,None,None,0,None,-513415,32371,-1001033,2019Q4
17,CNY,-2344383,285000,1266941,-176000,1578367,6970,1408,None,-2121,-596985,-289983,-84855,None,None,None,None,None,None,None,0,None,None,0,None,-2754482,-35261,-596985,2019Q3
18,CNY,865015,None,None,167430,-6017,8021,501854,None,0,-95702,-1854,74847,None,None,None,None,None,None,None,-1412,None,None,-92555,None,730668,-207340,-140245,2019Q2
19,CNY,-494217,None,None,27125,-10691,9036,34194,None,-1,-574589,-34194,495717,None,None,None,None,None,None,None,1134,None,None,492467,None,68461,101155,-540999,2019Q1
20,CNY,-359456,None,None,9534,3869,6992,10753,None,278,-372278,-10753,4818165,None,None,None,None,None,None,None,60780,None,None,4501478,None,4441430,-6525,-372278,2018Q4
21,CNY,-435390,None,None,-81449,-5556,11445,19584,None,4285,-371659,-19584,220473,None,None,None,None,None,None,None,246944,None,None,246944,None,-199408,35092,-371659,2018Q3
22,CNY,-228519,None,None,79725,-37924,10040,13166,4,-4285,-385014,-13166,-84123,None,None,None,None,None,None,None,12442,None,None,12442,None,-517242,-191434,-365206,2018Q2
23,CNY,-400088,None,None,-6029,-36696,8182,987,-3,17741.81,-444975,-987,-11253,None,None,None,None,None,None,None,-9848,None,None,-9848,None,-350995,61333,-438937,2018Q1
24,CNY,-397262,None,None,-4259,148790,7388,8548,-451,22910,-398960,-8548,-103553,None,None,None,None,None,None,None,-3016,None,None,-3016,None,-420487,88876,-391501,2017Q4
25,CNY,-458861,None,2253,12521,-69930,7084,4753,225,-77212,-432518,-4753,1434799,None,None,None,None,None,None,None,1432550,None,None,1432550,None,1145260,174075,-408537,2017Q3
26,CNY,-453685,None,None,-4796,-69517,1886,-917,2899,123000,-507892,917,1271037,None,None,None,None,None,None,None,628590,None,None,628590,None,830818,12549,-447518,2017Q2
27,CNY,-226242,None,None,67099,-38258,13807,3053,None,205000,-266291,-3053,243840,None,None,None,None,None,None,None,279450,None,None,741750,None,18988,4443,-266291,2017Q1
28,CNY,-136409,None,None,-10770,-12533,28642,6745,None,207000,-212573,-6745,384387,None,None,None,None,None,None,None,358800,None,None,0,None,231778,-9455,-212573,2016Q4
29,CNY,-245202,0,2250,76,28486,6341,1795,None,None,-266834,-1795,328641,None,None,None,None,None,None,None,420900,None,None,317400,None,81564,-80,-266834,2016Q3
