,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,1.55,1.54,0.01,0.6494,2024Q1
1,1.54,1.52,0.02,1.3158,2023Q4
2,1.24,1.21,0.03,2.4793,2023Q3
3,0.88,0.86,0.02,2.3256,2023Q2
4,1.27,1.25,0.02,1.6,2023Q1
5,1.3,1.31,-0.01,-0.7634,2022Q4
6,1.1,1.09,0.01,0.9174,2022Q3
7,0.82,0.82,0,0,2022Q2
8,1.28,1.31,-0.03,-2.2901,2022Q1
9,1.41,1.3,0.11,8.4615,2021Q4
10,1.22,1.21,0.01,0.8264,2021Q3
11,0.91,0.81,0.1,12.3457,2021Q2
12,1.23,1.25,-0.02,-1.6,2021Q1
13,1.15,1.12,0.03,2.6786,2020Q4
14,0.65,0.85,-0.2,-23.5294,2020Q3
15,1.13,1.06,0.07,6.6038,2020Q2
16,1.66,1.69,-0.03,-1.7751,2020Q1
17,1.71,1.71,0,0,2019Q4
18,1.42,1.41,0.01,0.7092,2019Q3
19,1.03,1.02,0.01,0.9804,2019Q2
20,1.54,1.54,0,0,2019Q1
21,1.53,1.54,-0.01,-0.6494,2018Q4
22,1.27,1.27,0,0,2018Q3
23,0.91,0.89,0.02,2.2472,2018Q2
24,1.39,1.39,0,0,2018Q1
25,1.37,1.36,0.01,0.7353,2017Q4
26,1.13,1.13,0,0,2017Q3
27,0.8,0.81,-0.01,-1.2346,2017Q2
28,1.25,1.27,-0.02,-1.5748,2017Q1
29,1.28,1.28,0,0,2016Q4
30,1.08,1.08,0,0,2016Q3
31,0.77,0.76,0.01,1.3158,2016Q2
32,1.22,1.24,-0.02,-1.6129,2016Q1
33,1.28,1.28,0,0,2015Q4
34,1.08,1.08,0,0,2015Q3
35,0.8,0.81,-0.01,-1.2346,2015Q2
36,1.2,1.2,0,0,2015Q1
37,1.21,1.2,0.01,0.8333,2014Q4
38,1.03,1.02,0.01,0.9804,2014Q3
39,0.74,0.74,0,0,2014Q2
40,1.04,1.05,-0.01,-0.9524,2014Q1
41,1.04,1.03,0.01,0.9709,2013Q4
42,0.86,0.84,0.02,2.381,2013Q3
43,0.6,0.59,0.01,1.6949,2013Q2
44,0.89,0.89,0,0,2013Q1
45,0.87,0.87,0,0,2012Q4
46,0.72,0.72,0,0,2012Q3
47,0.5,0.48,0.02,4.1667,2012Q2
48,0.7,0.7,0,0,2012Q1
49,0.75,0.75,0,0,2011Q4
50,0.64,0.64,0,0,2011Q3
51,0.45,0.44,0.01,2.2727,2011Q2
52,0.6,0.61,-0.01,-1.6393,2011Q1
53,0.66,0.65,0.01,1.5385,2010Q4
54,0.56,0.56,0,0,2010Q3
55,0.41,0.39,0.02,5.1282,2010Q2
56,0.55,0.56,-0.01,-1.7857,2010Q1
57,0.61,0.6,0.01,1.6667,2009Q4
58,0.5,0.48,0.02,4.1667,2009Q3
59,0.33,0.33,0,0,2009Q2
60,0.45,0.45,0,0,2009Q1
61,0.55,0.55,0,0,2008Q4
62,0.47,0.47,0,0,2008Q3
63,0.39,0.39,0,0,2008Q2
64,0.4,0.4,0,0,2008Q1
65,0.49,0.49,0,0,2007Q4
66,0.42,0.41,0.01,2.439,2007Q3
67,0.35,0.35,0,0,2007Q2
68,0.34,0.34,0,0,2007Q1
69,0.43,0.43,0,0,2006Q4
70,0.36,0.36,0,0,2006Q3
71,0.3,0.3,0,0,2006Q2
72,0.32,0.32,0,0,2006Q1
73,0.4,0.4,0,0,2005Q4
74,0.33,0.33,0,0,2005Q3
75,0.29,0.28,0.01,3.5714,2005Q2
76,0.27,0.28,-0.01,-3.5714,2005Q1
77,0.36,0.35,0.01,2.8571,2004Q4
78,0.3,0.29,0.01,3.4483,2004Q3
79,0.26,0.24,0.02,8.3333,2004Q2
80,0.26,0.24,0.02,8.3333,2004Q1
81,0.32,0.31,0.01,3.2258,2003Q4
82,0.25,0.25,0,0,2003Q3
83,0.21,0.21,0,0,2003Q2
84,0.23,0.22,0.01,4.5455,2003Q1
85,0.28,0.27,0.01,3.7037,2002Q4
86,0.23,0.21,0.02,9.5238,2002Q3
87,0.19,0.18,0.01,5.5556,2002Q2
88,0.15,0.15,0,0,2002Q1
89,0.22,0.22,0,0,2001Q4
90,0.19,0.19,0,0,2001Q3
91,0.17,0.17,0,0,2001Q2
92,0.18,0.18,0,0,2001Q1
93,0.23,0.23,0,0,2000Q4
94,0.18,0.18,0,0,2000Q3
95,0.16,0.15,0.01,6.6667,2000Q2
96,0.16,0.16,0,0,2000Q1
97,0.2,0.2,0,0,1999Q4
98,0.16,0.16,0,0,1999Q3
99,0.14,0.13,0.01,7.6923,1999Q2
100,0.14,0.15,-0.01,-6.6667,1999Q1
101,0.18,0.17,0.01,5.8824,1998Q4
102,0.14,0.14,0,0,1998Q3
103,0.12,0.11,0.01,9.0909,1998Q2
104,0.13,0.13,0,0,1998Q1
105,0.15,0.15,0,0,1997Q4
106,0.12,0.13,-0.01,-7.6923,1997Q3
107,0.1,0.09,0.01,11.1111,1997Q2
108,0.12,0.12,0,0,1997Q1
109,0.14,0.13,0.01,7.6923,1996Q4
110,0.11,0.11,0,0,1996Q3
111,0.08,0.07,0.01,14.2857,1996Q2
