,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,1.03,0.91,0.12,13.1868,2024Q1
1,0.82,0.56,0.26,46.4286,2023Q4
2,0.68,0.46,0.22,47.8261,2023Q3
3,0.27,0.14,0.13,92.8571,2023Q2
4,1.24,1.13,0.11,9.7345,2023Q1
5,0.75,0.46,0.29,63.0435,2022Q4
6,0.78,0.38,0.4,105.2632,2022Q3
7,0.24,0.19,0.05,26.3158,2022Q2
8,0.92,0.85,0.07,8.2353,2022Q1
9,0.57,0.43,0.14,32.5581,2021Q4
10,0.4,0.28,0.12,42.8571,2021Q3
11,0.24,0.11,0.13,118.1818,2021Q2
12,0.64,0.73,-0.09,-12.3288,2021Q1
13,0.48,-0.33,0.81,245.4545,2020Q4
14,-1.2,-0.81,-0.39,-48.1481,2020Q3
15,0.4,0.63,-0.23,-36.5079,2020Q2
16,1.68,1.42,0.26,18.3099,2020Q1
17,1.2,0.88,0.32,36.3636,2019Q4
18,0.88,0.94,-0.06,-6.383,2019Q3
19,1.12,0.72,0.4,55.5556,2019Q2
20,1.36,1.73,-0.37,-21.3873,2019Q1
21,1.12,1.59,-0.47,-29.5597,2018Q4
22,1.52,1.41,0.11,7.8014,2018Q3
23,1.28,0.91,0.37,40.6593,2018Q2
24,2.16,2.29,-0.13,-5.6769,2018Q1
25,2.32,3.95,-1.63,-41.2658,2017Q4
26,2.24,2,0.24,12,2017Q3
27,1.68,1.35,0.33,24.4444,2017Q2
28,3.68,3.68,0,0,2017Q1
29,2.56,2.4,0.16,6.6667,2016Q4
30,4.08,3.65,0.43,11.7808,2016Q3
31,1.68,1.54,0.14,9.0909,2016Q2
32,4.16,3.95,0.21,5.3165,2016Q1
33,2.32,2.09,0.23,11.0048,2015Q4
34,2.48,2.26,0.22,9.7345,2015Q3
35,2.48,2.4,0.08,3.3333,2015Q2
36,4.48,4.36,0.12,2.7523,2015Q1
37,3.04,2.98,0.06,2.0134,2014Q4
38,3.12,3.15,-0.03,-0.9524,2014Q3
39,2.64,2.54,0.1,3.937,2014Q2
40,4.24,4.27,-0.03,-0.7026,2014Q1
41,2.88,2.83,0.05,1.7668,2013Q4
42,2.88,2.83,0.05,1.7668,2013Q3
43,2.8,2.78,0.02,0.7194,2013Q2
44,3.52,3.45,0.07,2.029,2013Q1
45,2.88,2.9,-0.02,-0.6897,2012Q4
46,3.04,2.97,0.07,2.3569,2012Q3
47,2.72,2.63,0.09,3.4221,2012Q2
48,3.12,3.03,0.09,2.9703,2012Q1
49,2.48,2.51,-0.03,-1.1952,2011Q4
50,2.72,2.58,0.14,5.4264,2011Q3
51,2.64,2.27,0.37,16.2996,2011Q2
52,2.88,2.55,0.33,12.9412,2011Q1
53,2.32,2.19,0.13,5.9361,2010Q4
54,2.4,2.13,0.27,12.6761,2010Q3
55,1.68,1.31,0.37,28.2443,2010Q2
56,2.24,2.09,0.15,7.177,2010Q1
57,1.76,1.62,0.14,8.642,2009Q4
58,2.08,1.85,0.23,12.4324,2009Q3
59,2.08,1.67,0.41,24.5509,2009Q2
60,2.88,2.94,-0.06,-2.0408,2009Q1
61,3.6,3.59,0.01,0.2786,2008Q4
62,4.32,4.28,0.04,0.9346,2008Q3
63,3.52,4.09,-0.57,-13.9364,2008Q2
64,5.44,5.44,0,0,2008Q1
65,4,4.01,-0.01,-0.2494,2007Q4
66,4.24,4.18,0.06,1.4354,2007Q3
67,3.52,3.53,-0.01,-0.2833,2007Q2
68,5.12,5.09,0.03,0.5894,2007Q1
69,3.92,3.92,0,0,2006Q4
70,3.76,3.77,-0.01,-0.2653,2006Q3
71,3.12,3.11,0.01,0.3215,2006Q2
72,4.4,4.38,0.02,0.4566,2006Q1
73,3.52,3.52,0,0,2005Q4
74,3.52,3.52,0,0,2005Q3
75,3.04,2.99,0.05,1.6722,2005Q2
76,4.08,3.96,0.12,3.0303,2005Q1
77,3.04,3.07,-0.03,-0.9772,2004Q4
78,3.04,3,0.04,1.3333,2004Q3
79,2.56,2.54,0.02,0.7874,2004Q2
80,3.6,3.63,-0.03,-0.8264,2004Q1
81,3.2,3.17,0.03,0.9464,2003Q4
82,3.04,3.01,0.03,0.9967,2003Q3
83,2.56,2.56,0,0,2003Q2
84,2.48,2.47,0.01,0.4049,2003Q1
85,3.28,3.25,0.03,0.9231,2002Q4
86,3.52,3.53,-0.01,-0.2833,2002Q3
87,2.8,2.78,0.02,0.7194,2002Q2
88,3.12,3.11,0.01,0.3215,2002Q1
89,2.64,2.7,-0.06,-2.2222,2001Q4
90,3.12,3.1,0.02,0.6452,2001Q3
91,2.4,2.39,0.01,0.4184,2001Q2
92,2.88,2.89,-0.01,-0.346,2001Q1
93,2.56,2.53,0.03,1.1858,2000Q4
94,2.72,2.63,0.09,3.4221,2000Q3
95,2.08,2.05,0.03,1.4634,2000Q2
96,2.48,2.43,0.05,2.0576,2000Q1
97,2.13,2.11,0.02,0.9479,1999Q4
98,2.27,2.24,0.03,1.3393,1999Q3
99,1.76,1.73,0.03,1.7341,1999Q2
100,0.27,0.27,0,0,1999Q1
101,0.23,0.23,0,0,1998Q4
102,0.25,0.25,0,0,1998Q3
103,0.19,0.19,0,0,1998Q2
104,0.24,0.24,0,0,1998Q1
105,0.21,0.2,0.01,5,1997Q4
106,0.22,0.22,0,0,1997Q3
107,0.17,0.17,0,0,1997Q2
108,0.21,0.21,0,0,1997Q1
109,0.18,0.18,0,0,1996Q4
110,0.19,0.19,0,0,1996Q3
111,0.15,0.15,0,0,1996Q2
