,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,5.48,3.51,1.97,56.1254,2024Q1
1,5.47,5.31,0.16,3.0132,2023Q4
2,3.08,3.18,-0.1,-3.1447,2023Q3
3,9.87,8.1,1.77,21.8519,2023Q2
4,3.32,5.48,-2.16,-39.4161,2023Q1
5,8.25,7.69,0.56,7.2822,2022Q4
6,7.73,6.58,1.15,17.4772,2022Q3
7,10.76,8.89,1.87,21.0349,2022Q2
8,10.81,11.76,-0.95,-8.0782,2022Q1
9,14.93,10.18,4.75,46.6601,2021Q4
10,15.02,10.24,4.78,46.6797,2021Q3
11,18.6,10.22,8.38,81.9961,2021Q2
12,12.08,7.47,4.61,61.7135,2021Q1
13,9.68,5.57,4.11,73.7882,2020Q4
14,6.26,3.78,2.48,65.6085,2020Q3
15,3.11,3.35,-0.24,-7.1642,2020Q2
16,4.69,5.47,-0.78,-14.2596,2020Q1
17,4.79,4.81,-0.02,-0.4158,2019Q4
18,5.81,4.89,0.92,18.8139,2019Q3
19,5.71,4.89,0.82,16.7689,2019Q2
20,6.04,4.45,1.59,35.7303,2019Q1
21,6.28,5.38,0.9,16.7286,2018Q4
22,5.98,4.66,1.32,28.3262,2018Q3
23,6.95,5.58,1.37,24.552,2018Q2
24,5.68,4.91,0.77,15.6823,2018Q1
25,5.02,4.17,0.85,20.3837,2017Q4
26,3.95,3.39,0.56,16.5192,2017Q3
27,5.15,5.31,-0.16,-3.0132,2017Q2
28,5.08,4.82,0.26,5.3942,2017Q1
29,4.88,3.82,1.06,27.7487,2016Q4
30,3.72,3,0.72,24,2016Q3
31,2.68,2.45,0.23,9.3878,2016Q2
32,4.68,3.53,1.15,32.5779,2016Q1
33,2.9,2.91,-0.01,-0.3436,2015Q4
34,4.75,3.89,0.86,22.108,2015Q3
35,5.94,4.26,1.68,39.4366,2015Q2
36,4.38,4.32,0.06,1.3889,2015Q1
37,4.57,3.21,1.36,42.3676,2014Q4
38,4.1,3.05,1.05,34.4262,2014Q3
39,4.02,3.45,0.57,16.5217,2014Q2
40,4.6,4.22,0.38,9.0047,2014Q1
41,2.88,2.43,0.45,18.5185,2013Q4
42,3.7,2.82,0.88,31.2057,2013Q3
43,4.29,3.88,0.41,10.567,2013Q2
44,5.6,3.78,1.82,48.1481,2013Q1
45,2.85,2.12,0.73,34.434,2012Q4
46,1.78,1.16,0.62,53.4483,2012Q3
47,3.92,3.55,0.37,10.4225,2012Q2
48,1.84,1.24,0.6,48.3871,2012Q1
49,-0.84,-0.16,-0.68,-425,2011Q4
50,1.85,2.27,-0.42,-18.5022,2011Q3
51,1.56,0.82,0.74,90.2439,2011Q2
52,3.79,3.76,0.03,0.7979,2011Q1
53,2.98,2.32,0.66,28.4483,2010Q4
54,0.78,2.08,-1.3,-62.5,2010Q3
55,5.59,4.01,1.58,39.4015,2010Q2
56,8.2,5.2,3,57.6923,2010Q1
57,5.25,4.24,1.01,23.8208,2009Q4
58,4.93,3.54,1.39,39.2655,2009Q3
59,3.39,1.64,1.75,106.7073,2009Q2
60,-4.97,-3.73,-1.24,-33.244,2008Q4
61,1.81,1.71,0.1,5.848,2008Q3
62,4.58,3.42,1.16,33.9181,2008Q2
63,3.23,2.58,0.65,25.1938,2008Q1
64,7.01,6.61,0.4,6.0514,2007Q4
65,6.13,4.35,1.78,40.9195,2007Q3
66,4.93,4.79,0.14,2.9228,2007Q2
67,6.67,4.97,1.7,34.2052,2007Q1
68,6.59,6.04,0.55,9.106,2006Q4
69,3.26,2.97,0.29,9.7643,2006Q3
70,4.78,4.28,0.5,11.6822,2006Q2
71,5.08,3.29,1.79,54.4073,2006Q1
72,3.35,3.35,0,0,2005Q4
73,3.25,2.38,0.87,36.5546,2005Q3
74,1.71,1.87,-0.16,-8.5561,2005Q2
75,2.94,2.25,0.69,30.6667,2005Q1
76,2.36,2.32,0.04,1.7241,2004Q4
77,1.74,1.43,0.31,21.6783,2004Q3
78,2.31,1.95,0.36,18.4615,2004Q2
79,2.5,1.66,0.84,50.6024,2004Q1
80,1.89,1.54,0.35,22.7273,2003Q4
81,1.32,1.22,0.1,8.1967,2003Q3
82,1.36,1.19,0.17,14.2857,2003Q2
83,1.29,0.96,0.33,34.375,2003Q1
84,0.98,0.97,0.01,1.0309,2002Q4
85,1,0.99,0.01,1.0101,2002Q3
86,1.06,0.98,0.08,8.1633,2002Q2
87,0.98,0.89,0.09,10.1124,2002Q1
88,0.93,0.9,0.03,3.3333,2001Q4
89,0.87,0.81,0.06,7.4074,2001Q3
90,1.06,1.06,0,0,2001Q2
91,1.4,1.36,0.04,2.9412,2001Q1
92,1.5,1.38,0.12,8.6957,2000Q4
93,1.62,1.48,0.14,9.4595,2000Q3
94,1.48,1.4,0.08,5.7143,2000Q2
95,1.76,1.48,0.28,18.9189,2000Q1
96,1.48,1.22,0.26,21.3115,1999Q4
97,1.32,1.1,0.22,20,1999Q3
98,1.3,1.04,0.26,25,1999Q2
