,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,USD,6247000000,28463000000,9064000000,17722000000,4050000000,1417000000,None,2197000000,1127000000,1339000000,18484000000,17145000000,9979000000,None,None,780000000,2254000000,246000000,17145000000,2008000000,1689000000,19399000000,20179000000,2008000000,2023Q4
1,USD,7517000000,28527000000,9061000000,4455000000,4757000000,1248000000,None,2760000000,1001000000,1547000000,18257000000,16710000000,10270000000,None,None,1512000000,2756000000,698000000,16710000000,2058000000,2696000000,19466000000,20978000000,2058000000,2023Q3
2,USD,5444000000,26047000000,9159000000,3872000000,2577000000,1273000000,None,2867000000,None,1684000000,16836000000,15152000000,9211000000,None,None,1594000000,1736000000,520000000,15152000000,1216000000,580000000,16888000000,18482000000,1216000000,2023Q2
3,USD,8232000000,25381000000,8231000000,4355000000,5976000000,1286000000,None,2256000000,None,1781000000,14938000000,13157000000,10443000000,None,None,970000000,3993000000,759000000,13157000000,3234000000,3643000000,17150000000,18120000000,3234000000,2023Q1
4,USD,3903000000,20930000000,9063000000,16174000000,1723000000,1453000000,None,2180000000,766000000,2074000000,12411000000,10337000000,8519000000,None,None,727000000,1530000000,204000000,10337000000,1326000000,188000000,11867000000,12594000000,1326000000,2022Q4
5,USD,5738000000,18482000000,8219000000,3861000000,3694000000,1378000000,None,2044000000,578000000,2043000000,8550000000,6507000000,9932000000,None,None,666000000,3756000000,687000000,6507000000,3069000000,3151000000,10263000000,10929000000,3069000000,2022Q3
6,USD,4651000000,14981000000,8320000000,3954000000,2653000000,1428000000,None,1998000000,None,1734000000,4851000000,3117000000,10130000000,None,None,570000000,3544000000,617000000,3117000000,2927000000,3657000000,6661000000,7231000000,2927000000,2022Q2
7,USD,5491000000,14318000000,8277000000,4334000000,3725000000,1274000000,None,1766000000,None,1827000000,3212000000,1385000000,11106000000,None,None,492000000,4656000000,717000000,1385000000,3939000000,3323000000,6041000000,6533000000,3939000000,2022Q1
8,USD,5938000000,13854000000,7614000000,18700000000,4062000000,1388000000,None,1876000000,None,1795000000,3010000000,1215000000,10844000000,None,None,488000000,5025000000,1090000000,1215000000,3935000000,3823000000,6240000000,6728000000,3935000000,2021Q4
9,USD,7926000000,15161000000,6766000000,3406000000,6183000000,1234000000,None,1743000000,None,1564000000,3117000000,1553000000,12044000000,None,None,509000000,6842000000,1464000000,1553000000,5378000000,5311000000,8395000000,8904000000,5378000000,2021Q3
10,USD,8144000000,16698000000,8548000000,5504000000,6553000000,1071000000,None,1591000000,None,1629000000,2939000000,1310000000,13759000000,None,None,520000000,6840000000,1354000000,1310000000,5486000000,5671000000,8150000000,8670000000,5486000000,2021Q2
11,USD,9798000000,19276000000,9367000000,6290000000,8238000000,1062000000,None,1560000000,None,1482000000,3054000000,1572000000,16222000000,None,None,498000000,8337000000,1501000000,1572000000,6836000000,6196000000,9909000000,10407000000,6836000000,2021Q1
12,USD,6401000000,13304000000,6200000000,14269000000,4698000000,1034000000,None,1703000000,None,1410000000,2973000000,1563000000,10331000000,None,None,498000000,5541000000,1035000000,1563000000,4506000000,3707000000,7104000000,7602000000,4506000000,2020Q4
