,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Quarter
0,USD,9371118000,1823081000,491679000,491679000,670000,None,7548037000,7298337000,None,59247000,59247000,None,None,None,None,553107000,None,6341289000,534114000,None,None,None,0,5807175000,51761000,5155164000,None,None,5247761000,384935000,472169000,2963895000,None,-417992000,566000,49616000,2023Q3
1,USD,9769415000,1667418000,389405000,389405000,11878000,None,8101997000,7566821000,None,61108000,61108000,None,None,248904000,None,531800000,None,6200962000,496571000,None,None,None,4997612000,5704391000,51866000,4945746000,None,None,5048064000,362277000,51866000,3502625000,None,126189000,566000,49581000,2023Q2
2,USD,9580132000,1662397000,417746000,417746000,19053000,None,7917735000,7391100000,None,62987000,62987000,None,None,250639000,None,532938000,None,5997609000,462165000,None,None,None,4829456000,5535444000,51350000,4778106000,None,None,4882394000,322357000,51350000,3516758000,None,145332000,566000,49455000,2023Q1
3,USD,9603463000,1951134000,626653000,626653000,23324000,None,7652329000,7506790000,None,64866000,64866000,None,None,2895000,246171000,272353000,None,5997351000,944511000,None,None,None,4747183000,5052840000,51321000,4581121000,None,None,4798504000,797231000,390253000,3540499000,None,168077000,564000,49300000,2022Q4
4,USD,9508681000,1842293000,354605000,354605000,154679000,None,7666388000,7420693000,None,68068000,68068000,None,None,7386843000,2897000,643519000,None,5957790000,539785000,None,None,None,4679127000,5418005000,51716000,4627411000,None,None,4727043000,406184000,51716000,3485890000,None,115326000,564000,49471000,2022Q3
5,USD,9508080000,1647438000,572774000,572774000,32300000,None,7860642000,7396431000,None,70027000,70027000,None,None,7590217000,2840000,414004000,None,6064279000,562051000,None,None,None,-37061000,5502228000,50199000,4800692000,None,None,4897517000,444314000,50199000,3393398000,None,7230000,564000,50822000,2022Q2
6,USD,9467687000,1761505000,688037000,688037000,46963000,None,7706182000,7251166000,None,71997000,71997000,None,None,7441353000,2901000,431688000,None,5914289000,553087000,None,None,None,-2522000,5361202000,69157000,4674950000,None,None,4791709000,406053000,69157000,3552884000,-391655000,-14334000,564000,52501000,2022Q1
7,USD,9581694000,1998741000,843212000,843212000,58546000,None,7582953000,7090266000,None,73977000,73977000,None,None,2913000,None,300956000,None,5848524000,983167000,None,None,None,438497000,4865357000,69363000,4591157000,None,None,4660520000,807494000,368997000,3709995000,-220073000,-16456000,563000,54449761,2021Q4
8,USD,9514913000,2110809000,1010619000,1010619000,19508000,None,7404104000,6918950000,None,75971000,75971000,None,None,7147200000,None,511972000,None,5832329000,555775000,None,None,None,-132978000,5276554000,67564000,4423635000,None,None,4536277000,417641000,67564000,3682593000,-122253000,-130256000,563000,55756000,2021Q3
9,USD,9309069000,1833390000,1063261000,1063261000,12580000,None,7475679000,6966023000,None,78001000,78001000,None,None,2917000,None,259658000,None,5637166000,542501000,None,None,None,60453000,5094665000,68102000,4415105000,None,None,4562286000,403970000,-1000,3671571000,-122091000,-134309000,563000,55757000,2021Q2
10,USD,9154162000,1699138000,975784000,975784000,24656000,None,7455024000,6857080000,None,80346000,80346000,None,None,7191254000,None,233633000,None,5492895000,464945000,None,None,None,18274000,5027950000,68460000,4395187000,None,None,4507982000,343687000,68460000,3660842000,-122091000,-139150000,563000,55678000,2021Q1
11,USD,9140332000,1906840000,1014686000,1014686000,56943000,None,7233492000,6741324000,None,82071000,82071000,None,None,7062214000,None,341390000,None,5425309000,852258000,None,None,None,421328000,4573051000,68929000,4287369000,None,None,4356298000,731212000,68929000,3714603000,-122091000,-72556000,562000,55383333,2020Q4
12,USD,9041245000,1690344000,857390000,857390000,58598000,None,7350901000,6691513000,None,83566000,83566000,None,None,7024308000,None,306115000,None,5327583000,475878000,None,None,None,63924000,4851705000,69246000,4219334000,None,None,4318258000,361324000,69246000,3713287000,-120706000,-65910000,561000,55585000,2020Q3
13,USD,9244558000,1770576000,930597000,930597000,59317000,None,7473982000,7049513000,None,85086000,85086000,None,None,7111337000,None,330206000,None,5504855000,535319000,None,None,None,128529000,4969536000,69607000,4401063000,None,None,4503952000,417967000,69607000,3554815000,-120530000,-205621000,561000,55530000,2020Q2
14,USD,9119724000,1765247000,971695000,971695000,57491000,None,7354477000,6931058000,None,86655000,86655000,None,None,7000004000,None,332347000,None,5347126000,513450000,None,None,None,149370000,4833676000,69980000,4304590000,None,None,4410016000,390350000,69980000,3587691000,-120530000,-171537000,561000,43380000,2020Q1
15,USD,8413766000,1249908000,422857000,422857000,60731000,None,7163858000,6829753000,None,88302000,88302000,1307000,None,6882112000,None,300373000,None,5080778000,733147000,None,None,None,-282357000,4347631000,70413000,4096470000,40135000,None,4166883000,-87563000,70413000,3148133000,-120530000,-46385000,437000,36666667,2019Q4
16,USD,7947915000,1313714000,637979000,637979000,60329000,None,6634201000,6220052000,None,38375000,38375000,None,None,195680000,None,241859000,None,4567859000,480616000,None,None,None,193408000,4087243000,71190000,3624684000,48788000,None,3730987000,363513000,71190000,3191551000,-62190000,-45285000,438000,43428000,2019Q3
17,USD,7709178000,1273579000,650702000,650702000,65392000,None,6435599000,6138265000,None,39328000,39328000,None,None,113965000,None,231527000,None,4357411000,498751000,None,None,None,226525000,3858660000,71125000,3422490000,40848000,None,3531161000,384689000,71125000,3163724000,-62190000,-75043000,437000,43271000,2019Q2
18,USD,7416007000,989506000,452908000,452908000,69110000,None,6426501000,6131867000,None,40368000,40368000,None,None,102944000,None,10950000,None,4108534000,456950000,None,None,None,206690000,3651584000,71888000,3241985000,24160000,None,3340378000,354551000,71888000,3160467000,-62190000,-88520000,437000,43257000,2019Q1
19,USD,7355799000,1375403000,499676000,499676000,198352000,None,5980396000,5884682000,None,59834000,59834000,1307000,None,102287000,None,411636000,None,4117673000,779272000,None,None,None,-327263000,3338401000,None,3181213000,16517000,None,3181213000,-63627000,None,3132212000,-62190000,-120341000,436000,43326744,2018Q4
