,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,USD,110157000,268659000,158502000,158502000,-627122000,21601000,None,81073000,None,-30823000,61709000,38552000,None,None,None,55873000,-688879000,-144744000,None,-544135000,None,6028000,61901000,-544181000,2023Q3
1,USD,78754000,223316000,144562000,144562000,630000,20217000,None,78108000,None,-28955000,4992000,33947000,None,-1194000,None,53122000,-34511000,-15370000,None,-19141000,None,-449000,52673000,-19143000,2023Q2
2,USD,81944000,196289000,114345000,114345000,14942000,23553000,None,71732000,None,-34045000,38847000,38137000,None,-710000,None,51908000,-23905000,-1278000,None,-22627000,None,9603000,61511000,-22745000,2023Q1
3,USD,188541000,482005000,293464000,293464000,136234000,20898000,None,77976000,None,-28383000,62460000,30928000,None,None,None,52777000,72042000,18678000,None,53364000,None,79033000,131810000,52751000,2022Q4
4,USD,227687000,639549000,411862000,411862000,157197000,19471000,None,70490000,None,-23378000,15670000,24373000,None,8703000,None,49929000,141527000,33858000,None,107669000,None,165986000,215915000,108096000,2022Q3
5,USD,126766000,276708000,149942000,149942000,63048000,15512000,None,67736000,None,-27898000,254000,28152000,None,-6201000,None,49066000,28695000,7263000,None,21432000,None,53192000,102258000,21564000,2022Q2
6,USD,90623000,210226000,119603000,119603000,12656000,25891000,None,77958000,None,-27414000,24000,27438000,None,17654000,None,48633000,2872000,701000,None,2171000,None,30601000,79234000,2122000,2022Q1
7,USD,280833000,805676000,524843000,524843000,202154000,20857000,None,71284000,None,-32808000,23000,32831000,None,-26115000,None,49705000,143208000,31859000,None,111349000,None,183905000,233610000,113800000,2021Q4
8,USD,86787000,219188000,132401000,132401000,49135000,19033000,None,76793000,None,-31544000,12000,31556000,None,-9413000,None,56222000,8166000,6049000,None,2117000,None,2235000,58457000,4053000,2021Q3
9,USD,86659000,212457000,125798000,125798000,25659000,20334000,None,69265000,None,-31408000,23541000,31439000,None,7847000,None,49750000,2067000,-1550000,None,3617000,None,25330000,75080000,4841000,2021Q2
