,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,0.49,0.49,0,0,2024Q1
1,0.74,0.69,0.05,7.2464,2023Q4
2,0.78,0.72,0.06,8.3333,2023Q3
3,0.68,0.65,0.03,4.6154,2023Q2
4,0.45,0.45,0,0,2023Q1
5,0.69,0.64,0.05,7.8125,2022Q4
6,0.7,0.67,0.03,4.4776,2022Q3
7,0.64,0.58,0.06,10.3448,2022Q2
8,0.45,0.41,0.04,9.7561,2022Q1
9,0.65,0.58,0.07,12.069,2021Q4
10,0.68,0.56,0.12,21.4286,2021Q3
11,0.55,0.5,0.05,10,2021Q2
12,0.47,0.42,0.05,11.9048,2021Q1
13,0.55,0.46,0.09,19.5652,2020Q4
14,0.42,0.4,0.02,5,2020Q3
15,0.51,0.44,0.07,15.9091,2020Q2
16,0.44,0.44,0,0,2020Q1
17,0.56,0.56,0,0,2019Q4
18,0.63,0.61,0.02,3.2787,2019Q3
19,0.48,0.46,0.02,4.3478,2019Q2
20,0.43,0.43,0,0,2019Q1
21,0.58,0.55,0.03,5.4545,2018Q4
22,0.61,0.6,0.01,1.6667,2018Q3
23,0.47,0.46,0.01,2.1739,2018Q2
24,0.39,0.38,0.01,2.6316,2018Q1
25,0.5,0.49,0.01,2.0408,2017Q4
26,0.59,0.57,0.02,3.5088,2017Q3
27,0.43,0.44,-0.01,-2.2727,2017Q2
28,0.37,0.37,0,0,2017Q1
29,0.49,0.48,0.01,2.0833,2016Q4
30,0.6,0.58,0.02,3.4483,2016Q3
31,0.45,0.44,0.01,2.2727,2016Q2
32,0.38,0.37,0.01,2.7027,2016Q1
33,0.51,0.5,0.01,2,2015Q4
34,0.63,0.6,0.03,5,2015Q3
35,0.48,0.42,0.06,14.2857,2015Q2
36,0.44,0.42,0.02,4.7619,2015Q1
37,0.53,0.53,0,0,2014Q4
38,0.64,0.63,0.01,1.5873,2014Q3
39,0.44,0.44,0,0,2014Q2
40,0.46,0.46,0,0,2014Q1
41,0.53,0.53,0,0,2013Q4
42,0.63,0.63,0,0,2013Q3
43,0.46,0.45,0.01,2.2222,2013Q2
44,0.45,0.44,0.01,2.2727,2013Q1
45,0.51,0.51,0,0,2012Q4
46,0.61,0.59,0.02,3.3898,2012Q3
47,0.45,0.44,0.01,2.2727,2012Q2
48,0.4,0.39,0.01,2.5641,2012Q1
49,0.52,0.51,0.01,1.9608,2011Q4
50,0.59,0.58,0.01,1.7241,2011Q3
51,0.43,0.43,0,0,2011Q2
52,0.36,0.36,0,0,2011Q1
53,0.46,0.45,0.01,2.2222,2010Q4
54,0.53,0.51,0.02,3.9216,2010Q3
55,0.4,0.37,0.03,8.1081,2010Q2
56,0.33,0.33,0,0,2010Q1
57,0.41,0.41,0,0,2009Q4
58,0.46,0.45,0.01,2.2222,2009Q3
59,0.33,0.32,0.01,3.125,2009Q2
60,0.32,0.31,0.01,3.2258,2009Q1
61,0.42,0.38,0.04,10.5263,2008Q4
62,0.51,0.48,0.03,6.25,2008Q3
63,0.34,0.31,0.03,9.6774,2008Q2
64,0.29,0.28,0.01,3.5714,2008Q1
65,0.36,0.34,0.02,5.8824,2007Q4
66,0.43,0.41,0.02,4.878,2007Q3
67,0.28,0.27,0.01,3.7037,2007Q2
68,0.26,0.25,0.01,4,2007Q1
69,0.31,0.3,0.01,3.3333,2006Q4
70,0.37,0.36,0.01,2.7778,2006Q3
71,0.25,0.24,0.01,4.1667,2006Q2
72,0.23,0.22,0.01,4.5455,2006Q1
73,0.28,0.26,0.02,7.6923,2005Q4
74,0.34,0.32,0.02,6.25,2005Q3
75,0.24,0.22,0.02,9.0909,2005Q2
76,0.23,0.2,0.03,15,2005Q1
77,0.25,0.23,0.02,8.6957,2004Q4
78,0.32,0.32,0,0,2004Q3
79,0.23,0.22,0.01,4.5455,2004Q2
80,0.23,0.22,0.01,4.5455,2004Q1
81,0.28,0.26,0.02,7.6923,2003Q4
82,0.28,0.27,0.01,3.7037,2003Q3
83,0.19,0.19,0,0,2003Q2
84,0.2,0.2,0,0,2003Q1
85,0.24,0.24,0,0,2002Q4
86,0.26,0.26,0,0,2002Q3
87,0.19,0.19,0,0,2002Q2
88,0.19,0.18,0.01,5.5556,2002Q1
89,0.23,0.2,0.03,15,2001Q4
90,0.23,0.22,0.01,4.5455,2001Q3
91,0.18,0.17,0.01,5.8824,2001Q2
92,0.19,0.19,0,0,2001Q1
93,0.21,0.2,0.01,5,2000Q4
94,0.22,0.21,0.01,4.7619,2000Q3
95,0.11,0.11,0,0,2000Q2
96,0.16,0.15,0.01,6.6667,2000Q1
97,0.16,0.16,0,0,1999Q4
98,0.19,0.19,0,0,1999Q3
99,0.15,0.14,0.01,7.1429,1999Q2
100,0.12,0.12,0,0,1999Q1
101,0.18,0.18,0,0,1998Q4
102,0.24,0.24,0,0,1998Q3
103,0.17,0.17,0,0,1998Q2
104,0.17,0.17,0,0,1998Q1
105,0.21,0.21,0,0,1997Q4
106,0.24,0.24,0,0,1997Q3
107,0.2,0.2,0,0,1997Q2
108,0.16,0.16,0,0,1997Q1
109,0.2,0.19,0.01,5.2632,1996Q4
110,0.21,0.21,0,0,1996Q3
111,0.14,0.14,0,0,1996Q2
