,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,2.49,2.22,0.27,12.1622,2024Q1
1,0.1,-0.13,0.23,176.9231,2023Q4
2,2.11,1.98,0.13,6.5657,2023Q3
3,1.62,1.73,-0.11,-6.3584,2023Q2
4,2.09,1.78,0.31,17.4157,2023Q1
5,1.98,1.92,0.06,3.125,2022Q4
6,1.25,1.69,-0.44,-26.0355,2022Q3
7,2.77,2.32,0.45,19.3966,2022Q2
8,2.49,2.46,0.03,1.2195,2022Q1
9,1.94,1.98,-0.04,-2.0202,2021Q4
10,1.87,1.89,-0.02,-1.0582,2021Q3
11,1.87,2.13,-0.26,-12.2066,2021Q2
12,2.75,2.35,0.4,17.0213,2021Q1
13,1.54,1.71,-0.17,-9.9415,2020Q4
14,1.89,1.56,0.33,21.1538,2020Q3
15,1.75,1.48,0.27,18.2432,2020Q2
16,1.73,1.52,0.21,13.8158,2020Q1
17,1.48,1.41,0.07,4.9645,2019Q4
18,1.5,1.45,0.05,3.4483,2019Q3
19,1.33,1.31,0.02,1.5267,2019Q2
20,1.33,1.34,-0.01,-0.7463,2019Q1
21,1.39,1.35,0.04,2.963,2018Q4
22,1.5,1.3,0.2,15.3846,2018Q3
23,1.34,1.13,0.21,18.5841,2018Q2
24,1.14,1.07,0.07,6.5421,2018Q1
25,1.05,1.03,0.02,1.9417,2017Q4
26,1.11,1.05,0.06,5.7143,2017Q3
27,0.98,0.96,0.02,2.0833,2017Q2
28,0.95,0.98,-0.03,-3.0612,2017Q1
29,0.88,0.96,-0.08,-8.3333,2016Q4
30,0.86,0.86,0,0,2016Q3
31,0.83,0.85,-0.02,-2.3529,2016Q2
32,0.78,0.78,0,0,2016Q1
33,0.89,0.76,0.13,17.1053,2015Q4
34,0.9,0.74,0.16,21.6216,2015Q3
35,0.87,0.77,0.1,12.987,2015Q2
36,0.75,0.73,0.02,2.7397,2015Q1
37,0.66,0.67,-0.01,-1.4925,2014Q4
38,0.68,0.65,0.03,4.6154,2014Q3
39,0.7,0.7,0,0,2014Q2
40,0.74,0.74,0,0,2014Q1
41,1.11,1.04,0.07,6.7308,2013Q4
42,1.16,1,0.16,16,2013Q3
43,1.14,1.05,0.09,8.5714,2013Q2
44,0.85,0.78,0.07,8.9744,2013Q1
45,0.79,0.83,-0.04,-4.8193,2012Q4
46,0.83,0.77,0.06,7.7922,2012Q3
47,0.92,0.78,0.14,17.9487,2012Q2
48,0.87,0.81,0.06,7.4074,2012Q1
49,1.13,1.13,0,0,2011Q4
50,1.18,1.18,0,0,2011Q3
51,1.24,1.17,0.07,5.9829,2011Q2
52,1.11,1.1,0.01,0.9091,2011Q1
53,1.21,1.15,0.06,5.2174,2010Q4
54,1.24,1.1,0.14,12.7273,2010Q3
55,1.18,1.1,0.08,7.2727,2010Q2
56,0.91,0.92,-0.01,-1.087,2010Q1
57,1.2,1.02,0.18,17.6471,2009Q4
58,1.12,1.02,0.1,9.8039,2009Q3
59,1.2,0.99,0.21,21.2121,2009Q2
60,1.07,1.05,0.02,1.9048,2009Q1
61,1.04,1.02,0.02,1.9608,2008Q4
62,0.99,1,-0.01,-1,2008Q3
63,0.92,0.96,-0.04,-4.1667,2008Q2
64,0.9,0.89,0.01,1.1236,2008Q1
65,0.91,0.87,0.04,4.5977,2007Q4
66,0.9,0.82,0.08,9.7561,2007Q3
67,0.84,0.79,0.05,6.3291,2007Q2
68,0.85,0.82,0.03,3.6585,2007Q1
69,0.8,0.79,0.01,1.2658,2006Q4
70,0.76,0.75,0.01,1.3333,2006Q3
71,0.77,0.75,0.02,2.6667,2006Q2
72,0.8,0.78,0.02,2.5641,2006Q1
73,0.73,0.71,0.02,2.8169,2005Q4
74,0.67,0.67,0,0,2005Q3
75,0.68,0.66,0.02,3.0303,2005Q2
76,0.75,0.74,0.01,1.3514,2005Q1
77,0.69,0.68,0.01,1.4706,2004Q4
78,0.68,0.68,0,0,2004Q3
79,0.7,0.66,0.04,6.0606,2004Q2
80,0.67,0.67,0,0,2004Q1
81,0.66,0.66,0,0,2003Q4
82,0.64,0.6,0.04,6.6667,2003Q3
83,0.61,0.58,0.03,5.1724,2003Q2
84,0.68,0.68,0,0,2003Q1
85,0.68,0.68,0,0,2002Q4
86,0.61,0.61,0,0,2002Q3
87,0.58,0.58,0,0,2002Q2
88,0.6,0.6,0,0,2002Q1
89,0.66,0.66,0,0,2001Q4
90,0.76,0.74,0.02,2.7027,2001Q3
91,0.74,0.73,0.01,1.3699,2001Q2
92,0.7,0.7,0,0,2001Q1
93,0.71,0.71,0,0,2000Q4
94,0.61,0.6,0.01,1.6667,2000Q3
95,0.63,0.61,0.02,3.2787,2000Q2
96,0.61,0.61,0,0,2000Q1
97,0.62,0.62,0,0,1999Q4
98,0.52,0.51,0.01,1.9608,1999Q3
99,0.53,0.53,0,0,1999Q2
100,0.5,0.51,-0.01,-1.9608,1999Q1
101,0.53,0.51,0.02,3.9216,1998Q4
102,0.45,0.43,0.02,4.6512,1998Q3
103,0.47,0.46,0.01,2.1739,1998Q2
104,0.41,0.42,-0.01,-2.381,1998Q1
105,0.41,0.4,0.01,2.5,1997Q4
106,0.38,0.38,0,0,1997Q3
107,0.41,0.4,0.01,2.5,1997Q2
108,0.34,0.34,0,0,1997Q1
109,0.38,0.32,0.06,18.75,1996Q4
110,0.32,0.32,0,0,1996Q3
111,0.36,0.36,0,0,1996Q2
