,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,3.06,3.03,0.03,0.9901,2023Q4
1,4.56,4.49,0.07,1.559,2023Q3
2,3.67,3.44,0.23,6.686,2023Q2
3,2.28,2.21,0.07,3.1674,2023Q1
4,3.27,3.1,0.17,5.4839,2022Q4
5,4.67,4.58,0.09,1.9651,2022Q3
6,3.51,3.22,0.29,9.0062,2022Q2
7,1.78,1.71,0.07,4.0936,2022Q1
8,2.73,2.36,0.37,15.678,2021Q4
9,4.25,4.01,0.24,5.985,2021Q3
10,3.21,2.62,0.59,22.5191,2021Q2
11,1.33,1.21,0.12,9.9174,2021Q1
12,1.98,1.99,-0.01,-0.5025,2020Q4
13,3.75,2.95,0.8,27.1186,2020Q3
14,1.77,1.32,0.45,34.0909,2020Q2
15,0.94,0.91,0.03,3.2967,2020Q1
16,1.41,1.35,0.06,4.4444,2019Q4
17,2.15,2.01,0.14,6.9652,2019Q3
18,1.22,1.33,-0.11,-8.2707,2019Q2
19,0.8,0.77,0.03,3.8961,2019Q1
20,1.04,0.98,0.06,6.1224,2018Q4
21,2.07,2.02,0.05,2.4752,2018Q3
22,1.19,1.22,-0.03,-2.459,2018Q2
23,0.74,0.87,-0.13,-14.9425,2018Q1
24,1.05,1.02,0.03,2.9412,2017Q4
25,1.57,1.61,-0.04,-2.4845,2017Q3
26,1.03,1.06,-0.03,-2.8302,2017Q2
27,0.86,0.79,0.07,8.8608,2017Q1
28,0.88,0.96,-0.08,-8.3333,2016Q4
29,1.37,1.42,-0.05,-3.5211,2016Q3
30,0.87,0.85,0.02,2.3529,2016Q2
31,0.59,0.59,0,0,2016Q1
32,0.8,0.78,0.02,2.5641,2015Q4
33,1.2,1.24,-0.04,-3.2258,2015Q3
34,0.7,0.74,-0.04,-5.4054,2015Q2
35,0.46,0.43,0.03,6.9767,2015Q1
36,0.59,0.58,0.01,1.7241,2014Q4
37,1.04,1.02,0.02,1.9608,2014Q3
38,0.58,0.6,-0.02,-3.3333,2014Q2
39,0.31,0.31,0,0,2014Q1
40,0.47,0.48,-0.01,-2.0833,2013Q4
41,0.88,0.79,0.09,11.3924,2013Q3
42,0.49,0.51,-0.02,-3.9216,2013Q2
43,0.26,0.23,0.03,13.0435,2013Q1
44,0.4,0.35,0.05,14.2857,2012Q4
45,0.65,0.7,-0.05,-7.1429,2012Q3
46,0.44,0.42,0.02,4.7619,2012Q2
47,0.29,0.24,0.05,20.8333,2012Q1
48,0.35,0.33,0.02,6.0606,2011Q4
49,0.68,0.66,0.02,3.0303,2011Q3
50,0.34,0.36,-0.02,-5.5556,2011Q2
51,0.21,0.18,0.03,16.6667,2011Q1
52,0.31,0.3,0.01,3.3333,2010Q4
53,0.58,0.59,-0.01,-1.6949,2010Q3
54,0.34,0.31,0.03,9.6774,2010Q2
55,0.14,0.12,0.02,16.6667,2010Q1
56,0.24,0.24,0,0,2009Q4
57,0.53,0.54,-0.01,-1.8519,2009Q3
58,0.32,0.25,0.07,28,2009Q2
59,0.11,0.12,-0.01,-8.3333,2009Q1
60,0.33,0.28,0.05,17.8571,2008Q4
61,0.64,0.56,0.08,14.2857,2008Q3
62,0.41,0.4,0.01,2.5,2008Q2
63,0.28,0.25,0.03,12,2008Q1
64,0.43,0.41,0.02,4.878,2007Q4
65,0.67,0.61,0.06,9.8361,2007Q3
66,0.48,0.49,-0.01,-2.0408,2007Q2
67,0.4,0.37,0.03,8.1081,2007Q1
68,0.46,0.43,0.03,6.9767,2006Q4
69,0.6,0.61,-0.01,-1.6393,2006Q3
70,0.53,0.47,0.06,12.766,2006Q2
71,0.44,0.4,0.04,10,2006Q1
72,0.41,0.39,0.02,5.1282,2005Q4
73,0.53,0.51,0.02,3.9216,2005Q3
74,0.37,0.38,-0.01,-2.6316,2005Q2
75,0.32,0.3,0.02,6.6667,2005Q1
76,0.33,0.33,0,0,2004Q4
77,0.45,0.45,0,0,2004Q3
78,0.28,0.27,0.01,3.7037,2004Q2
79,0.25,0.25,0,0,2004Q1
80,0.28,0.27,0.01,3.7037,2003Q4
81,0.38,0.35,0.03,8.5714,2003Q3
82,0.27,0.26,0.01,3.8462,2003Q2
83,0.2,0.17,0.03,17.6471,2003Q1
84,0.22,0.2,0.02,10,2002Q4
85,0.3,0.27,0.03,11.1111,2002Q3
86,0.22,0.18,0.04,22.2222,2002Q2
87,0.14,0.13,0.01,7.6923,2002Q1
88,0.16,0.15,0.01,6.6667,2001Q4
89,0.21,0.2,0.01,5,2001Q3
90,0.14,0.14,0,0,2001Q2
91,0.05,0.09,-0.04,-44.4444,2001Q1
92,0.13,0.13,0,0,2000Q4
93,0.18,0.18,0,0,2000Q3
94,0.12,0.12,0,0,2000Q2
95,0.1,0.09,0.01,11.1111,2000Q1
96,0.11,0.1,0.01,10,1999Q4
97,0.15,0.15,0,0,1999Q3
98,0.09,0.08,0.01,12.5,1999Q2
99,0.08,0.07,0.01,14.2857,1999Q1
100,0.08,0.08,0,0,1998Q4
101,0.12,0.12,0,0,1998Q3
102,0.07,0.06,0.01,16.6667,1998Q2
103,0.05,0.05,0,0,1998Q1
104,0.06,0.06,0,0,1997Q4
105,0.09,0.09,0,0,1997Q3
106,0.05,0.05,0,0,1997Q2
107,0.04,0.04,0,0,1997Q1
108,0.05,0.05,0,0,1996Q4
109,0.08,0.08,0,0,1996Q3
110,0.04,0.03,0.01,33.3333,1996Q2
111,0.03,0.03,0,0,1996Q1
