,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,2.95,2.82,0.13,4.6099,2024Q1
1,3.19,3,0.19,6.3333,2023Q4
2,3.17,2.79,0.38,13.6201,2023Q3
3,2.63,2.33,0.3,12.8755,2023Q2
4,2.59,2.45,0.14,5.7143,2023Q1
5,2.68,2.58,0.1,3.876,2022Q4
6,2.55,2.47,0.08,3.2389,2022Q3
7,2.28,2.17,0.11,5.0691,2022Q2
8,2.23,2.34,-0.11,-4.7009,2022Q1
9,2.76,2.46,0.3,12.1951,2021Q4
10,2.37,2.11,0.26,12.3223,2021Q3
11,1.92,1.81,0.11,6.0773,2021Q2
12,1.7,1.78,-0.08,-4.4944,2021Q1
13,2.22,1.9,0.32,16.8421,2020Q4
14,0.66,0.74,-0.08,-10.8108,2020Q3
15,1.47,1.57,-0.1,-6.3694,2020Q2
16,1.97,1.96,0.01,0.5102,2020Q1
17,2.11,2.21,-0.1,-4.5249,2019Q4
18,2.05,2.05,0,0,2019Q3
19,1.78,1.75,0.03,1.7143,2019Q2
20,1.97,1.89,0.08,4.2328,2019Q1
21,2.1,1.99,0.11,5.5276,2018Q4
22,1.99,1.92,0.07,3.6458,2018Q3
23,1.79,1.67,0.12,7.1856,2018Q2
24,1.71,1.59,0.12,7.5472,2018Q1
25,1.76,1.77,-0.01,-0.565,2017Q4
26,1.73,1.62,0.11,6.7901,2017Q3
27,1.47,1.33,0.14,10.5263,2017Q2
28,1.43,1.41,0.02,1.4184,2017Q1
29,1.62,1.48,0.14,9.4595,2016Q4
30,1.45,1.38,0.07,5.0725,2016Q3
31,1.23,1.16,0.07,6.0345,2016Q2
32,1.31,1.23,0.08,6.5041,2016Q1
33,1.4,1.27,0.13,10.2362,2015Q4
34,1.29,1.23,0.06,4.878,2015Q3
35,1.01,1.06,-0.05,-4.717,2015Q2
36,1.13,1.22,-0.09,-7.377,2015Q1
37,1.36,1.37,-0.01,-0.7299,2014Q4
38,1.4,1.44,-0.04,-2.7778,2014Q3
39,1.21,1.24,-0.03,-2.4194,2014Q2
40,1.4,1.39,0.01,0.7194,2014Q1
41,1.52,1.51,0.01,0.6623,2013Q4
42,1.38,1.4,-0.02,-1.4286,2013Q3
43,1.26,1.27,-0.01,-0.7874,2013Q2
44,1.38,1.33,0.05,3.7594,2013Q1
45,1.43,1.47,-0.04,-2.7211,2012Q4
46,1.32,1.37,-0.05,-3.6496,2012Q3
47,1.23,1.23,0,0,2012Q2
48,1.33,1.3,0.03,2.3077,2012Q1
49,1.45,1.43,0.02,1.3986,2011Q4
50,1.35,1.28,0.07,5.4688,2011Q3
51,1.15,1.14,0.01,0.8772,2011Q2
52,1.16,1.16,0,0,2011Q1
53,1.29,1.25,0.04,3.2,2010Q4
54,1.13,1.12,0.01,0.8929,2010Q3
55,1.03,0.96,0.07,7.2917,2010Q2
56,1.03,1.02,0.01,0.9804,2010Q1
57,1.15,1.11,0.04,3.6036,2009Q4
58,0.97,0.97,0,0,2009Q3
59,0.83,0.82,0.01,1.2195,2009Q2
60,0.87,0.83,0.04,4.8193,2009Q1
61,1.05,0.98,0.07,7.1429,2008Q4
62,0.94,0.86,0.08,9.3023,2008Q3
63,0.81,0.7,0.11,15.7143,2008Q2
64,0.73,0.71,0.02,2.8169,2008Q1
65,0.83,0.83,0,0,2007Q4
66,0.71,0.71,0,0,2007Q3
67,0.62,0.62,0,0,2007Q2
68,0.61,0.61,0,0,2007Q1
69,0.68,0.68,0,0,2006Q4
70,0.67,0.62,0.05,8.0645,2006Q3
71,0.49,0.49,0,0,2006Q2
72,0.48,0.48,0,0,2006Q1
73,0.58,0.58,0,0,2005Q4
74,0.42,0.42,0,0,2005Q3
75,0.56,0.43,0.13,30.2326,2005Q2
76,0.45,0.46,-0.01,-2.1739,2005Q1
77,0.61,0.61,0,0,2004Q4
78,0.47,0.47,0,0,2004Q3
79,0.4,0.4,0,0,2004Q2
80,0.35,0.35,0,0,2004Q1
81,0.43,0.4,0.03,7.5,2003Q4
82,0.37,0.37,0,0,2003Q3
83,0.29,0.28,0.01,3.5714,2003Q2
84,0.25,0.25,0,0,2003Q1
85,0.38,0.39,-0.01,-2.5641,2002Q4
86,0.39,0.38,0.01,2.6316,2002Q3
87,0.31,0.29,0.02,6.8966,2002Q2
88,0.34,0.34,0,0,2002Q1
89,0.42,0.39,0.03,7.6923,2001Q4
90,0.34,0.34,0,0,2001Q3
91,0.29,0.3,-0.01,-3.3333,2001Q2
92,0.34,0.35,-0.01,-2.8571,2001Q1
93,0.41,0.41,0,0,2000Q4
94,0.39,0.4,-0.01,-2.5,2000Q3
95,0.33,0.32,0.01,3.125,2000Q2
96,0.35,0.36,-0.01,-2.7778,2000Q1
97,0.39,0.39,0,0,1999Q4
98,0.37,0.37,0,0,1999Q3
99,0.3,0.29,0.01,3.4483,1999Q2
100,0.32,0.32,0,0,1999Q1
101,0.35,0.34,0.01,2.9412,1998Q4
102,0.33,0.33,0,0,1998Q3
103,0.26,0.26,0,0,1998Q2
104,0.29,0.3,-0.01,-3.3333,1998Q1
105,0.32,0.33,-0.01,-3.0303,1997Q4
106,0.32,0.32,0,0,1997Q3
107,0.25,0.25,0,0,1997Q2
108,0.3,0.29,0.01,3.4483,1997Q1
109,0.31,0.32,-0.01,-3.125,1996Q4
110,0.3,0.29,0.01,3.4483,1996Q3
111,0.22,0.22,0,0,1996Q2
