,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,5.33,4.96,0.37,7.4597,2024Q1
1,4.39,3.63,0.76,20.9366,2023Q4
2,2.98,2.92,0.06,2.0548,2023Q3
3,2.2,2.03,0.17,8.3744,2023Q2
4,1.76,2.22,-0.46,-20.7207,2023Q1
5,1.64,1.89,-0.25,-13.2275,2022Q4
6,2.46,2.59,-0.13,-5.0193,2022Q3
7,2.72,2.56,0.16,6.25,2022Q2
8,3.67,3.84,-0.17,-4.4271,2022Q1
9,3.22,3.19,0.03,0.9404,2021Q4
10,3.61,3.03,0.58,19.1419,2021Q3
11,3.3,2.37,0.93,39.2405,2021Q2
12,3.88,3.22,0.66,20.4969,2021Q1
13,2.4,1.91,0.49,25.6545,2020Q4
14,1.8,1.39,0.41,29.4964,2020Q3
15,1.71,1.75,-0.04,-2.2857,2020Q2
16,2.56,2.53,0.03,1.1858,2020Q1
17,2.12,1.91,0.21,10.9948,2019Q4
18,1.99,1.88,0.11,5.8511,2019Q3
19,1.89,1.63,0.26,15.9509,2019Q2
20,2.38,2.19,0.19,8.6758,2019Q1
21,1.76,1.47,0.29,19.7279,2018Q4
22,1.74,1.72,0.02,1.1628,2018Q3
23,1.69,1.35,0.34,25.1852,2018Q2
24,2.21,1.95,0.26,13.3333,2018Q1
25,1.59,1.28,0.31,24.2188,2017Q4
26,1.32,1.13,0.19,16.8142,2017Q3
27,1.3,1.12,0.18,16.0714,2017Q2
28,1.41,1.31,0.1,7.6336,2017Q1
29,1.09,0.97,0.12,12.3711,2016Q4
30,0.97,0.82,0.15,18.2927,2016Q3
31,0.77,0.62,0.15,24.1935,2016Q2
32,0.79,0.68,0.11,16.1765,2016Q1
33,0.57,0.52,0.05,9.6154,2015Q4
34,0.5,0.47,0.03,6.383,2015Q3
35,0.42,0.4,0.02,5,2015Q2
36,0.54,0.49,0.05,10.2041,2015Q1
37,0.43,0.4,0.03,7.5,2014Q4
38,0.42,0.32,0.1,31.25,2014Q3
39,0.34,0.24,0.1,41.6667,2014Q2
40,0.31,0.27,0.04,14.8148,2014Q1
41,0.25,0.19,0.06,31.5789,2013Q4
42,0.19,0.14,0.05,35.7143,2013Q3
43,0.12,0.13,-0.01,-7.6923,2013Q2
44,0.17,0.15,0.02,13.3333,2013Q1
45,0.12,0.11,0.01,9.0909,2012Q4
46,0.12,0.12,0,0,2012Q3
47,0.0645,None,None,None,2012Q2
