,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,Quarter
0,0.89,0.8459,0.0441,5.2134,post-market,2025Q1
1,0.81,0.74,0.07,9.4595,post-market,2024Q4
2,0.68,0.63,0.05,7.9365,post-market,2024Q3
3,0.612,0.559,0.053,9.4812,post-market,2024Q2
4,0.516,0.461,0.055,11.9306,post-market,2024Q1
5,0.402,0.336,0.066,19.6429,post-market,2023Q4
6,0.27,0.207,0.063,30.4348,post-market,2023Q3
7,0.109,0.092,0.017,18.4783,post-market,2023Q2
8,0.088,0.081,0.007,8.642,post-market,2023Q1
9,0.058,0.071,-0.013,-18.3099,post-market,2022Q4
10,0.051,0.0499,0.0011,2.2044,post-market,2022Q3
11,0.136,0.13,0.006,4.6154,post-market,2022Q2
12,0.132,0.123,0.009,7.3171,post-market,2022Q1
13,0.117,0.111,0.006,5.4054,post-market,2021Q4
14,0.104,0.102,0.002,1.9608,post-market,2021Q3
15,0.0915,0.0822,0.0093,11.3139,post-market,2021Q2
16,0.0775,0.08,-0.0025,-3.125,post-market,2021Q1
17,0.073,0.064,0.009,14.0625,post-market,2020Q4
18,0.055,0.049,0.006,12.2449,post-market,2020Q3
19,0.045,0.042,0.003,7.1429,post-market,2020Q2
20,0.0473,0.05,-0.0027,-5.4,post-market,2020Q1
21,0.045,0.039,0.006,15.3846,post-market,2019Q4
22,0.031,0.029,0.002,6.8966,post-market,2019Q3
23,0.022,0.02,0.002,10,post-market,2019Q2
24,0.02,0.019,0.001,5.2632,post-market,2019Q1
25,0.046,0.047,-0.001,-2.1277,post-market,2018Q4
26,0.049,0.044,0.005,11.3636,post-market,2018Q3
27,0.051,0.04,0.011,27.5,post-market,2018Q2
28,0.039,0.029,0.01,34.4828,post-market,2018Q1
29,0.033,0.024,0.009,37.5,post-market,2017Q4
30,0.023,0.017,0.006,35.2941,post-market,2017Q3
31,0.02,0.016,0.004,25,post-market,2017Q2
32,0.025,0.021,0.004,19.0476,post-market,2017Q1
33,0.021,0.014,0.007,50,post-market,2016Q4
34,0.01,0.009,0.001,11.1111,post-market,2016Q3
35,0.008,0.008,0,0,post-market,2016Q2
36,0.009,0.008,0.001,12.5,post-market,2016Q1
37,0.011,0.006,0.005,83.3333,post-market,2015Q4
38,0.004,0.003,0.001,33.3333,post-market,2015Q3
39,0.006,0.006,0,0,post-market,2015Q2
40,0.009,0.007,0.002,28.5714,post-market,2015Q1
41,0.008,0.007,0.001,14.2857,post-market,2014Q4
42,0.006,0.005,0.001,20,pre-market,2014Q3
43,0.006,0.004,0.002,50,pre-market,2014Q2
44,0.006,0.005,0.001,20,pre-market,2014Q1
45,0.005,0.005,0,0,pre-market,2013Q4
46,0.004,0.003,0.001,33.3333,pre-market,2013Q3
47,0.0045,0.002,0.0025,125,pre-market,2013Q2
48,0.007,0.006,0.001,16.6667,pre-market,2013Q1
49,0.008,0.007,0.001,14.2857,pre-market,2012Q4
50,0.006,0.004,0.002,50,pre-market,2012Q3
51,0.003,0.002,0.001,50,pre-market,2012Q2
52,0.005,0.005,0,0,pre-market,2012Q1
53,0.007,0.006,0.001,16.6667,pre-market,2011Q4
54,0.006,0.006,0,0,pre-market,2011Q3
55,0.006,0.005,0.001,20,pre-market,2011Q2
56,0.006,0.004,0.002,50,pre-market,2011Q1
57,0.004,0.004,0,0,pre-market,2010Q4
58,0.001,0.003,-0.002,-66.6667,pre-market,2010Q3
59,0.006,0.005,0.001,20,pre-market,2010Q2
60,0.006,0.005,0.001,20,pre-market,2010Q1
61,0.005,0.003,0.002,66.6667,pre-market,2009Q4
62,0.002,-0.001,0.003,300,pre-market,2009Q3
63,-0.002,-0.003,0.001,33.3333,pre-market,2009Q2
64,-0.004,-0.002,-0.002,-100,pre-market,2009Q1
65,0.005,0.003,0.002,66.6667,pre-market,2008Q4
66,0.003,0.003,0,0,pre-market,2008Q3
67,0.009,0.01,-0.001,-10,pre-market,2008Q2
68,0.012,0.012,0,0,pre-market,2008Q1
69,0.011,0.009,0.002,22.2222,pre-market,2007Q4
70,0.009,0.007,0.002,28.5714,pre-market,2007Q3
71,0.007,0.006,0.001,16.6667,pre-market,2007Q2
72,0.009,0.007,0.002,28.5714,pre-market,2007Q1
73,0.007,0.006,0.001,16.6667,pre-market,2006Q4
74,0.0038,None,0,None,pre-market,2006Q3
75,0.005,0.005,0,0,pre-market,2006Q2
76,0.004,0.004,0,0,pre-market,2006Q1
77,0.004,0.003,0.001,33.3333,pre-market,2005Q4
78,0.003,0.003,0,0,pre-market,2005Q3
79,0.006,0.002,0.004,200,pre-market,2005Q2
80,0.003,0.002,0.001,50,pre-market,2005Q1
81,0.002,0.001,0.001,100,pre-market,2004Q4
82,0.002,0.001,0.001,100,pre-market,2004Q3
83,0.002,0.001,0.001,100,pre-market,2004Q2
84,0.003,0.001,0.002,200,pre-market,2004Q1
85,0.001,0.001,0,0,pre-market,2003Q4
86,0.001,0.001,0,0,pre-market,2003Q3
87,0.001,0.001,0,0,pre-market,2003Q2
88,0.001,0.002,-0.001,-50,pre-market,2003Q1
89,0.001,0.001,0,0,pre-market,2002Q4
90,0.001,0.001,0,0,pre-market,2002Q3
91,0.004,0.004,0,0,pre-market,2002Q2
92,0.004,0.003,0.001,33.3333,pre-market,2002Q1
93,0.002,0.002,0,0,pre-market,2001Q4
94,0.002,0.002,0,0,pre-market,2001Q3
95,0.002,0.002,0,0,pre-market,2001Q2
96,0.001,0.002,-0.001,-50,pre-market,2001Q1
97,0.001,0.001,0,0,pre-market,2000Q4
98,0.001,0.001,0,0,pre-market,2000Q3
99,0.001,0.001,0,0,pre-market,2000Q2
100,0.001,0.001,0,0,pre-market,2000Q1
101,0.001,0.002,-0.001,-50,pre-market,1999Q4
102,0.002,0.002,0,0,pre-market,1999Q3
103,0.002,0.001,0.001,100,pre-market,1999Q2
