,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,USD,1476000000,1965800000,1502000000,499100000,53600000,974500000,447900000,1422400000,None,-2800000,85300000,2800000,1968600000,5900000,None,28400000,135500000,-1611400000,2800000,1746900000,1833400000,138300000,166700000,1746900000,2024Q1
1,USD,1405300000,1880300000,1278300000,472800000,215200000,780600000,409500000,1190100000,None,-2900000,71200000,2900000,1883200000,-6000000,None,24900000,282600000,88400000,2900000,194200000,144400000,285500000,310400000,194200000,2023Q4
2,USD,1446500000,1944800000,1310600000,506800000,253500000,778600000,414400000,1193000000,None,-5700000,72500000,5700000,1950500000,-1000000,None,25200000,316500000,88800000,5700000,227700000,205200000,322200000,347400000,227700000,2023Q3
3,USD,1246100000,1710900000,1254300000,474800000,78700000,753700000,413700000,1167400000,None,-7800000,65900000,7800000,1718700000,-3600000,None,25800000,131000000,23200000,7800000,107800000,98200000,138800000,164600000,107800000,2023Q2
4,USD,1188900000,1640900000,1235900000,466200000,39900000,744900000,404100000,1149000000,None,-6900000,56600000,6900000,1647800000,2100000,None,24800000,84400000,200000,6900000,84200000,184200000,91300000,116100000,84200000,2023Q1
5,USD,1101500000,1561000000,1205500000,461900000,15200000,714500000,371800000,1086300000,None,-6800000,29400000,6800000,1567800000,-7800000,None,29100000,34400000,14400000,6800000,20000000,-35500000,41200000,70300000,20000000,2022Q4
6,USD,1058200000,1545400000,1202900000,492300000,15400000,679000000,363800000,1042800000,None,-6900000,None,6900000,1552300000,-4800000,None,31600000,17300000,14000000,6900000,3300000,6000000,24200000,55800000,3300000,2022Q3
7,USD,946200000,1379900000,1110700000,440500000,-47600000,638400000,355400000,993800000,None,-6800000,None,6800000,1386700000,-4200000,None,31800000,-52500000,20700000,6800000,-73200000,-101300000,-45700000,-13900000,-73200000,2022Q2
8,USD,911600000,1310100000,1063500000,405300000,-73900000,626500000,359000000,985500000,None,-6800000,None,6800000,1316900000,-300000,None,31700000,-80800000,12700000,6800000,-93500000,-112400000,-74000000,-42300000,-93500000,2022Q1
9,USD,866800000,1240500000,1022400000,380600000,-82700000,610000000,339500000,949500000,None,-6900000,None,6900000,1247400000,900000,None,31800000,-91200000,12400000,6900000,-103600000,-105000000,-84300000,-52500000,-103600000,2021Q4
10,USD,860400000,1175000000,986100000,358900000,-60400000,595500000,325300000,920800000,None,-41400000,1500000,41400000,1216400000,900000,None,31700000,-102300000,17000000,41400000,-119300000,-132800000,-60900000,-29200000,-119300000,2021Q3
11,USD,743300000,1032000000,906100000,330600000,-110400000,542700000,311000000,853700000,None,-41000000,1800000,41000000,1073000000,100000,None,32800000,-150400000,-5300000,41000000,-145100000,-151400000,-109400000,-76600000,-145100000,2021Q2
12,USD,709300000,972500000,868700000,307600000,-88800000,531400000,266700000,798100000,None,-40700000,2300000,40700000,1013200000,900000,None,29700000,-130000000,12300000,40700000,-142300000,-135600000,-89300000,-59600000,-142300000,2021Q1
13,USD,668200000,907900000,776700000,277800000,-44500000,475300000,237400000,712700000,None,-40200000,2900000,40200000,948100000,-2600000,None,23600000,-82300000,9900000,40200000,-92200000,-99500000,-42100000,-18500000,-92200000,2020Q4
14,USD,660000000,919000000,752300000,290400000,-17800000,461900000,215900000,677800000,None,-31400000,3400000,31400000,950400000,800000,None,23200000,-48400000,10500000,31400000,-58900000,-46400000,-17000000,6200000,-58900000,2020Q3
15,USD,611100000,850200000,748900000,258300000,-56500000,471300000,196300000,667600000,None,-19400000,8300000,19400000,869600000,-400000,None,19300000,-67800000,7000000,19400000,-74800000,-75000000,-48400000,-29100000,-74800000,2020Q2
16,USD,583600000,795300000,702100000,233100000,-52900000,451100000,185400000,636500000,None,-19000000,13900000,19000000,814300000,-700000,None,17900000,-61100000,12600000,19000000,-73700000,-74900000,-42100000,-24200000,-73700000,2020Q1
17,USD,554200000,753400000,670100000,217700000,-51800000,435500000,170500000,606000000,None,-18900000,15800000,18900000,772300000,0,None,16900000,-54500000,5100000,18900000,-59600000,-56500000,-35600000,-18700000,-59600000,2019Q4
18,USD,588400000,785800000,657000000,217400000,-9900000,439600000,158700000,598300000,None,-20000000,18100000,20000000,805800000,16200000,None,15100000,-13700000,7100000,20000000,-20800000,-17300000,6300000,21400000,-20800000,2019Q3
19,USD,521700000,705900000,620900000,204900000,-18700000,401300000,139100000,540400000,None,-20600000,2400000,20600000,726500000,18200000,None,14700000,-21100000,-900000,20600000,-20200000,-17600000,-500000,14200000,-20200000,2019Q2
