,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,Quarter
0,0.09,0.08,0.01,12.5,post-market,2024Q3
1,0.08,0.08,0,0,post-market,2024Q2
2,0.08,0.08,0,0,post-market,2024Q1
3,0.07,0.06,0.01,16.6667,pre-market,2023Q4
4,0.05,0.05,0,0,post-market,2023Q3
5,0.05,0.04,0.01,25,post-market,2023Q2
6,0.04,0.03,0.01,33.3333,post-market,2023Q1
7,0.01,0.02,-0.01,-50,pre-market,2022Q4
8,-0.01,0.03,-0.04,-133.3333,pre-market,2022Q3
9,0.02,0.04,-0.02,-50,pre-market,2022Q2
10,0.02,0.04,-0.02,-50,pre-market,2022Q1
11,0.04,0.04,0,0,pre-market,2021Q4
12,0.04,0.04,0,0,pre-market,2021Q3
13,0.04,0.04,0,0,pre-market,2021Q2
14,0.06,0.02,0.04,200,pre-market,2021Q1
15,0.09,0.02,0.07,350,post-market,2020Q4
16,0.01,0,0.01,None,post-market,2020Q3
