,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,USD,733851000,1355355000,621504000,621504000,-248713000,504968000,483528000,1055096000,43463000,-5275000,43463000,5275000,1361287000,-34447000,None,25800000,-244972000,3275000,5275000,-248247000,-223334000,-239697000,-213897000,-248247000,2023Q4
1,USD,613536000,1169289000,555753000,555753000,-380063000,518302000,494559000,1050561000,43839000,-5521000,43839000,5521000,1174446000,-20662000,None,19100000,-362456000,5800000,5521000,-368207000,-369877000,-356935000,-337835000,-368256000,2023Q3
2,USD,564027000,1060901000,496874000,496874000,-404339000,497471000,477663000,993534000,43144000,-5343000,43144000,5343000,1066173000,1323000,None,18400000,-365215000,12093000,5343000,-377308000,-391805000,-359872000,-341472000,-377308000,2023Q2
3,USD,543096000,983082000,439986000,439986000,-365264000,458774000,455112000,931686000,37948000,-5885000,37948000,5885000,988745000,11372000,None,17800000,-321829000,6845000,5885000,-328674000,-316364000,-315944000,-298144000,-328674000,2023Q1
4,USD,859177000,1340488000,481311000,481311000,-287597000,521079000,584942000,1319670000,28698000,-5312000,28698000,5312000,1299735000,-20043000,None,24700000,-284254000,4206000,5312000,-288460000,-269163000,-278942000,-254242000,-288460000,2022Q4
5,USD,656386000,1123143000,466757000,466757000,-435242000,532703000,564258000,1272424000,18445000,-5425000,18445000,5425000,1128476000,71961000,None,20900000,-350302000,9200000,5425000,-359502000,-372930000,-344877000,-323977000,-359502000,2022Q3
6,USD,659174000,1105551000,446377000,446377000,-400940000,560435000,505037000,1129572000,8331000,-5549000,8331000,5549000,1110909000,-16910000,None,64100000,-415067000,7000000,5549000,-422067000,-437897000,-409518000,-345418000,-422067000,2022Q2
7,USD,637330000,1058227000,420897000,420897000,-271527000,457794000,455563000,935857000,3123000,-5173000,3123000,5173000,1062727000,-77537000,None,22500000,-351114000,8510000,5173000,-359624000,-369158000,-345941000,-323441000,-359624000,2022Q1
8,USD,845152000,1294303000,449151000,449151000,-25127000,439666000,434195000,894061000,1554000,-4050000,1554000,4050000,1297885000,63204000,None,20200000,35581000,13031000,4050000,22597000,18292000,39631000,59831000,22550000,2021Q4
9,USD,620649000,1064122000,443473000,443473000,-180824000,392801000,412021000,822922000,1257000,-4031000,1257000,4031000,1067471000,112631000,None,18100000,-70967000,992000,8567000,-71959000,-76027000,-66936000,-48836000,-71959000,2021Q3
10,USD,533449000,978470000,445021000,445021000,-192512000,358928000,370671000,743999000,1251000,-4564000,1251000,4564000,982108000,42282000,None,14400000,-153543000,-1879000,4564000,-151643000,-149727000,-148979000,-134579000,-151664000,2021Q2
11,USD,352354000,764955000,412601000,412601000,-303606000,312009000,348580000,670989000,1137000,-5031000,1137000,5031000,769584000,22058000,None,10400000,-285442000,1440000,5031000,-286842000,-296335000,-280411000,-270011000,-286882000,2021Q1
12,USD,497125000,882671000,385546000,385546000,-97236000,304566000,318446000,632712000,1969000,-29176000,1969000,29176000,911322000,29471000,None,9700000,-94945000,18154000,29176000,-113099000,-100235000,-65769000,-56069000,-113099000,2020Q4
13,USD,358116000,651211000,293095000,293095000,-167864000,269798000,283639000,561837000,2801000,-28212000,2801000,28212000,678668000,-5669000,None,8400000,-198944000,909000,28212000,-199853000,-190745000,-170732000,-162332000,-199853000,2020Q3
14,USD,179770000,430224000,250454000,250454000,-310608000,253449000,260863000,521712000,4768000,-24727000,4768000,24727000,454158000,3575000,None,7400000,-326992000,-1041000,24727000,-325992000,-323664000,-302265000,-294865000,-325951000,2020Q2
15,USD,194697000,448107000,253410000,253410000,-286364000,256819000,238613000,503432000,8589000,-15113000,8589000,15113000,462478000,-12389000,None,8000000,-305277000,659000,15113000,-305936000,-309405000,-290164000,-282164000,-305936000,2020Q1
