,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,326061000,121379000,None,253232000,435676000,67087000,352994000,290943000,45833000,346495000,-300548000,-254294000,0,300000000,300000000,None,None,None,None,None,None,None,-211855000,88145000,None,None,349190000,2023Q4
1,USD,559522000,22636000,None,3939000,8276000,63111000,45152000,-103222000,29271000,333055000,-53841000,-351407000,0,300000000,300000000,None,None,None,None,None,None,None,-267967000,32033000,154274000,None,336252000,2023Q3
2,USD,702940000,22867000,None,-23519000,-235275000,59628000,47868000,-246649000,40038000,269948000,-91465000,-214395000,0,300000000,300000000,None,None,None,None,None,None,None,-189530000,110470000,397080000,None,272910000,2023Q2
3,USD,114751000,21053000,None,-63156000,300521000,57294000,43500000,237360000,8610000,268627000,-36247000,-376775000,0,260724000,305724000,None,None,None,None,None,None,None,-283386000,22338000,-298271000,None,271536000,2023Q1
4,USD,393505000,189996000,None,-242063000,157535000,58697000,458522000,129604000,-1202000,151557000,-41295000,-291069000,0,382734000,342734000,None,None,None,None,None,None,None,-266194000,76540000,61141000,None,153500000,2022Q4
5,USD,439694000,21017000,None,64829000,24623000,57746000,35567000,-47999000,7607000,219646000,-345313000,-266168000,0,217266000,257266000,None,None,None,None,None,None,None,-216560000,40706000,219646000,None,222626000,2022Q3
6,USD,749957000,21251000,None,11403000,-296623000,50277000,25616000,-296899000,1430000,293892000,-117990000,-164466000,0,290000000,250000000,None,None,None,None,None,None,None,-160125000,89875000,293892000,None,294781000,2022Q2
7,USD,155744000,20620000,None,131765000,469801000,61685000,41751000,466684000,-9155000,313341000,-68025000,-394597000,0,210000000,250000000,None,None,None,None,None,None,None,-219165000,30835000,-308598000,-1720000,313687000,2022Q1
8,USD,370559000,174971000,None,-79186000,58976000,52402000,324800000,-12710000,-3402000,201137000,-163158000,-159339000,0,214999000,214999000,None,None,None,None,None,None,None,-118256000,96743000,45077000,None,201447000,2021Q4
9,USD,421767000,21913000,None,117605000,18416000,51208000,22897000,-31359000,13143000,198392000,-265122000,-225672000,0,140000000,175000000,None,None,None,None,None,None,None,-164227000,10773000,176479000,-3472000,198646000,2021Q3
10,USD,526338000,21959000,None,105560000,-91189000,49438000,16281000,-172547000,541000,194802000,-17290000,-70673000,0,195211000,145211000,None,None,None,None,None,None,None,-57100000,88111000,172843000,-3544000,195078000,2021Q2
11,USD,173958000,20644000,None,-18846000,115348000,50628000,27779000,14910000,37764000,162028000,-103460000,-293064000,0,202871000,252871000,None,None,None,None,None,None,None,-237779000,15092000,-212565000,10001000,162345000,2021Q1
12,USD,202151000,95909000,None,-91035000,180543000,50830000,239573000,147139000,34728000,196555000,-35493000,10870000,-1000,42078000,42078000,None,1000,1000,None,None,None,None,32088000,74166000,168828000,None,197455000,2020Q4
13,USD,399423000,18637000,None,97437000,52012000,54078000,39571000,5134000,-4941000,252911000,-88192000,-130785000,0,20000000,0,None,None,None,None,None,None,None,24876000,24876000,233803000,13124000,252911000,2020Q3
14,USD,379919000,17925000,None,43216000,-116761000,52846000,26058000,-161831000,19676000,109920000,-103175000,-114171000,80000000,100000000,100000000,None,80000000,80000000,None,None,None,None,-16621000,83379000,91995000,-6437000,109920000,2020Q2
15,USD,9820000,16204000,None,64155000,270701000,52232000,54605000,246364000,5561000,104061000,-133558000,93480000,196490000,80000000,100000000,None,196490000,196490000,None,None,None,None,-85018000,14982000,-28245000,2013000,104061000,2020Q1
16,USD,221249000,None,None,-28060000,99863000,49543000,116635000,97945000,-22035000,160714000,-117635000,-59575000,0,120000000,-229185000,None,None,None,None,None,None,None,278195000,49010000,39064000,None,160714000,2019Q4
17,USD,370463000,None,None,169272000,-34069000,49292000,53396000,-65892000,-10927000,99929000,-51965000,-264747000,4137000,100000000,100000000,None,4137000,4137000,None,None,None,None,-75998000,24002000,99929000,1882000,99929000,2019Q3
18,USD,352820000,None,None,58607000,-147608000,51011000,39955000,-232527000,34531000,118210000,-36533000,-275656000,3680000,80000000,100000000,None,3680000,3680000,None,None,None,None,-23006000,76994000,118210000,-1789000,118210000,2019Q2
19,USD,-144019000,None,None,-219099000,284306000,51830000,29007000,209049000,15827000,153514000,-29744000,38086000,185080000,29185000,29185000,None,185080000,185080000,None,None,None,None,-22827000,6358000,-396611000,4882000,153514000,2019Q1
20,USD,130918000,None,None,28754000,69258000,58962000,684100000,54090000,17311000,254328000,-37615000,-104207000,5635000,33000000,-400000000,None,5635000,5635000,None,None,None,None,451107000,51107000,-18121000,-7260000,254328000,2018Q4
21,USD,244048000,None,None,99823000,-43111000,53416000,21857000,-63762000,7443000,79409000,-26112000,-83060000,165000000,132000000,165000000,None,165000000,165000000,None,None,None,None,-151253000,13747000,170435000,-9599000,79409000,2018Q3
22,USD,102472000,None,None,-10128000,83836000,52909000,20296000,70646000,25186000,102472000,-54780000,-37959000,0,55000000,35000000,None,None,None,None,None,None,None,11489000,46489000,-35091000,-5782000,102472000,2018Q2
23,USD,-101085000,None,None,-69406000,91038000,43920000,28316000,34811000,15811000,-3691000,-625018000,230364000,450000000,180000000,200000000,None,450000000,450000000,None,None,None,None,-187514000,12486000,-442464000,11555000,-3691000,2018Q1
24,USD,-283521000,None,None,119550000,62256000,45330000,91775000,40117000,-58268000,-120082000,55717000,-347230000,50000000,80000000,-280000000,None,50000000,50000000,None,None,None,None,327619000,47619000,-106630000,29000,-120082000,2017Q4
25,USD,116751000,None,None,157581000,48425000,47068000,20096000,38685000,None,116751000,-26544000,-92729000,20000000,120000000,100000000,None,20000000,20000000,None,None,None,None,-83536000,16464000,163661000,3080000,116751000,2017Q3
26,USD,53306000,None,None,42544000,39582000,47580000,14050000,41094000,None,53306000,-15666000,50962000,100000000,100000000,100000000,None,100000000,100000000,None,None,None,None,-44951000,55049000,163616000,5345000,53306000,2017Q2
27,USD,106437000,None,None,-198688000,-83368000,49464000,206835000,-122192000,-38824000,86588000,-202789000,15877000,150000000,80000000,100000000,None,150000000,150000000,None,None,None,None,-92795000,7205000,-148911000,-8881000,86588000,2017Q1
28,USD,72697000,67502000,None,137435000,131153000,49218000,19832000,120801000,31397000,72697000,-17056000,-101316000,0,100000000,-325000000,None,None,None,None,None,None,None,406117000,55399000,30303000,1013000,72697000,2016Q4
29,USD,64718000,4733000,None,129303000,24594000,50588000,34291000,16087000,None,64718000,-46922000,-86854000,125000000,120000000,125000000,None,125000000,125000000,None,None,None,None,-117617000,27120000,118371000,438000,64718000,2016Q3
30,USD,69376000,480000,None,16469000,-59519000,50790000,41775000,-63254000,None,69376000,-49216000,63488000,30000000,20000000,0,None,None,None,None,None,None,None,40508000,41278000,244960000,8254000,69376000,2016Q2
31,USD,-65419000,440000,None,-177326000,-11548000,56436000,35198000,-30365000,-18817000,60035000,-29481000,-182255000,30000000,160000000,200000000,None,1510000,1510000,None,None,None,None,-203725000,1486000,-253202000,-6296000,60035000,2016Q1
32,USD,49762000,66686000,None,98712000,60897000,57286000,233411000,73509000,38124000,49762000,-225893000,-75444000,50000000,80000000,-160000000,None,50000000,50000000,None,None,None,None,188490000,53350000,-150235000,-1315000,49762000,2015Q4
