,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,USD,1266785000,1599128000,332343000,103978000,430521000,341132000,488485000,836264000,None,-260000,9799000,260000,1597247000,-4131000,None,39181000,412386000,63196000,260000,346495000,300060000,412646000,451827000,349190000,2023Q4
1,USD,1179806000,1487288000,307482000,18374000,295474000,336848000,507402000,884332000,None,-342000,11877000,342000,1487314000,-7569000,None,32325000,324479000,-11773000,342000,333055000,334965000,324821000,357146000,336252000,2023Q3
2,USD,1096849000,1394863000,298014000,17872000,287332000,313198000,485597000,809517000,None,-312000,8099000,312000,1392489000,-3992000,None,31546000,294547000,21637000,312000,269948000,269246000,294859000,326405000,272910000,2023Q2
3,USD,1076986000,1361340000,284354000,18640000,255932000,308149000,465329000,821054000,None,-264000,6899000,264000,1364040000,-6240000,None,32633000,282133000,10597000,264000,268627000,363480000,282397000,315030000,271536000,2023Q1
4,USD,1001571000,1284292000,282721000,92691000,217373000,315862000,461618000,784198000,None,-359000,3669000,359000,1285534000,8981000,None,33847000,214072000,60572000,359000,151557000,74716000,214431000,248278000,153500000,2022Q4
5,USD,976585000,1247766000,271181000,19330000,233928000,290707000,444826000,742657000,None,-439000,2735000,439000,1247390000,1598000,None,34197000,239334000,16708000,439000,219646000,180232000,239773000,273970000,222626000,2022Q3
6,USD,1026418000,1279229000,252811000,14455000,363701000,265530000,389964000,662717000,None,-400000,1283000,400000,1284081000,-338000,None,28960000,340677000,45896000,400000,293892000,233139000,341077000,370037000,294781000,2022Q2
7,USD,1013271000,1270255000,256984000,13360000,347036000,261518000,383971000,666235000,None,-500000,None,500000,1269231000,472000,None,32112000,327589000,13902000,500000,313341000,311834000,328089000,360201000,313687000,2022Q1
8,USD,917693000,1152419000,234726000,75897000,190288000,286641000,413864000,727405000,None,-1064000,None,1064000,1152428000,-90000,None,31536000,199388000,-2059000,1064000,201137000,200254000,200452000,231988000,201447000,2021Q4
9,USD,852064000,1057130000,205066000,11870000,201923000,255274000,371146000,650141000,None,-757000,None,757000,1059886000,-1715000,None,30020000,213591000,14945000,757000,198392000,191590000,214348000,244368000,198646000,2021Q3
10,USD,810337000,1024323000,213986000,11408000,194231000,245448000,362345000,616106000,None,-807000,None,807000,1027165000,-2076000,None,29106000,216271000,21193000,807000,194802000,188498000,217078000,246184000,195078000,2021Q2
11,USD,762322000,970321000,207999000,11886000,148348000,248116000,357468000,613974000,None,-739000,None,739000,970006000,-1366000,None,29704000,177421000,15076000,739000,162028000,181644000,178160000,207864000,162345000,2021Q1
12,USD,800890000,1025439000,224549000,73820000,196132000,256295000,339566000,604758000,None,-750000,None,750000,1025728000,-5832000,None,31229000,192466000,-4989000,750000,196555000,216201000,193216000,224445000,197455000,2020Q4
13,USD,771126000,964134000,193008000,13718000,210598000,229972000,322602000,560528000,None,-941000,None,941000,964257000,141000,None,34527000,236854000,-16057000,941000,252911000,284121000,237795000,272322000,252911000,2020Q3
14,USD,677062000,861327000,184265000,13845000,125895000,208674000,302571000,551167000,None,-1846000,None,1846000,866366000,-1341000,None,35278000,110166000,246000,1846000,109920000,89201000,112012000,147290000,109920000,2020Q2
15,USD,641513000,834381000,192868000,13169000,87516000,221599000,314283000,553997000,None,-1603000,None,1603000,834474000,-384000,None,32798000,99573000,-4488000,1603000,104061000,113197000,101176000,133974000,104061000,2020Q1
16,USD,668338000,851081000,182743000,66196000,129721000,224594000,290503000,538617000,None,-1051000,None,1051000,851670000,-1773000,None,34517000,131623000,-29091000,1051000,160714000,164920000,132674000,167191000,160714000,2019Q4
17,USD,666338000,852970000,186632000,13603000,127594000,224491000,284804000,538744000,None,-2214000,None,2214000,853666000,360000,None,34525000,132911000,32982000,2214000,99929000,99996000,135125000,169650000,99929000,2019Q3
18,USD,645563000,836242000,190679000,14881000,115502000,215003000,290299000,530061000,None,-3841000,None,3841000,838960000,1385000,None,36248000,133917000,15707000,3841000,118210000,119342000,137758000,174006000,118210000,2019Q2
19,USD,627509000,820401000,192892000,17443000,147414000,198020000,271326000,480095000,None,-4554000,None,4554000,819985000,-1243000,None,39783000,147055000,-6459000,4554000,153514000,168839000,151609000,191392000,153514000,2019Q1
20,USD,604500000,795082000,190582000,-415582000,61525000,230368000,290875000,542975000,None,-4326000,None,4326000,1735000,1509000,None,46719000,52248000,-202080000,4326000,-172000000,235804000,56574000,103293000,254328000,2018Q4
21,USD,594333000,779714000,185381000,185381000,63968000,242289000,277402000,530365000,None,-4558000,None,4558000,1627000,1363000,None,42350000,71893000,-7516000,4558000,79409000,47145000,76451000,118801000,79409000,2018Q3
22,USD,598057000,776836000,178779000,178779000,127014000,205997000,252134000,471043000,None,-3880000,None,3880000,1117000,1366000,None,42818000,119299000,16827000,3880000,102472000,77275000,123179000,165997000,102472000,2018Q2
23,USD,588270000,769426000,181156000,181156000,107718000,206884000,264411000,480552000,None,-2843000,None,2843000,-1019000,1171000,None,39006000,120103000,123794000,2843000,-3691000,25096000,122946000,161952000,-3691000,2018Q1
