,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,0.71,0.74,-0.03,-4.0541,2024Q1
1,0.66,0.72,-0.06,-8.3333,2023Q4
2,0.91,0.82,0.09,10.9756,2023Q3
3,0.85,0.85,0,0,2023Q2
4,1.19,1.13,0.06,5.3097,2023Q1
5,1.05,0.99,0.06,6.0606,2022Q4
6,0.76,0.6,0.16,26.6667,2022Q3
7,1.07,0.75,0.32,42.6667,2022Q2
8,0.85,0.79,0.06,7.5949,2022Q1
9,0.62,0.53,0.09,16.9811,2021Q4
10,0.48,0.33,0.15,45.4545,2021Q3
11,0.31,0.26,0.05,19.2308,2021Q2
12,0.27,0.34,-0.07,-20.5882,2021Q1
13,0.25,0.19,0.06,31.5789,2020Q4
14,0.15,-0.01,0.16,1600,2020Q3
15,0.08,-0.02,0.1,500,2020Q2
16,0.14,0.11,0.03,27.2727,2020Q1
17,0.12,-0.03,0.15,500,2019Q4
18,-0.07,-0.02,-0.05,-250,2019Q3
19,-0.12,-0.05,-0.07,-140,2019Q2
20,0.13,0.08,0.05,62.5,2019Q1
21,0.19,0.03,0.16,533.3333,2018Q4
22,-0.16,-0.2,0.04,20,2018Q3
23,-0.22,-0.24,0.02,8.3333,2018Q2
24,-0.2,-0.21,0.01,4.7619,2018Q1
25,-0.19,-0.15,-0.04,-26.6667,2017Q4
26,-0.09,-0.12,0.03,25,2017Q3
27,-0.09,-0.09,0,0,2017Q2
28,-0.14,-0.21,0.07,33.3333,2017Q1
29,0.14,-0.08,0.22,275,2016Q4
30,-0.07,-0.04,-0.03,-75,2016Q3
31,-0.04,-0.05,0.01,20,2016Q2
32,-0.87,0.1,-0.97,-970,2016Q1
33,-0.04,-0.04,0,0,2015Q4
34,-0.03,-0.6,0.57,95,2015Q3
35,-0.36,-0.5,0.14,28,2015Q2
36,-0.01,0.02,-0.03,-150,2015Q1
37,0.02,-0.01,0.03,300,2014Q4
38,0.01,0.04,-0.03,-75,2014Q3
39,0.01,0.1,-0.09,-90,2014Q2
40,0.02,0.01,0.01,100,2014Q1
41,0.01,0.01,0,0,2013Q4
42,0.01,-0.01,0.02,200,2013Q3
43,0.01,0.04,-0.03,-75,2013Q2
44,-0.04,-0.04,0,0,2013Q1
45,-0.06,-0.06,0,0,2012Q4
46,-0.06,-0.06,0,0,2012Q3
47,-0.05,-0.05,0,0,2012Q2
48,-0.05,-0.04,-0.01,-25,2012Q1
49,-0.04,-0.04,0,0,2011Q4
50,-0.04,-0.03,-0.01,-33.3333,2011Q3
51,-0.03,-0.03,0,0,2011Q2
52,-0.03,-0.03,0,0,2011Q1
53,-0.02,-0.03,0.01,33.3333,2010Q4
54,-0.0271,None,None,None,2010Q3
