,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,1.53,1.52,0.01,0.6579,2023Q4
1,1.84,1.71,0.13,7.6023,2023Q3
2,1.47,1.32,0.15,11.3636,2023Q2
3,1.71,1.51,0.2,13.245,2023Q1
4,1.5,1.32,0.18,13.6364,2022Q4
5,1.77,1.62,0.15,9.2593,2022Q3
6,1.3,1.48,-0.18,-12.1622,2022Q2
7,1.53,1.5,0.03,2,2022Q1
8,1.45,1.4,0.05,3.5714,2021Q4
9,1.78,1.57,0.21,13.3758,2021Q3
10,1.69,1.21,0.48,39.6694,2021Q2
11,1.46,1.51,-0.05,-3.3113,2021Q1
12,1.34,1.18,0.16,13.5593,2020Q4
13,1.56,1.25,0.31,24.8,2020Q3
14,1.18,1.12,0.06,5.3571,2020Q2
15,1.38,1.43,-0.05,-3.4965,2020Q1
16,1.16,1.09,0.07,6.422,2019Q4
17,1.27,1.22,0.05,4.0984,2019Q3
18,1.13,1.02,0.11,10.7843,2019Q2
19,1.41,1.33,0.08,6.015,2019Q1
20,1.08,1.01,0.07,6.9307,2018Q4
21,1.29,1.22,0.07,5.7377,2018Q3
22,1.14,1.12,0.02,1.7857,2018Q2
23,1.33,1.37,-0.04,-2.9197,2018Q1
24,1,0.97,0.03,3.0928,2017Q4
25,1.08,1.07,0.01,0.9346,2017Q3
26,1,0.96,0.04,4.1667,2017Q2
27,1.3,1.29,0.01,0.7752,2017Q1
28,0.98,0.96,0.02,2.0833,2016Q4
29,1.07,1.02,0.05,4.902,2016Q3
30,0.98,0.88,0.1,11.3636,2016Q2
31,1.49,1.46,0.03,2.0548,2016Q1
32,0.99,0.98,0.01,1.0204,2015Q4
33,1.08,1.12,-0.04,-3.5714,2015Q3
34,1.03,1.04,-0.01,-0.9615,2015Q2
35,1.61,1.53,0.08,5.2288,2015Q1
36,1.15,1.12,0.03,2.6786,2014Q4
37,1.21,1.21,0,0,2014Q3
38,1.1,1.15,-0.05,-4.3478,2014Q2
39,1.6,1.59,0.01,0.6289,2014Q1
40,1.14,1.13,0.01,0.885,2013Q4
41,1.25,1.25,0,0,2013Q3
42,1.14,1.15,-0.01,-0.8696,2013Q2
43,1.67,1.57,0.1,6.3694,2013Q1
44,1.08,1.07,0.01,0.9346,2012Q4
45,1.18,1.17,0.01,0.8547,2012Q3
46,1.09,1.04,0.05,4.8077,2012Q2
47,1.44,1.45,-0.01,-0.6897,2012Q1
48,0.97,0.98,-0.01,-1.0204,2011Q4
49,1.09,1.08,0.01,0.9259,2011Q3
50,0.98,0.95,0.03,3.1579,2011Q2
51,1.34,1.31,0.03,2.2901,2011Q1
52,0.9,0.9,0,0,2010Q4
53,0.97,0.96,0.01,1.0417,2010Q3
54,0.88,0.85,0.03,3.5294,2010Q2
55,1.17,1.12,0.05,4.4643,2010Q1
56,0.84,0.81,0.03,3.7037,2009Q4
57,0.88,0.85,0.03,3.5294,2009Q3
58,0.77,0.77,0,0,2009Q2
59,1.03,0.99,0.04,4.0404,2009Q1
60,0.77,0.76,0.01,1.3158,2008Q4
61,0.86,0.84,0.02,2.381,2008Q3
62,0.76,0.75,0.01,1.3333,2008Q2
63,1.04,1.02,0.02,1.9608,2008Q1
64,0.69,0.67,0.02,2.9851,2007Q4
65,0.72,0.76,-0.04,-5.2632,2007Q3
66,0.68,0.68,0,0,2007Q2
67,0.92,0.9,0.02,2.2222,2007Q1
68,0.62,0.59,0.03,5.0847,2006Q4
69,0.72,0.72,0,0,2006Q3
70,0.63,0.61,0.02,3.2787,2006Q2
71,0.84,0.83,0.01,1.2048,2006Q1
72,0.57,0.57,0,0,2005Q4
73,0.67,0.65,0.02,3.0769,2005Q3
74,0.55,0.56,-0.01,-1.7857,2005Q2
75,0.75,0.74,0.01,1.3514,2005Q1
76,0.54,0.54,0,0,2004Q4
77,0.62,0.61,0.01,1.6393,2004Q3
78,0.5,0.49,0.01,2.0408,2004Q2
79,0.63,0.63,0,0,2004Q1
80,0.46,0.47,-0.01,-2.1277,2003Q4
81,0.52,0.52,0,0,2003Q3
82,0.41,0.42,-0.01,-2.381,2003Q2
83,0.57,0.56,0.01,1.7857,2003Q1
84,0.41,0.4,0.01,2.5,2002Q4
85,0.46,0.45,0.01,2.2222,2002Q3
86,0.37,0.36,0.01,2.7778,2002Q2
87,0.49,0.49,0,0,2002Q1
88,0.33,0.33,0,0,2001Q4
89,0.37,0.37,0,0,2001Q3
90,0.31,0.31,0,0,2001Q2
91,0.45,0.45,0,0,2001Q1
92,0.31,0.31,0,0,2000Q4
93,0.36,0.36,0,0,2000Q3
94,0.3,0.28,0.02,7.1429,2000Q2
95,0.43,0.42,0.01,2.381,2000Q1
96,0.29,0.28,0.01,3.5714,1999Q4
97,0.31,0.28,0.03,10.7143,1999Q3
98,0.25,0.22,0.03,13.6364,1999Q2
99,0.35,0.33,0.02,6.0606,1999Q1
100,0.23,0.22,0.01,4.5455,1998Q4
101,0.23,0.22,0.01,4.5455,1998Q3
102,0.19,0.17,0.02,11.7647,1998Q2
103,0.28,0.28,0,0,1998Q1
104,0.18,0.17,0.01,5.8824,1997Q4
105,0.18,0.18,0,0,1997Q3
106,0.14,0.14,0,0,1997Q2
107,0.24,0.24,0,0,1997Q1
108,0.15,0.15,0,0,1996Q4
109,0.16,0.15,0.01,6.6667,1996Q3
110,0.13,0.13,0,0,1996Q2
