,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
57,2010Q3,6.82203125,6.95688125,6.6606046875,6.812671875,31599790.625,0.11,0.06,0.05,83.3333,USD,739000000,1562000000,1131000000,879000000,128000000,236000000,359000000,667000000,3000000,-56000000,None,56000000,None,-6000000,None,95000000,-117000000,1000000,56000000,-118000000,-113000000,128000000,223000000,-118000000,USD,4595000000,3212000000,620000000,1726000000,622000000,None,1383000000,723000000,None,371000000,48000000,323000000,None,None,1106000000,1726000000,289000000,3981000000,1665000000,464000000,None,None,212000000,2316000000,None,2185000000,None,None,2397000000,21000000,102000000,614000000,102000000,-5843000000,7000000,681000000,USD,-124000000,None,None,None,None,16000000,31000000,None,41000000,-118000000,-321000000,-19000000,None,None,None,None,None,None,None,2000000,None,None,2000000,None,-464000000,None,-118000000
58,2010Q4,7.568125,7.68828125,7.4626953125,7.57240625,21524323.4375,0.15,0.06,0.09,150,USD,743000000,1610000000,873000000,906000000,413000000,250000000,352000000,358000000,2000000,-39000000,None,39000000,None,14000000,None,89000000,417000000,42000000,39000000,375000000,364000000,413000000,502000000,375000000,USD,4964000000,3594000000,606000000,1789000000,632000000,None,1370000000,700000000,1379000000,360000000,37000000,323000000,None,None,1183000000,205000000,347000000,3951000000,1674000000,376000000,254000000,None,233000000,2277000000,None,2188000000,None,None,2421000000,19000000,89000000,1013000000,102000000,-5468000000,7000000,683000000,USD,-213000000,None,None,-12000000,477000000,-7000000,38000000,465000000,10000000,375000000,-103000000,302000000,None,None,None,None,None,None,None,6000000,None,None,14000000,None,-14000000,None,375000000
59,2011Q1,8.512495161290323,8.667748387096774,8.358693548387098,8.511185483870968,26639548.387096774,0.14,0.11,0.03,27.2727,USD,691000000,1565000000,1183000000,922000000,54000000,261000000,367000000,676000000,3000000,-48000000,None,48000000,None,11000000,None,88000000,512000000,2000000,48000000,510000000,511000000,560000000,142000000,510000000,USD,5209000000,3411000000,602000000,602000000,648000000,None,1798000000,676000000,None,351000000,28000000,323000000,None,486000000,1143000000,1745000000,285000000,3651000000,1375000000,411000000,None,None,4000000,2276000000,None,2192000000,None,None,2196000000,29000000,84000000,1558000000,104000000,-4958000000,7000000,687000000,USD,-168000000,None,None,-32000000,195000000,5000000,38000000,189000000,16000000,510000000,-14000000,178000000,None,None,None,None,None,None,None,9000000,None,None,16000000,None,-4000000,None,510000000
60,2011Q2,8.20920634920635,8.308544444444445,8.072857142857142,8.183253968253968,17866431.746031746,0.08,0.05,0.03,60,USD,720000000,1527000000,1093000000,854000000,105000000,239000000,367000000,653000000,2000000,-47000000,None,47000000,None,4000000,None,80000000,64000000,3000000,47000000,61000000,60000000,111000000,191000000,61000000,USD,5224000000,3438000000,554000000,554000000,642000000,None,1786000000,686000000,1406000000,342000000,19000000,323000000,None,486000000,1307000000,1861000000,272000000,3583000000,1312000000,455000000,None,None,4000000,2271000000,None,2195000000,None,None,2199000000,29000000,76000000,1641000000,106000000,-4897000000,7000000,691000000,USD,174000000,None,None,-28000000,1000000,6000000,67000000,-2000000,-6000000,61000000,-230000000,8000000,None,None,None,None,None,None,None,6000000,None,None,9000000,None,-48000000,None,61000000
61,2011Q3,6.62125,6.774196875,6.4586234375,6.616015625,25647540.625,0.09,0.08,0.01,12.5,USD,756000000,1648000000,1183000000,934000000,138000000,249000000,361000000,652000000,3000000,-42000000,None,42000000,None,-7000000,None,79000000,92000000,-5000000,42000000,97000000,89000000,134000000,213000000,97000000,USD,5236000000,3412000000,625000000,625000000,540000000,None,1824000000,697000000,1425000000,334000000,11000000,323000000,None,536000000,1182000000,1807000000,257000000,3492000000,1855000000,467000000,None,None,489000000,1637000000,None,1571000000,None,None,2060000000,27000000,66000000,1744000000,107000000,-4800000000,7000000,697000000,USD,189000000,None,None,3000000,52000000,5000000,58000000,150000000,-102000000,97000000,34000000,-152000000,None,None,None,None,None,None,None,2000000,None,None,2000000,None,71000000,None,97000000
62,2011Q4,5.285079365079365,5.390409523809524,5.1573730158730156,5.273571428571429,17615552.38095238,0.15,0.1,0.05,50,USD,773000000,1648000000,1259000000,918000000,71000000,243000000,358000000,742000000,2000000,-43000000,None,43000000,None,-207000000,None,70000000,-181000000,-4000000,43000000,-173000000,-174000000,-138000000,-68000000,-177000000,USD,4954000000,3229000000,869000000,1765000000,476000000,919000000,1725000000,726000000,1470000000,331000000,8000000,323000000,None,149000000,896000000,69000000,241000000,3364000000,1774000000,363000000,202000000,None,489000000,1590000000,None,2065000000,None,None,2016000000,72000000,63000000,1590000000,107000000,-4977000000,7000000,698000000,USD,187000000,None,None,-91000000,-57000000,221000000,87000000,10000000,-65000000,-177000000,97000000,-40000000,None,None,None,None,None,None,None,1000000,None,None,1000000,None,244000000,None,-177000000
63,2012Q1,7.03258064516129,7.164112903225806,6.945901612903225,7.06758064516129,16200170.967741935,0.19,0.16,0.03,18.75,USD,27000000,1542000000,1859000000,1558000000,-580000000,230000000,368000000,712000000,2000000,-43000000,None,43000000,None,-1000000,None,124000000,-622000000,-32000000,43000000,-590000000,-588000000,-579000000,-455000000,-590000000,USD,4988000000,3195000000,1193000000,1544000000,585000000,962000000,1793000000,715000000,1484000000,662000000,109000000,553000000,None,169000000,351000000,1544000000,247000000,3936000000,2347000000,527000000,None,None,490000000,1589000000,None,1529000000,None,None,2019000000,77000000,60000000,1052000000,107000000,-5567000000,7000000,700000000,USD,107000000,None,None,187000000,162000000,6000000,40000000,40000000,-106000000,-590000000,200000000,17000000,None,None,None,None,None,None,None,9000000,None,None,9000000,None,324000000,None,-590000000
64,2012Q2,6.694920634920634,6.805714285714285,6.559523809523809,6.672936507936508,15998475.19047619,0.12,0.09,0.03,33.3333,USD,638000000,1370000000,987000000,775000000,77000000,212000000,345000000,600000000,2000000,-43000000,None,43000000,None,-5000000,None,65000000,31000000,-6000000,43000000,37000000,36000000,74000000,139000000,37000000,USD,5041000000,3233000000,1015000000,1579000000,833000000,744000000,1808000000,707000000,1514000000,658000000,105000000,553000000,None,180000000,564000000,1579000000,263000000,3924000000,2352000000,471000000,None,None,489000000,1572000000,None,1532000000,None,None,2021000000,57000000,40000000,1117000000,108000000,-5530000000,7000000,707000000000000,USD,81000000,None,None,-142000000,34000000,4000000,39000000,-217000000,-249000000,37000000,-263000000,4000000,None,None,None,None,None,None,None,3000000,None,None,3000000,None,-178000000,None,37000000
65,2012Q3,4.181269841269842,4.257539682539683,4.090079365079365,4.163968253968254,22190201.587301586,0.06,0.07,-0.01,-14.2857,USD,392000000,1225000000,1068000000,877000000,-131000000,188000000,328000000,563000000,2000000,-44000000,None,44000000,None,16000000,None,66000000,-157000000,0,44000000,-157000000,-154000000,-113000000,-65000000,-157000000,USD,4612000000,2815000000,776000000,1300000000,744000000,683000000,1797000000,685000000,1547000000,653000000,100000000,553000000,None,180000000,524000000,1300000000,279000000,3623000000,1555000000,412000000,None,None,5000000,2068000000,None,2035000000,None,None,2040000000,46000000,33000000,989000000,109000000,-5687000000,7000000,712000000,USD,-240000000,None,None,-107000000,-154000000,4000000,32000000,-60000000,89000000,-157000000,-10000000,11000000,None,None,None,None,None,None,None,0,None,None,6000000,None,-239000000,None,-157000000
66,2012Q4,2.392016129032258,2.44525,2.321370967741936,2.3685548387096778,27887704.612903226,-0.2,-0.15,-0.05,-33.3333,USD,178000000,1110000000,1260000000,977000000,-422000000,193000000,313000000,641000000,2000000,-45000000,None,45000000,None,-4000000,None,66000000,-469000000,4000000,45000000,-473000000,-475000000,-424000000,-356000000,-473000000,USD,4000000000,2265000000,549000000,1002000000,562000000,630000000,1735000000,658000000,1560000000,649000000,96000000,553000000,None,181000000,453000000,71000000,247000000,3462000000,1397000000,278000000,None,None,5000000,2065000000,None,2019000000,None,2019000000,2042000000,63000000,28000000,538000000,109000000,-6160000000,7000000,713000000,USD,-286000000,None,None,-170000000,-217000000,4000000,22000000,-53000000,349000000,-473000000,54000000,5000000,None,None,None,None,None,None,None,2000000,None,None,7000000,None,-227000000,None,-473000000
