,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
61,2011Q2,11.444126984126985,11.64282380952381,11.281574603174603,11.48031746031746,104103.1746031746,0.09,0.09,0,0,USD,28755000,54248000,39608000,24877000,6164000,14731000,7860000,22591000,61000,-26000,None,26000,None,-378000,781000,1500000,5821000,2206000,26000,3615000,3813000,5847000,7347000,3615000,USD,285268000,156736000,59942000,98425000,24906000,27719000,135265000,15799000,None,86605000,15630000,86605000,45216000,6733000,38483000,2795000,523000,28040000,24349000,7398000,None,None,None,3691000,None,None,None,None,None,4865000,342000,257228000,26559000,99819000,289000,25369000,USD,8648000,None,None,None,None,642000,745000,None,None,3615000,-7325000,1226000,None,None,None,None,None,None,None,None,None,None,None,None,2660000,111000,3615000
62,2011Q3,13.08390625,13.359759375,12.7890046875,13.1003125,161035.9375,0.14,0.13,0.01,7.6923,USD,27516000,51836000,200000,26663000,4546000,14621000,8125000,22970000,64000,-7000,None,7000,None,-74000,772000,1297000,4529000,1680000,7000,27316000,1039000,4536000,5833000,2849000,USD,283895000,162234000,54684000,106208000,23986000,26433000,123264000,15370000,29457000,100372000,14360000,86012000,53127000,1603000,51524000,2997000,545000,23179000,19486000,6492000,None,None,None,3693000,None,None,None,None,None,4295000,260000,260693000,26366000,102645000,291000,25540000,USD,5671000,-388000,None,None,None,2596000,570000,None,848000,27316000,-11604000,1582000,None,None,None,None,None,None,None,None,None,None,1260000,None,-5258000,-907000,2849000
63,2011Q4,11.684761904761904,11.93515873015873,11.410015873015873,11.71031746031746,124555.38095238095,0.11,0.15,-0.04,-26.6667,USD,24430000,46662000,38335000,22232000,816000,15146000,8232000,23614000,72000,0,None,0,None,147000,784000,1245000,1035000,311000,0,724000,-1038000,1035000,2280000,724000,USD,281943000,152789000,42568000,96698000,25221000,23920000,138665000,16033000,None,85607000,13199000,85607000,63641000,9511000,54130000,4355000,519000,20885000,17558000,7224000,None,None,None,3327000,None,None,None,None,None,4154000,184000,261058000,26113000,103392000,291000,25639000,USD,242000,13000,None,None,None,2553000,1624000,None,476000,724000,-11980000,477000,None,0,0,None,None,None,None,None,None,None,464000,None,-12116000,-855000,724000
64,2012Q1,11.383387096774193,11.547304838709678,11.16307741935484,11.378790322580645,94541.93548387097,0.03,0.02,0.01,50,USD,25783000,49001000,37311000,23233000,3429000,14541000,7753000,22354000,74000,-15000,None,15000,None,8000,822000,1193000,3496000,1374000,15000,2122000,2022000,3511000,4704000,2122000,USD,290368000,165092000,47738000,110058000,25010000,24136000,130843000,15979000,None,86114000,12278000,86114000,67887000,5567000,62320000,3317000,508000,25682000,22428000,11981000,None,None,None,3254000,None,None,None,None,None,5152000,120000,264686000,25908000,105514000,292000,25709000,USD,5866000,54000,None,None,None,523000,1026000,None,None,2122000,-1609000,679000,None,0,0,None,None,None,None,None,None,None,625000,None,5170000,234000,2122000
65,2012Q2,9.639523809523808,9.805992063492065,9.50092380952381,9.677777777777779,135546.03174603175,0.08,0.1,-0.02,-20,USD,25304000,47632000,38427000,22328000,2082000,14480000,7779000,23222000,71000,0,None,0,None,-192000,877000,1100000,1961000,-346000,0,2307000,-230000,1961000,3061000,2307000,USD,288166000,165222000,42214000,108496000,26302000,24364000,122887000,15347000,None,96736000,11192000,85544000,142888000,5162000,66282000,3341000,480000,22417000,18557000,6369000,None,None,None,3860000,None,None,None,None,None,4337000,114000,265700000,25693000,107821000,292000,25770000,USD,2851000,66000,None,None,None,1544000,353000,None,None,2307000,-7515000,388000,None,0,0,None,None,None,None,None,None,None,322000,None,-5524000,-1248000,2307000
66,2012Q3,10.100317460317461,10.257873015873015,9.926758730158731,10.110952380952382,75438.09523809524,0.09,0.05,0.04,80,USD,24820000,47248000,36345000,22428000,4554000,13263000,7003000,20266000,72000,-8000,None,8000,None,-213000,856000,939000,4405000,1943000,8000,24820000,3593000,4413000,5352000,2462000,USD,293084000,173569000,60246000,118618000,24435000,24634000,116521000,15157000,29587000,96838000,10629000,86209000,120776000,2016000,58372000,2493000,494000,22227000,18192000,6040000,None,None,None,4035000,None,None,None,None,None,4118000,111000,270834000,25489000,110260000,293000,25857000,USD,6168000,88000,None,None,None,2080000,950000,-343000,1519000,24820000,10150000,767000,None,0,0,None,None,None,None,None,None,None,702000,None,18032000,947000,2462000
67,2012Q4,9.514032258064516,9.639543548387097,9.386256451612903,9.50375,93270.96774193548,0.09,0.07,0.02,28.5714,USD,24479000,46991000,38973000,22512000,1672000,15390000,7417000,22807000,52000,0,None,0,None,124000,848000,1071000,1848000,618000,0,1230000,942000,1848000,2919000,1230000,USD,298477000,158597000,52010000,101522000,25360000,24704000,139000000,15534000,None,116412000,13021000,103391000,105580000,3278000,49512000,3562000,498000,22807000,18996000,8469000,None,None,None,3811000,None,None,None,None,None,2826000,107000,275670000,29571000,111513000,300000,26188000,USD,2288000,528000,None,None,None,1919000,1427000,None,-1177000,1230000,-6746000,-3781000,None,4226000,4226000,None,None,None,None,None,None,None,-3809000,None,-8236000,3000,1230000
68,2013Q1,9.869499999999999,9.996358333333335,9.723951666666666,9.862163333333333,82720.0,0.05,0.04,0.01,25,USD,24961000,48160000,41103000,23236000,419000,16804000,7775000,24542000,50000,-37000,None,37000,None,438000,857000,1100000,870000,-130000,37000,1000000,-2127000,907000,2007000,1000000,USD,295596000,138811000,42357000,79758000,25799000,23857000,174254000,15107000,None,114411000,11938000,103391000,119012000,22105000,37401000,5925000,526000,23140000,19188000,7387000,None,None,None,3952000,None,None,None,None,None,3562000,100000,272456000,32013000,112513000,301000,26138000,USD,1062000,-475000,None,None,None,1100000,653000,None,-743000,1000000,-7429000,-2093000,None,2539000,2539000,None,None,None,None,None,None,None,-2118000,None,-9653000,-1193000,1000000
69,2013Q2,9.316990625,9.44325,9.18865625,9.32421875,61295.3125,0.08,0.02,0.06,300,USD,24720000,48824000,40426000,24104000,1892000,15222000,7606000,22828000,58000,0,None,0,None,-59000,846000,1100000,1891000,363000,0,1528000,1647000,1891000,2991000,1528000,USD,296866000,149886000,45892000,90698000,25296000,24969000,154856000,14480000,None,102611000,11021000,102611000,57914000,13108000,44806000,5772000,528000,24604000,20779000,8505000,None,None,None,3825000,None,None,None,None,None,3424000,97000,272239000,35307000,114041000,301000,25849000,USD,4758000,7000,None,None,None,1100000,335000,None,None,1528000,1493000,-2732000,None,3812000,3812000,None,None,None,None,None,None,None,-2739000,None,3535000,16000,1528000
70,2013Q3,9.76453125,9.910875,9.64275,9.773671875,66145.3125,0.06,0.06,0,0,USD,25963000,51369000,761000,25406000,3564000,14520000,7529000,22399000,50000,-5000,None,5000,None,20000,910000,1090000,3629000,1582000,5000,25202000,3478000,3634000,4724000,2047000,USD,299930000,148962000,41320000,88326000,26140000,26829000,162206000,13910000,32041000,113297000,9728000,103569000,64395000,17389000,47006000,4835000,221000,25687000,21290000,8906000,None,None,None,4397000,None,None,None,None,None,3911000,79000,274243000,38517000,116065000,303000,25653000,USD,3640000,49000,None,None,None,2000000,471000,-2368000,3178000,25202000,-7057000,-2184000,None,3481000,3481000,None,None,None,None,None,None,None,-2191000,None,-4572000,1029000,2047000
