,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
5,2016Q2,1.7746459016393443,1.8504032786885245,1.6816065573770493,1.7983770491803277,1669.295081967213,-0.0203,0,-0.0203,None,USD,-374835,None,372292,None,-749868,372292,73000,372292,None,None,None,274,None,-2668,15063,307,92389,467349,None,-374960,-12266,-749868,-749561,-374960,CNY,450934,336054,11802,11802,229000,None,114880,102501,29551,12379,12379,None,None,None,None,31511,None,450375,450375,19022,None,None,176621,None,None,None,176621,None,180000,237362,None,559,None,-1327590,55387,55387271,CNY,-349630,None,None,-14299,-26731,17063,3576,None,-90122,-374960,-30507,177603,None,None,None,None,None,None,None,193574,None,None,50185,None,-201169,1364,-374960
6,2016Q3,2.95275,3.2101796875,2.91046875,3.04521875,581.0,-0.0146,None,None,None,USD,0,3028,270230,264000,-537096,269894,None,269894,None,-3028,None,None,None,-3060,6005,336,-266834,0,None,-266834,-494736,-537096,-536760,-266834,CNY,498670,388706,93366,93366,230000,None,109964,97961,35458,12003,12003,None,None,None,None,2938,None,305113,305113,None,None,None,90453,None,None,None,None,None,80000,1,None,193557,None,-1594424,55692,55692271,CNY,-245202,0,2250,76,28486,6341,1795,None,None,-266834,-1795,328641,None,None,None,None,None,None,None,420900,None,None,317400,None,81564,-80,-266834
7,2016Q4,5.7959523809523805,5.8401587301587305,5.761507936507937,5.794603174603175,107.06349206349206,-0.0114,None,None,None,USD,-6054,144190,357261,139018,-223970,217916,None,217916,None,11226,None,None,None,11397,28315,327,-212573,0,None,-212573,-473229,-223970,-223643,-212573,CNY,503408,419128,325144,325144,10463,None,84280,73074,61652,11206,11206,None,None,None,None,2898,None,211708,211708,307,None,None,104288,None,None,None,104288,None,100000,167175,None,291700,None,-1806998,55952,55952271,CNY,-136409,None,None,-10770,-12533,28642,6745,None,207000,-212573,-6745,384387,None,None,None,None,None,None,None,358800,None,None,0,None,231778,-9455,-212573
8,2017Q1,5.860491803278689,5.877704918032787,5.7432786885245894,5.817868852459016,45.885245901639344,-0.0142,None,None,None,USD,23,13731,280741,2029,-278285,278308,None,278308,None,11679,None,None,2052,11994,13403,404,-266291,0,None,-266291,-475776,-278285,-277881,-266291,CNY,551188,476464,344132,344132,10544,3077,74724,60766,75000,13958,13958,None,None,None,None,4001,None,189522,189522,210,None,None,69537,None,None,None,69537,None,70000,146257,None,361666,None,-2073288,56155,56154771,CNY,-226242,None,None,67099,-38258,13807,3053,None,205000,-266291,-3053,243840,None,None,None,None,None,None,None,279450,None,None,741750,None,18988,4443,-266291
9,2017Q2,5.205079365079365,5.2220634920634925,5.197301587301587,5.205396825396825,31.904761904761905,-0.01,None,None,None,USD,61408,39193,487603,-55650,-481441,542849,204000,542849,None,33435,None,274,5758,33923,1482,404,-447518,0,None,-507892,-939514,-481441,-481037,-447518,CNY,1443979,1370910,1174950,1174950,101300,221,73069,59286,39026,13783,13783,None,None,None,None,7138,None,885345,885345,None,None,None,129874,None,None,None,129874,None,130000,872084,None,558634,None,-2520806,18870,56610271,CNY,-453685,None,None,-4796,-69517,1886,-917,2899,123000,-507892,917,1271037,None,None,None,None,None,None,None,628590,None,None,628590,None,830818,12549,-447518
10,2017Q3,5.785396825396826,5.794126984126984,5.785396825396826,5.786190476190476,18.650793650793652,-0.0215,None,None,None,USD,8973,32975,441927,21,408497,441491,94560,441491,None,23981,None,274,8994,23981,6669,415,-408537,0,None,-432518,-676492,408497,408912,-408537,CNY,2661953,2589876,2320210,2320210,103163,None,72077,58456,46429,13621,13621,None,None,None,None,8099,None,228768,228768,None,None,None,182578,None,None,None,134517,None,130000,196849,None,2433185,None,-2520806,57512,57511771,CNY,-458861,None,2253,12521,-69930,7084,4753,225,-77212,-432518,-4753,1434799,None,None,None,None,None,None,None,1432550,None,None,1432550,None,1145260,174075,-408537
11,2017Q4,6.2437499999999995,6.2437499999999995,6.2437499999999995,6.2437499999999995,36.25,-0.02,None,None,None,USD,40,7459,399379,0,391501,398960,77002,398960,None,7459,None,None,40,7459,6969,419,-391501,0,None,-398960,-699866,391501,391920,-391501,CNY,2333431,2184328,1899723,1899723,105511,None,149103,61406,54570,13505,13505,None,None,None,None,8852,None,201111,201111,None,None,None,150181,None,None,None,109136,None,110000,32337,None,2132320,None,-3320804,57512,57511771,CNY,-397262,None,None,-4259,148790,7388,8548,-451,22910,-398960,-8548,-103553,None,None,None,None,None,None,None,-3016,None,None,-3016,None,-420487,88876,-391501
12,2018Q1,6.191219512195122,6.238780487804878,6.163170731707317,6.207073170731707,3740.731707317073,-0.02,None,None,None,USD,6398,12506,451877,70,438937,451373,77867,451373,None,6038,None,212.19,6468,6038,7748,434,-438937,0,None,-444975,-828050,438937,439371,-438937,CNY,1951137,1804147,1548728,1548728,85424,None,146990,56574,64410,13551,13551,None,None,None,None,22111,None,201893,201893,None,None,None,149256,None,None,None,87560.60,None,110000,33375,None,1749244,None,-3759741,19171,19170827,CNY,-400088,None,None,-6029,-36696,8182,987,-3,17741.81,-444975,-987,-11253,None,None,None,None,None,None,None,-9848,None,None,-9848,None,-350995,61333,-438937
13,2018Q2,12.320869565217391,12.34086956521739,12.30695652173913,12.330869565217393,2099.8260869565215,-0.02,None,None,None,USD,-9659,15151,-53308,4728,-2900362,13739,109734,375355,None,20082,None,74.80,-4931,20082,9621,419,-365206,0,None,-385014,-948137,-2900362,-2899943,-365206,CNY,1376965,1235276,1031486,1031486,75910,None,141689,55270,70798,13887,13887,None,None,None,55156,6955,None,190844,190844,None,3005,None,27058,None,None,None,None,None,27058,147278,None,1186121,None,-4124947,19171,19170846,CNY,-228519,None,None,79725,-37924,10040,13166,4,-4285,-385014,-13166,-84123,None,None,None,None,None,None,None,12442,None,None,12442,None,-517242,-191434,-365206
14,2018Q3,17.393333333333334,17.414761904761903,17.328253968253968,17.349999999999998,219.63492063492063,-0.08,0,-0.08,None,USD,-7434,303450,310884,7434,371659,303450,62771,366221,None,-3925,None,None,None,-3925,11445,717,-371659,0,None,-373655,-713741,371659,372376,-371659,CNY,1168776,1024093,832078,832078,73575,None,144683,47066,79959,27316,27316,None,None,None,55156,430,None,78076,78076,None,None,None,27058,None,None,None,None,None,27058,31549,None,1090700,None,-4496606,19255,19254846,CNY,-435390,None,None,-81449,-5556,11445,19584,None,4285,-371659,-19584,220473,None,None,None,None,None,None,None,246944,None,None,246944,None,-199408,35092,-371659
15,2018Q4,15.581864406779662,15.605118644067797,15.569491525423729,15.589355932203391,999.6610169491526,-0.02,None,None,None,USD,-347901,460,348361,None,460371,347555,41114,388669,None,460,None,None,None,460,6186,806,-372278,0,None,-388669,-775831,460371,461177,-372278,CNY,6546986,5469064,5273508,5273508,73193,None,77922,51620,86108,26302,26302,None,None,None,None,13375,None,95341,95543,None,None,None,8726,None,None,None,None,None,8726,70839,None,6451645,None,-4868884,20945,20943846,CNY,-359456,None,None,9534,3869,6992,10753,None,278,-372278,-10753,4818165,None,None,None,None,None,None,None,60780,None,None,4501478,None,4441430,-6525,-372278
16,2019Q1,3.3013540983606555,3.4363032786885244,3.135559016393443,3.3217852459016393,17042.245901639344,-0.02,None,None,None,USD,-546357,894,547251,7434,-574589,545371,29218,574589,None,894,32700,None,None,894,7156,1880,-540999,0,None,-574589,-917379,-574589,-572709,-540999,CNY,6236881,5531443,5341969,5341969,74983,None,105438,46952,95411,58486,58486,None,None,None,None,13340,None,128026,128026,None,None,None,11174,None,None,None,11174,None,11174,69256,None,6108855,None,-5409883,20945,20943846,CNY,-494217,None,None,27125,-10691,9036,34194,None,-1,-574589,-34194,495717,None,None,None,None,None,None,None,1134,None,None,492467,None,68461,101155,-540999
