,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
52,2009Q2,37.51707142857143,37.958152380952384,37.10628571428571,37.57333333333333,1942012.6984126985,0.33,0.33,0,0,USD,149800000,1426300000,1276500000,725100000,165000000,526400000,None,551400000,1700000,-15200000,1700000,16900000,None,None,None,84600000,149400000,50300000,16900000,99500000,234400000,166300000,190000000,99100000,USD,4928300000,1749900000,82700000,82700000,476700000,970600000,3178400000,1142900000,None,1675700000,319300000,1356400000,None,None,None,122200000,359800000,3124200000,1339900000,343700000,None,241800000,241800000,1776300000,None,842800000,None,842800000,1084600000,481900000,268300000,1804100000,2105200000,2707400000,328400000,236700000,USD,272000000,None,None,None,None,84600000,65800000,None,-22100000,99500000,-65900000,-205200000,-181300000,300000,None,None,33400000,33400000,None,None,None,None,-300000,None,3200000,2300000,99100000
53,2009Q3,41.85953125,42.30765625,41.489140625,41.99296875,2083973.4375,0.5,0.48,0.02,4.1667,USD,223000000,1546400000,1323400000,763900000,223000000,554100000,None,559500000,1300000,-16400000,None,16400000,None,None,None,83600000,207700000,62700000,16400000,145200000,164500000,224100000,307700000,145000000,USD,4988800000,1816000000,107500000,107500000,474800000,1013000000,3172800000,1149100000,None,1682000000,312200000,1369800000,None,None,None,126900000,341700000,3027000000,1292900000,367300000,None,121000000,121000000,1725900000,None,850000000,None,850000000,971000000,501800000,274200000,1961800000,2116300000,2819200000,329500000,237500000,USD,232100000,None,None,79500000,31400000,83600000,73700000,30500000,-5400000,145200000,-73000000,-136300000,-120300000,11100000,11100000,None,33100000,33100000,None,None,None,None,13900000,None,24800000,2000000,145000000
54,2009Q4,45.4546875,45.7811484375,45.066290625,45.3890625,1168309.375,0.61,0.6,0.01,1.6667,USD,195800000,1564500000,1368700000,781100000,195800000,577400000,86000000,587600000,1300000,-16400000,None,16400000,None,None,None,85700000,180200000,64400000,16400000,116300000,115800000,196600000,293000000,115800000,USD,5020900000,1814200000,73600000,73600000,493400000,1016100000,3206700000,1176200000,1690300000,1726600000,312500000,1414100000,28800000,None,None,147200000,303900000,3020000000,1250200000,360900000,None,98500000,74400000,1761100000,None,876700000,7900000,868800000,951100000,466900000,288600000,2000900000,2173400000,2898100000,329800000,236600000,USD,163500000,None,None,-19200000,2800000,85700000,98600000,-22000000,8700000,116300000,-97400000,-105000000,-24200000,57300000,57300000,None,33200000,33200000,None,None,None,None,-48000000,None,-33900000,5000000,115800000
55,2010Q1,43.75344262295082,44.13670655737705,43.39665573770492,43.78180327868853,1870619.6721311475,0.55,0.56,-0.01,-1.7857,USD,153800000,1432100000,1278300000,716700000,153800000,558100000,None,584500000,1300000,-16300000,None,16300000,None,None,None,86200000,138600000,43100000,16300000,95700000,21800000,154900000,157300000,95500000,USD,4769200000,1718300000,85300000,85300000,468900000,950200000,3050900000,1141800000,None,1637800000,295600000,1342200000,None,None,None,127700000,271300000,2908500000,1370000000,316000000,None,361100000,361100000,1530700000,None,677900000,None,677900000,1039000000,430100000,271600000,1860700000,2317900000,2957100000,330300000,233900000,USD,135400000,None,None,-108000000,-37300000,86200000,59600000,-19200000,-5000000,95700000,-57500000,-53900000,112700000,144700000,144700000,None,36800000,36800000,None,None,None,None,-131000000,None,11700000,-12300000,95500000
56,2010Q2,46.59134920634921,47.02111111111111,46.189904761904764,46.635714285714286,2400947.619047619,0.41,0.39,0.02,5.1282,USD,188200000,1504100000,1315900000,750000000,204300000,565300000,None,582000000,1100000,-16100000,None,16100000,None,None,None,91800000,189100000,59800000,16100000,129500000,56300000,205200000,204900000,129300000,USD,4663800000,1735300000,121300000,121300000,441300000,950100000,3027200000,1124000000,1648400000,1549900000,277800000,1272100000,26800000,None,None,138100000,254600000,2805500000,1339900000,324000000,None,326700000,121400000,1613900000,None,637000000,157300000,637000000,963700000,438000000,259300000,1858300000,2375100000,3050100000,331200000,233500000,USD,229600000,None,None,45600000,59100000,91800000,86900000,46000000,-7300000,129500000,-77400000,-109900000,-39500000,57300000,57300000,None,36600000,36600000,None,None,None,None,-36200000,None,36000000,-6300000,129300000
57,2010Q3,48.41796875,48.8206265625,48.088626562500004,48.55953125,1606293.75,0.56,0.56,0,0,USD,228800000,1545600000,1316800000,763400000,245100000,558500000,None,569700000,1400000,-16300000,None,16300000,None,None,None,81500000,230100000,55900000,16300000,174300000,234600000,246400000,240000000,174200000,USD,4861500000,1854500000,168400000,168400000,456500000,1019800000,3113500000,1137300000,1707000000,1605000000,291200000,1313800000,27600000,None,None,131200000,264700000,2897300000,1438600000,346900000,None,343600000,167400000,1575700000,None,647300000,156400000,647300000,990900000,455400000,230300000,1964200000,2517800000,3188400000,332500000,231900000,USD,273200000,None,None,50200000,48600000,81500000,70000000,47700000,10600000,174300000,-104900000,-121700000,16700000,143100000,143100000,None,36200000,36200000,None,None,None,None,-106000000,None,47100000,500000,174200000
58,2010Q4,49.78125,50.1081421875,49.3872046875,49.74875,1540667.1875,0.66,0.65,0.01,1.5385,USD,203600000,1575500000,1371900000,783700000,203600000,579700000,88000000,588200000,2700000,-16900000,None,16900000,None,None,None,88400000,189100000,57800000,16900000,131600000,178600000,206000000,303200000,131300000,USD,4872200000,1869900000,242300000,242300000,447600000,999600000,3115800000,1148300000,1724300000,282500000,282500000,1329300000,28400000,None,None,101500000,242200000,2743000000,1324800000,349300000,None,189200000,32400000,1517800000,None,845600000,156800000,656400000,878000000,441500000,192200000,2129200000,2521300000,3279100000,333100000,232500000,USD,312200000,None,None,34700000,-92100000,88400000,81200000,-35200000,-16900000,131600000,-63800000,-176700000,-156500000,3700000,3700000,None,35900000,35900000,None,None,None,None,13600000,None,73900000,2200000,131300000
59,2011Q1,49.215806451612906,49.615,48.80667741935484,49.23967741935484,1672354.8387096773,0.6,0.61,-0.01,-1.6393,USD,136700000,1503300000,1366600000,770400000,151700000,581600000,None,631000000,1500000,-15000000,None,15000000,None,None,79600000,91200000,138000000,44400000,15000000,93800000,160300000,153000000,180900000,93600000,USD,5262300000,1888900000,151400000,151400000,480200000,1042600000,3492200000,1192500000,1795600000,1904800000,439700000,1465100000,34800000,None,None,132500000,276100000,3051700000,1650200000,359700000,None,506400000,459500000,1505100000,None,683700000,7500000,683700000,1190100000,467600000,225400000,2210600000,2591500000,3332100000,333700000,231700000,USD,56100000,None,None,-36100000,24800000,91200000,72600000,-10200000,9600000,93800000,-377800000,219100000,465700000,70200000,70200000,None,40600000,40600000,None,None,None,None,-56400000,None,-90900000,11700000,93600000
60,2011Q2,52.84126984126984,53.258990476190476,52.47896984126984,52.9331746031746,1401904.761904762,0.45,0.44,0.01,2.2727,USD,183500000,1684000000,1500500000,860800000,198300000,609600000,None,654500000,1700000,-14800000,None,14800000,None,None,82800000,96700000,184900000,59000000,14800000,126200000,171700000,199700000,258500000,125900000,USD,5407400000,1994200000,163200000,163200000,495500000,1106700000,3521000000,1212700000,1867400000,1933100000,429800000,1503300000,35800000,None,None,136000000,267400000,3069200000,1639600000,400500000,None,403500000,361000000,1534500000,None,703300000,7800000,703300000,1106800000,527400000,227700000,2338200000,2643200000,3417500000,334900000,231900000,USD,246000000,None,None,29600000,52400000,96700000,85100000,44500000,7200000,126200000,-86600000,-155600000,-103400000,52000000,52000000,None,40600000,40600000,None,None,None,None,-15100000,None,11800000,8000000,125900000
61,2011Q3,50.9673421875,51.5046859375,50.240575,50.88265625,4037956.25,0.64,0.64,0,0,USD,223700000,1720200000,1496500000,877900000,239600000,595300000,None,634500000,2700000,-15900000,None,15900000,None,None,82900000,13700000,226200000,71900000,15900000,154500000,153000000,239600000,255800000,154300000,USD,5505600000,2091000000,207300000,207300000,504900000,1143100000,3528300000,1218200000,1919700000,1922800000,418800000,1504000000,36100000,None,None,149200000,273600000,3038600000,1617700000,413400000,None,336800000,305000000,1519000000,None,700200000,7200000,700200000,1037000000,531000000,222000000,2467000000,2643400000,3531200000,335100000,232100000,USD,154500000,None,None,29200000,65600000,97100000,87100000,39800000,11200000,154500000,-800000,-106200000,-65300000,300000,300000,None,41100000,41100000,None,None,None,None,9200000,None,44100000,-1000000,154300000
