,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
52,2009Q2,12.61,12.825652380952382,12.29,12.567619047619047,101788331.74603175,2.08,1.67,0.41,24.5509,USD,7234000000,12943000000,5709000000,18804000000,8528000000,9712000000,None,205000000,None,None,None,4653000000,None,None,None,2504000000,2917000000,227000000,None,144000000,2671000000,8528000000,7749000000,2690000000,USD,778168000000,84817000000,52316000000,52316000000,13307000000,19194000000,171989000000,72937000000,None,99052000000,15227000000,83825000000,45214000000,None,45214000000,97500000000,None,657709000000,213030000000,19194000000,None,174644000000,174644000000,339420000000,None,339420000000,None,None,514100000000,19192000000,None,112119000000,33554000000,123166000000,702000000,10626842000,USD,5735000000,None,None,None,None,2504000000,1899000000,None,-368000000,2702000000,11159000000,-11561000000,None,None,None,None,3355000000,3355000000,None,None,None,None,None,None,5488000000,155000000,2690000000
53,2009Q3,13.76,13.986046875,13.5425859375,13.7834375,101849976.5625,2.08,1.85,0.23,12.4324,USD,6560000000,12325000000,5765000000,18548000000,7029000000,10086000000,None,161000000,None,None,None,4322000000,None,None,2658000000,2658000000,2009000000,-484000000,None,120000000,2494000000,7029000000,6297000000,2493000000,USD,787846000000,94079000000,61374000000,61374000000,13092000000,19613000000,172883000000,72993000000,None,99890000000,15010000000,84880000000,52761000000,None,52761000000,114100000000,None,662037000000,198275000000,18931000000,None,160115000000,160115000000,358092000000,None,358092000000,None,None,518200000000,19229000000,None,117529000000,32803000000,124530000000,702000000,10647495000,USD,8394000000,None,None,-371000000,-134000000,2658000000,1349000000,6000000,-140000000,2494000000,7837000000,-6999000000,-1604000000,None,None,None,1140000000,1140000000,None,None,None,None,14000000,None,9058000000,-174000000,2493000000
54,2009Q4,15.692343750000001,15.8451734375,15.501309375,15.655,78190514.0625,1.76,1.62,0.14,8.642,USD,7886000000,13112000000,5226000000,20503000000,-8677000000,10940000000,3324000000,56088000000,None,None,None,4467000000,None,None,2724000000,2743000000,2437000000,-576000000,None,73000000,9601000000,-8677000000,9831000000,3013000000,USD,781949000000,100705000000,70479000000,72260000000,11987000000,16458000000,146715000000,68970000000,44103000000,76746000000,11751000000,64995000000,1015000000,None,51941000000,None,None,656765000000,167284000000,19527000000,None,135710000000,129869000000,338215000000,None,377138000000,None,None,471269000000,25578000000,None,117291000000,32238000000,124655000000,702000000,10663075000,USD,10489000000,None,None,875000000,-1843000000,2724000000,2826000000,-1092000000,-751000000,3115000000,7339000000,-7945000000,7047000000,None,None,None,1141000000,1141000000,None,None,None,None,4175000000,None,10886000000,1003000000,3013000000
55,2010Q1,16.589918032786887,16.796339344262297,16.41837704918033,16.605901639344264,83466804.91803278,2.24,2.09,0.15,7.177,USD,6146000000,36204000000,30058000000,17512000000,3533000000,9842000000,None,79000000,None,None,None,4161000000,None,None,2465000000,2475000000,2388000000,443000000,None,2311000000,1945000000,3533000000,6988000000,1945000000,USD,777355000000,99108000000,67908000000,69628000000,11751000000,17729000000,144471000000,68016000000,None,76455000000,11545000000,64910000000,41549000000,None,41549000000,111200000000,None,654404000000,152858000000,14498000000,None,123931000000,123931000000,317606000000,None,374674000000,None,None,523000000000,14429000000,None,115195000000,31757000000,125446000000,702000000,10676518000,USD,7094000000,None,None,679000000,-700000000,2465000000,1302000000,-514000000,-186000000,1998000000,19009000000,-28039000000,-1824000000,None,None,None,1143000000,1143000000,None,None,None,None,0,None,-2692000000,-756000000,1945000000
56,2010Q2,17.284285714285716,17.482857142857146,16.969347619047618,17.219285714285714,86370079.36507936,1.68,1.31,0.37,28.2443,USD,7294000000,36928000000,29634000000,17196000000,4362000000,9781000000,None,56000000,None,None,None,4171000000,None,None,2373000000,2381000000,3975000000,866000000,None,3210000000,-1485000000,4362000000,8458000000,3109000000,USD,749930000000,102803000000,72063000000,73848000000,11366000000,17589000000,139398000000,65358000000,43618000000,74040000000,10946000000,63094000000,42102000000,None,42102000000,116000000000,None,629205000000,148697000000,14230000000,None,120154000000,120154000000,298701000000,None,355809000000,None,None,500100000000,127700000000,None,113934000000,31235000000,127436000000,702000000,10691220000,USD,9433000000,None,None,-86000000,4000000,2373000000,1717000000,-378000000,-336000000,3205000000,8725000000,-12795000000,467000000,None,None,None,1144000000,1144000000,None,None,None,None,0,None,4214000000,-1149000000,3109000000
57,2010Q3,15.53640625,15.7111609375,15.3566671875,15.5608984375,62017125.828125,2.4,2.13,0.27,12.6761,USD,6974000000,35373000000,28399000000,16626000000,4065000000,9887000000,None,31000000,None,None,None,4039000000,None,None,2611000000,2621000000,2374000000,319000000,None,3107000000,2900000000,4065000000,7679000000,2055000000,USD,758824000000,108127000000,76645000000,78392000000,11997000000,17738000000,139897000000,65538000000,44696000000,74359000000,10231000000,64128000000,45690000000,None,45690000000,124100000000,None,638214000000,144360000000,14617000000,None,114879000000,114879000000,307517000000,None,368691000000,None,None,494800000000,56792000000,None,115536000000,31510000000,128126000000,702000000,10654718000,USD,9948000000,None,None,444000000,33000000,2611000000,1396000000,203000000,640000000,2212000000,6808000000,-12892000000,-628000000,None,None,None,1147000000,1147000000,None,None,None,None,0,None,4544000000,680000000,2055000000
58,2010Q4,16.7225015625,16.88640625,16.5934390625,16.744140625,56587944.328125,2.32,2.19,0.13,5.9361,USD,8278000000,12814000000,4536000000,20379000000,5290000000,802000000,3939000000,60560000000,None,None,None,3969000000,None,None,2337000000,2536000000,3950000000,-585000000,None,1036000000,6261000000,5290000000,7539000000,4535000000,USD,748491000000,109105000000,78943000000,122900000000,11526000000,18621000000,140660000000,66212000000,531000000,74359000000,9971000000,64388000000,43938000000,390880000000,43938000000,5300000000,None,623595000000,164030000000,14656000000,None,136414000000,117959000000,293323000000,None,324782000000,18455000000,None,478600000000,118800000000,90733000000,118936000000,31938000000,131137000000,702000000,10615376000,USD,9649000000,None,None,-232000000,355000000,2337000000,5385000000,815000000,-460000000,4764000000,-2106000000,-7860000000,757000000,None,None,None,1356000000,1356000000,None,None,None,None,0,None,575000000,892000000,4535000000
59,2011Q1,19.995804838709677,20.194032258064517,19.778161290322583,19.998951612903223,62386967.741935484,2.88,2.55,0.33,12.9412,USD,5273000000,13036000000,7763000000,16699000000,4774000000,9272000000,None,64000000,None,None,None,3879000000,None,None,2292000000,2292000000,7375000000,3942000000,None,1825000000,6287000000,4774000000,11314000000,3433000000,USD,727837000000,113367000000,82170000000,82173000000,13327000000,17867000000,146716000000,67504000000,44045000000,79212000000,11292000000,67920000000,44889000000,347578000000,44889000000,127100000000,None,602048000000,142625000000,15747000000,None,110347000000,110347000000,287642000000,None,346408000000,None,None,466700000000,29800000000,90749000000,123535000000,31952000000,133003000000,702000000,10605447000,USD,7696000000,None,None,1269000000,303000000,2292000000,3169000000,-985000000,1288000000,3527000000,17285000000,-22571000000,-979000000,None,None,None,1564000000,1564000000,None,None,None,None,0,None,3238000000,828000000,3433000000
60,2011Q2,19.549206349206347,19.70919047619048,19.35690476190476,19.51555396825397,49786415.87301587,2.64,2.27,0.37,16.2996,USD,5488000000,12440000000,6952000000,17500000000,5121000000,9030000000,None,339000000,None,None,None,3773000000,None,None,2302000000,2302000000,4656000000,892000000,None,1810000000,6310000000,5121000000,8284000000,3764000000,USD,739130000000,124303000000,91053000000,91053000000,14616000000,18634000000,151180000000,68846000000,44183000000,82334000000,11798000000,70536000000,45340000000,46235000000,45340000000,136400000000,None,608733000000,157290000000,15765000000,None,123489000000,123489000000,277855000000,None,336888000000,None,None,472000000000,105300000000,93383000000,128074000000,31871000000,135098000000,702000000,10600337000,USD,7444000000,None,None,-90000000,52000000,2302000000,3369000000,942000000,924000000,3838000000,3489000000,-3695000000,-569000000,None,None,None,1564000000,1564000000,None,None,None,None,0,None,8890000000,1652000000,3764000000
61,2011Q3,16.77390625,16.982578125,16.50703125,16.72296875,77005703.125,2.72,2.58,0.14,5.4264,USD,6376000000,12015000000,5639000000,16615000000,4726000000,10298000000,None,223000000,None,None,None,3735000000,None,None,2350000000,436000000,3661000000,437000000,None,1455000000,2015000000,4726000000,5162000000,3224000000,USD,737700000000,125078000000,91368000000,91368000000,15021000000,18689000000,151818000000,66094000000,43663000000,85724000000,12433000000,73291000000,46458000000,49631000000,46458000000,137800000000,None,610927000000,164823000000,16150000000,None,127327000000,127327000000,268270000000,None,327137000000,None,None,466100000000,46757000000,93697000000,124461000000,32264000000,135857000000,702000000,10557351000,USD,9083000000,None,None,135000000,-29000000,2350000000,2513000000,-297000000,196000000,3265000000,1643000000,-9020000000,778000000,None,None,None,1668000000,1668000000,None,None,None,None,0,None,287000000,-1419000000,3224000000
