,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
53,2009Q3,26.113125,26.39715625,25.79359375,26.1396875,14021656.25,0.64,0.59,0.05,8.4746,USD,6388000000,19071000000,12683000000,12683000000,1833000000,4121000000,None,4555000000,None,-167000000,None,167000000,None,6000000,None,434000000,1672000000,556000000,167000000,1116000000,1473000000,1839000000,2273000000,1116000000,USD,43998000000,16563000000,3107000000,3107000000,10797000000,None,27435000000,25851000000,11028000000,1168000000,1168000000,1168000000,None,34000000,6000000,1428000000,382000000,24829000000,12563000000,6018000000,None,None,1769000000,12266000000,None,9661000000,1769000000,None,11430000000,3610000000,2251000000,19169000000,372000000,12958000000,86000000,1704000000,USD,1601000000,None,None,None,None,458000000,181000000,-69000000,740000000,1116000000,-131000000,-572000000,None,None,None,None,381000000,381000000,None,32000000,None,None,32000000,None,898000000,-5000000,1116000000
54,2009Q4,27.3228125,27.6077515625,27.05585,27.330156249999998,14443639.0625,0.41,0.36,0.05,13.8889,USD,5561000000,16361000000,10800000000,10800000000,1263000000,3870000000,None,4298000000,None,-168000000,None,168000000,None,4000000,None,428000000,1099000000,410000000,168000000,689000000,644000000,1267000000,1695000000,689000000,USD,43050000000,15899000000,2719000000,2719000000,10817000000,None,27151000000,25581000000,11416000000,1163000000,1163000000,1163000000,None,33000000,6000000,1169000000,374000000,23670000000,12455000000,5829000000,None,None,1769000000,11215000000,None,8656000000,1769000000,None,10425000000,3680000000,2226000000,19380000000,470000000,13265000000,86000000,1701000000,USD,1336000000,None,None,-43000000,-171000000,453000000,215000000,-29000000,34000000,689000000,-171000000,-1570000000,None,None,None,None,382000000,382000000,None,3000000,None,None,-95000000,None,-405000000,17000000,689000000
55,2010Q1,30.092459016393445,30.37073770491803,29.870819672131148,30.14672131147541,15654129.50819672,0.24,0.17,0.07,41.1765,USD,5013000000,14569000000,9556000000,9556000000,727000000,3869000000,None,4286000000,3000000,-161000000,None,161000000,None,None,None,417000000,447000000,105000000,161000000,301000000,5314000000,608000000,1025000000,342000000,USD,40877000000,13900000000,1421000000,1421000000,10188000000,None,26977000000,25550000000,11795000000,1171000000,1171000000,1171000000,8451000000,33000000,6000000,1327000000,223000000,21484000000,10363000000,4863000000,None,None,1020000000,11121000000,None,9682000000,1020000000,None,9682000000,3322000000,2140000000,19393000000,585000000,13226000000,86000000,1698000000,USD,461000000,None,None,-1188000000,-684000000,442000000,398000000,-216000000,-653000000,5013000000,-370000000,-1404000000,None,115000000,115000000,None,381000000,381000000,None,36000000,None,None,-79000000,None,-1313000000,15000000,342000000
56,2010Q2,33.49174603174603,33.873333333333335,33.04558095238095,33.46634920634921,21241080.95238095,0.45,0.4,0.05,12.5,USD,5794000000,16863000000,11069000000,11069000000,1305000000,4078000000,None,4489000000,None,-142000000,None,142000000,None,-51000000,None,411000000,1116000000,391000000,142000000,725000000,869000000,1258000000,1669000000,725000000,USD,43619000000,16646000000,2436000000,2436000000,11479000000,None,26973000000,25404000000,12249000000,1192000000,1192000000,1192000000,None,None,6000000,1383000000,377000000,24248000000,13977000000,7051000000,None,None,2021000000,10271000000,None,7676000000,2021000000,None,9697000000,3680000000,2356000000,19371000000,1094000000,13552000000,86000000,1686000000,USD,2039000000,None,None,2481000000,1723000000,438000000,167000000,367000000,1227000000,5794000000,-140000000,-893000000,None,508000000,508000000,None,399000000,399000000,None,11000000,None,None,-497000000,None,1006000000,9000000,725000000
57,2010Q3,28.8421875,29.1854921875,28.5577015625,28.87015625,13898021.875,0.72,0.71,0.01,1.4085,USD,6582000000,19410000000,12828000000,12828000000,2049000000,4127000000,None,4533000000,None,-151000000,None,151000000,None,0,None,406000000,1901000000,709000000,151000000,1192000000,1078000000,2052000000,2458000000,1192000000,USD,42535000000,15757000000,2395000000,2395000000,10759000000,None,26778000000,25190000000,12626000000,1180000000,1180000000,1187000000,None,None,None,1385000000,401000000,23090000000,12739000000,5919000000,None,None,2022000000,10351000000,None,7727000000,2022000000,None,9749000000,3648000000,2428000000,19445000000,1794000000,14350000000,86000000,1666000000,USD,1324000000,None,None,-1140000000,-826000000,428000000,240000000,-121000000,-701000000,6582000000,-223000000,-1137000000,None,701000000,701000000,None,394000000,394000000,None,41000000,None,None,-660000000,None,-36000000,-5000000,1192000000
58,2010Q4,32.3171875,32.6336546875,32.088515625,32.3659375,12117484.375,0.51,0.48,0.03,6.25,USD,5685000000,16598000000,10913000000,10913000000,1448000000,3837000000,None,4237000000,4000000,-146000000,None,146000000,None,0,None,400000000,1306000000,472000000,146000000,834000000,817000000,1452000000,1852000000,834000000,USD,41741000000,15076000000,1425000000,1425000000,10993000000,None,26665000000,25050000000,12992000000,1187000000,1187000000,1180000000,None,139000000,None,1363000000,435000000,22626000000,11360000000,5714000000,None,None,1023000000,11266000000,None,8707000000,1023000000,None,9775000000,3462000000,2330000000,19115000000,2594000000,14793000000,86000000,1642000000,USD,623000000,None,None,-434000000,251000000,426000000,282000000,73000000,219000000,834000000,-261000000,-1336000000,None,765000000,765000000,None,391000000,391000000,None,4000000,None,None,-761000000,None,-974000000,4000000,834000000
59,2011Q1,36.637741935483874,36.993427419354845,36.32459677419355,36.66193548387097,10159638.709677419,0.36,0.31,0.05,16.129,USD,5243000000,15126000000,9883000000,9883000000,1037000000,3807000000,None,4206000000,None,-91000000,None,91000000,None,0,None,399000000,950000000,363000000,91000000,587000000,657000000,1041000000,1440000000,587000000,USD,40125000000,13479000000,545000000,545000000,10625000000,None,26646000000,25060000000,13325000000,None,None,1187000000,8497000000,None,272000000,1224000000,260000000,21236000000,10122000000,4717000000,None,None,1042000000,11114000000,None,9749000000,1042000000,None,9749000000,3186000000,2135000000,18889000000,3193000000,14995000000,86000000,1623000000,USD,599000000,None,None,-1176000000,-807000000,426000000,407000000,-217000000,-390000000,5243000000,-388000000,-1085000000,None,634000000,634000000,None,385000000,385000000,None,48000000,None,None,-586000000,None,-874000000,-6000000,587000000
60,2011Q2,36.41253968253969,36.721920634920636,36.131653968253964,36.42809523809523,10576258.73015873,0.5,0.49,0.01,2.0408,USD,5828000000,16823000000,10995000000,10995000000,1422000000,4009000000,None,4406000000,None,-141000000,None,141000000,None,0,None,397000000,1283000000,471000000,141000000,812000000,980000000,1424000000,1821000000,812000000,USD,42797000000,16161000000,1806000000,1806000000,11694000000,None,26636000000,24993000000,13747000000,1209000000,1209000000,1209000000,None,None,None,1205000000,434000000,24599000000,11458000000,6543000000,None,None,43000000,13141000000,None,10731000000,43000000,None,10763000000,3624000000,2184000000,18198000000,4274000000,15404000000,86000000,1598000000,USD,2098000000,None,None,2219000000,1365000000,424000000,199000000,360000000,990000000,5828000000,-184000000,-664000000,None,1301000000,1301000000,None,403000000,403000000,None,34000000,1994000000,None,-1267000000,None,1250000000,11000000,812000000
61,2011Q3,33.85421875,34.29275,33.41020625,33.831015625,14558939.0625,0.86,0.83,0.03,3.6145,USD,6876000000,20232000000,13356000000,13356000000,2294000000,4186000000,None,4582000000,3000000,-149000000,None,149000000,None,0,None,396000000,2148000000,785000000,149000000,1363000000,1353000000,2297000000,2693000000,1363000000,USD,42277000000,15857000000,2551000000,2551000000,10756000000,None,26420000000,24798000000,14099000000,1072000000,1072000000,1177000000,85000000,None,None,1218000000,445000000,24044000000,10947000000,5890000000,None,None,44000000,13097000000,None,10739000000,44000000,None,10775000000,3835000000,2136000000,18233000000,5493000000,16372000000,86000000,1569000000,USD,2389000000,None,None,-496000000,-1026000000,425000000,270000000,-122000000,-925000000,1363000000,-258000000,-1376000000,None,950000000,950000000,None,395000000,395000000,None,49000000,0,None,-901000000,None,755000000,-10000000,1363000000
62,2011Q4,37.58063492063492,38.04752380952381,37.23912539682539,37.69,11183900.0,0.6,0.58,0.02,3.4483,USD,5961000000,17326000000,11365000000,11365000000,1615000000,3956000000,None,4346000000,None,-162000000,None,162000000,None,0,None,390000000,1457000000,523000000,162000000,934000000,693000000,1619000000,2009000000,934000000,USD,41499000000,15478000000,2234000000,545000000,10717000000,None,26646000000,24532000000,14282000000,1120000000,1120000000,1072000000,None,None,None,1143000000,417000000,23730000000,10586000000,5669000000,None,None,1042000000,11114000000,None,10758000000,44000000,None,9749000000,3210000000,2205000000,17769000000,6294000000,16917000000,86000000,1222000000,USD,1204000000,None,None,-226000000,58000000,416000000,351000000,71000000,50000000,934000000,-241000000,-1257000000,None,805000000,805000000,None,389000000,389000000,None,8000000,0,None,-797000000,None,-294000000,-23000000,934000000
