,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
54,2009Q3,21.141875,21.484375,20.868915625,21.1984375,13604221.875,0.53,0.54,-0.01,-1.8519,USD,4823000000,13768000000,12552000000,9021000000,1216000000,3123000000,None,3607000000,5000000,-76000000,None,76000000,None,None,408000000,436000000,1216000000,457000000,76000000,759000000,759000000,1292000000,1728000000,759000000,USD,34122000000,10033000000,1087000000,1511000000,8189000000,None,24089000000,22727000000,9300000000,None,None,None,None,900000000,424000000,216000000,462000000,14946000000,8459000000,4970000000,None,561000000,9000000,6062000000,None,4515000000,552000000,4515000000,5076000000,1672000000,1468000000,19176000000,None,18025000000,738000000,1477000000,USD,1371000000,None,None,None,None,408000000,450000000,None,-833000000,759000000,-880000000,-99000000,None,0,None,None,133000000,133000000,None,None,None,None,None,None,405000000,13000000,759000000
55,2009Q4,21.763125,22.032109375,21.528828125,21.77765625,14484223.4375,0.24,0.24,0,0,USD,3890000000,11298000000,10770000000,7485000000,528000000,2882000000,None,3362000000,4000000,-77000000,None,77000000,None,None,403000000,433000000,528000000,184000000,77000000,344000000,344000000,605000000,1038000000,344000000,USD,34348000000,10431000000,1141000000,1650000000,8424000000,None,23917000000,22557000000,9700000000,None,None,None,None,864000000,509000000,213000000,496000000,14929000000,8489000000,5046000000,None,553000000,0,6013000000,None,4524000000,553000000,4524000000,5077000000,1613000000,1421000000,19419000000,None,18236000000,739000000,1477000000,USD,651000000,129000000,None,75000000,259000000,403000000,392000000,None,235000000,344000000,-458000000,-144000000,None,4000000,4000000,None,132000000,132000000,None,None,None,None,11000000,None,54000000,5000000,344000000
56,2010Q1,23.337049180327867,23.561311475409838,23.108827868852458,23.342459016393445,13020621.31147541,0.14,0.12,0.02,16.6667,USD,3554000000,10112000000,9819000000,6614000000,321000000,2775000000,None,3233000000,4000000,-56000000,None,56000000,None,None,402000000,430000000,321000000,116000000,56000000,205000000,2021000000,377000000,807000000,205000000,USD,33005000000,9732000000,632000000,1057000000,8249000000,None,23273000000,22499000000,9769000000,None,None,None,None,277000000,425000000,218000000,497000000,13936000000,7355000000,4287000000,None,552000000,0,6581000000,None,5080000000,552000000,None,5080000000,1256000000,906000000,19069000000,None,18307000000,729000000,1459000000,USD,-313000000,30000000,None,-1230000000,-186000000,402000000,385000000,None,-175000000,205000000,240000000,-439000000,None,500000000,500000000,None,0,0,None,None,None,None,-431000000,None,-509000000,3000000,205000000
57,2010Q2,24.913095238095238,25.20370634920635,24.51033174603175,24.85920634920635,16043233.333333334,0.34,0.31,0.03,9.6774,USD,4358000000,12306000000,11547000000,8030000000,786000000,3093000000,None,3572000000,2000000,-82000000,None,82000000,None,None,397000000,424000000,786000000,297000000,82000000,489000000,489000000,868000000,1292000000,489000000,USD,37414000000,13695000000,2677000000,3352000000,9899000000,None,23719000000,22379000000,10200000000,None,None,None,None,832000000,675000000,242000000,508000000,18395000000,10881000000,7062000000,None,536000000,536000000,7514000000,None,5531000000,536000000,None,6067000000,1788000000,886000000,19019000000,None,18246000000,722000000,1443000000,USD,2736000000,130000000,None,3557000000,1679000000,397000000,283000000,None,1644000000,489000000,-1084000000,391000000,0,465000000,465000000,None,131000000,131000000,None,None,992000000,None,-445000000,None,2045000000,2000000,489000000
58,2010Q3,20.88859375,21.1619484375,20.601484375,20.88921875,13453195.3125,0.58,0.59,-0.01,-1.6949,USD,5006000000,14277000000,12942000000,9355000000,1335000000,3189000000,None,3671000000,3000000,-84000000,None,84000000,None,None,398000000,424000000,1335000000,503000000,84000000,832000000,1658000000,1419000000,1843000000,832000000,USD,34633000000,11121000000,1191000000,2007000000,8653000000,None,23656000000,22274000000,10500000000,None,None,None,None,730000000,816000000,256000000,508000000,15420000000,7993000000,4888000000,None,37000000,0,7427000000,None,5533000000,37000000,None,5570000000,1761000000,830000000,19213000000,None,18454000000,711000000,1423000000,USD,46000000,28000000,None,-2431000000,-1238000000,398000000,329000000,None,-1244000000,832000000,-384000000,-1147000000,None,550000000,550000000,None,130000000,130000000,None,None,None,None,-508000000,None,-1486000000,-1000000,832000000
59,2010Q4,22.99578125,23.281015625,22.80025,23.063125,13317953.125,0.31,0.3,0.01,3.3333,USD,4061000000,11507000000,10856000000,7526000000,651000000,2931000000,None,3410000000,3000000,-80000000,None,80000000,None,None,399000000,424000000,651000000,247000000,80000000,404000000,814000000,731000000,1155000000,404000000,USD,34341000000,10701000000,1078000000,1737000000,8543000000,None,23720000000,22180000000,10900000000,None,None,None,None,865000000,659000000,219000000,595000000,15449000000,8008000000,4959000000,None,36000000,36000000,7441000000,None,5539000000,36000000,None,5575000000,1533000000,825000000,18892000000,None,18144000000,697000000,1394000000,USD,1051000000,156000000,None,14000000,-128000000,399000000,400000000,None,-112000000,404000000,-400000000,-765000000,None,601000000,601000000,None,157000000,157000000,None,None,None,None,-600000000,None,-113000000,1000000,404000000
60,2011Q1,25.562741935483874,25.867329032258066,25.289516129032258,25.590645161290322,12948232.258064516,0.21,0.18,0.03,16.6667,USD,3726000000,10394000000,10029000000,6754000000,456000000,2792000000,None,3270000000,4000000,-86000000,None,86000000,None,None,392000000,412000000,456000000,171000000,86000000,284000000,578000000,542000000,954000000,285000000,USD,33699000000,9967000000,652000000,1123000000,8321000000,None,23992000000,22089000000,11256000000,None,None,None,None,1008000000,471000000,330000000,635000000,15587000000,7119000000,4351000000,None,36000000,36000000,7837000000,None,6573000000,36000000,None,6573000000,1358000000,833000000,18112000000,None,17371000000,677000000,1354000000,USD,19000000,5000000,None,-861000000,-107000000,392000000,317000000,None,-224000000,285000000,-316000000,-130000000,None,1002000000,1002000000,None,153000000,153000000,None,None,None,None,-961000000,None,-426000000,1000000,285000000
61,2011Q2,24.93452380952381,25.183273015873016,24.70452380952381,24.911269841269842,13711848.222222222,0.34,0.36,-0.02,-5.5556,USD,4319000000,12100000000,11383000000,7866000000,740000000,3120000000,None,3579000000,3000000,-85000000,None,85000000,None,None,371000000,397000000,740000000,279000000,85000000,459000000,493000000,825000000,1222000000,461000000,USD,35884000000,11973000000,1496000000,1841000000,9661000000,None,24172000000,22060000000,11600000000,None,None,None,None,1209000000,345000000,239000000,642000000,18425000000,9921000000,6694000000,None,38000000,38000000,7854000000,None,6818000000,38000000,6780000000,6214000000,1662000000,818000000,17459000000,None,16715000000,659000000,1318000000,USD,2423000000,171000000,None,2792000000,1223000000,371000000,313000000,None,1329000000,461000000,-411000000,-1171000000,None,1031000000,1031000000,None,149000000,149000000,None,None,None,None,-1016000000,None,844000000,3000000,461000000
62,2011Q3,20.751875000000002,21.030625,20.459690625,20.73,16666634.375,0.68,0.66,0.02,3.0303,USD,5016000000,14459000000,13124000000,9527000000,1329000000,3232000000,None,3687000000,3000000,-84000000,None,84000000,None,None,365000000,389000000,1329000000,499000000,84000000,830000000,827000000,1413000000,1802000000,830000000,USD,34045000000,10168000000,568000000,908000000,8825000000,None,24133000000,22195000000,11900000000,None,None,None,None,857000000,340000000,213000000,825000000,17266000000,8677000000,5378000000,None,39000000,39000000,7916000000,None,7000000000,39000000,6961000000,6215000000,1934000000,856000000,16779000000,None,16060000000,630000000,1260000000,USD,870000000,8000000,None,-1316000000,-853000000,365000000,467000000,None,-834000000,830000000,-283000000,-1516000000,None,1402000000,1402000000,None,145000000,145000000,None,None,None,None,-1362000000,None,-928000000,1000000,830000000
63,2011Q4,22.800792063492064,23.154047619047617,22.541666666666668,22.863174603174603,16150215.936507937,0.35,0.33,0.02,6.0606,USD,4037000000,11768000000,11409000000,7815000000,352000000,3233000000,None,3685000000,3000000,-84000000,None,84000000,None,None,361000000,385000000,352000000,127000000,84000000,225000000,189000000,436000000,821000000,225000000,USD,33866000000,10423000000,675000000,969000000,8990000000,None,23716000000,21888000000,12200000000,None,None,None,None,705000000,294000000,227000000,850000000,17057000000,9156000000,5242000000,None,590000000,590000000,7214000000,None,7642000000,590000000,7052000000,6215000000,1913000000,867000000,16809000000,None,16109000000,630000000,1260000000,USD,599000000,174000000,None,-17000000,173000000,361000000,484000000,None,174000000,225000000,-289000000,-199000000,None,1000000,1000000,None,176000000,176000000,None,None,None,None,-1000000,None,107000000,-4000000,225000000
