,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
52,2009Q2,56.205555555555556,56.80603174603175,55.60064603174604,56.20015873015873,9177941.26984127,0.83,0.82,0.01,1.2195,USD,4492100000,5647200000,1155100000,318000000,1681500000,531500000,None,956400000,None,-119300000,None,119300000,None,29800000,None,304400000,1592000000,498300000,119300000,2288900000,1792500000,1711300000,2015700000,1093700000,USD,29207100000,3597000000,2160600000,2160600000,102600000,930500000,25610100000,20754100000,11456300000,2339400000,2339400000,2339400000,1129200000,1129200000,None,403300000,1387400000,15962500000,2843500000,None,None,None,507600000,13119000000,None,10492900000,457600000,10492900000,11000500000,1485900000,1539900000,13244600000,21792400000,29927300000,16600000,1097300000,USD,1420100000,None,None,None,None,304400000,434400000,None,None,1195200000,-302900000,-1005900000,None,792500000,792500000,None,547800000,547800000,None,None,None,None,-712900000,None,181900000,70600000,1093700000
53,2009Q3,56.28859375,56.6739421875,55.849129687499996,56.2659375,9689578.125,0.97,0.97,0,0,USD,4848100000,6046700000,1198600000,338600000,1932800000,549600000,None,977800000,None,-117800000,None,117800000,None,6600000,None,311900000,1821600000,560600000,117800000,1378200000,1757900000,1939400000,2251300000,1261000000,USD,30072400000,3602800000,2201000000,2201000000,106800000,879400000,26469600000,21350300000,11854300000,2408200000,2408200000,2408200000,1228700000,1228700000,None,415600000,1482400000,16882800000,3540400000,515600000,None,None,424300000,13342400000,None,10657900000,424300000,10657900000,11082200000,2193000000,1548500000,13189600000,22519400000,30056000000,16600000,1084500000,USD,1822200000,None,None,None,None,311900000,470800000,None,None,1378200000,-441300000,-1388100000,None,768700000,768700000,None,541200000,541200000,None,None,None,None,-728200000,None,40400000,47600000,1261000000
54,2009Q4,60.93140625,61.39433125,60.5503625,60.96703125,8095765.625,1.15,1.11,0.04,3.6036,USD,5973400000,5973400000,1259900000,348400000,1826300000,655800000,None,1026700000,None,-115200000,None,115200000,None,None,None,317700000,1701000000,484200000,115200000,1826300000,1072100000,1816200000,2133900000,1216800000,USD,30224900000,3416300000,1796000000,1796000000,106200000,1060400000,26808600000,21531500000,11909000000,2425200000,2425200000,2425200000,1212700000,1212700000,None,453700000,1639200000,16191000000,2988700000,636000000,None,None,18100000,13202300000,None,10578400000,18100000,10560300000,10578400000,1055700000,1363100000,14033900000,22854800000,31270800000,16600000,1078000000,USD,1378000000,None,None,None,None,317700000,-1173200000,None,None,1826300000,-542500000,-1207300000,None,423700000,423700000,None,593100000,593100000,None,None,None,None,-249200000,None,-405000000,-33200000,1216800000
55,2010Q1,64.28549180327869,64.69786721311475,63.890101639344266,64.30590163934426,7581504.918032787,1.03,1.02,0.01,0.9804,USD,4375800000,5610100000,1234300000,339300000,1674100000,546300000,None,1006000000,None,-111000000,None,111000000,None,-6200000,None,317900000,1556900000,467100000,111000000,1200800000,855300000,1667900000,1985800000,1089800000,USD,29825600000,3472300000,2007300000,2007300000,99300000,930000000,26353300000,21070000000,11845100000,2471100000,2471100000,2471100000,1157200000,1157200000,None,435700000,1655000000,15708800000,2569300000,472100000,None,None,18100000,13139500000,None,10482600000,18100000,10482600000,10500700000,1454200000,1408600000,14116800000,23142600000,31769300000,16600000,1076000000,USD,1422700000,None,None,None,None,317900000,401800000,None,None,1200800000,-390400000,-808400000,None,477200000,477200000,None,592000000,592000000,None,None,None,None,-316500000,None,211300000,-12600000,1089800000
56,2010Q2,69.00269841269841,69.54001587301588,68.45396825396826,68.98325396825396,7338906.349206349,1.03,0.96,0.07,7.2917,USD,4728000000,5945500000,1217500000,334300000,1845300000,564900000,None,991300000,None,-108100000,None,108100000,None,-1900000,None,311500000,1735300000,509500000,108100000,1333900000,434000000,1843400000,2154900000,1225800000,USD,28675400000,3166500000,1665500000,1665500000,94400000,964100000,25508900000,20293000000,11604200000,2413900000,2413900000,2413900000,1212500000,1212500000,None,442500000,1589500000,15543600000,2582800000,578000000,None,None,334900000,12960800000,None,10291300000,334900000,10291300000,10626200000,1396700000,1424800000,13131800000,24041300000,32406700000,16600000,1072100000,USD,1248700000,None,None,None,None,311500000,394500000,None,None,1333900000,-390700000,-1122300000,None,881200000,881200000,None,589100000,589100000,None,None,None,None,-786000000,None,-341800000,-77500000,1225800000
57,2010Q3,72.08703125,72.641375,71.62775,72.2384375,6287767.1875,1.13,1.12,0.01,0.8929,USD,5087900000,6304900000,1217000000,344400000,2096500000,556300000,None,987400000,None,-114800000,None,114800000,None,-7200000,None,312700000,1974500000,586100000,114800000,1503200000,2371100000,2089300000,2402000000,1388400000,USD,31168500000,4176500000,2495000000,2495000000,103600000,1013600000,26992000000,21477500000,12283300000,2521500000,2521500000,2521500000,1295900000,1295900000,None,564300000,1697100000,17530700000,3266300000,596500000,None,None,78900000,14264400000,None,11357100000,78900000,11357100000,11436000000,2212600000,1570400000,13637800000,24759800000,32568900000,16600000,1061000000,USD,1944400000,None,None,None,None,312700000,523100000,None,None,1503200000,-446000000,-787900000,None,798100000,798100000,None,583500000,583500000,None,None,None,None,-691000000,None,829500000,119000000,1388400000
58,2010Q4,77.7915625,78.174015625,77.3796890625,77.78125,5363043.75,1.29,1.25,0.04,3.2,USD,6214100000,6214100000,1347600000,359800000,1857200000,665800000,None,1104800000,None,-117000000,None,117000000,None,-6600000,None,334100000,1733600000,491300000,117000000,1857200000,1291400000,1850600000,2184700000,1242300000,USD,31975200000,4368500000,2387000000,2387000000,109900000,1179100000,27606700000,22060600000,12421800000,2586100000,2586100000,2586100000,11144300000,1335300000,None,692500000,1624700000,17341000000,2924700000,943900000,None,None,8300000,14416300000,None,11505300000,8300000,11497000000,11505300000,640100000,1586900000,14634200000,25143400000,33811700000,16600000,1055000000,USD,1725800000,None,None,None,None,334100000,-1136000000,-50100000,-50800000,1857200000,-828900000,-1010100000,None,542000000,542000000,None,643500000,643500000,None,None,None,None,-441900000,None,-108000000,5200000,1242300000
59,2011Q1,74.99177419354838,75.4679,74.46992258064516,74.93370967741936,8159390.435483871,1.16,1.16,0,0,USD,4854600000,6111600000,1257000000,354300000,1825900000,563600000,None,1022800000,None,-120100000,None,120100000,None,-6900000,None,339100000,1698900000,489900000,120100000,1329100000,1710300000,1819000000,2158100000,1209000000,USD,32080200000,3824200000,1939900000,1939900000,111500000,1160300000,28256000000,22644800000,12930700000,2669600000,2669600000,2669600000,1317500000,1317500000,None,612500000,1624100000,17626600000,4254100000,700900000,None,None,597300000,13372500000,None,10524300000,919100000,10524300000,12040700000,1360400000,1544500000,14453600000,26463300000,34386200000,16600000,1042400000,USD,1553100000,None,None,None,None,339100000,508700000,None,None,1329100000,-519200000,-1512300000,None,1370600000,1370600000,None,635100000,635100000,None,None,None,None,-1308900000,None,-447100000,31300000,1209000000
60,2011Q2,79.81301428571429,80.33014444444444,79.46263333333334,79.9588873015873,5500461.904761905,1.15,1.14,0.01,0.8772,USD,5591900000,6905400000,1313500000,373000000,2189100000,588000000,None,1062300000,None,-121800000,None,121800000,None,-900000,None,350100000,2066400000,656200000,121800000,1532000000,1700400000,2188200000,2538300000,1410200000,USD,32833000000,4025400000,2070000000,2070000000,115000000,1249100000,28807600000,23015800000,13213700000,2725400000,2725400000,2725400000,1355600000,1355600000,None,591300000,1710800000,17880200000,3948800000,709900000,None,None,896800000,13931400000,None,13722600000,322600000,11062800000,12282200000,1473800000,1548200000,14952800000,27135300000,35165000000,16600000,1035600000,USD,1642800000,None,None,None,None,350100000,590400000,None,None,1532000000,-453100000,-1125400000,None,748000000,748000000,None,632000000,632000000,None,None,None,None,-623800000,None,130100000,65800000,1410200000
61,2011Q3,87.0784390625,87.91696875,86.375909375,87.1415625,7553720.3125,1.35,1.28,0.07,5.4688,USD,5857500000,7166300000,1308800000,376200000,2394700000,580900000,None,1056600000,None,-124000000,None,124000000,None,-7500000,None,358300000,2263200000,755900000,124000000,1631300000,511400000,2387200000,2745500000,1507300000,USD,32277500000,4421900000,2388800000,2388800000,115000000,1203900000,27855600000,22337900000,12882300000,2638400000,2638400000,2638400000,1392100000,1392100000,None,714200000,1487200000,18939300000,5078200000,750100000,None,None,816100000,13861100000,None,15025400000,725400000,10988100000,12529600000,2221900000,1520800000,13338200000,27986800000,35329800000,16600000,1028800000,USD,2169600000,None,None,None,None,358300000,692300000,None,None,1631300000,-699800000,-978300000,None,874800000,874800000,None,627200000,627200000,None,None,None,None,-795300000,None,318800000,-172700000,1507300000
