,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
4,2017Q1,22.361363636363635,23.062727272727273,21.547727272727272,22.163181818181815,47191232.22727273,-0.17,None,None,None,USD,-13710000,149648000,163358000,163358000,-2213767000,1394209000,805848000,2205457000,2424000,-695000,None,695000,149648000,187000,None,5400000,-2211851000,-3014000,695000,-2208837000,-2208415000,-2211156000,-2205756000,-2208837000,USD,4041777000,3463206000,1427114000,3242556000,None,147677000,578571000,116132000,None,411986000,79781000,332205000,None,None,1815442000,72973000,50453000,306259000,242285000,13849000,None,None,None,63989400,None,15400000,None,None,None,228436000,63974000,3735518000,None,-3420444000,12000,1744830000,USD,-154997000,3545000,None,76142000,27277000,12450000,17993000,-13444000,25768000,-2208837000,-1014798000,2446788000,None,None,None,None,None,None,None,None,None,0,2658391000,None,1276993000,None,-2208837000
5,2017Q2,20.18888888888889,20.529349206349206,19.81042857142857,20.163809523809523,18220722.936507937,-0.2,-0.19,-0.01,-5.2632,USD,29523000,181671000,152148000,152148000,-449018000,222806000,255735000,484341000,6349000,-998000,None,998000,181671000,786000,None,5800000,-442881000,212000,998000,-443093000,-437868000,-441883000,-436083000,-443093000,USD,3875474000,3046898000,501677000,2797596000,None,171525000,828576000,128031000,None,638830000,136005000,502825000,None,None,2295919000,77777000,61715000,334567000,258309000,17770000,None,None,15700000,91958000,None,15700000,15700000,None,None,240539000,76258000,3540907000,None,-3863537000,12000,1866458000,USD,-209574000,1945000,None,18622000,38875000,12585000,27085000,21653000,8587000,-443093000,-719782000,-5980000,None,None,None,None,None,None,None,None,None,0,189000,None,-925437000,None,-443093000
6,2017Q3,14.488571428571428,14.785825396825397,14.178476190476191,14.471587301587302,28467834.603174604,-0.16,-0.14,-0.02,-14.2857,USD,-2773000,207937000,210710000,210710000,-461827000,219612000,239442000,471254000,6253000,-887000,None,887000,207937000,1002000,None,9700000,-455459000,-12300000,887000,-443159000,-435067000,-454572000,-444872000,-443159000,USD,3542380000,2547731000,317554000,2298068000,None,194971000,994649000,143112000,None,777435000,164612000,612823000,None,None,1980514000,54692000,74102000,367110000,296164000,15207000,None,None,15900000,86846000,None,15900000,15900000,None,None,280957000,70946000,3175270000,None,-4306696000,12000,1232993000,USD,-194013000,-53000,None,18525000,15871000,17467000,26253000,16304000,20129000,-443159000,162952000,-153062000,None,None,None,None,None,None,None,None,None,0,6072000,None,-184123000,None,-443159000
7,2017Q4,14.545714285714286,14.88902857142857,14.25888253968254,14.576825396825397,22749817.873015873,-0.14,-0.15,0.01,6.6667,USD,94447000,285693000,191246000,191246000,-360964000,221573000,233838000,466011000,6070000,-876000,None,876000,-538256000,2553000,None,10600000,-353217000,-3240000,876000,-349977000,-347502000,-352341000,-341741000,-349977000,USD,3421566000,2366794000,334063000,2043039000,None,279473000,1077472000,166762000,37763000,806355000,166473000,639882000,22700000,22700000,1708976000,44282000,81655000,429239000,346256000,71194000,None,None,16033000,109283000,16033000,16033000,16033000,None,16033000,275062000,82983000,2992327000,None,-4656667000,12000,1222202000,USD,-176083000,789000,None,46687000,66888000,18786000,21294000,79844000,6721000,-349977000,214618000,-22398000,None,None,None,None,None,None,None,None,None,0,4524000,None,16509000,None,-349977000
8,2018Q1,16.192131147540984,16.615588524590162,15.828618032786885,16.227868852459014,28045585.147540983,-0.13,-0.16,0.03,18.75,USD,33868000,230666000,196798000,196798000,-392530000,225412000,200986000,437198000,6104000,-934000,None,934000,230666000,3153000,None,10800000,-384207000,1578000,934000,-385785000,-378979000,-383273000,-372473000,-385785000,USD,3182030000,2111231000,466323000,1821353000,None,231409000,1070799000,191043000,None,802232000,156525000,645707000,None,None,1355030000,58469000,77524000,390182000,301357000,28562000,None,None,16200000,105025000,None,16200000,16200000,None,None,272795000,88825000,2791848000,None,-5042452000,12000,1254439000,USD,-231981000,991000,None,-40313000,-42462000,21553000,36375000,-48697000,-20588000,-385785000,319247000,45258000,None,None,None,None,None,None,None,None,None,0,45809000,None,-99693000,None,-385785000
9,2018Q2,12.920390625,13.1933921875,12.648203125,12.8971875,28247119.34375,-0.17,-0.17,0,0,USD,69768000,261333000,191565000,191565000,-357842000,225294000,203246000,439340000,6600000,-930000,None,930000,262263000,-61000,None,10800000,-352210000,1100000,930000,-353310000,-366066000,-351280000,-340480000,-353310000,USD,2950713000,1868850000,393183000,1570003000,None,244815000,1081863000,214230000,None,782679000,147197000,635482000,1176820000,None,1176820000,54032000,84954000,366645000,279342000,22644000,None,None,16400000,103703000,None,16400000,16400000,None,None,256698000,87303000,2584068000,None,-5395762000,13000,1273163000,USD,-199346000,1406000,None,-21955000,-2910000,22514000,37406000,13926000,-11541000,-353310000,123208000,1914000,None,None,None,None,None,None,None,None,None,0,1914000,None,-74224000,None,-353310000
10,2018Q3,11.65,11.84279365079365,11.419920634920636,11.614285714285716,21189523.57142857,-0.14,-0.17,0.03,17.6471,USD,99222000,296776000,197554000,197554000,-323371000,220002000,203510000,463452000,7011000,-919000,None,919000,297695000,-7625000,None,10600000,-324948000,200000,919000,-325148000,-326885000,-324029000,-313429000,-325148000,USD,2783776000,1725127000,350398000,1414407000,None,261833000,1058649000,216609000,None,770659000,136473000,634186000,1064009000,None,1064009000,48887000,71381000,399684000,285520000,20175000,None,None,None,130764000,None,16600000,None,None,None,265345000,114164000,2384092000,None,-5720910000,13000,1291218000,USD,-132543000,None,None,15254000,12180000,24898000,26285000,18834000,14406000,-325148000,89561000,142000,None,None,None,None,None,None,None,None,None,0,142000,None,-42840000,None,-325148000
11,2018Q4,6.526190476190476,6.693263492063491,6.327961904761905,6.504444444444444,21209726.38095238,-0.12,-0.14,0.02,14.2857,USD,173563000,386511000,212948000,212948000,-194707000,207138000,164443000,382268000,7513000,-1111000,None,1111000,387622000,-3715000,None,10400000,-192020000,-352000,1111000,-191668000,-194991000,-190909000,-180509000,-191668000,USD,2714106000,1675928000,387149000,1279063000,None,354965000,1081778000,212560000,66996000,758424000,126054000,632370000,935514000,43600000,891914000,41900000,67194000,403107000,292691000,30876000,10957000,None,None,127216000,None,None,None,None,None,261815000,110416000,2310999000,None,-5912578000,16000,1317761000,USD,-126054000,None,None,9450000,87319000,22682000,22741000,93443000,4992000,-191668000,162438000,123000,None,None,None,None,None,None,None,None,None,0,123000,None,36507000,None,-191668000
12,2019Q1,8.433773770491802,8.658604918032786,8.270757377049181,8.501967213114755,27173876.24590164,-0.04,-0.07,0.03,42.8571,USD,115903000,319670000,203767000,203767000,-316061000,216535000,216185000,443120000,7816000,-756000,7816000,756000,320426000,-1127000,None,10400000,-310128000,279000,756000,-310407000,-313622000,-309372000,-298972000,-310407000,USD,2825743000,1532840000,245639000,1208732000,None,282407000,1008417000,195302000,None,744982000,115386000,629596000,963093000,None,963093000,41701000,68133000,659866000,322904000,31827000,None,None,46078000,7669000,375371000,329293000,46078000,None,375371000,291077000,7669000,2165877000,None,-6222677000,14000,1334932000,USD,-66178000,16758000,None,-10578000,-71773000,23319000,11814000,-71870000,-24522000,-310407000,-80928000,5596000,None,None,None,None,None,None,None,None,None,0,5596000,None,-141510000,None,-310407000
13,2019Q2,12.19555238095238,12.465553968253968,11.95434761904762,12.228888888888887,27237543.38095238,-0.1,-0.12,0.02,16.6667,USD,211603000,427095000,215492000,215492000,-304818000,241148000,236199000,446464000,7446000,-809000,7446000,809000,427904000,44085000,None,9000000,-254074000,1100000,809000,-255174000,-253004000,-253265000,-244265000,-255174000,USD,2776025000,1539755000,335744000,1184794000,None,313504000,964525000,185440000,None,708285000,79811000,628474000,849050000,None,849050000,41457000,70800000,659327000,339937000,51902000,None,None,47100000,7727000,358763000,311663000,47100000,None,358763000,288035000,7727000,2116698000,None,-6477851000,13000,1372149000,USD,-95789000,17138000,None,28857000,41743000,22660000,7633000,39751000,-13807000,-255174000,184715000,1342000,None,None,None,None,None,None,None,None,None,0,1342000,None,90268000,None,-255174000
