,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,-17877000,899000,None,19686000,78512000,2023000,28228000,40924000,39149000,30994000,-48782000,3599000,-20416000,0,0,None,None,None,None,0,0,None,765000,None,None,None,25679000,2023Q3
1,USD,6254000,-121000,None,24197000,47191000,2241000,7868000,29007000,16797000,33597000,-2488000,4869000,0,0,0,None,None,None,None,0,0,None,4284000,None,8635000,None,26825000,2023Q2
2,USD,-30494000,1465000,None,48847000,91179000,1714000,15050000,7875000,79942000,8963000,49129000,-1455000,0,0,0,None,None,None,None,0,0,None,241000,None,17180000,None,7145000,2023Q1
3,USD,-797000,36988000,None,28796000,53287000,1558000,73024000,-2163000,59538000,14183000,-106757000,9435000,9786000,0,0,None,None,None,None,0,0,None,164000,None,-98119000,None,11809000,2022Q4
4,USD,-100000,938000,None,60034000,93179000,897000,13787000,41554000,52914000,27076000,-8674000,41407000,41915000,0,0,None,None,None,None,0,0,None,400000,None,32633000,None,21004000,2022Q3
5,USD,-33568000,1229000,None,20903000,81847000,1342000,2125000,51418000,28359000,16748000,6120000,-4999000,-4921000,0,0,None,None,None,None,0,0,None,26000,None,-32447000,None,12236000,2022Q2
6,USD,-27729000,1083000,None,35384000,62814000,1213000,3584000,5177000,52503000,-7443000,-156359000,28000,0,0,0,None,None,None,None,0,0,None,724000,None,-184060000,None,-5786000,2022Q1
7,USD,-36271000,971000,None,15223000,75571000,891000,4235000,25764000,40043000,18615000,-5803000,539071000,-5925000,0,0,None,None,None,None,0,117000,None,301000,None,496997000,None,15565000,2021Q4
8,USD,-4063000,737000,None,39631000,56077000,501000,2693000,16473000,40181000,11150000,-2693000,-976000,-6900000,0,0,None,None,None,None,0,5391000,None,932000,None,10914000,None,10155000,2021Q3
9,USD,-10501000,734000,None,29045000,46517000,467000,1206000,8437000,32156000,7334000,-1206000,2051000,-1567000,0,0,None,None,None,None,0,1548000,None,2640000,None,7067000,None,6567000,2021Q2
10,USD,10742000,783000,None,25815000,21790000,439000,1578000,6452000,15276000,5822000,-1578000,-1380000,-2757000,0,0,None,555000,555000,None,0,0,None,1377000,None,7784000,None,5470000,2021Q1
11,USD,-5511000,839000,None,6106000,19693000,257000,1871000,-2120000,22406000,9198000,-35297000,18276000,-1848000,0,0,None,555000,555000,None,0,19699000,None,554000,None,-22532000,None,8529000,2020Q4
12,USD,2615000,457000,None,10154000,14272000,195000,2080000,-658000,12732000,10020000,-3501000,3261000,1943000,0,0,None,None,None,None,0,None,None,1318000,None,9758000,None,8627000,2020Q3
13,USD,-14480000,425000,None,9681000,30896000,189000,1466000,24160000,4699000,496000,-31034000,20856000,20158000,0,0,None,None,None,None,0,None,None,698000,None,260000,None,-81000,2020Q2
14,USD,3829000,538000,None,9569000,8491000,185000,118000,7585000,931000,1963000,-118000,-9559000,-9734000,0,0,None,None,None,None,0,None,None,175000,None,-5848000,None,1705000,2020Q1
15,USD,14155000,623000,None,738000,-11233000,185000,179000,-12377000,769000,4201000,-237000,28270000,-2079000,2042000,2042000,None,None,None,None,-29000,None,None,-2066000,None,42188000,None,3944000,2019Q4
16,USD,-145000,455000,None,-2039000,10764000,176000,550000,11610000,-894000,9089000,-4789000,53326000,820000,None,None,None,None,None,None,0,None,None,25818000,None,8810000,None,8782000,2019Q3
17,USD,-1425000,271000,None,7558000,10961000,177000,280000,6936000,4024000,4311000,-389000,2588000,2476000,None,None,None,None,None,None,0,None,None,112000,None,211000,-563000,4311000,2019Q2
18,USD,-3182000,139000,None,-4117000,2470000,175000,116000,-99000,2759000,1857000,-116000,3261000,3201000,None,None,None,None,None,None,0,None,None,60000,None,243000,280000,1857000,2019Q1
19,USD,9642000,134000,None,6296000,2326000,93000,123000,-6409000,8926000,2286000,-123000,-491000,-508000,None,None,None,None,None,None,0,None,None,17000,None,8886000,-142000,2286000,2018Q4
20,USD,8308000,112000,None,-3704000,1399000,84000,909000,-1332000,2829000,3853000,-909000,418000,202000,None,None,None,None,None,None,0,None,None,216000,None,803000,-91000,3853000,2018Q3
21,USD,3303000,152000,None,13375000,15255000,88000,644000,6872000,8432000,3215000,-644000,53000,-180000,None,None,None,None,None,None,0,None,None,233000,None,2249000,-435000,3215000,2018Q2
22,USD,-16111000,100000,None,-2528000,5670000,85000,395000,-14000,3896000,-2780000,-395000,5143000,5081000,None,None,None,None,None,None,0,None,None,62000,None,-2495000,150000,-2780000,2018Q1
23,USD,-7974000,81000,None,-1167000,6743000,81000,580000,10723000,-2860000,3365000,-15234000,18714000,1534000,None,None,None,11299000,11299000,None,3417000,None,None,3417000,None,607000,567000,3384000,2017Q4
24,USD,-1227000,None,None,None,None,55000,124000,3129000,3744000,-1282000,-8486000,19905000,None,None,None,None,None,None,None,None,None,None,15300000,None,3868000,31000,-955000,2017Q3
25,USD,2631000,None,None,None,None,61000,26000,-1027000,405000,-481000,-31000,-1560000,None,None,None,None,None,None,None,None,None,None,189000,None,1123000,78000,-658000,2017Q2
26,USD,352000,None,None,None,None,57000,36000,-3068000,1784000,-2474000,-36000,1661000,None,None,None,None,None,None,None,None,None,None,378000,None,1964000,-13000,-2089000,2017Q1
27,USD,-6671000,None,None,None,None,53000,618000,12552000,1130000,2855000,-810000,9776000,None,None,None,None,None,None,None,None,None,None,410000,None,2276000,-210000,1222000,2016Q4
28,USD,-1770000,None,None,None,None,46000,88000,None,-154000,561000,None,463000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,362000,2016Q3
