,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,0.57,0.34,0.23,67.6471,2023Q4
1,0.48,0.12,0.36,300,2023Q3
2,0.15,0.0808,0.0692,85.6436,2023Q2
3,0.19,0.14,0.05,35.7143,2023Q1
4,0.45,0.24,0.21,87.5,2022Q4
5,0.22,0.05,0.17,340,2022Q3
6,-0.01,0.01,-0.02,-200,2022Q2
7,0.27,0.21,0.06,28.5714,2022Q1
8,0.19,0.13,0.06,46.1538,2021Q4
9,0.06,0.1,-0.04,-40,2021Q3
10,0.12,0.07,0.05,71.4286,2021Q2
11,0.1,0.09,0.01,11.1111,2021Q1
12,0.14,0.12,0.02,16.6667,2020Q4
13,0.1,0.06,0.04,66.6667,2020Q3
14,0.04,0.01,0.03,300,2020Q2
15,0.08,0.03,0.05,166.6667,2020Q1
16,0.18,0.07,0.11,157.1429,2019Q4
17,0.09,0.04,0.05,125,2019Q3
18,0.05,-0.01,0.06,600,2019Q2
19,0.05,0.03,0.02,66.6667,2019Q1
20,0.08,0.02,0.06,300,2018Q4
21,0.06,0.03,0.03,100,2018Q3
22,-0.01,-0.03,0.02,66.6667,2018Q2
23,0.07,0.03,0.04,133.3333,2018Q1
24,-0.04,-0.05,0.01,20,2017Q4
25,-0.14,0,-0.14,None,2017Q3
