,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Quarter
0,USD,123211000000,12192000000,8736000000,12192000000,None,None,36315000000,1112000000,1439000000,33782000000,18258000000,15524000000,9740000000,7777000000,3456000000,None,None,81971000000,1784000000,None,None,None,1784000000,80187000000,1784000000,7918000000,None,7413000000,7918000000,None,65130000000,39347000000,11991000000,32343000000,2000000,148500074,2023Q4
1,USD,118585000000,10865000000,7316000000,10865000000,17887000000,None,36294000000,1058000000,1487000000,33807000000,18291000000,15516000000,9835000000,9835000000,3549000000,-13147000000,None,77954000000,1217000000,None,None,None,1780000000,76737000000,1780000000,7884000000,None,7007000000,7884000000,-1780000000,61829000000,38627000000,11672000000,31711000000,2000000,148942746,2023Q3
2,USD,122644000000,10160000000,6834000000,10160000000,18150000000,None,36075000000,1045000000,1434000000,33566000000,18228000000,15338000000,9124000000,9124000000,3326000000,-12339000000,None,82748000000,1156000000,None,None,None,1814000000,81592000000,1814000000,7904000000,None,7211000000,7904000000,-1814000000,67061000000,38208000000,11340000000,30855000000,2000000,149373266,2023Q2
3,USD,121398000000,8507000000,5644000000,8507000000,17208000000,None,36144000000,1046000000,1374000000,33604000000,18265000000,15339000000,8172000000,8172000000,2863000000,-10743000000,None,82333000000,1183000000,None,None,None,1823000000,81150000000,1823000000,6669000000,None,6093000000,6669000000,-1823000000,70024000000,37712000000,10979000000,30237000000,2000000,149904546,2023Q1
4,USD,117628000000,9958000000,7416000000,9958000000,None,None,36190000000,1031000000,1390000000,33643000000,18302000000,15341000000,7466000000,7466000000,2542000000,5765000000,None,78843000000,1294000000,None,None,None,1835000000,77549000000,1835000000,6654000000,None,5900000000,6654000000,-541000000,65242000000,37744000000,10805000000,29876000000,2000000,149756492,2022Q4
5,USD,115430000000,9244000000,6797000000,9244000000,None,None,36139000000,965000000,1393000000,33683000000,18339000000,15344000000,6907000000,6907000000,2447000000,5867000000,None,77313000000,1601000000,None,None,None,1773000000,75712000000,1773000000,6591000000,None,5754000000,6591000000,-2867000000,64679000000,37162000000,10325000000,29348000000,2000000,150461863,2022Q3
6,USD,125966000000,9222000000,6481000000,9222000000,7302000000,None,36166000000,900000000,1344000000,33723000000,18377000000,15346000000,7302000000,7302000000,2741000000,-23000000,None,87661000000,1324000000,None,None,None,1815000000,86337000000,1815000000,6635000000,None,6102000000,6635000000,-3292000000,75493000000,37089000000,9969000000,28678000000,2000000,150966457,2022Q2
7,USD,143327000000,10163000000,7262000000,10163000000,None,None,36198000000,851000000,1309000000,33764000000,18415000000,15349000000,7615000000,7615000000,2901000000,7083000000,None,104468000000,1451000000,None,None,None,1842000000,103017000000,1842000000,7430000000,None,7253000000,7430000000,-391000000,91626000000,37489000000,9478000000,28338000000,2000000,151725643,2022Q1
8,USD,152648000000,12247000000,9323000000,12247000000,None,None,36187000000,762000000,1256000000,33804000000,18453000000,15351000000,7262000000,7262000000,2924000000,7388000000,None,113755000000,1397000000,None,None,None,46000000,112358000000,1872000000,7400000000,None,7700000000,7446000000,-6091000000,99203000000,37693000000,9087000000,27688000000,2000000,151684491,2021Q4
9,USD,169636000000,10432000000,7361000000,10432000000,None,None,36337000000,703000000,1257000000,33836000000,18476000000,15360000000,7101000000,7101000000,3071000000,14106000000,None,131270000000,1402000000,None,None,None,1946000000,129868000000,1946000000,6474000000,None,6836000000,6474000000,-544000000,117392000000,36817000000,8793000000,26672000000,2000000,151988234,2021Q3
10,USD,176962000000,10401000000,6416000000,10401000000,None,None,35230000000,741000000,1211000000,33876000000,18514000000,15362000000,7595000000,7595000000,3985000000,16170000000,None,138572000000,1238000000,None,None,None,None,137334000000,None,6491000000,None,6909000000,6491000000,1238000000,125232000000,36033000000,8498000000,25620000000,2000000,152298784,2021Q2
11,USD,173859000000,10442000000,6267000000,10442000000,None,None,35164000000,671000000,1150000000,33864000000,18516000000,15348000000,7145000000,7145000000,4175000000,15711000000,None,136019000000,1196000000,None,None,None,None,134823000000,None,7232000000,None,7553000000,7232000000,1196000000,122720000000,35380000000,8204000000,24872000000,2000000,152635930,2021Q1
12,USD,176982000000,12945000000,8664000000,12945000000,None,None,34144000000,681000000,1098000000,32814000000,18263000000,14551000000,6919000000,6919000000,4281000000,16692000000,None,139326000000,1028000000,None,None,None,4966000000,138298000000,None,7264000000,None,7900000000,7264000000,-3673000000,124862000000,35283000000,8009000000,24334000000,2000000,152532885,2020Q4
13,USD,165118000000,10418000000,6507000000,10418000000,None,None,34183000000,693000000,1040000000,32844000000,18290000000,14554000000,6307000000,6307000000,3911000000,15358000000,None,129102000000,988000000,None,None,None,None,128114000000,None,7227000000,None,7857000000,7227000000,-3742000000,115298000000,33873000000,8018000000,23340000000,2000000,152496403,2020Q3
14,USD,157342000000,8303000000,5466000000,8303000000,None,None,34233000000,697000000,979000000,32873000000,18317000000,14556000000,5171000000,5171000000,2837000000,14392000000,None,123308000000,914000000,None,None,None,None,122394000000,None,7190000000,None,7787000000,7190000000,14397000000,110351000000,32730000000,8030000000,22532000000,2000000,152460239,2020Q2
15,USD,149020000000,7388000000,4406000000,7388000000,None,None,34279000000,714000000,923000000,32903000000,18344000000,14559000000,5240000000,5240000000,2982000000,14980000000,None,114510000000,982000000,None,None,None,None,113528000000,None,5933000000,None,6147000000,5933000000,14786000000,103127000000,33013000000,6936000000,21872000000,2000000,154262618,2020Q1
16,USD,168622000000,8004000000,4829000000,8004000000,None,None,34315000000,715000000,880000000,32931000000,18369000000,14562000000,5489000000,5489000000,3175000000,15506000000,None,133693000000,1167000000,None,None,None,None,132526000000,None,4955000000,None,5300000000,4955000000,15759000000,121780000000,33547000000,6732000000,21662000000,2000000,154375780,2019Q4
17,USD,163872000000,5229000000,4476000000,5229000000,None,None,34245000000,669000000,876000000,32959000000,18407000000,14552000000,2117000000,2117000000,753000000,18738000000,None,130268000000,1252000000,None,None,None,None,129016000000,None,5932000000,None,6257000000,5932000000,18699000000,117076000000,32407000000,6742000000,20873000000,2000000,154349915,2019Q3
18,USD,163347000000,4637000000,3920000000,4637000000,None,None,34293000000,659000000,836000000,32988000000,18477000000,14511000000,1989000000,1989000000,717000000,18485000000,None,130687000000,1277000000,None,None,None,None,129410000000,None,5964000000,None,6257000000,5964000000,18446000000,117899000000,31893000000,6659000000,20267000000,2000000,154543673,2019Q2
19,USD,165008000000,4663000000,3891000000,4663000000,None,None,32004000000,656000000,794000000,31348000000,17824000000,13524000000,1917000000,1917000000,772000000,20830000000,None,132637000000,6191000000,None,None,None,4966000000,126446000000,None,4966000000,4966000000,5131000000,4966000000,20791000000,121449000000,31309000000,6676000000,19779000000,2000000,154500315,2019Q1
20,USD,159573000000,7019000000,6488000000,7019000000,None,None,32008000000,643000000,750000000,31365000000,17839000000,13526000000,4476000000,1796000000,717000000,20672000000,None,126033000000,1292000000,None,None,None,None,124741000000,None,5000000000,None,5000000000,4979000000,20996000000,112829000000,32374000000,5387000000,19282000000,2000000,157553501,2018Q4
21,USD,174862000000,7042000000,6358000000,7042000000,176000000,None,31968000000,588000000,765000000,31380000000,17854000000,13526000000,1760000000,1760000000,684000000,19628000000,None,141789000000,6394000000,None,None,None,4991000000,135395000000,None,4991000000,4994000000,5033000000,4991000000,19575000000,129671000000,32415000000,4871000000,18852000000,2000000,158837718,2018Q3
22,USD,195549000000,7268000000,6599000000,7268000000,249000000,None,31163000000,581000000,728000000,30582000000,17367000000,13215000000,1813000000,1813000000,669000000,22977000000,None,162679000000,1216000000,None,None,None,4994000000,161463000000,None,4994000000,4994000000,5065000000,4994000000,22960000000,151773000000,32130000000,4388000000,18138000000,2000000,159812950,2018Q2
23,USD,216017000000,6271000000,5978000000,6271000000,293000000,None,31184000000,589000000,698000000,30595000000,17378000000,13217000000,2050000000,2050000000,293000000,27309000000,None,183434000000,1421000000,None,None,None,5036000000,182013000000,None,5036000000,5036000000,5134000000,5036000000,788000000,172673000000,31978000000,4108000000,17529000000,2000000,160308362,2018Q1
24,USD,220241000000,7729000000,6894000000,7729000000,835000000,None,31201000000,592000000,658000000,30609000000,17389000000,13220000000,1981000000,1981000000,835000000,24246000000,None,187977000000,1161000000,None,None,None,5014000000,186765000000,None,5014000000,5014000000,5200000000,5014000000,2153000000,176060000000,31798000000,3967000000,16966000000,2000000,159977115,2017Q4
25,USD,220567000000,6857000000,6165000000,6857000000,692000000,None,31197000000,571000000,708000000,30626000000,17400000000,13226000000,1928000000,1928000000,692000000,27485000000,None,190150000000,1652000000,None,None,None,5000000000,188498000000,None,5000000000,5000000000,5248000000,5000000000,1614000000,176918000000,30042000000,3697000000,15065000000,2000000,160528060,2017Q3
