,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,-0.72,0,-0.72,None,2024Q1
1,-0.0007,0,-0.0007,None,2023Q4
2,-0.2186,0,-0.2186,None,2023Q3
3,-0.0532,0,-0.0532,None,2023Q2
4,-0.0531,-0.04,-0.0131,-32.75,2023Q1
5,-0.05,0,-0.05,None,2022Q4
6,-0.09,-0.03,-0.06,-200,2022Q3
7,-0.05,-0.04,-0.01,-25,2022Q2
8,-0.07,-0.04,-0.03,-75,2022Q1
9,-0.06,None,None,None,2021Q4
10,-0.07,None,None,None,2021Q3
11,-0.06,None,None,None,2021Q2
12,-0.05,None,None,None,2021Q1
13,-0.04,None,None,None,2020Q4
14,-0.09,None,None,None,2020Q3
15,-0.03,None,None,None,2020Q2
16,-0.04,None,None,None,2020Q1
17,-0.01,None,None,None,2019Q4
18,-0.0285,None,None,None,2019Q3
19,-0.03,None,None,None,2019Q2
20,-0.02,None,None,None,2019Q1
21,-0.02,None,None,None,2018Q4
22,-0.08,0,-0.08,None,2018Q3
23,-0.02,None,None,None,2018Q2
24,-0.02,None,None,None,2018Q1
25,-0.02,None,None,None,2017Q4
26,-0.0215,None,None,None,2017Q3
27,-0.01,None,None,None,2017Q2
28,-0.0142,None,None,None,2017Q1
29,-0.0114,None,None,None,2016Q4
30,-0.0146,None,None,None,2016Q3
31,-0.0203,0,-0.0203,None,2016Q2
32,-0.0104,0,-0.0104,None,2016Q1
33,-0.0269,0,-0.0269,None,2015Q4
34,-0.0243,0,-0.0243,None,2015Q3
35,-0.0041,0,-0.0041,None,2015Q1
