,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,USD,102235,11348469,11246234,11246234,-1788536,1773400,117371,1890771,1623,-2278,None,2278,None,-46187,7802,130441,-1833100,None,2278,-1833039,-1798438,-1788536,-1658095,-1832978,2023Q4
1,USD,74735,6880743,6806008,6806008,-857776,777507,155004,932511,106,-2503,106,2503,None,-7864,10662,127211,-865534,-137873,2503,-855602,-183272,-857776,-730565,-12124,2023Q3
2,USD,39876,3667619,3627743,3627743,-5547173,5384619,202430,5587049,None,38,38,26846,None,-8791,5970,163188,-6426868,-870648,None,-5555918,-5377006,-5547173,-5383985,-5556220,2023Q2
3,USD,96528,1787677,1691149,1691149,-1306669,123289,306200,1403197,None,36,36,9604,1787677,9568,15955,148701,-1295159,0,None,1243697,-1315941,-1306669,-1157968,-1295159,2023Q1
4,USD,35429,131459,96030,371380,-1025370,1280006,148812,1060799,29,46,46,36351,425710,9568,30808,147044,-1290990,0,None,-1045665,-1352095,-1306669,-1159625,-1290990,2022Q4
5,USD,150197,1040000,1014108,1014108,-1095702,1343509,106628,1095702,64,99,99,99,1164305,-1239,40861,148903,-1337315,8,None,-1102020,-1324985,-1095702,-946799,-1337323,2022Q3
6,USD,57375,1930911,729389,-14379983,-2564107,1230146,291336,2621482,None,12767,12767,12767,786764,62158,36298,128753,-2489182,-438338,None,-2489182,-2205343,-2564107,-2435354,-2125769,2022Q2
7,USD,588404,5540000,6055134,5000000,-1258199,2597771,248832,1846603,None,4837,4837,4837,6643538,7670,41506,137720,-1245692,26883,None,-1245692,-1257493,-1258199,-1120479,-1277412,2022Q1
8,USD,588404,8950000,6055134,8710000,-1258199,1655001,248832,1846603,None,12359,12359,12359,8979479,7670,46088,95435,-1823474,-158540,None,-1823474,-1257493,-1258199,-1162764,-1677293,2021Q4
9,USD,63595,670000,607535,607535,-1573891,1350270,287216,1637486,None,20534,20534,20534,671130,23,40253,51769,-1553334,-132634,None,-1553334,-1445931,-1573891,-1522122,-1441234,2021Q3
10,USD,8003,22213,14210,14210,-1737768,1430941,314830,1745771,None,601,601,601,22213,-3387,37284,49598,-1740554,-142538,-171750,-1740554,-1601045,-1737768,-1688170,-1598617,2021Q2
