,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,None,None,None,None,2024Q1
1,0.22,-0.04,0.26,650,2023Q4
2,-0.39,-0.25,-0.14,-56,2023Q3
3,-0.46,-0.47,0.01,2.1277,2023Q2
4,1.07,0.97,0.1,10.3093,2023Q1
5,2.19,2.37,-0.18,-7.5949,2022Q4
6,0.42,-0.39,0.81,207.6923,2022Q3
7,0.04,-0.58,0.62,106.8966,2022Q2
8,2.09,1.63,0.46,28.2209,2022Q1
9,0.07,-0.25,0.32,128,2021Q4
10,0.09,-0.41,0.5,121.9512,2021Q3
11,-1.2,-0.57,-0.63,-110.5263,2021Q2
12,-0.12,-0.7,0.58,82.8571,2021Q1
13,2.75,-0.52,3.27,628.8462,2020Q4
14,-0.61,-1.42,0.81,57.0423,2020Q3
15,-2.88,-0.17,-2.71,-1594.1176,2020Q2
16,-0.03,-0.4,0.37,92.5,2020Q1
17,0.69,0.11,0.58,527.2727,2019Q4
18,0.31,0.31,0,0,2019Q3
19,0.74,1.89,-1.15,-60.8466,2019Q2
20,0.86,0.93,-0.07,-7.5269,2019Q1
21,0.54,0.3,0.24,80,2018Q4
22,-0.12,0.22,-0.34,-154.5455,2018Q3
23,0.03,0.49,-0.46,-93.8776,2018Q2
24,1.1,0.23,0.87,378.2609,2018Q1
25,0.24,0.5,-0.26,-52,2017Q4
26,0.52,0.72,-0.2,-27.7778,2017Q3
27,0.13,0.69,-0.56,-81.1594,2017Q2
28,1.05,0.66,0.39,59.0909,2017Q1
29,1.1,0.54,0.56,103.7037,2016Q4
30,1.58,0.75,0.83,110.6667,2016Q3
31,2.31,0.62,1.69,272.5806,2016Q2
32,0.57,-0.08,0.65,812.5,2016Q1
33,0.16,0.01,0.15,1500,2015Q4
34,0.33,0.17,0.16,94.1176,2015Q3
35,-2.68,0.07,-2.75,-3928.5714,2015Q2
36,0.81,0.19,0.62,326.3158,2015Q1
37,0.48,0.39,0.09,23.0769,2014Q4
38,-0.37,0.38,-0.75,-197.3684,2014Q3
39,-2.19,0.26,-2.45,-942.3077,2014Q2
40,0.44,0.32,0.12,37.5,2014Q1
41,0.17,0.55,-0.38,-69.0909,2013Q4
42,1.07,0.39,0.68,174.359,2013Q3
43,0.3,0.33,-0.03,-9.0909,2013Q2
44,-0.0239,None,None,None,2013Q1
45,-1.3032,None,None,None,2012Q4
46,1.07,0.1,0.97,970,2012Q3
47,-2.96,0.1,-3.06,-3060,2012Q2
48,0.7852,None,None,None,2012Q1
49,4.33,0.09,4.24,4711.1111,2011Q4
50,1.74,0.08,1.66,2075,2011Q3
51,-0.12,-0.1,-0.02,-20,2011Q2
52,0.1744,None,None,None,2011Q1
