,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,Quarter
0,5.16,4.73,0.43,9.0909,post-market,2024Q3
1,4.71,4.32,0.39,9.0278,post-market,2024Q2
2,5.33,4.96,0.37,7.4597,post-market,2024Q1
3,4.39,3.63,0.76,20.9366,post-market,2023Q4
4,2.98,2.92,0.06,2.0548,post-market,2023Q3
5,2.2,2.03,0.17,8.3744,post-market,2023Q2
6,1.76,2.22,-0.46,-20.7207,post-market,2023Q1
7,1.64,1.89,-0.25,-13.2275,post-market,2022Q4
8,2.46,2.59,-0.13,-5.0193,post-market,2022Q3
9,2.72,2.56,0.16,6.25,post-market,2022Q2
10,3.67,3.84,-0.17,-4.4271,post-market,2022Q1
11,3.22,3.19,0.03,0.9404,post-market,2021Q4
12,3.61,3.03,0.58,19.1419,post-market,2021Q3
13,3.3,2.37,0.93,39.2405,post-market,2021Q2
14,3.88,3.22,0.66,20.4969,post-market,2021Q1
15,2.4,1.91,0.49,25.6545,post-market,2020Q4
16,1.8,1.39,0.41,29.4964,post-market,2020Q3
17,1.71,1.75,-0.04,-2.2857,post-market,2020Q2
18,2.56,2.53,0.03,1.1858,post-market,2020Q1
19,2.12,1.91,0.21,10.9948,post-market,2019Q4
20,1.99,1.88,0.11,5.8511,post-market,2019Q3
21,1.89,1.63,0.26,15.9509,post-market,2019Q2
22,2.38,2.19,0.19,8.6758,post-market,2019Q1
23,1.76,1.47,0.29,19.7279,post-market,2018Q4
24,1.74,1.72,0.02,1.1628,post-market,2018Q3
25,1.69,1.35,0.34,25.1852,post-market,2018Q2
26,2.21,1.95,0.26,13.3333,post-market,2018Q1
27,1.59,1.28,0.31,24.2188,post-market,2017Q4
28,1.32,1.13,0.19,16.8142,post-market,2017Q3
29,1.3,1.12,0.18,16.0714,post-market,2017Q2
30,1.41,1.31,0.1,7.6336,post-market,2017Q1
31,1.09,0.97,0.12,12.3711,post-market,2016Q4
32,0.97,0.82,0.15,18.2927,post-market,2016Q3
33,0.77,0.62,0.15,24.1935,post-market,2016Q2
34,0.79,0.68,0.11,16.1765,post-market,2016Q1
35,0.57,0.52,0.05,9.6154,post-market,2015Q4
36,0.5,0.47,0.03,6.383,post-market,2015Q3
37,0.42,0.4,0.02,5,post-market,2015Q2
38,0.54,0.49,0.05,10.2041,post-market,2015Q1
39,0.43,0.4,0.03,7.5,post-market,2014Q4
40,0.42,0.32,0.1,31.25,pre-market,2014Q3
41,0.34,0.24,0.1,41.6667,pre-market,2014Q2
42,0.31,0.27,0.04,14.8148,pre-market,2014Q1
43,0.25,0.19,0.06,31.5789,pre-market,2013Q4
44,0.19,0.14,0.05,35.7143,pre-market,2013Q3
45,0.12,0.13,-0.01,-7.6923,pre-market,2013Q2
46,0.17,0.15,0.02,13.3333,pre-market,2013Q1
47,0.12,0.11,0.01,9.0909,pre-market,2012Q4
48,0.12,0.12,0,0,pre-market,2012Q3
49,0.0645,None,None,None,pre-market,2012Q2
