,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,690000000,None,None,538400000,586000000,68600000,35200000,481900000,226100000,1746900000,-1325500000,-72600000,None,0,0,None,None,None,None,None,None,None,57500000,None,None,None,1746900000,2024Q1
1,USD,1526000000,None,None,-70900000,-997300000,64300000,36800000,-1006600000,-23700000,194200000,-129000000,-41800000,0,66700000,66700000,None,86400000,86400000,None,None,None,0,19700000,None,None,None,194200000,2023Q4
2,USD,414100000,None,None,1447700000,1276800000,69300000,37200000,1758300000,-496600000,227700000,362600000,-1634800000,0,0,0,None,1631900000,1631900000,None,None,None,0,60100000,None,-858100000,None,227700000,2023Q3
3,USD,432100000,None,None,447400000,599600000,72300000,31200000,165300000,None,107800000,87900000,128200000,0,0,0,None,None,None,None,None,None,0,130300000,None,648200000,None,107800000,2023Q2
4,USD,694600000,None,None,499700000,251100000,69900000,38300000,39800000,None,84200000,-1164500000,-250800000,0,250000000,250000000,None,None,None,None,None,None,0,-249300000,None,-720700000,None,84200000,2023Q1
5,USD,1236700000,None,None,-7700000,-803200000,70700000,39600000,-904400000,None,20000000,-1319800000,31100000,0,22700000,22700000,None,None,None,None,None,None,0,45000000,None,-52000000,None,20000000,2022Q4
6,USD,523700000,None,None,1248100000,686900000,72500000,39200000,901900000,None,3300000,-472100000,-353100000,0,342300000,342300000,None,None,None,None,None,None,0,-342000000,None,-301500000,None,3300000,2022Q3
7,USD,389500000,None,None,437400000,420300000,71400000,38300000,288400000,None,-73200000,42900000,66300000,0,0,0,None,None,None,None,None,None,0,77500000,None,-73200000,None,-73200000,2022Q2
8,USD,482600000,None,None,392200000,227600000,69700000,80700000,140100000,-27400000,-93500000,-274300000,-558500000,0,550000000,550000000,None,None,None,None,None,None,0,-549900000,None,-93500000,None,-93500000,2022Q1
9,USD,588900000,None,None,-8000000,-291800000,69000000,34600000,-428400000,-96200000,-103600000,-229900000,38700000,0,0,0,None,None,None,None,None,None,0,58700000,None,397700000,None,-103600000,2021Q4
10,USD,325800000,None,None,811600000,402200000,68800000,27400000,473700000,107400000,-119300000,-2400000,-335600000,0,328100000,328100000,None,None,None,None,None,None,0,-327800000,None,-12200000,None,-119300000,2021Q3
