,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,164574000,25585000,None,135616000,143250000,52324000,53719000,153899000,146334000,-248247000,623123000,-204648000,None,189394000,189394000,None,None,None,None,None,None,None,-188772000,None,None,None,-248247000,2023Q4
1,USD,12781000,28806000,None,94146000,132576000,41209000,73435000,128972000,None,-368256000,-31608000,-10436000,None,0,0,None,None,None,None,None,None,0,5000,None,None,None,-368256000,2023Q3
2,USD,-81936000,24932000,None,62620000,106002000,39688000,36943000,103629000,None,-377308000,-26399000,-241706000,None,0,0,None,None,None,None,None,None,0,382000,None,-350041000,None,-377308000,2023Q2
3,USD,151102000,28621000,None,-126109000,-276019000,35220000,47630000,-288373000,None,-328674000,5838000,-1999000,None,0,0,None,None,None,None,None,None,0,29000,None,154941000,None,-328674000,2023Q1
4,USD,125291000,28782000,None,75420000,178890000,48491000,46925000,182216000,None,-288460000,-121114000,-500138000,None,500539000,500539000,None,None,None,None,None,None,0,-500138000,None,-495961000,None,-288460000,2022Q4
5,USD,55945000,24786000,None,72842000,-19359000,36291000,37836000,-17410000,None,-359502000,65065000,-500296000,None,500513000,500513000,None,None,None,None,None,None,0,-500296000,None,-379286000,None,-359502000,2022Q3
6,USD,-124081000,23251000,None,-18773000,100211000,79291000,23370000,81001000,None,-422067000,11439000,-1618000,None,None,None,None,None,None,None,None,None,0,1388000,None,-114260000,None,-422067000,2022Q2
7,USD,127459000,26954000,None,-5835000,-98541000,38100000,21175000,-126027000,None,-359624000,-1017665000,1308766000,None,None,None,None,None,None,None,None,None,0,2266000,None,418560000,None,-359624000,2022Q1
8,USD,185528000,20438000,None,63874000,171444000,34863000,24565000,154923000,None,22550000,-166995000,2916000,None,None,None,None,None,None,None,None,None,0,2916000,None,21449000,None,22550000,2021Q4
9,USD,71552000,22608000,None,69941000,141303000,32510000,19836000,132908000,-3615512000,-71959000,-155202000,4045000,None,None,None,None,None,None,None,None,None,0,4045000,None,-79605000,None,-71959000,2021Q3
