,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,0.07,0.06,0.01,16.6667,2024Q1
1,0.02,-0.04,0.06,150,2023Q4
2,-0.02,-0.04,0.02,50,2023Q3
3,0.01,-0.01,0.02,200,2023Q2
4,0.14,0.11,0.03,27.2727,2023Q1
5,0.08,-0.01,0.09,900,2022Q4
6,-0.02,-0.02,0,0,2022Q3
7,-0.02,0.01,-0.03,-300,2022Q2
8,0.22,0.1,0.12,120,2022Q1
9,0.17,0.08,0.09,112.5,2021Q4
10,0.1,-0.01,0.11,1100,2021Q3
11,-0.19,-0.05,-0.14,-280,2021Q2
12,0.09,0.07,0.02,28.5714,2021Q1
13,0.01,-0.05,0.06,120,2020Q4
14,-0.09,-0.09,0,0,2020Q3
15,-0.08,-0.07,-0.01,-14.2857,2020Q2
16,0.03,0.01,0.02,200,2020Q1
17,-0.04,-0.05,0.01,20,2019Q4
18,-0.06,-0.1,0.04,40,2019Q3
19,-0.1,-0.12,0.02,16.6667,2019Q2
20,-0.04,-0.07,0.03,42.8571,2019Q1
21,-0.12,-0.14,0.02,14.2857,2018Q4
22,-0.14,-0.17,0.03,17.6471,2018Q3
23,-0.17,-0.17,0,0,2018Q2
24,-0.13,-0.16,0.03,18.75,2018Q1
25,-0.14,-0.15,0.01,6.6667,2017Q4
26,-0.16,-0.14,-0.02,-14.2857,2017Q3
27,-0.2,-0.19,-0.01,-5.2632,2017Q2
28,-0.17,None,None,None,2017Q1
29,-0.08,None,None,None,2016Q4
