,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,3.17,3.04,0.13,4.2763,2023Q4
1,2.88,2.74,0.14,5.1095,2023Q3
2,2.54,2.46,0.08,3.252,2023Q2
3,2.62,2.5,0.12,4.8,2023Q1
4,1.91,1.85,0.06,3.2432,2022Q4
5,2.1,1.99,0.11,5.5276,2022Q3
6,2.5,2.37,0.13,5.4852,2022Q2
7,2.4,2.37,0.03,1.2658,2022Q1
8,1.82,1.78,0.04,2.2472,2021Q4
9,1.81,1.78,0.03,1.6854,2021Q3
10,1.7,1.52,0.18,11.8421,2021Q2
11,1.52,1.47,0.05,3.4014,2021Q1
12,1.58,1.58,0,0,2020Q4
13,1.74,1.35,0.39,28.8889,2020Q3
14,1.22,0.99,0.23,23.2323,2020Q2
15,1.01,0.92,0.09,9.7826,2020Q1
16,1.15,1.13,0.02,1.7699,2019Q4
17,1.18,1.1,0.08,7.2727,2019Q3
18,1.16,1.09,0.07,6.422,2019Q2
19,1.08,0.97,0.11,11.3402,2019Q1
20,0.78,0.78,0,0,2018Q4
21,0.95,0.92,0.03,3.2609,2018Q3
22,1.08,1.08,0,0,2018Q2
23,1.1,1,0.1,10,2018Q1
24,0.69,0.57,0.12,21.0526,2017Q4
25,0.92,0.92,0,0,2017Q3
26,0.88,0.86,0.02,2.3256,2017Q2
27,0.94,0.78,0.16,20.5128,2017Q1
28,0.77,0.77,0,0,2016Q4
29,0.76,0.74,0.02,2.7027,2016Q3
30,0.81,0.79,0.02,2.5316,2016Q2
31,0.68,0.62,0.06,9.6774,2016Q1
32,0.67,0.66,0.01,1.5152,2015Q4
33,0.63,0.59,0.04,6.7797,2015Q3
34,0.68,0.63,0.05,7.9365,2015Q2
35,0.8,0.62,0.18,29.0323,2015Q1
36,0.64,0.61,0.03,4.918,2014Q4
37,0.65,0.6,0.05,8.3333,2014Q3
38,0.65,0.59,0.06,10.1695,2014Q2
39,0.59,0.52,0.07,13.4615,2014Q1
40,0.56,0.55,0.01,1.8182,2013Q4
41,0.55,0.54,0.01,1.8519,2013Q3
42,0.66,0.63,0.03,4.7619,2013Q2
43,0.67,0.55,0.12,21.8182,2013Q1
44,0.47,0.47,0,0,2012Q4
45,0.55,0.5,0.05,10,2012Q3
46,0.53,0.55,-0.02,-3.6364,2012Q2
47,0.56,0.52,0.04,7.6923,2012Q1
48,0.45,0.45,0,0,2011Q4
49,0.46,0.43,0.03,6.9767,2011Q3
50,0.45,0.45,0,0,2011Q2
51,0.44,0.4,0.04,10,2011Q1
52,0.39,0.39,0,0,2010Q4
53,0.39,0.38,0.01,2.6316,2010Q3
54,0.41,0.39,0.02,5.1282,2010Q2
55,0.41,0.39,0.02,5.1282,2010Q1
56,0.33,0.32,0.01,3.125,2009Q4
57,0.47,0.41,0.06,14.6341,2009Q3
58,0.45,0.4,0.05,12.5,2009Q2
59,0.5,0.41,0.09,21.9512,2009Q1
60,0.43,0.38,0.05,13.1579,2008Q4
61,0.44,0.39,0.05,12.8205,2008Q3
62,0.41,0.38,0.03,7.8947,2008Q2
63,0.44,0.38,0.06,15.7895,2008Q1
64,0.4,0.36,0.04,11.1111,2007Q4
65,0.32,0.3,0.02,6.6667,2007Q3
66,0.35,0.28,0.07,25,2007Q2
67,0.3,0.27,0.03,11.1111,2007Q1
68,0.21,0.19,0.02,10.5263,2006Q4
69,0.21,0.19,0.02,10.5263,2006Q3
70,0.17,0.15,0.02,13.3333,2006Q2
71,0.18,0.14,0.04,28.5714,2006Q1
72,0.1,0.1,0,0,2005Q4
73,0.1,0.08,0.02,25,2005Q3
74,0.09,0.09,0,0,2005Q2
75,0.1,0.06,0.04,66.6667,2005Q1
76,0.01,0.03,-0.02,-66.6667,2004Q4
77,0.33,0.32,0.01,3.125,2004Q3
78,0.35,0.33,0.02,6.0606,2004Q2
79,0.33,0.31,0.02,6.4516,2004Q1
80,0.44,0.42,0.02,4.7619,2003Q4
81,0.41,0.4,0.01,2.5,2003Q3
82,0.4,0.35,0.05,14.2857,2003Q2
83,0.34,0.32,0.02,6.25,2003Q1
84,0.48,0.47,0.01,2.1277,2002Q4
85,0.27,0.26,0.01,3.8462,2002Q3
86,0.2,0.18,0.02,11.1111,2002Q2
87,0.14,0.13,0.01,7.6923,2002Q1
88,0.2,0.18,0.02,11.1111,2001Q4
89,0.14,0.15,-0.01,-6.6667,2001Q3
90,0.12,0.1,0.02,20,2001Q2
91,0.0725,None,None,None,2001Q1
92,0.08,0.01,0.07,700,2000Q4
93,0.3,0.31,-0.01,-3.2258,2000Q3
94,0.27,0.25,0.02,8,2000Q2
95,0.34,0.34,0,0,2000Q1
96,0.36,0.35,0.01,2.8571,1999Q4
97,0.34,0.32,0.02,6.25,1999Q3
98,0.3,0.3,0,0,1999Q2
99,0.28,0.28,0,0,1999Q1
100,0.29,0.28,0.01,3.5714,1998Q4
101,0.27,0.26,0.01,3.8462,1998Q3
102,0.25,0.24,0.01,4.1667,1998Q2
103,0.18,0.19,-0.01,-5.2632,1998Q1
104,0.21,0.2,0.01,5,1997Q4
105,0.19,0.19,0,0,1997Q3
106,0.19,0.19,0,0,1997Q2
107,0.19,0.17,0.02,11.7647,1997Q1
108,0.16,0.16,0,0,1996Q4
109,0.15,0.15,0,0,1996Q3
110,0.14,0.14,0,0,1996Q2
