,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,Quarter
0,0.66,0.6468,0.0132,2.0408,pre-market,2025Q1
1,0.58,0.53,0.05,9.434,pre-market,2024Q4
2,0.67,0.65,0.02,3.0769,pre-market,2024Q3
3,0.6,0.52,0.08,15.3846,pre-market,2024Q2
4,0.6,0.55,0.05,9.0909,pre-market,2024Q1
5,1.53,1.52,0.01,0.6579,pre-market,2023Q4
6,1.84,1.71,0.13,7.6023,pre-market,2023Q3
7,1.47,1.32,0.15,11.3636,pre-market,2023Q2
8,1.71,1.51,0.2,13.245,pre-market,2023Q1
9,1.5,1.32,0.18,13.6364,pre-market,2022Q4
10,1.77,1.62,0.15,9.2593,pre-market,2022Q3
11,1.3,1.48,-0.18,-12.1622,pre-market,2022Q2
12,1.53,1.5,0.03,2,pre-market,2022Q1
13,1.45,1.4,0.05,3.5714,pre-market,2021Q4
14,1.78,1.57,0.21,13.3758,pre-market,2021Q3
15,1.69,1.21,0.48,39.6694,pre-market,2021Q2
16,1.46,1.51,-0.05,-3.3113,pre-market,2021Q1
17,1.34,1.18,0.16,13.5593,pre-market,2020Q4
18,1.56,1.25,0.31,24.8,pre-market,2020Q3
19,1.18,1.12,0.06,5.3571,pre-market,2020Q2
20,1.38,1.43,-0.05,-3.4965,pre-market,2020Q1
21,1.16,1.09,0.07,6.422,pre-market,2019Q4
22,1.27,1.22,0.05,4.0984,pre-market,2019Q3
23,1.13,1.02,0.11,10.7843,pre-market,2019Q2
24,1.41,1.33,0.08,6.015,pre-market,2019Q1
25,1.08,1.01,0.07,6.9307,pre-market,2018Q4
26,1.29,1.22,0.07,5.7377,pre-market,2018Q3
27,1.14,1.12,0.02,1.7857,pre-market,2018Q2
28,1.33,1.37,-0.04,-2.9197,pre-market,2018Q1
29,1,0.97,0.03,3.0928,pre-market,2017Q4
30,1.08,1.07,0.01,0.9346,pre-market,2017Q3
31,1,0.96,0.04,4.1667,pre-market,2017Q2
32,1.3,1.29,0.01,0.7752,pre-market,2017Q1
33,0.98,0.96,0.02,2.0833,pre-market,2016Q4
34,1.07,1.02,0.05,4.902,pre-market,2016Q3
35,0.98,0.88,0.1,11.3636,pre-market,2016Q2
36,1.49,1.46,0.03,2.0548,pre-market,2016Q1
37,0.99,0.98,0.01,1.0204,pre-market,2015Q4
38,1.08,1.12,-0.04,-3.5714,pre-market,2015Q3
39,1.03,1.04,-0.01,-0.9615,pre-market,2015Q2
40,1.61,1.53,0.08,5.2288,pre-market,2015Q1
41,1.15,1.12,0.03,2.6786,pre-market,2014Q4
42,1.21,1.21,0,0,pre-market,2014Q3
43,1.1,1.15,-0.05,-4.3478,pre-market,2014Q2
44,1.6,1.59,0.01,0.6289,pre-market,2014Q1
45,1.14,1.13,0.01,0.885,pre-market,2013Q4
46,1.25,1.25,0,0,pre-market,2013Q3
47,1.14,1.15,-0.01,-0.8696,pre-market,2013Q2
48,1.67,1.57,0.1,6.3694,pre-market,2013Q1
49,1.08,1.07,0.01,0.9346,pre-market,2012Q4
50,1.18,1.17,0.01,0.8547,pre-market,2012Q3
51,1.09,1.04,0.05,4.8077,pre-market,2012Q2
52,1.44,1.45,-0.01,-0.6897,pre-market,2012Q1
53,0.97,0.98,-0.01,-1.0204,pre-market,2011Q4
54,1.09,1.08,0.01,0.9259,pre-market,2011Q3
55,0.98,0.95,0.03,3.1579,pre-market,2011Q2
56,1.34,1.31,0.03,2.2901,pre-market,2011Q1
57,0.9,0.9,0,0,pre-market,2010Q4
58,0.97,0.96,0.01,1.0417,pre-market,2010Q3
59,0.88,0.85,0.03,3.5294,pre-market,2010Q2
60,1.17,1.12,0.05,4.4643,pre-market,2010Q1
61,0.84,0.81,0.03,3.7037,pre-market,2009Q4
62,0.88,0.85,0.03,3.5294,pre-market,2009Q3
63,0.77,0.77,0,0,pre-market,2009Q2
64,1.03,0.99,0.04,4.0404,pre-market,2009Q1
65,0.77,0.76,0.01,1.3158,pre-market,2008Q4
66,0.86,0.84,0.02,2.381,pre-market,2008Q3
67,0.76,0.75,0.01,1.3333,pre-market,2008Q2
68,1.04,1.02,0.02,1.9608,pre-market,2008Q1
69,0.69,0.67,0.02,2.9851,pre-market,2007Q4
70,0.72,0.76,-0.04,-5.2632,pre-market,2007Q3
71,0.68,0.68,0,0,pre-market,2007Q2
72,0.92,0.9,0.02,2.2222,pre-market,2007Q1
73,0.62,0.59,0.03,5.0847,pre-market,2006Q4
74,0.72,0.72,0,0,pre-market,2006Q3
75,0.63,0.61,0.02,3.2787,pre-market,2006Q2
76,0.84,0.83,0.01,1.2048,pre-market,2006Q1
77,0.57,0.57,0,0,pre-market,2005Q4
78,0.67,0.65,0.02,3.0769,pre-market,2005Q3
79,0.55,0.56,-0.01,-1.7857,pre-market,2005Q2
80,0.75,0.74,0.01,1.3514,pre-market,2005Q1
81,0.54,0.54,0,0,pre-market,2004Q4
82,0.62,0.61,0.01,1.6393,pre-market,2004Q3
83,0.5,0.49,0.01,2.0408,pre-market,2004Q2
84,0.63,0.63,0,0,pre-market,2004Q1
85,0.46,0.47,-0.01,-2.1277,pre-market,2003Q4
86,0.52,0.52,0,0,pre-market,2003Q3
87,0.41,0.42,-0.01,-2.381,pre-market,2003Q2
88,0.57,0.56,0.01,1.7857,pre-market,2003Q1
89,0.41,0.4,0.01,2.5,pre-market,2002Q4
90,0.46,0.45,0.01,2.2222,pre-market,2002Q3
91,0.37,0.36,0.01,2.7778,pre-market,2002Q2
92,0.49,0.49,0,0,pre-market,2002Q1
93,0.33,0.33,0,0,pre-market,2001Q4
94,0.37,0.37,0,0,pre-market,2001Q3
