,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
0,183.985,186.95,183.82,186.86,64885408.0,2023-12-31,2024-02-01,2.02,1.93,0.09,4.6632,2024-02-01
1,175.52,177.78,175.46,177.57,77334752.0,2023-09-30,2023-11-02,1.46,1.39,0.07,5.036,2023-11-02
2,191.57,192.37,190.69,191.17,62243282.0,2023-06-30,2023-08-03,1.26,1.19,0.07,5.8824,2023-08-03
3,164.89,167.04,164.31,165.79,81235427.0,2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937,2023-05-04
4,148.9,151.18,148.17,150.82,118338980.0,2022-12-31,2023-02-02,1.88,1.94,-0.06,-3.0928,2023-02-02
5,148.07,149.046,144.13,144.8,109180150.0,2022-09-30,2022-10-27,1.29,1.27,0.02,1.5748,2022-10-27
6,156.98,157.64,154.41,157.35,81378731.0,2022-06-30,2022-07-28,1.2,1.16,0.04,3.4483,2022-07-28
7,159.25,164.515,158.93,163.64,130216792.0,2022-03-31,2022-04-28,1.52,1.43,0.09,6.2937,2022-04-28
8,162.45,163.84,158.28,159.22,121954638.0,2021-12-31,2022-01-27,2.1,1.89,0.21,11.1111,2022-01-27
9,149.82,153.165,149.72,152.57,100077888.0,2021-09-30,2021-10-28,1.24,1.24,0,0,2021-10-28
10,149.12,149.21,145.55,146.77,104818578.0,2021-06-30,2021-07-27,1.3,1.01,0.29,28.7129,2021-07-27
11,134.31,135.02,133.08,133.58,107760097.0,2021-03-31,2021-04-28,1.4,0.99,0.41,41.4141,2021-04-28
12,143.43,144.3,140.41,142.06,140843759.0,2020-12-31,2021-01-27,1.68,1.41,0.27,19.1489,2021-01-27
13,112.37,116.93,112.2,115.32,146129173.0,2020-09-30,2020-10-29,0.73,0.7,0.03,4.2857,2020-10-29
14,376.75,385.19,375.07,384.76,39532505.0,2020-06-30,2020-07-30,0.65,0.51,0.14,27.451,2020-07-30
15,289.96,294.53,288.35,293.8,45765968.0,2020-03-31,2020-04-30,0.64,0.56,0.08,14.2857,2020-04-30
16,312.6,318.4,312.19,317.69,40558486.0,2019-12-31,2020-01-28,1.25,1.14,0.11,9.6491,2020-01-28
17,244.76,245.3,241.21,243.26,31130522.0,2019-09-30,2019-10-30,0.76,0.71,0.05,7.0423,2019-10-30
18,208.76,210.16,207.31,208.78,33935718.0,2019-06-30,2019-07-30,0.55,0.53,0.02,3.7736,2019-07-30
19,203.06,203.4,199.11,200.67,46534923.0,2019-03-31,2019-04-30,0.62,0.59,0.03,5.0847,2019-04-30
20,156.25,158.13,154.11,154.68,41587239.0,2018-12-31,2019-01-29,1.05,1.04,0.01,0.9615,2019-01-29
21,219.05,222.36,216.81,222.22,58323180.0,2018-09-30,2018-11-01,0.73,0.7,0.03,4.2857,2018-11-01
22,190.3,192.14,189.34,190.29,39373038.0,2018-06-30,2018-07-31,0.585,0.545,0.04,7.3394,2018-07-31
23,166.41,169.2,165.27,169.1,53569376.0,2018-03-31,2018-05-01,0.6825,0.6725,0.01,1.487,2018-05-01
24,167.17,168.62,166.76,167.78,38099665.0,2017-12-31,2018-02-01,0.9725,0.965,0.0075,0.7772,2018-02-01
25,167.64,168.5,165.28,168.11,32710040.0,2017-09-30,2017-11-02,0.5175,0.4675,0.05,10.6952,2017-11-02
26,149.1,150.22,148.41,150.05,24725526.0,2017-06-30,2017-08-01,0.4175,0.3925,0.025,6.3694,2017-08-01
27,147.54,148.09,146.84,147.51,39752670.0,2017-03-31,2017-05-02,0.525,0.505,0.02,3.9604,2017-05-02
28,121.15,121.39,120.62,121.35,49200993.0,2016-12-31,2017-01-31,0.84,0.8025,0.0375,4.6729,2017-01-31
29,117.95,118.36,117.31,118.25,48128970.0,2016-09-30,2016-10-25,0.4175,0.415,0.0025,0.6024,2016-10-25
30,96.82,97.97,96.42,96.67,56239822.0,2016-06-30,2016-07-26,0.355,0.345,0.01,2.8986,2016-07-26
31,103.91,105.3,103.91,104.35,56016165.0,2016-03-31,2016-04-26,0.475,0.5,-0.025,-5,2016-04-26
32,99.93,100.88,98.07,99.99,75077002.0,2015-12-31,2016-01-26,0.82,0.8075,0.0125,1.548,2016-01-26
33,115.4,116.54,113.99,114.55,69884400.0,2015-09-30,2015-10-27,0.49,0.47,0.02,4.2553,2015-10-27
34,132.85,132.92,130.32,130.75,76756427.0,2015-06-30,2015-07-21,0.4625,0.4525,0.01,2.2099,2015-07-21
35,132.31,133.13,131.15,132.65,96954207.0,2015-03-31,2015-04-27,0.5825,0.54,0.0425,7.8704,2015-04-27
36,112.42,112.48,109.03,109.14,95568749.0,2014-12-31,2015-01-27,0.765,0.65,0.115,17.6923,2015-01-27
37,98.315,99.96,98.22,99.76,77517279.0,2014-09-30,2014-10-20,0.355,0.3275,0.0275,8.3969,2014-10-20
38,94.68,94.89,94.12,94.72,55197000.0,2014-06-30,2014-07-22,0.32,0.3075,0.0125,4.065,2014-07-22
39,529.06,531.13,524.45,524.75,14105000.0,2014-03-31,2014-04-23,0.415,0.365,0.05,13.6986,2014-04-23
40,550.07,554.8,545.75,550.5,19817100.0,2013-12-31,2014-01-27,0.5175,0.5025,0.015,2.9851,2014-01-27
41,529.04,531.0,523.21,529.876,19658600.0,2013-09-30,2013-10-28,0.295,0.285,0.01,3.5088,2013-10-28
42,426.0,426.96,418.71,418.99,13192700.0,2013-06-30,2013-07-23,0.2675,0.2625,0.005,1.9048,2013-07-23
43,403.99,408.381,398.81,406.13,23722800.0,2013-03-31,2013-04-23,0.36,0.3575,0.0025,0.6993,2013-04-23
44,508.81,514.99,504.77,514.005,30768200.0,2012-12-31,2013-01-23,0.4925,0.48,0.0125,2.6042,2013-01-23
45,620.0,622.0,605.55,609.538,23440200.0,2012-09-30,2012-10-25,0.31,0.3125,-0.0025,-0.8,2012-10-25
46,607.38,609.68,598.51,600.92,20183300.0,2012-06-30,2012-07-24,0.3325,0.37,-0.0375,-10.1351,2012-07-24
47,562.61,567.69,555.0,560.28,38433900.0,2012-03-31,2012-04-24,0.44,0.3575,0.0825,23.0769,2012-04-24
48,425.1001,425.1001,419.55,420.41,19558500.0,2011-12-31,2012-01-24,0.495,0.3625,0.1325,36.5517,2012-01-24
49,421.76,424.8067,415.99,422.24,31485800.0,2011-09-30,2011-10-18,0.2525,0.265,-0.0125,-4.717,2011-10-18
50,378.0,378.65,373.32,376.85,29255200.0,2011-06-30,2011-07-19,0.2775,0.2075,0.07,33.7349,2011-07-19
51,343.51,345.75,341.5,342.41,25023800.0,2011-03-31,2011-04-20,0.2275,0.1925,0.035,18.1818,2011-04-20
52,329.52,344.7625,326.0,340.65,67178500.0,2010-12-31,2011-01-18,0.23,0.1925,0.0375,19.4805,2011-01-18
53,318.47,319.0,314.29,318.0,39036100.0,2010-09-30,2010-10-18,0.165,0.145,0.02,13.7931,2010-10-18
54,242.9,252.9,240.01,251.89,38391100.0,2010-06-30,2010-07-20,0.125,0.11,0.015,13.6364,2010-07-20
55,248.54,249.25,242.955,244.59,26368800.0,2010-03-31,2010-04-20,0.12,0.0875,0.0325,37.1429,2010-04-20
56,202.51,204.7,200.19,203.075,38060700.0,2009-12-31,2010-01-25,0.13,0.075,0.055,73.3333,2010-01-25
57,187.85,190.0,185.55,189.86,33651100.0,2009-09-30,2009-10-19,0.065,0.05,0.015,30,2009-10-19
58,153.29,153.43,149.75,151.51,31242200.0,2009-06-30,2009-07-21,0.0475,0.0425,0.005,11.7647,2009-07-21
59,122.63,125.35,121.2,121.51,33527400.0,2009-03-31,2009-04-22,0.0475,0.04,0.0075,18.75,2009-04-22
60,79.45,82.88,79.31,82.83,38902500.0,2008-12-31,2009-01-21,0.0625,0.05,0.0125,25,2009-01-21
61,96.95,97.9,91.16,91.49,78345000.0,2008-09-30,2008-10-21,0.045,0.04,0.005,12.5,2008-10-21
62,166.9,167.5,161.12,166.29,48588200.0,2008-06-30,2008-07-21,0.0425,0.0375,0.005,13.3333,2008-07-21
63,164.05,164.84,161.08,162.89,53721100.0,2008-03-31,2008-04-23,0.0425,0.0375,0.005,13.3333,2008-04-23
64,148.06,159.98,146.0,155.64,86955500.0,2007-12-31,2008-01-22,0.06,0.06,0,0,2008-01-22
65,170.35,174.9,169.9601,174.36,58910700.0,2007-09-30,2007-10-22,0.04,0.03,0.01,33.3333,2007-10-22
66,137.35,138.36,135.0,137.26,53435100.0,2007-06-30,2007-07-25,0.03,0.03,0,0,2007-07-25
67,94.23,95.4,93.8,95.348,42398000.0,2007-03-31,2007-04-25,0.03,0.02,0.01,50,2007-04-25
68,97.56,97.6,94.82,94.95,58795000.0,2006-12-31,2007-01-17,0.04,0.03,0.01,33.3333,2007-01-17
