,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
0,176.13,178.48,169.52,172.06,122265677.0,2023-12-31,2024-01-30,0.77,0.77,0,0,2024-01-30
1,96.235,98.8188,94.07,98.5,79547126.0,2023-09-30,2023-10-31,0.7,0.68,0.02,2.9412,2023-10-31
2,114.26,118.19,113.16,117.6,97284727.0,2023-06-30,2023-08-01,0.58,0.57,0.01,1.7544,2023-08-01
3,89.32,90.455,88.12,89.91,70483508.0,2023-03-31,2023-05-02,0.6,0.56,0.04,7.1429,2023-05-02
4,72.26,75.2,72.03,75.15,71669107.0,2022-12-31,2023-01-31,0.69,0.67,0.02,2.9851,2023-01-31
5,61.485,61.99,59.425,59.66,83806667.0,2022-09-30,2022-11-01,0.67,0.68,-0.01,-1.4706,2022-11-01
6,95.71,100.915,95.36,99.29,116734097.0,2022-06-30,2022-08-02,1.05,1.03,0.02,1.9417,2022-08-02
7,89.85,92.21,89.01,91.13,126381846.0,2022-03-31,2022-05-03,1.13,0.91,0.22,24.1758,2022-05-03
8,116.75,117.26,112.73,116.78,122467874.0,2021-12-31,2022-02-01,0.92,0.76,0.16,21.0526,2022-02-01
9,122.99,127.2,122.5782,122.93,59458928.0,2021-09-30,2021-10-26,0.73,0.67,0.06,8.9552,2021-10-26
10,92.94,94.1,89.1,91.03,69427021.0,2021-06-30,2021-07-27,0.63,0.54,0.09,16.6667,2021-07-27
11,85.67,87.15,85.13,85.21,61909865.0,2021-03-31,2021-04-27,0.52,0.44,0.08,18.1818,2021-04-27
12,94.91,95.7171,93.63,94.71,59449053.0,2020-12-31,2021-01-26,0.52,0.47,0.05,10.6383,2021-01-26
13,82.0,82.37,77.57,78.88,156669494.0,2020-09-30,2020-10-27,0.41,0.36,0.05,13.8889,2020-10-27
14,68.1,69.8,67.02,67.61,94181374.0,2020-06-30,2020-07-28,0.18,0.16,0.02,12.5,2020-07-28
15,57.16,57.35,55.3,55.51,80501820.0,2020-03-31,2020-04-28,0.18,0.18,0,0,2020-04-28
16,50.03,50.85,49.48,50.53,62343844.0,2019-12-31,2020-01-28,0.32,0.31,0.01,3.2258,2020-01-28
17,33.73,33.9,32.7,33.03,78700076.0,2019-09-30,2019-10-29,0.18,0.18,0,0,2019-10-29
18,33.21,33.94,32.94,33.87,72198880.0,2019-06-30,2019-07-30,0.08,0.08,0,0,2019-07-30
19,27.59,27.8,26.94,27.63,73165869.0,2019-03-31,2019-04-30,0.06,0.05,0.01,20,2019-04-30
20,20.26,20.39,19.05,19.25,131202535.0,2018-12-31,2019-01-29,0.08,0.08,0,0,2019-01-29
21,25.04,25.1,22.75,22.79,134489106.0,2018-09-30,2018-10-24,0.13,0.12,0.01,8.3333,2018-10-24
22,16.3,16.39,15.72,16.05,83639684.0,2018-06-30,2018-07-25,0.14,0.13,0.01,7.6923,2018-07-25
23,10.06,10.09,9.56,9.71,90577981.0,2018-03-31,2018-04-25,0.11,0.09,0.02,22.2222,2018-04-25
24,13.12,13.27,12.69,12.87,65116734.0,2017-12-31,2018-01-30,0.08,0.05,0.03,60,2018-01-30
25,14.2,14.36,14.15,14.25,60340437.0,2017-09-30,2017-10-24,0.1,0.08,0.02,25,2017-10-24
26,14.2895,14.32,13.87,14.11,76089789.0,2017-06-30,2017-07-25,0.02,0.0003,0.0197,6566.6667,2017-07-25
27,13.43,13.63,13.25,13.62,53304763.0,2017-03-31,2017-05-01,-0.04,-0.04,0,0,2017-05-01
28,10.6,10.67,10.22,10.37,53704949.0,2016-12-31,2017-01-31,-0.01,-0.02,0.01,50,2017-01-31
29,6.81,6.98,6.77,6.96,64607539.0,2016-09-30,2016-10-20,0.03,0.004,0.026,650,2016-10-20
30,5.43,5.45,5.1,5.22,40242023.0,2016-06-30,2016-07-21,-0.05,-0.08,0.03,37.5,2016-07-21
31,2.65,2.7,2.6,2.62,13957207.0,2016-03-31,2016-04-21,-0.12,-0.13,0.01,7.6923,2016-04-21
32,2.08,2.11,1.9,1.95,18978876.0,2015-12-31,2016-01-19,-0.1,-0.1,0,0,2016-01-19
33,1.97,2.06,1.95,1.97,27327109.0,2015-09-30,2015-10-15,-0.17,-0.12,-0.05,-41.6667,2015-10-15
34,1.97,2.0,1.87,1.87,20653274.0,2015-06-30,2015-07-16,-0.17,-0.17,0,0,2015-07-16
35,2.72,2.94,2.7,2.87,28617313.0,2015-03-31,2015-04-16,-0.09,-0.05,-0.04,-80,2015-04-16
36,2.39,2.43,2.19,2.24,56713301.0,2014-12-31,2015-01-20,-0.09,0.01,-0.1,-1000,2015-01-20
37,2.56,2.715,2.54,2.64,38718250.0,2014-09-30,2014-10-16,0.03,0.04,-0.01,-25,2014-10-16
38,4.63,4.68,4.5,4.57,49775300.0,2014-06-30,2014-07-17,0.02,0.03,-0.01,-33.3333,2014-07-17
39,3.78,3.795,3.69,3.69,32048100.0,2014-03-31,2014-04-17,0.02,None,None,None,2014-04-17
40,4.31,4.34,4.13,4.17,58702900.0,2013-12-31,2014-01-21,0.06,0.05,0.01,20,2014-01-21
41,4.12,4.13,4.06,4.09,45838000.0,2013-09-30,2013-10-17,0.04,0.02,0.02,100,2013-10-17
42,4.38,4.65,4.37,4.64,70347000.0,2013-06-30,2013-07-18,-0.09,-0.12,0.03,25,2013-07-18
43,2.4,2.56,2.2887,2.51,27340500.0,2013-03-31,2013-04-18,-0.13,-0.18,0.05,27.7778,2013-04-18
44,2.52,2.54,2.43,2.45,35143000.0,2012-12-31,2013-01-22,-0.14,-0.2,0.06,30,2013-01-22
45,2.76,2.78,2.6,2.62,35679500.0,2012-09-30,2012-10-18,-0.2,-0.15,-0.05,-33.3333,2012-10-18
46,4.93,5.07,4.82,4.86,27598400.0,2012-06-30,2012-07-19,0.06,0.07,-0.01,-14.2857,2012-07-19
47,8.01,8.06,7.75,7.97,25074700.0,2012-03-31,2012-04-19,0.12,0.09,0.03,33.3333,2012-04-19
48,6.47,6.81,6.39,6.53,38790500.0,2011-12-31,2012-01-24,0.19,0.16,0.03,18.75,2012-01-24
49,5.27,5.6,5.17,5.33,41294000.0,2011-09-30,2011-10-27,0.15,0.1,0.05,50,2011-10-27
50,6.59,6.6084,6.44,6.5,29318700.0,2011-06-30,2011-07-21,0.09,0.08,0.01,12.5,2011-07-21
51,8.73,8.77,8.63,8.71,18746500.0,2011-03-31,2011-04-21,0.08,0.05,0.03,60,2011-04-21
52,7.88,8.02,7.85,8.02,25167900.0,2010-12-31,2011-01-20,0.14,0.11,0.03,27.2727,2011-01-20
53,7.23,7.25,7.0,7.139,36306700.0,2010-09-30,2010-10-14,0.15,0.06,0.09,150,2010-10-14
54,7.46,7.48,7.18,7.41,51384100.0,2010-06-30,2010-07-15,0.11,0.06,0.05,83.3333,2010-07-15
55,9.97,10.24,9.9,10.16,55096500.0,2010-03-31,2010-04-15,0.09,-0.04,0.13,325,2010-04-15
56,9.01,9.1,8.7701,8.99,37888700.0,2009-12-31,2010-01-21,1.52,-0.18,1.7,944.4444,2010-01-21
57,6.21,6.23,6.05,6.19,37778500.0,2009-09-30,2009-10-15,-0.18,-0.42,0.24,57.1429,2009-10-15
58,4.25,4.25,3.95,4.08,47575700.0,2009-06-30,2009-07-21,-0.49,-0.47,-0.02,-4.2553,2009-07-21
59,3.23,3.36,3.2,3.36,14244500.0,2009-03-31,2009-04-21,-0.66,-0.66,0,0,2009-04-21
60,2.15,2.18,1.97,2.02,21451500.0,2008-12-31,2009-01-22,-0.69,-0.54,-0.15,-27.7778,2009-01-22
61,4.01,4.23,3.65,4.12,29123000.0,2008-09-30,2008-10-16,0.13,-0.4,0.53,132.5,2008-10-16
62,5.25,5.32,4.82,5.3,36053000.0,2008-06-30,2008-07-17,-0.6,-0.52,-0.08,-15.3846,2008-07-17
63,6.06,6.3,6.0,6.19,23814600.0,2008-03-31,2008-04-17,-0.51,-0.51,0,0,2008-04-17
64,6.71,6.92,6.22,6.34,40337800.0,2007-12-31,2008-01-17,-0.17,-0.36,0.19,52.7778,2008-01-17
65,14.02,14.73,13.95,14.55,43934900.0,2007-09-30,2007-10-18,-0.49,-0.62,0.13,20.9677,2007-10-18
66,15.68,15.85,15.45,15.78,49401600.0,2007-06-30,2007-07-19,-0.95,-0.85,-0.1,-11.7647,2007-07-19
67,13.94,14.669,13.87,14.28,56775000.0,2007-03-31,2007-04-19,-0.9,-0.48,-0.42,-87.5,2007-04-19
68,17.6,17.7,17.37,17.51,25341200.0,2006-12-31,2007-01-23,-0.04,0.1,-0.14,-140,2007-01-23
69,24.8,25.16,24.08,24.23,40929500.0,2006-09-30,2006-10-18,0.27,0.24,0.03,12.5,2006-10-18
70,21.9,22.1,21.16,21.65,30891800.0,2006-06-30,2006-07-20,0.18,0.22,-0.04,-18.1818,2006-07-20
71,34.7,35.75,34.44,35.42,24189500.0,2006-03-31,2006-04-12,0.38,0.29,0.09,31.0345,2006-04-12
72,32.6,34.38,32.33,33.37,31688700.0,2005-12-31,2006-01-18,0.45,0.26,0.19,73.0769,2006-01-18
73,23.34,24.0,22.7,24.0,15674000.0,2005-09-30,2005-10-11,0.18,0.08,0.1,125,2005-10-11
74,19.2,19.39,19.06,19.25,12798500.0,2005-06-30,2005-07-13,0.03,-0.05,0.08,160,2005-07-13
75,17.23,17.5,16.95,17.06,15417200.0,2005-03-31,2005-04-13,-0.04,0.02,-0.06,-300,2005-04-13
76,15.05,15.63,15.05,15.5,20636900.0,2004-12-31,2005-01-18,0.05,0.08,-0.03,-37.5,2005-01-18
77,13.97,14.22,13.86,14.11,15795800.0,2004-09-30,2004-10-07,0.12,0.12,0,0,2004-10-07
78,13.78,14.12,13.53,13.74,34083100.0,2004-06-30,2004-07-14,0.09,0.09,0,0,2004-07-14
79,16.75,17.42,16.75,17.12,12760800.0,2004-03-31,2004-04-14,0.12,0.04,0.08,200,2004-04-14
80,17.24,17.5,16.8,17.38,21899500.0,2003-12-31,2004-01-20,0.12,0.04,0.08,200,2004-01-20
81,13.5,14.02,13.43,13.96,16023800.0,2003-09-30,2003-10-16,-0.09,-0.36,0.27,75,2003-10-16
82,7.3,7.38,7.05,7.32,8983700.0,2003-06-30,2003-07-16,-0.4,-0.53,0.13,24.5283,2003-07-16
83,7.8,8.19,7.8,7.9,15527500.0,2003-03-31,2003-04-16,-0.42,-0.48,0.06,12.5,2003-04-16
84,7.37,7.49,6.92,7.2,10022000.0,2002-12-31,2003-01-16,-0.68,-0.42,-0.26,-61.9048,2003-01-16
85,3.95,3.95,3.43,3.49,6757100.0,2002-09-30,2002-10-16,-0.74,-0.67,-0.07,-10.4478,2002-10-16
86,10.0,10.3,9.01,9.33,6485800.0,2002-06-30,2002-07-17,-0.54,-0.45,-0.09,-20,2002-07-17
87,14.66,15.3,14.58,14.82,8864000.0,2002-03-31,2002-04-17,-0.03,-0.06,0.03,50,2002-04-17
88,18.7,18.95,17.9,17.9,11634000.0,2001-12-31,2002-01-16,-0.05,-0.18,0.13,72.2222,2002-01-16
89,11.38,11.39,9.61,9.71,9124700.0,2001-09-30,2001-10-17,-0.28,-0.28,0,0,2001-10-17
90,22.0,23.22,22.0,22.7,7957900.0,2001-06-30,2001-07-12,0.05,0.04,0.01,25,2001-07-12
91,25.85,29.15,24.85,27.85,19834100.0,2001-03-31,2001-04-18,0.37,0.33,0.04,12.1212,2001-04-18
92,19.06,19.06,17.88,18.5,11075800.0,2000-12-31,2001-01-17,0.53,0.55,-0.02,-3.6364,2001-01-17
93,22.25,23.63,21.13,23.5,12706100.0,2000-09-30,2000-10-11,0.64,0.62,0.02,3.2258,2000-10-11
94,88.0,95.0,86.31,90.25,7096100.0,2000-06-30,2000-07-19,0.61,0.56,0.05,8.9286,2000-07-19
95,69.75,77.0,62.75,76.0,5806800.0,2000-03-31,2000-04-12,0.57,0.26,0.31,119.2308,2000-04-12
96,43.5,45.13,38.0,39.0,14423600.0,1999-12-31,2000-01-20,0.11,-0.01,0.12,1200,2000-01-20
