,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
0,155.87,159.76,155.62,159.28,76542419.0,2023-12-31,2024-02-01,0.93,0.74,0.19,25.6757,2024-02-01
1,120.63,121.6393,118.35,119.57,100419516.0,2023-09-30,2023-10-26,0.94,0.58,0.36,62.069,2023-10-26
2,127.48,129.84,126.41,128.91,91163736.0,2023-06-30,2023-08-03,0.65,0.35,0.3,85.7143,2023-08-03
3,108.16,110.86,106.8,109.82,149961167.0,2023-03-31,2023-04-27,0.31,0.21,0.1,47.619,2023-04-27
4,110.245,114.0,108.88,112.91,158154243.0,2022-12-31,2023-02-02,0.25,0.18,0.07,38.8889,2023-02-02
5,113.92,114.12,109.77,110.96,129605362.0,2022-09-30,2022-10-27,0.17,0.22,-0.05,-22.7273,2022-10-27
6,121.57,122.84,118.08,122.28,82245543.0,2022-06-30,2022-07-28,0.18,0.14,0.04,28.5714,2022-07-28
7,2843.56,2918.75,2806.0,2891.93,5865847.0,2022-03-31,2022-04-28,0.37,0.42,-0.05,-11.9048,2022-04-28
8,2834.75,2884.95,2766.66,2776.91,11276568.0,2021-12-31,2022-02-03,0.29,0.18,0.11,61.1111,2022-02-03
9,3402.095,3479.0,3386.0,3446.57,5708733.0,2021-09-30,2021-10-28,0.31,0.45,-0.14,-31.1111,2021-10-28
10,3627.75,3637.95,3580.01,3599.92,4337611.0,2021-06-30,2021-07-29,0.76,0.62,0.14,22.5806,2021-07-29
11,3505.0981,3514.445,3435.0,3471.31,7682381.0,2021-03-31,2021-04-29,0.79,0.48,0.31,64.5833,2021-04-29
12,3380.0,3427.74,3361.125,3380.0,6183716.0,2020-12-31,2021-02-02,0.7,0.36,0.34,94.4444,2021-02-02
13,3201.27,3257.25,3164.0,3211.01,6596529.0,2020-09-30,2020-10-29,0.62,0.37,0.25,67.5676,2020-10-29
14,3014.0,3092.0,3005.0,3051.88,6128265.0,2020-06-30,2020-07-30,0.52,0.07,0.45,642.8571,2020-07-30
15,2419.84,2475.0,2396.01,2474.0,9534611.0,2020-03-31,2020-04-30,0.25,0.31,-0.06,-19.3548,2020-04-30
16,1858.0,1872.87,1850.61,1870.68,6327438.0,2019-12-31,2020-01-30,0.32,0.2,0.12,60,2020-01-30
17,1771.09,1788.34,1760.27,1780.78,5204350.0,2019-09-30,2019-10-24,0.21,0.23,-0.02,-8.6957,2019-10-24
18,2001.0,2001.2,1972.72,1973.82,4136394.0,2019-06-30,2019-07-25,0.26,0.28,-0.02,-7.1429,2019-07-25
19,1917.0,1922.45,1900.31,1902.25,6099101.0,2019-03-31,2019-04-25,0.35,0.24,0.11,45.8333,2019-04-25
20,1692.85,1736.41,1679.08,1718.73,10910338.0,2018-12-31,2019-01-31,0.3,0.28,0.02,7.1429,2019-01-31
21,1703.34,1794.81,1692.01,1782.17,10285742.0,2018-09-30,2018-10-25,0.29,0.16,0.13,81.25,2018-10-25
22,1839.0,1844.68,1804.5,1808.0,9924371.0,2018-06-30,2018-07-26,0.25,0.13,0.12,92.3077,2018-07-26
23,1485.01,1529.42,1478.5,1517.96,8801101.0,2018-03-31,2018-04-26,0.16,0.06,0.1,166.6667,2018-04-26
