,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
0,1844.9,1852.02,1798.485,1806.47,455414.0,2023-09-30,2023-10-26,11.36,10.55,0.81,7.6777,2023-10-26
1,2091.85,2100.04,2065.01,2087.86,478795.0,2023-06-30,2023-07-26,12.65,12.31,0.34,2.762,2023-07-26
2,1796.0,1816.96,1780.0,1780.0,454592.0,2023-03-31,2023-04-25,10.5,8.92,1.58,17.713,2023-04-25
3,1688.48,1724.7118,1680.0801,1722.86,649931.0,2022-12-31,2023-02-07,8.29,8.9,-0.61,-6.8539,2023-02-07
4,1561.0,1591.43,1552.5,1584.02,668805.0,2022-09-30,2022-10-25,9.51,9.21,0.3,3.2573,2022-10-25
5,1318.16,1327.1,1291.63,1316.43,503003.0,2022-06-30,2022-07-26,9.3,9.04,0.26,2.8761,2022-07-26
6,1493.08,1497.375,1425.5,1438.21,402810.0,2022-03-31,2022-04-26,5.7,5.64,0.06,1.0638,2022-04-26
7,1453.0,1473.1162,1434.7,1460.35,801629.0,2021-12-31,2022-02-08,5.58,5.26,0.32,6.0837,2022-02-08
8,1816.71,1849.43,1812.19,1843.83,384667.0,2021-09-30,2021-10-21,7.02,6.32,0.7,11.0759,2021-10-21
9,1571.26,1587.12,1556.71,1574.35,431047.0,2021-06-30,2021-07-20,7.46,6.52,0.94,14.4172,2021-07-20
10,1533.05,1535.81,1497.05,1507.62,509845.0,2021-03-31,2021-04-21,5.36,4.89,0.47,9.6115,2021-04-21
11,1525.06,1553.55,1521.6,1523.05,392032.0,2020-12-31,2021-02-02,3.48,3.73,-0.25,-6.7024,2021-02-02
12,1344.08,1366.66,1338.0,1366.66,792264.0,2020-09-30,2020-10-21,3.76,3.47,0.29,8.3573,2020-10-21
13,1161.02,1187.0,1161.02,1185.27,749433.0,2020-06-30,2020-07-22,0.4,0.35,0.05,14.2857,2020-07-22
14,799.0,809.24,772.01,786.69,966900.0,2020-03-31,2020-04-21,3.08,2.91,0.17,5.8419,2020-04-21
15,876.01,890.17,873.64,884.82,976402.0,2019-12-31,2020-02-04,2.86,2.75,0.11,4,2020-02-04
16,856.75,856.75,823.15,831.07,1266575.0,2019-09-30,2019-10-22,3.82,3.22,0.6,18.6335,2019-10-22
17,746.0,747.18,728.06,739.6,931260.0,2019-06-30,2019-07-23,3.99,3.76,0.23,6.117,2019-07-23
18,705.96,714.29,698.79,709.75,1184568.0,2019-03-31,2019-04-24,3.4,3.01,0.39,12.9568,2019-04-24
19,527.28,530.73,519.09,526.06,1259010.0,2018-12-31,2019-02-06,1.72,1.37,0.35,25.5474,2019-02-06
20,417.26,427.91,413.17,423.88,1272357.0,2018-09-30,2018-10-25,2.16,2,0.16,8,2018-10-25
21,449.26,451.54,446.0,446.76,875394.0,2018-06-30,2018-07-26,2.87,2.8,0.07,2.5,2018-07-26
22,333.22,342.01,330.37,339.52,1353357.0,2018-03-31,2018-04-25,2.13,1.57,0.56,35.6688,2018-04-25
23,296.8,305.46,293.55,304.33,1580520.0,2017-12-31,2018-02-06,1.34,1.32,0.02,1.5152,2018-02-06
24,322.34,326.53,318.25,324.3,2050405.0,2017-09-30,2017-10-24,0.69,1.63,-0.94,-57.6687,2017-10-24
25,340.0,350.89,339.0,348.62,2816131.0,2017-06-30,2017-07-25,2.32,2.18,0.14,6.422,2017-07-25
26,471.1,474.27,468.27,471.76,873029.0,2017-03-31,2017-04-25,1.6,1.27,0.33,25.9843,2017-04-25
27,420.0,427.6699,413.67,423.3,1316199.0,2016-12-31,2017-02-02,0.55,0.57,-0.02,-3.5088,2017-02-02
28,410.51,417.61,403.785,405.67,2207268.0,2016-09-30,2016-10-25,0.27,1.58,-1.31,-82.9114,2016-10-25
29,419.68,420.16,412.42,418.07,2130360.0,2016-06-30,2016-07-21,0.87,0.93,-0.06,-6.4516,2016-07-21
30,445.0,447.27,438.7227,445.92,1706590.0,2016-03-31,2016-04-26,-0.88,-0.95,0.07,7.3684,2016-04-26
31,471.0,484.2,468.3,475.67,2697662.0,2015-12-31,2016-02-02,2.17,1.85,0.32,17.2973,2016-02-02
32,717.25,720.5,705.63,705.63,2194673.0,2015-09-30,2015-10-20,4.59,4.62,-0.03,-0.6494,2015-10-20
33,678.0,679.3649,670.07,673.07,1666382.0,2015-06-30,2015-07-21,4.45,4.44,0.01,0.2252,2015-07-21
34,691.4,699.03,689.0,692.52,1883305.0,2015-03-31,2015-04-21,3.88,3.66,0.22,6.0109,2015-04-21
35,716.5,726.63,710.0,726.63,1364246.0,2014-12-31,2015-02-03,3.84,3.79,0.05,1.3193,2015-02-03
36,643.0,654.73,641.19,653.03,1198314.0,2014-09-30,2014-10-20,4.15,3.84,0.31,8.0729,2014-10-20
37,593.29,596.8997,582.69,589.93,1081700.0,2014-06-30,2014-07-21,3.5,3.09,0.41,13.2686,2014-07-21
38,582.7,588.69,518.516,519.61,3882500.0,2014-03-31,2014-04-17,2.64,2.86,-0.22,-7.6923,2014-04-17
39,486.96,499.43,485.4,493.96,1260500.0,2013-12-31,2014-01-30,2.53,2.53,0,0,2014-01-30
40,438.6,442.47,438.05,439.07,898000.0,2013-09-30,2013-10-17,2.66,2.78,-0.12,-4.3165,2013-10-17
41,375.99,377.4,372.7501,376.75,971600.0,2013-06-30,2013-07-18,2.82,2.81,0.01,0.3559,2013-07-18
42,341.5,341.5,328.36,328.36,1012900.0,2013-03-31,2013-04-18,2.35,2.13,0.22,10.3286,2013-04-18
43,309.47,311.8,303.5,305.01,1280400.0,2012-12-31,2013-02-05,1.95,1.96,-0.01,-0.5102,2013-02-05
44,293.57,293.57,283.11,285.93,2097200.0,2012-09-30,2012-10-18,2.27,2.3,-0.03,-1.3043,2012-10-18
45,397.24,404.59,396.98,403.86,1334300.0,2012-06-30,2012-07-19,2.56,2.3,0.26,11.3043,2012-07-19
46,439.23,439.42,428.26,430.78,838600.0,2012-03-31,2012-04-19,1.97,1.93,0.04,2.0725,2012-04-19
47,368.0,371.62,364.41,370.41,873400.0,2011-12-31,2012-02-01,1.81,1.83,-0.02,-1.0929,2012-02-01
48,308.97,312.29,306.06,307.91,1232800.0,2011-09-30,2011-10-20,1.9,1.85,0.05,2.7027,2011-10-20
49,330.2,333.71,325.3,333.71,1473500.0,2011-06-30,2011-07-19,1.64,1.68,-0.04,-2.381,2011-07-19
50,283.49,289.35,280.4467,288.1,2219000.0,2011-03-31,2011-04-20,1.46,1.44,0.02,1.3889,2011-04-20
51,253.45,258.4199,252.28,256.63,2081100.0,2010-12-31,2011-02-10,1.47,1.29,0.18,13.9535,2011-02-10
52,181.72,182.99,178.09,179.25,1230100.0,2010-09-30,2010-10-21,1.52,1.31,0.21,16.0305,2010-10-21
53,131.49,133.53,130.43,133.16,1202400.0,2010-06-30,2010-07-22,1.46,1.39,0.07,5.036,2010-07-22
54,123.79,126.75,123.56,126.75,993000.0,2010-03-31,2010-04-21,1.19,0.95,0.24,25.2632,2010-04-21
55,99.5,101.48,98.39,101.12,952200.0,2009-12-31,2010-02-11,0.99,0.81,0.18,22.2222,2010-02-11
56,82.82,90.33,82.58,89.52,2879100.0,2009-09-30,2009-10-22,1.08,0.88,0.2,22.7273,2009-10-22
57,88.3,91.68,87.44,88.78,1476400.0,2009-06-30,2009-07-22,1.1,0.88,0.22,25,2009-07-22
58,80.0,86.74,80.0,85.5,2071300.0,2009-03-31,2009-04-22,0.78,0.55,0.23,41.8182,2009-04-22
59,48.17,49.06,46.88,47.42,1416600.0,2008-12-31,2009-02-11,0.52,0.49,0.03,6.1224,2009-02-11
60,42.91,43.87,40.0,41.08,708600.0,2008-09-30,2008-10-22,0.59,0.59,0,0,2008-10-22
61,82.11,89.27,80.09,83.8,1638400.0,2008-06-30,2008-07-23,0.74,0.75,-0.01,-1.3333,2008-07-23
62,116.0,116.0,109.9,109.9,899200.0,2008-03-31,2008-04-23,0.52,0.48,0.04,8.3333,2008-04-23
63,112.49,114.38,108.35,108.65,1947000.0,2007-12-31,2008-02-14,0.53,0.55,-0.02,-3.6364,2008-02-14
64,134.8,136.47,132.5,133.5,1269600.0,2007-09-30,2007-10-30,0.62,0.53,0.09,16.9811,2007-10-30
65,88.0,90.5,86.46,88.34,1378200.0,2007-06-30,2007-07-31,0.6,0.45,0.15,33.3333,2007-07-31
66,65.65,67.0,63.91,66.26,867300.0,2007-03-31,2007-05-01,0.38,0.32,0.06,18.75,2007-05-01
67,60.19,61.69,59.39,61.38,1248600.0,2006-12-31,2007-02-15,0.33,0.28,0.05,17.8571,2007-02-15
68,59.0,60.25,58.13,59.9,1946600.0,2006-09-30,2006-10-31,0.36,0.27,0.09,33.3333,2006-10-31
69,49.8,52.9,49.57,52.5,1214500.0,2006-06-30,2006-07-31,0.33,0.25,0.08,32,2006-07-31
70,57.26,59.59,57.1,59.27,782100.0,2006-03-31,2006-05-08,0.26,0.12,0.14,116.6667,2006-05-08
71,42.5,43.7499,42.36,43.41,190400.0,2005-12-31,2006-03-13,0.16,0.11,0.05,45.4545,2006-03-13
