,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
0,154.01,155.04,152.775,153.05,26578934.0,2023-12-31,2024-01-30,1.64,1.59,0.05,3.1447,2024-01-30
1,136.23,139.02,135.11,137.9,20780665.0,2023-09-30,2023-10-23,1.55,1.45,0.1,6.8966,2023-10-23
2,121.88,123.69,121.53,122.79,31820846.0,2023-06-30,2023-07-25,1.44,1.34,0.1,7.4627,2023-07-25
3,106.61,107.44,104.56,104.61,31408119.0,2023-03-31,2023-04-25,1.17,1.06,0.11,10.3774,2023-04-25
4,106.79,108.82,106.54,108.8,46622627.0,2022-12-31,2023-02-02,1.05,1.19,-0.14,-11.7647,2023-02-02
5,103.3,105.0999,103.02,104.93,29910170.0,2022-09-30,2022-10-25,1.06,1.25,-0.19,-15.2,2022-10-25
6,107.43,107.74,104.76,105.44,36626630.0,2022-06-30,2022-07-26,1.21,1.3,-0.09,-6.9231,2022-07-26
7,2455.0,2455.0,2383.237,2390.12,2284104.0,2022-03-31,2022-04-26,1.23,1.29,-0.06,-4.6512,2022-04-26
8,2756.7,2764.0,2691.3645,2757.57,2560160.0,2021-12-31,2022-02-01,1.53,1.38,0.15,10.8696,2022-02-01
9,2812.12,2816.79,2780.11,2793.44,1412937.0,2021-09-30,2021-10-26,1.4,1.17,0.23,19.6581,2021-10-26
10,2800.22,2800.22,2702.0,2735.93,2108153.0,2021-06-30,2021-07-27,1.36,0.96,0.4,41.6667,2021-07-27
11,2336.0,2337.45,2304.27,2307.12,1598583.0,2021-03-31,2021-04-27,1.31,0.79,0.52,65.8228,2021-04-27
12,1922.56,1955.76,1914.49,1927.51,2103864.0,2020-12-31,2021-02-02,1.12,0.8,0.32,40,2021-02-02
13,1522.36,1593.71,1522.24,1567.24,2003064.0,2020-09-30,2020-10-29,0.82,0.56,0.26,46.4286,2020-10-29
14,1497.0,1537.87,1492.22,1531.45,1671396.0,2020-06-30,2020-07-30,0.51,0.42,0.09,21.4286,2020-07-30
15,1287.93,1288.05,1232.2,1233.67,2951309.0,2020-03-31,2020-04-28,0.4935,0.519,-0.0255,-4.9133,2020-04-28
16,1462.0,1490.0,1458.99,1485.94,3055216.0,2019-12-31,2020-02-03,0.7675,0.6295,0.138,21.9222,2020-02-03
17,1275.45,1299.31,1272.54,1290.0,2524976.0,2019-09-30,2019-10-28,0.506,0.623,-0.117,-18.7801,2019-10-28
18,1137.82,1141.7,1120.92,1132.12,2209881.0,2019-06-30,2019-07-25,0.7105,0.5665,0.144,25.4192,2019-07-25
19,1274.0,1289.27,1266.295,1287.58,2499432.0,2019-03-31,2019-04-29,0.475,0.5315,-0.0565,-10.6303,2019-04-29
20,1112.66,1132.8,1109.02,1132.8,2576470.0,2018-12-31,2019-02-04,0.6385,0.541,0.0975,18.0222,2019-02-04
21,1071.79,1110.98,1069.55,1095.57,2545839.0,2018-09-30,2018-10-25,0.653,0.52,0.133,25.5769,2018-10-25
22,1181.01,1206.49,1181.0,1205.5,2619234.0,2018-06-30,2018-07-23,0.227,0.477,-0.25,-52.4109,2018-07-23
23,1077.86,1082.72,1060.7,1067.45,2341258.0,2018-03-31,2018-04-23,0.6665,0.466,0.2005,43.0258,2018-04-23
24,1162.61,1174.0,1157.52,1167.7,1974700.0,2017-12-31,2018-02-01,0.485,0.498,-0.013,-2.6104,2018-02-01
25,980.0,987.6,972.2,972.56,1660850.0,2017-09-30,2017-10-26,0.4785,0.4165,0.062,14.886,2017-10-26
26,972.22,986.2,970.77,980.34,2634669.0,2017-06-30,2017-07-24,0.2505,0.2235,0.027,12.0805,2017-07-24
27,873.6,875.4,870.38,874.25,1734197.0,2017-03-31,2017-04-27,0.3865,0.3695,0.017,4.6008,2017-04-27
28,837.81,838.0,827.01,832.15,2973891.0,2016-12-31,2017-01-26,0.468,0.4835,-0.0155,-3.2058,2017-01-26
29,801.0,803.49,791.5,795.35,2749221.0,2016-09-30,2016-10-27,0.453,0.432,0.021,4.8611,2016-10-27
30,747.04,748.65,739.3,745.91,3530169.0,2016-06-30,2016-07-28,0.421,0.4015,0.0195,4.8568,2016-07-28
31,755.38,760.45,749.55,759.14,3060490.0,2016-03-31,2016-04-21,0.375,0.398,-0.023,-5.7789,2016-04-21
32,750.46,757.86,743.27,752.0,5139157.0,2015-12-31,2016-02-01,0.4335,0.405,0.0285,7.037,2016-02-01
33,646.7,657.8,644.01,651.79,4070954.0,2015-09-30,2015-10-22,0.3675,0.3605,0.007,1.9417,2015-10-22
34,565.12,580.68,565.0,579.85,4768318.0,2015-06-30,2015-07-16,0.3495,0.337,0.0125,3.7092,2015-07-16
35,541.0,550.96,540.23,547.0,4173376.0,2015-03-31,2015-04-23,0.3285,6.71,-6.3815,-95.1043,2015-04-23
36,511.0,511.09,501.2,510.66,4174924.0,2014-12-31,2015-01-29,0.344,6.93,-6.586,-95.0361,2015-01-29
37,519.0,529.43,515.0,524.51,3698423.0,2014-09-30,2014-10-16,0.3175,6.33,-6.0125,-94.9842,2014-10-16
38,579.53,580.99,568.61,573.7299,3008300.0,2014-06-30,2014-07-17,6.08,6.57,-0.49,-7.4581,2014-07-17
39,543.0,557.0,540.0,556.54,4879900.0,2014-03-31,2014-04-16,6.27,6.35,-0.08,-1.2598,2014-04-16
